dates,satname,nzd0417-0000,nzd0417-0001,nzd0417-0002,nzd0417-0003,nzd0417-0004,nzd0417-0005,nzd0417-0006,nzd0417-0007,nzd0417-0008,nzd0417-0009,nzd0417-0010,nzd0417-0011,nzd0417-0012,nzd0417-0013,nzd0417-0014,nzd0417-0015,nzd0417-0016,nzd0417-0017,nzd0417-0018,nzd0417-0019,nzd0417-0020,nzd0417-0021,nzd0417-0022,nzd0417-0023,nzd0417-0024,nzd0417-0025,nzd0417-0026,nzd0417-0027,nzd0417-0028,nzd0417-0029,nzd0417-0030,nzd0417-0031,nzd0417-0032,nzd0417-0033
1999-08-26 22:06:44+00:00,L7,324.31,333.76,314.27,296.57,307.66,291.85,304.01,294.94,284.07,323.80,310.68,,343.22,321.02,,346.37,324.10,326.70,346.20,355.75,319.93,292.17,288.03,328.22,,,329.63,328.03,341.50,330.21,316.77,288.51,290.79,275.29
1999-09-04 22:00:33+00:00,L7,,333.16,316.59,309.52,302.19,294.62,305.28,303.03,,325.87,317.44,,333.16,322.30,,332.76,299.95,317.48,327.82,337.86,312.55,297.89,308.81,317.96,313.10,,327.44,327.00,329.37,320.62,314.86,,305.80,319.22
1999-09-27 22:06:48+00:00,L7,,339.55,335.62,334.41,,318.01,327.05,320.52,319.84,337.83,327.51,337.61,346.50,341.92,341.51,344.23,341.11,343.46,335.58,347.40,323.63,325.19,323.33,331.30,325.78,323.69,333.92,331.65,339.73,337.74,341.44,338.35,331.54,330.45
1999-10-13 22:06:48+00:00,L7,333.63,327.87,,,,,,,,,,,331.97,327.10,320.39,324.50,323.30,330.32,325.26,330.95,302.87,,,,,,310.83,,327.39,329.70,322.38,318.91,307.95,309.32
1999-10-22 22:00:28+00:00,L7,400.99,395.93,387.69,386.75,383.58,379.58,379.91,383.22,379.90,386.45,382.40,375.09,368.05,369.40,364.64,364.22,363.18,364.67,363.71,365.17,363.43,355.04,346.31,355.76,347.35,345.78,346.65,349.65,356.38,359.58,360.39,352.74,350.91,348.40
1999-11-30 22:06:35+00:00,L7,332.49,318.97,315.21,321.86,322.30,313.76,323.44,322.47,329.39,334.06,332.98,334.37,334.57,329.25,331.56,327.13,322.79,329.09,327.34,334.13,324.23,318.43,315.90,320.78,322.10,321.50,326.90,323.10,333.40,335.34,332.16,330.43,330.35,328.05
1999-12-09 22:00:33+00:00,L7,366.79,364.59,356.89,358.28,349.58,348.10,349.92,351.14,348.16,349.37,346.34,344.44,345.20,344.57,346.50,,,,,,,,,,,,,,,,,,,
1999-12-16 22:06:45+00:00,L7,342.52,331.93,328.70,327.84,326.33,325.05,331.82,329.19,337.13,335.77,336.19,336.63,339.38,330.91,,64.84,,,,,,,,,,,,,,,,,,
1999-12-25 22:00:28+00:00,L7,343.35,333.93,333.89,327.89,327.26,324.51,331.03,329.41,335.63,337.30,338.98,338.92,337.60,339.01,340.93,335.26,333.88,338.38,333.06,339.92,336.59,330.48,323.40,326.93,327.16,328.70,333.47,332.61,339.06,338.43,343.63,338.67,335.83,335.38
2000-01-26 22:00:26+00:00,L7,338.33,326.77,323.95,315.83,314.91,315.19,322.39,321.74,333.62,334.04,335.97,335.09,334.71,324.40,331.72,328.70,324.93,326.15,322.31,323.64,321.97,316.71,314.51,322.04,319.75,319.89,324.87,319.69,327.65,332.97,337.30,332.62,323.40,329.27
2000-02-27 22:00:16+00:00,L7,341.57,334.78,325.25,323.78,325.21,314.34,324.07,321.93,332.27,337.53,334.38,337.49,341.23,332.77,338.36,337.92,333.19,336.05,334.42,336.84,330.49,328.62,322.92,328.66,322.60,328.54,333.39,330.76,335.69,337.48,334.25,335.11,329.62,327.52
2000-03-30 22:00:09+00:00,L7,351.70,337.71,319.46,,313.19,299.44,309.26,307.72,307.22,340.44,317.12,,339.87,328.64,336.89,345.27,330.96,340.74,337.89,345.54,314.28,327.88,329.66,342.00,329.22,335.63,341.21,339.33,349.17,340.84,344.11,340.32,333.71,336.06
2000-04-15 21:59:55+00:00,L7,,336.36,317.54,,322.25,295.17,305.00,303.00,288.35,,390.24,,364.57,,354.63,353.74,295.05,342.50,357.66,363.50,320.57,,,344.77,,,345.62,350.79,352.65,349.02,,,,335.92
2000-05-01 21:59:54+00:00,L7,330.37,318.92,314.29,297.92,303.23,291.53,303.69,292.95,282.31,294.02,298.94,266.19,315.06,305.92,292.33,293.53,262.51,316.46,317.29,333.75,318.54,290.77,274.80,,,270.87,342.77,,348.62,304.62,309.88,288.02,283.50,274.00
2000-05-08 22:05:56+00:00,L7,,333.68,319.15,278.00,295.06,286.65,305.20,288.08,279.19,293.01,297.49,257.09,,303.06,288.02,288.45,190.52,310.90,296.77,318.35,313.07,290.72,268.83,295.94,282.81,270.87,284.99,285.83,314.93,303.24,306.97,289.43,281.98,263.41
2000-05-24 22:05:46+00:00,L7,,336.07,311.00,289.64,310.71,291.27,305.75,289.96,283.53,288.57,296.39,257.98,,290.41,294.24,290.87,206.56,316.81,314.73,336.16,334.69,290.77,270.90,288.65,281.55,267.12,284.71,,318.92,320.59,300.43,285.01,,258.62
2000-06-18 21:59:27+00:00,L7,,332.73,305.52,292.39,302.91,289.38,303.55,278.08,278.08,276.56,288.66,251.27,249.78,279.54,286.29,279.34,190.05,292.76,296.13,319.81,316.60,280.33,270.72,282.43,270.28,261.94,285.22,,317.29,306.16,302.66,281.94,,257.89
2000-07-11 22:05:17+00:00,L7,,331.83,306.34,287.68,304.49,290.47,307.19,288.78,279.84,279.21,289.52,259.87,250.38,284.36,290.69,287.29,174.81,305.15,297.63,313.67,318.23,286.57,273.36,291.83,282.99,268.06,289.35,,316.49,314.54,297.31,,,263.14
2000-08-05 21:58:44+00:00,L7,,332.36,308.30,295.13,302.36,295.15,304.98,295.74,281.63,291.63,298.88,260.32,,304.23,292.85,292.00,279.95,308.76,316.89,320.41,318.30,286.96,277.83,306.34,283.95,268.14,285.78,,319.82,301.33,305.78,,300.27,272.83
2000-08-12 22:04:53+00:00,L7,325.83,335.61,320.87,290.75,308.60,290.95,305.61,295.68,284.94,302.35,297.53,274.66,311.80,301.07,293.75,294.51,261.80,319.90,321.66,330.72,317.92,291.07,275.90,322.91,,270.11,335.30,333.99,339.84,327.22,310.12,286.40,,270.20
2000-09-06 21:58:22+00:00,L7,,331.79,317.04,307.64,302.93,301.39,306.01,306.69,292.04,323.26,313.96,,333.66,314.20,,331.98,303.01,336.89,329.51,337.56,307.43,291.74,290.00,322.49,,,330.46,329.29,322.66,302.73,309.60,,,328.22
2000-10-08 21:58:00+00:00,L7,347.07,335.46,335.32,331.67,327.36,317.16,327.25,322.02,328.70,339.55,328.99,337.89,338.99,334.54,338.78,341.09,340.46,338.44,339.77,343.33,327.21,326.16,326.86,328.86,328.84,332.98,335.86,332.97,339.04,339.39,340.46,341.12,331.09,335.99
2000-10-15 22:03:56+00:00,L7,349.17,333.01,331.69,321.41,316.24,314.18,324.81,319.66,330.98,337.15,329.93,329.59,335.58,331.79,335.32,337.42,334.35,337.39,335.56,339.26,333.49,325.81,323.06,328.18,327.76,328.76,332.83,331.17,331.95,340.21,336.34,336.04,331.69,330.92
2000-11-09 21:57:57+00:00,L7,404.65,397.41,387.63,378.74,382.34,379.05,382.33,383.45,381.73,385.70,386.25,375.82,367.20,362.21,364.95,366.67,362.13,358.36,356.62,364.45,355.08,347.28,344.70,355.40,352.33,346.50,351.72,351.91,356.92,357.53,356.92,351.95,348.95,352.11
2000-11-25 21:57:58+00:00,L7,393.13,390.56,383.82,372.24,372.01,370.73,367.87,373.75,368.47,371.03,369.05,354.58,356.18,354.64,354.77,354.65,354.86,351.39,351.41,354.31,349.06,339.50,339.55,341.18,,,,,,,,,,
2000-12-18 22:04:13+00:00,L7,339.27,330.55,327.31,318.43,322.18,318.41,327.81,325.64,333.03,333.87,337.93,338.05,334.89,329.28,330.65,330.11,328.75,332.10,327.09,336.23,338.34,326.47,321.50,328.06,325.99,321.94,328.26,329.95,335.94,333.02,334.51,333.15,326.64,329.51
2001-01-28 21:58:08+00:00,L7,349.22,338.83,333.34,320.86,324.63,320.11,327.77,326.10,335.14,338.61,337.26,337.59,335.47,332.59,334.02,330.05,332.74,334.13,329.59,335.99,330.64,325.35,323.49,331.32,330.50,330.22,336.27,338.67,339.54,340.77,341.75,336.71,331.11,331.44
2001-04-18 21:57:44+00:00,L7,,331.92,312.32,294.70,303.38,296.33,304.67,298.34,282.90,,312.00,279.50,335.14,310.34,,315.65,295.45,326.18,329.25,336.66,317.58,295.50,,332.62,,,333.49,333.67,332.46,325.47,305.43,,299.53,324.74
2001-05-20 21:57:28+00:00,L7,321.40,327.81,315.19,294.21,305.52,293.66,304.21,289.06,281.81,286.89,285.82,251.70,253.00,289.05,290.36,289.92,190.51,307.43,311.06,319.07,316.20,288.69,266.34,286.82,280.88,266.61,285.28,,336.02,295.77,301.23,,285.30,253.67
2001-06-05 21:57:16+00:00,L7,315.89,334.36,308.48,286.72,308.96,289.64,296.47,283.84,278.32,277.57,284.17,250.45,250.23,280.99,290.55,288.52,174.59,305.90,292.62,319.39,318.01,285.55,269.55,283.82,274.41,262.50,278.82,287.18,316.54,306.32,305.48,288.40,277.03,265.89
2001-06-12 22:03:24+00:00,L7,,327.12,311.27,292.95,303.19,291.52,305.89,287.98,281.28,288.77,294.44,258.57,254.98,281.32,291.75,290.09,246.59,308.28,295.78,317.35,318.52,290.47,272.77,290.56,285.04,273.72,285.85,,310.05,318.94,297.61,284.44,,257.68
2001-07-07 21:57:00+00:00,L7,,333.13,306.97,293.40,302.55,290.99,302.80,274.70,277.64,277.50,283.84,249.80,252.25,282.40,287.96,283.22,249.85,291.67,294.89,330.41,318.35,280.83,270.01,281.01,274.34,260.50,285.34,,309.43,299.79,300.76,287.09,,264.48
2001-07-14 22:03:09+00:00,L7,302.37,311.42,308.60,296.69,302.85,293.42,305.99,288.51,280.20,287.16,294.80,260.42,252.86,282.12,294.40,288.06,175.04,304.00,294.67,323.51,314.69,289.76,275.10,283.49,282.51,266.00,284.28,274.28,321.21,301.81,304.18,,,262.14
2001-08-15 22:02:38+00:00,L7,,331.92,309.92,287.59,306.32,291.32,303.19,293.33,279.11,293.43,298.78,,293.41,296.25,288.27,288.75,191.92,312.09,313.44,326.53,317.28,287.18,270.41,312.56,301.46,262.47,320.31,,334.93,309.39,301.53,,,264.73
2001-08-24 21:56:24+00:00,L7,,,,,,,,,,,,,,,,334.52,330.73,329.91,328.34,332.51,319.23,314.19,329.14,372.73,,,354.23,294.97,318.18,318.57,306.21,298.46,279.30,287.42
2001-09-25 21:56:04+00:00,L7,343.57,332.54,317.65,314.51,306.85,304.94,308.55,312.30,322.63,334.56,325.87,326.00,339.33,329.74,337.93,335.80,329.95,336.14,334.82,345.12,320.16,330.21,328.89,333.22,322.85,325.84,329.69,332.21,338.20,338.32,340.00,339.82,334.83,334.26
2001-10-02 22:02:04+00:00,L7,379.25,380.27,379.04,370.74,364.78,364.29,365.48,364.65,367.64,365.71,359.70,356.19,353.49,343.34,351.20,349.69,350.13,351.09,353.38,361.76,355.32,347.07,343.15,351.35,340.14,338.14,339.83,338.82,345.99,352.64,351.19,346.83,341.90,341.18
2001-12-14 21:56:17+00:00,L7,385.05,381.83,378.60,371.44,368.43,358.60,363.12,368.48,366.25,369.82,362.24,358.16,351.83,350.83,352.97,348.85,349.44,351.29,347.45,351.99,350.03,346.40,343.00,350.78,340.97,338.19,343.47,343.75,349.56,352.74,351.64,350.06,344.40,341.62
2001-12-30 21:56:13+00:00,L7,363.23,359.36,355.20,347.33,346.10,342.04,341.38,342.25,345.91,348.62,347.68,346.27,345.12,342.43,347.00,342.95,342.96,347.98,343.37,348.08,347.46,342.30,338.53,346.95,,,,,,,,,,
2002-01-22 22:02:40+00:00,L7,337.18,329.27,331.82,330.88,322.13,313.56,326.80,321.48,329.23,332.12,329.67,330.03,331.96,326.36,323.15,328.54,329.60,329.70,322.54,331.13,331.82,323.63,316.71,322.29,318.10,317.78,325.45,323.99,330.16,325.90,328.86,329.08,326.36,324.95
2002-03-04 21:56:33+00:00,L7,,317.75,300.53,293.11,299.84,300.54,310.82,313.47,315.31,328.79,325.64,324.89,329.71,324.56,322.15,328.15,327.78,322.56,317.69,328.35,316.12,314.76,312.42,320.98,319.78,315.80,321.40,324.80,328.46,329.72,322.87,328.23,323.18,324.67
2002-03-11 22:02:43+00:00,L7,384.79,366.85,356.43,363.22,329.25,325.09,359.78,355.35,361.15,360.94,360.50,370.22,363.77,357.68,353.68,350.01,361.90,361.27,362.06,361.68,356.18,346.87,346.13,353.17,,,,,,,,,,
2002-05-07 21:56:27+00:00,L7,328.51,329.64,316.13,290.39,305.60,290.12,302.73,291.63,280.83,284.11,296.15,258.52,281.27,294.98,290.78,282.89,191.92,309.56,298.91,318.15,313.85,284.84,271.51,295.38,273.19,270.33,286.90,,335.11,315.97,306.29,,274.81,263.53
2002-05-14 22:02:31+00:00,L7,,317.31,315.60,,309.07,315.78,314.76,308.88,304.72,314.67,309.91,290.23,327.25,297.18,301.89,302.26,285.39,314.60,319.04,337.53,316.84,303.34,291.10,309.35,304.26,285.69,301.93,314.65,334.39,320.43,318.42,306.52,313.66,296.58
2002-06-15 22:02:19+00:00,L7,325.58,327.03,309.62,,305.16,288.16,302.02,273.99,276.15,279.48,285.53,247.42,249.26,275.79,288.78,284.73,189.84,294.53,298.36,327.87,317.50,286.83,272.65,286.73,272.35,260.28,284.70,271.61,317.29,305.90,308.44,,274.78,246.94
2002-07-01 22:02:14+00:00,L7,,330.87,317.13,293.74,304.24,297.38,308.37,292.45,283.66,291.64,294.45,255.79,258.06,288.46,290.37,288.22,173.92,304.20,296.81,323.70,316.92,289.94,278.38,290.99,286.13,275.43,289.69,277.25,320.40,315.79,310.28,,,269.08
2002-07-17 22:02:08+00:00,L7,,324.90,313.37,295.47,302.66,288.58,302.41,282.43,278.57,276.68,291.41,250.90,245.85,283.71,286.11,284.84,173.38,302.81,308.22,318.86,318.10,288.65,270.41,287.49,280.71,271.12,284.86,,315.49,306.83,301.62,273.88,,264.61
2002-08-02 22:02:01+00:00,L7,329.78,332.32,318.71,290.48,309.20,291.90,306.60,292.46,283.81,292.02,293.89,256.10,,290.66,292.78,286.72,192.59,310.31,317.67,326.34,318.47,291.92,279.44,303.21,285.32,271.71,276.07,294.20,329.10,316.07,309.84,291.87,281.37,272.27
2002-09-03 22:01:48+00:00,L7,338.43,335.04,323.06,310.51,308.91,300.15,312.93,312.23,,340.91,321.98,307.07,342.08,335.43,,356.10,348.67,350.09,346.07,359.69,343.28,,330.77,337.22,326.22,334.59,337.91,334.84,339.82,342.78,339.17,,337.89,333.15
2002-09-19 22:01:34+00:00,L7,348.68,340.31,330.50,324.26,,332.12,,350.73,361.99,364.72,356.68,,351.83,344.58,353.33,355.66,352.74,354.00,351.13,355.46,349.94,343.16,341.67,345.66,337.81,324.45,340.25,342.97,345.01,348.80,346.38,343.43,338.40,343.93
2002-10-14 21:55:19+00:00,L7,347.70,332.82,323.62,318.13,314.07,316.73,334.77,327.46,335.38,335.98,333.71,336.22,338.92,335.39,342.12,341.91,343.74,344.49,330.47,346.70,337.49,333.46,329.08,333.17,331.54,333.59,336.56,335.60,342.39,338.88,339.70,340.39,336.73,335.50
2002-10-21 22:01:36+00:00,L7,366.06,353.42,349.71,345.62,344.90,346.16,355.79,352.69,355.62,357.30,345.28,346.92,351.50,346.09,352.01,353.78,354.01,355.34,354.27,354.85,352.13,340.30,336.78,345.45,341.70,344.25,345.01,340.97,350.36,345.60,350.31,347.69,343.77,341.91
2002-10-30 21:55:25+00:00,L7,333.61,330.38,322.17,324.82,324.94,317.33,330.59,326.50,331.50,334.43,333.16,334.40,335.88,334.26,338.31,333.02,333.40,334.67,334.77,343.69,337.71,330.13,325.63,329.99,330.02,330.83,334.28,334.16,339.80,340.83,344.00,342.69,341.85,337.05
2002-11-06 22:01:41+00:00,L7,349.06,335.05,336.12,324.89,327.20,326.33,334.93,338.44,334.62,339.67,337.94,327.52,337.52,336.24,341.78,343.06,344.09,340.00,339.80,344.63,339.17,329.78,325.86,332.09,325.67,328.35,332.84,332.20,337.22,336.09,337.16,338.98,336.63,334.32
2002-11-22 22:01:57+00:00,L7,341.29,331.07,331.25,326.51,327.99,331.70,335.42,331.79,335.24,334.16,331.69,326.87,332.98,332.72,337.96,339.20,336.17,334.83,325.41,338.27,335.58,318.85,320.66,327.92,322.21,317.90,326.24,326.79,328.59,329.57,330.48,330.62,326.58,322.63
2002-12-08 22:02:03+00:00,L7,333.69,315.03,313.98,306.29,307.41,301.66,318.08,316.63,322.74,325.79,315.96,312.25,322.63,310.61,314.17,325.39,321.45,321.34,316.71,325.97,317.36,311.59,307.42,311.75,308.64,308.42,317.19,311.03,322.66,305.12,318.10,309.12,307.03,306.72
2002-12-24 22:02:09+00:00,L7,332.72,325.20,323.96,315.38,317.06,316.29,328.49,323.45,328.02,331.78,330.95,328.35,332.73,322.59,333.33,328.83,323.63,327.95,323.22,326.22,326.68,317.64,315.63,322.33,319.81,322.01,327.76,327.12,328.75,325.16,334.41,330.45,329.02,329.97
2003-02-10 22:02:28+00:00,L7,347.24,331.55,329.08,323.18,325.02,323.48,333.28,332.05,336.07,339.72,333.86,336.47,336.07,335.09,342.54,339.63,333.97,339.70,331.71,340.22,334.18,328.06,321.66,333.32,331.12,329.36,333.40,331.37,333.70,338.08,335.43,337.16,329.68,328.63
2003-04-24 21:56:22+00:00,L7,324.43,330.62,306.49,288.20,306.93,290.22,302.77,291.81,282.75,,297.07,258.56,299.73,293.15,294.18,287.44,208.03,309.40,307.25,317.94,311.60,285.78,272.88,307.80,283.40,266.46,318.14,315.08,328.80,305.32,306.27,,276.86,275.28
2003-05-10 21:56:22+00:00,L7,329.46,327.79,313.49,292.45,305.12,291.30,303.00,288.33,281.65,288.79,294.50,258.63,,296.48,290.17,287.07,262.82,307.82,299.77,318.65,316.28,286.98,270.87,292.83,285.75,265.07,285.54,,324.61,300.74,304.89,288.20,284.17,268.92
2003-07-20 22:02:20+00:00,L7,325.65,328.69,310.94,285.68,304.67,291.51,304.71,285.52,279.93,286.09,285.85,253.68,,292.59,291.55,287.55,253.04,,,,,,,,,,285.99,281.96,312.55,312.81,306.72,290.39,275.95,258.38
2003-07-21 21:44:09+00:00,L5,309.81,320.69,311.50,300.84,312.14,294.10,301.60,287.59,282.49,285.38,284.73,264.64,262.95,283.09,294.77,295.52,270.98,302.56,298.66,324.23,323.10,289.30,273.05,285.27,274.55,262.98,292.00,300.17,327.39,315.52,306.88,296.59,293.90,249.15
2003-08-22 21:44:43+00:00,L5,351.85,340.79,314.55,294.77,306.52,296.84,301.14,298.07,281.77,285.14,304.62,274.15,,304.14,311.02,337.69,323.50,335.14,332.92,334.28,322.80,284.85,277.53,306.02,,257.41,283.15,,306.96,282.45,302.94,,,309.51
2003-08-29 21:51:01+00:00,L5,,334.74,321.81,314.88,320.21,322.00,331.53,344.95,345.74,338.57,321.21,277.92,316.08,298.76,289.38,303.66,189.99,320.35,314.79,331.94,319.79,299.37,298.69,326.51,,265.94,312.23,288.43,325.45,309.44,322.42,,320.63,319.02
2003-08-30 21:55:58+00:00,L7,,332.35,315.85,307.69,304.83,296.44,307.11,304.17,290.71,,,,,,,324.44,295.18,329.63,326.49,335.68,319.00,297.82,,328.20,,,329.58,328.48,325.61,306.54,,,,
2003-09-14 21:51:18+00:00,L5,336.36,337.57,326.95,320.69,319.66,304.82,317.85,311.41,318.65,327.45,316.99,313.37,326.32,322.62,319.39,321.93,312.96,320.54,315.84,319.02,316.90,315.34,310.32,323.32,315.96,319.04,327.73,322.45,327.75,320.98,322.56,320.73,322.40,325.26
2003-10-16 21:51:43+00:00,L5,333.04,325.69,318.43,312.62,313.89,311.03,322.54,318.93,329.95,335.12,328.55,330.51,331.23,329.56,331.06,324.23,325.11,326.05,324.73,332.39,323.59,317.39,319.78,326.71,325.03,321.49,328.68,327.26,334.57,330.71,335.34,334.00,335.31,337.49
2003-10-17 21:55:51+00:00,L7,333.25,333.08,319.46,308.68,319.64,311.67,325.64,,,,,,,329.75,336.39,332.42,336.03,336.50,327.64,338.86,330.00,326.87,324.62,330.67,322.11,327.02,331.69,330.92,337.39,,,,,332.22
2003-11-18 21:56:15+00:00,L7,344.51,329.48,328.92,325.60,323.03,326.96,328.73,332.32,332.43,338.03,334.50,334.66,335.57,332.35,,,,,,,,,,,,,,,,,,,,
