dates,sar2316-0000,sar2316-0001,sar2316-0002,sar2316-0003,sar2316-0004,sar2316-0005,satname
1984-04-13 09:26:43+00:00,176.33,174.62,224.62,567.87,397.44,177.57,L5
1984-05-06 09:33:03+00:00,174.61,172.26,225.36,569.05,397.03,176.94,L5
1984-07-18 09:28:46+00:00,173.44,171.19,225.82,568.45,397.06,176.84,L5
1984-08-03 09:29:20+00:00,172.03,171.05,227.32,568.22,397.39,176.86,L5
1984-08-19 09:29:51+00:00,170.80,170.58,227.10,567.83,397.35,177.31,L5
1984-08-26 09:35:45+00:00,167.46,169.03,224.62,568.30,397.35,176.10,L5
1984-09-04 09:29:37+00:00,167.90,168.53,225.07,569.18,397.98,175.33,L5
1984-09-11 09:35:50+00:00,167.75,167.90,225.29,568.78,398.55,175.06,L5
1984-09-20 09:29:40+00:00,168.59,169.28,225.90,568.26,398.65,175.06,L5
1984-10-22 09:30:00+00:00,167.47,169.33,226.91,567.77,400.49,174.71,L5
1984-11-07 09:29:29+00:00,167.52,168.94,226.88,567.36,400.57,173.60,L5
1984-12-09 09:29:34+00:00,167.26,169.17,226.88,567.36,401.89,173.60,L5
1985-01-17 09:36:05+00:00,166.68,168.47,225.90,567.31,399.95,173.13,L5
1985-02-02 09:36:09+00:00,166.28,167.71,224.67,567.29,399.62,172.69,L5
1985-04-23 09:35:59+00:00,166.70,164.99,221.55,567.82,392.96,171.34,L5
1985-05-02 09:30:07+00:00,168.29,165.62,220.63,567.05,388.01,172.53,L5
1985-05-18 09:29:40+00:00,167.27,165.47,220.59,566.87,386.17,173.53,L5
1985-06-03 09:30:04+00:00,167.45,164.57,220.06,567.66,384.96,172.52,L5
1985-06-26 09:35:47+00:00,165.01,163.52,220.10,568.27,382.11,171.05,L5
1985-07-05 09:29:57+00:00,165.27,163.71,220.57,568.41,383.97,170.75,L5
1985-07-12 09:35:41+00:00,164.92,163.34,221.23,568.90,385.53,170.46,L5
1985-08-06 09:29:18+00:00,165.05,163.60,221.76,569.43,391.21,169.42,L5
1985-08-13 09:35:25+00:00,163.12,162.11,220.58,569.92,385.61,169.52,L5
1985-08-22 09:29:08+00:00,164.72,163.06,220.55,569.28,384.97,170.71,L5
1985-10-09 09:28:35+00:00,164.19,163.54,220.43,568.89,384.47,170.48,L5
1985-11-10 09:28:33+00:00,162.69,163.20,221.13,568.92,388.71,169.94,L5
1985-12-03 09:33:55+00:00,162.50,165.11,221.19,568.76,390.68,170.36,L5
1986-01-04 09:33:20+00:00,165.13,164.97,219.95,567.88,389.37,172.61,L5
1986-01-13 09:26:58+00:00,166.06,165.19,217.78,567.11,388.20,172.78,L5
1986-03-18 09:25:58+00:00,167.08,166.37,219.63,567.08,393.13,172.78,L5
1986-03-25 09:31:37+00:00,167.35,165.68,219.18,567.26,387.13,172.19,L5
1986-04-19 09:24:53+00:00,168.59,165.39,219.14,569.88,387.19,172.79,L5
1986-05-05 09:24:29+00:00,168.59,165.39,219.14,571.64,390.92,172.79,L5
1986-05-12 09:30:29+00:00,170.33,167.05,220.28,572.22,391.21,173.78,L5
1986-05-21 09:24:03+00:00,169.66,165.82,219.51,571.98,387.45,173.53,L5
1986-06-22 09:23:04+00:00,170.27,164.34,219.57,571.93,385.11,174.90,L5
1986-07-08 09:22:57+00:00,169.42,164.92,221.03,572.39,386.61,174.02,L5
1986-07-24 09:22:23+00:00,166.63,163.66,221.76,573.37,383.99,173.79,L5
1986-07-31 09:27:55+00:00,164.88,163.26,221.44,573.12,383.62,174.41,L5
1986-08-16 09:27:20+00:00,165.63,163.32,221.51,572.84,383.41,173.80,L5
1986-09-10 09:20:15+00:00,165.63,163.32,221.51,572.84,383.41,169.80,L5
1986-09-17 09:26:13+00:00,164.83,163.28,221.20,572.70,383.09,169.59,L5
1986-09-26 09:19:45+00:00,161.31,162.48,220.65,572.27,385.09,170.31,L5
1986-10-12 09:19:38+00:00,161.70,162.59,220.29,571.90,383.11,170.22,L5
1986-10-28 09:18:41+00:00,161.70,166.03,220.29,570.82,383.40,170.22,L5
1986-12-31 09:19:14+00:00,159.02,165.80,218.34,569.37,380.08,168.82,L5
1987-01-07 09:25:13+00:00,159.14,165.15,217.25,569.66,377.03,168.31,L5
1987-01-16 09:19:41+00:00,160.08,164.57,217.06,568.92,375.12,168.56,L5
1987-03-21 09:21:38+00:00,163.62,168.27,217.85,565.96,379.64,172.35,L5
1987-04-06 09:22:12+00:00,168.45,170.00,219.85,566.84,383.12,172.37,L5
1987-04-29 09:29:06+00:00,169.25,165.76,221.61,566.20,389.64,174.24,L5
1987-05-08 09:23:35+00:00,169.66,166.34,221.75,566.03,388.25,175.02,L5
1987-05-15 09:29:33+00:00,169.00,165.18,221.34,567.32,387.05,173.45,L5
1987-06-09 09:24:23+00:00,168.01,165.13,221.39,567.12,386.28,173.36,L5
1987-06-25 09:24:44+00:00,168.65,164.87,221.26,567.08,385.58,173.20,L5
1987-07-11 09:24:39+00:00,168.96,165.58,222.68,566.15,385.79,174.00,L5
1987-07-18 09:30:57+00:00,167.59,165.02,223.11,567.53,387.64,173.38,L5
1987-07-27 09:25:01+00:00,166.96,164.90,223.22,567.62,388.43,173.65,L5
1987-08-03 09:31:25+00:00,166.87,164.05,222.63,567.71,386.13,173.18,L5
1987-08-12 09:25:31+00:00,166.66,164.21,222.39,567.70,385.51,173.02,L5
1987-08-19 09:31:54+00:00,166.52,163.61,222.22,567.88,385.01,173.14,L5
