dates,satname,sar2316-0000,sar2316-0001,sar2316-0002,sar2316-0003,sar2316-0004,sar2316-0005
1984-04-13 09:26:43+00:00,L5,176.33,174.62,224.62,567.87,397.44,177.57
1984-05-06 09:33:03+00:00,L5,172.88,169.90,226.10,570.23,396.63,176.31
1984-05-31 09:27:59+00:00,L5,,,,,,
1984-07-18 09:28:46+00:00,L5,171.12,169.04,226.74,567.26,397.10,176.65
1984-08-03 09:29:20+00:00,L5,167.79,170.65,231.82,567.52,398.40,176.91
1984-08-19 09:29:51+00:00,L5,165.87,168.69,226.20,566.29,397.20,179.10
1984-08-26 09:35:45+00:00,L5,150.75,161.29,212.22,570.66,264.68,170.06
1984-09-04 09:29:37+00:00,L5,170.53,165.51,227.77,574.44,401.14,170.73
1984-09-11 09:35:50+00:00,L5,166.69,163.49,226.86,566.00,401.97,173.19
1984-09-20 09:29:40+00:00,L5,175.31,180.34,230.77,564.03,399.33,419.25
1984-10-22 09:30:00+00:00,L5,166.26,175.03,233.75,563.52,412.17,419.23
1984-11-07 09:29:29+00:00,L5,173.39,166.38,225.81,566.53,397.23,168.54
1984-12-09 09:29:34+00:00,L5,164.89,171.24,380.02,375.02,412.47,419.25
1985-01-17 09:36:05+00:00,L5,165.32,162.04,217.92,566.82,379.68,173.39
1985-02-02 09:36:09+00:00,L5,163.78,163.12,220.77,567.28,395.38,173.80
1985-04-23 09:35:59+00:00,L5,166.11,162.15,221.69,570.66,380.02,169.61
1985-05-02 09:30:07+00:00,L5,176.25,168.79,216.96,563.96,363.29,177.32
1985-05-18 09:29:40+00:00,L5,270.55,296.85,225.63,565.63,497.77,554.26
1985-06-03 09:30:04+00:00,L5,168.35,160.09,217.40,571.62,378.92,168.49
1985-06-26 09:35:47+00:00,L5,150.26,164.91,220.35,571.93,395.34,163.71
1985-07-05 09:29:57+00:00,L5,166.81,164.84,223.82,569.37,395.17,168.95
1985-07-12 09:35:41+00:00,L5,162.49,160.81,226.49,572.83,396.40,168.43
1985-08-06 09:29:18+00:00,L5,264.47,,362.60,455.41,429.35,449.18
1985-08-13 09:35:25+00:00,L5,151.57,153.19,212.33,573.33,346.41,170.10
1985-08-22 09:29:08+00:00,L5,175.95,169.67,220.24,564.20,379.87,179.08
1985-10-09 09:28:35+00:00,L5,159.94,167.42,219.42,565.37,379.90,168.60
1985-11-10 09:28:33+00:00,L5,166.12,164.67,224.47,565.98,397.01,172.12
1985-12-03 09:33:55+00:00,L5,166.90,175.37,222.39,567.10,396.67,171.89
1986-01-04 09:33:20+00:00,L5,172.94,163.69,214.30,566.37,264.13,178.03
1986-01-13 09:26:58+00:00,L5,169.01,162.34,211.34,567.43,150.06,169.64
1986-03-18 09:25:58+00:00,L5,167.54,164.70,225.84,570.22,398.95,176.41
1986-03-25 09:31:37+00:00,L5,169.01,161.57,216.52,568.38,363.10,168.66
1986-04-19 09:24:53+00:00,L5,361.09,265.29,315.79,583.71,380.22,343.39
1986-05-05 09:24:29+00:00,L5,235.84,,428.40,583.91,409.57,419.43
1986-05-12 09:30:29+00:00,L5,176.58,174.65,231.26,570.62,398.74,178.08
1986-05-21 09:24:03+00:00,L5,165.61,158.45,214.93,570.07,364.93,171.99
1986-06-22 09:23:04+00:00,L5,171.19,164.97,222.83,566.65,380.29,181.48
1986-07-08 09:22:57+00:00,L5,167.03,167.76,224.49,570.56,397.07,171.90
1986-07-24 09:22:23+00:00,L5,149.45,153.54,216.43,576.18,363.08,167.98
1986-07-31 09:27:55+00:00,L5,152.62,160.48,219.25,570.92,380.26,178.74
1986-08-16 09:27:20+00:00,L5,171.65,163.79,222.03,570.00,381.26,168.96
1986-09-10 09:20:15+00:00,L5,,,347.61,396.33,,133.82
1986-09-17 09:26:13+00:00,L5,160.36,164.30,223.04,568.72,395.51,174.34
1986-09-26 09:19:45+00:00,L5,137.31,154.35,211.63,563.65,156.15,175.79
1986-10-12 09:19:38+00:00,L5,165.21,163.65,217.03,567.76,363.32,169.35
1986-10-28 09:18:41+00:00,L5,-78.90,200.35,438.42,318.67,452.80,452.19
1986-11-13 09:18:05+00:00,L5,211.69,,380.14,379.85,495.17,562.29
1986-12-31 09:19:14+00:00,L5,168.54,163.96,212.85,567.18,153.31,178.46
1987-01-07 09:25:13+00:00,L5,167.97,161.93,215.73,572.85,378.73,167.31
1987-01-16 09:19:41+00:00,L5,167.62,159.39,215.54,563.00,363.71,170.85
1987-03-21 09:21:38+00:00,L5,175.09,174.28,234.30,561.32,412.82,434.25
1987-04-06 09:22:12+00:00,L5,166.26,166.43,223.68,568.93,397.04,175.90
1987-04-29 09:29:06+00:00,L5,170.04,168.57,227.59,563.90,395.91,178.68
1987-05-08 09:23:35+00:00,L5,172.08,169.85,222.58,565.05,381.26,178.95
1987-05-15 09:29:33+00:00,L5,164.40,157.06,218.42,576.34,379.85,163.98
