dates,satname,nzd0262-0000,nzd0262-0001,nzd0262-0002,nzd0262-0003,nzd0262-0004,nzd0262-0005,nzd0262-0006,nzd0262-0007,nzd0262-0008,nzd0262-0009,nzd0262-0010,nzd0262-0011,nzd0262-0012,nzd0262-0013,nzd0262-0014,nzd0262-0015,nzd0262-0016,nzd0262-0017
1999-07-20 21:46:51+00:00,L7,,,,254.88,252.20,248.67,246.20,249.73,263.80,283.26,314.71,304.96,305.72,315.34,320.95,310.78,317.43,310.62
1999-08-05 21:46:59+00:00,L7,240.69,240.27,231.98,234.02,239.38,235.26,233.40,236.39,255.83,272.22,297.40,291.67,283.53,293.39,293.79,293.27,311.11,
1999-08-21 21:46:56+00:00,L7,276.12,259.97,248.53,250.78,254.31,254.73,255.49,254.08,261.53,284.51,312.48,300.62,297.48,306.29,313.83,310.29,323.00,329.78
1999-09-06 21:46:59+00:00,L7,312.01,298.51,291.95,301.63,259.54,256.19,252.41,254.02,261.84,292.95,322.02,307.93,308.41,319.34,327.39,321.01,326.62,344.63
1999-09-22 21:47:00+00:00,L7,283.79,264.20,253.64,256.40,257.69,265.45,260.66,261.60,268.21,290.02,318.90,305.98,298.13,311.52,320.22,309.40,329.27,334.99
1999-10-08 21:47:06+00:00,L7,312.03,289.59,275.53,283.94,272.00,276.15,264.31,262.18,278.95,297.80,329.45,309.66,303.61,317.17,324.30,318.87,323.73,330.34
1999-10-24 21:46:56+00:00,L7,309.94,289.42,271.33,270.41,267.92,269.77,264.70,259.40,279.79,293.00,330.84,315.49,307.28,317.46,321.83,318.01,322.38,328.53
2000-01-12 21:46:54+00:00,L7,288.37,270.54,261.11,255.44,253.20,247.96,244.23,244.04,264.38,281.68,312.14,304.63,298.45,304.45,312.15,304.23,312.95,306.90
2000-02-13 21:46:48+00:00,L7,288.49,262.31,250.77,241.83,237.34,234.62,230.15,232.20,248.09,270.19,303.05,294.10,285.68,294.57,294.24,291.10,292.76,289.06
2000-04-01 21:46:34+00:00,L7,278.42,270.94,260.40,259.03,262.51,252.81,250.36,248.43,262.02,283.99,313.38,307.76,305.19,316.49,321.69,313.53,323.20,327.37
2000-05-19 21:46:07+00:00,L7,236.50,261.24,250.01,248.69,247.49,240.53,233.91,236.80,252.13,268.93,299.16,292.54,287.97,300.35,309.02,303.64,309.46,304.87
2000-08-07 21:45:08+00:00,L7,271.35,260.83,248.47,246.58,249.85,248.43,240.07,238.44,255.16,268.97,299.46,291.77,288.32,298.41,303.93,300.49,309.80,311.20
2000-11-27 21:44:26+00:00,L7,,,,,,,,,,278.72,309.49,298.01,290.51,299.12,304.87,296.54,300.54,303.87
2000-12-13 21:44:28+00:00,L7,,,,249.83,253.29,245.84,244.56,238.29,254.13,276.71,301.25,291.10,287.72,295.12,302.51,298.33,304.94,306.36
2001-04-04 21:44:06+00:00,L7,298.68,278.50,274.16,275.13,278.05,282.17,271.56,266.95,281.87,294.72,328.38,315.43,310.91,321.19,328.20,322.73,330.57,335.60
2001-04-20 21:44:10+00:00,L7,303.05,288.54,273.89,282.10,275.67,280.36,263.37,262.58,279.51,298.45,328.44,321.72,309.15,319.67,324.78,319.29,330.48,337.66
2001-05-22 21:43:54+00:00,L7,,257.25,257.22,259.63,258.30,260.77,256.45,250.09,261.50,280.10,311.45,295.94,287.71,300.98,313.89,313.32,317.59,315.73
2001-07-25 21:43:18+00:00,L7,,238.46,234.50,232.93,230.09,226.25,219.83,222.94,237.22,265.66,291.43,276.97,277.44,289.73,294.16,289.66,293.53,
2001-08-10 21:43:00+00:00,L7,272.17,263.32,246.78,245.97,245.55,239.91,238.91,234.36,254.51,275.74,307.31,293.19,287.74,297.15,306.00,299.17,308.46,307.12
2001-09-27 21:42:29+00:00,L7,305.45,283.42,275.05,283.17,280.21,281.13,274.55,269.27,280.76,292.30,330.40,314.36,309.63,324.26,330.44,322.35,329.12,334.53
2001-10-13 21:42:15+00:00,L7,294.21,271.72,267.78,273.88,277.04,275.83,271.09,264.04,278.84,295.20,328.60,310.91,300.65,313.30,319.26,315.85,323.81,325.31
2001-10-29 21:42:21+00:00,L7,284.57,259.89,264.03,270.61,261.41,262.27,251.85,258.35,269.78,283.12,319.74,314.75,304.64,319.36,325.16,321.20,327.85,331.01
2002-01-17 21:42:52+00:00,L7,289.35,270.84,268.80,265.40,266.37,262.92,245.66,248.08,261.04,284.29,313.66,304.41,293.36,301.55,312.90,311.34,319.55,314.42
2002-02-18 21:42:54+00:00,L7,279.11,262.86,253.47,243.79,242.54,233.60,229.91,230.95,250.61,266.17,302.68,292.79,286.80,296.45,304.79,300.76,307.75,302.50
2002-09-14 21:41:55+00:00,L7,291.41,274.68,262.04,262.61,259.47,258.63,260.15,252.64,262.76,284.83,313.59,296.15,287.34,300.99,309.78,303.63,315.18,311.27
2002-09-30 21:41:47+00:00,L7,296.60,278.08,263.65,265.12,260.70,260.95,257.99,250.07,261.34,284.36,312.11,296.11,286.31,301.52,309.12,302.90,313.00,312.44
2002-11-01 21:41:54+00:00,L7,327.39,306.18,293.53,297.10,293.06,289.58,277.34,269.08,293.01,318.03,332.03,309.28,296.99,308.39,315.87,307.47,329.86,327.04
2003-01-20 21:42:33+00:00,L7,292.93,270.44,261.15,258.61,262.53,267.83,255.74,246.97,264.00,284.32,310.21,296.84,285.51,297.30,304.99,301.79,311.17,306.30
