,dates,chi0202-0000,chi0202-0001,chi0202-0002,chi0202-0003,chi0202-0004,chi0202-0005,chi0202-0006,chi0202-0007,chi0202-0008,chi0202-0009,chi0202-0010,chi0202-0011,chi0202-0012,chi0202-0013,chi0202-0014,chi0202-0015,chi0202-0016,chi0202-0017,chi0202-0018,chi0202-0019,chi0202-0020,chi0202-0021,chi0202-0022,chi0202-0023,chi0202-0024,chi0202-0025,chi0202-0026,chi0202-0027,chi0202-0028,chi0202-0029,chi0202-0030,chi0202-0031
0,1985-07-27 14:08:05+00:00,195.75145220766956,207.74965469789365,202.08294120380165,202.4982018113841,197.64642381547816,196.4160616046536,196.83086630171348,199.71120962088614,202.07306151672253,203.65785413763902,204.57563419400933,215.92184307822626,212.6163453801088,198.90760494797817,202.39311040465134,213.3737590025245,223.1495374527352,218.62528022157304,219.79953762430745,222.67682006022645,219.53754490878967,222.1904677552632,226.46264120015056,229.82455433857797,229.08956945267892,237.2211231869648,238.24559159262878,240.46729777685974,250.3930014192566,256.7861381479482,262.65941295444145,261.55049400333996
1,1986-02-04 14:05:11+00:00,203.16055803844168,201.21852357402202,205.7785217853594,199.4510936141364,195.76745172598092,191.93006973741154,191.63177164824316,195.35352413934112,195.8688173838561,199.2941294989242,211.4666403906578,219.56866410667024,204.39649218543119,193.05419227052363,199.74240157916253,213.26130765292024,223.94944489783234,222.7928948519815,221.929526590179,223.30981424568165,220.98552686467488,226.9999552420287,230.12886930917495,236.83081386985697,233.2084777865223,235.60246320633422,239.41261160458217,247.53438348187018,253.27529150226133,257.1364967355942,269.24245380068095,269.58380897589734
2,1986-07-30 14:00:28+00:00,192.69951311453656,199.76114627756382,206.55711558448505,203.42461998677862,200.80838174636813,198.60198952825994,193.97873034056258,195.05861273880825,203.47739191841663,205.7501284866235,207.58836568242702,213.7082125261114,210.99008295079176,202.94121423674235,199.45296680325905,216.55458341448247,229.34722831116676,224.0847200324228,217.99248645877805,224.83322975896584,219.77537889122812,224.4660581127899,230.58942687266278,234.1263062170474,239.08670362900105,246.00455899944353,247.34350373792512,243.50570468488777,249.27363171414692,259.7340110244195,260.318573331027,261.80040316128503
3,1986-08-15 13:59:53+00:00,194.34105858485972,200.41054499281623,204.35723327877116,206.1217100993319,204.2009702149266,200.89249970663667,201.4104648583606,205.55814327671794,209.08307375687505,210.26439587893563,207.82834435455777,225.19243641028666,217.91746165394883,205.5785361723064,204.79645722512086,219.63888992416548,226.8971494086482,227.12072118317266,227.41537501259285,222.02288085044282,222.51949744245402,226.63969699791895,230.90054757316986,231.5962075251596,237.06817730240894,247.47783738085204,247.69279689283618,245.74987030512938,250.34299713849015,257.0286168953032,263.4631831561552,264.31802963241415
4,1986-08-31 13:59:17+00:00,194.49659063795136,201.77328162784167,207.66988199626627,206.05621356822076,201.1719144190435,195.15730171469966,192.6166335703871,196.4968366856729,204.718473523139,207.7040275801969,215.77247557402433,220.21021749181747,216.68875482277036,207.4682566812189,210.10298006505712,220.7123621456474,232.40918309219765,229.78402665753848,228.9420170290819,222.28003645706795,225.01986540499442,225.7689244478694,233.18412972335307,234.55655817736871,244.0278568897852,245.40366434758076,245.89243166091137,243.07729020397406,248.96779161578684,249.87951449949676,261.56547546649716,269.0688014589362
5,1986-09-16 13:58:46+00:00,197.6323530422082,209.21755651054352,213.72711594299125,218.4753947337648,210.06865248785795,211.70138496104107,208.3900927833417,208.09544250646366,215.03817012716289,216.13676320233654,220.30910854586526,226.4072089274302,217.76740854983709,211.22878486081845,219.03607998305233,224.10323883932344,238.43928311304774,235.51775428721814,235.460782084246,224.94529030604,233.5358183446276,237.34832423173387,235.08876167629805,244.6415673617184,250.68980917749082,251.05380338415623,256.6034982949156,252.05153646992272,264.68728427826255,263.61405064376197,272.2383453509268,275.4413214231822
6,1986-12-21 13:57:14+00:00,173.82070141295418,190.48583962912937,198.1131733593723,194.98093801962722,187.13588545934346,176.9817234135621,181.4313700766408,180.7143631861917,190.62408739669237,189.13936939035912,198.10894452810948,208.05514956760481,197.84228079770045,188.66385336778814,196.10506271679932,212.4899899717858,214.22391576383478,215.62434987837466,209.8221716904843,213.5358332432207,211.54671785745276,223.54737667477045,224.8373510383498,230.71880185465258,229.8753073057508,235.0066090470098,236.2583485474234,237.56333698537847,244.13895100698193,249.83218268380816,256.001232354622,260.2916825197799
7,1987-11-06 14:06:08+00:00,198.02549200724036,206.34785398407152,207.3229651245132,210.710191781315,203.37718653610904,197.65858799524005,196.39328000581557,206.25427134183215,209.7950544354675,208.86119332294834,215.18445640158293,214.26344861801385,211.9055451953685,202.78875062153762,204.64465176315733,215.97133742561755,232.54446527096565,229.69552406984084,227.64279979970223,223.57228519411467,227.16804236104545,227.1997232654041,225.27127834454288,235.2782770002447,238.5133879381978,246.0352114071444,253.22531140138068,249.1571036286199,255.30839579193952,254.3242054279393,261.83616970537923,264.02972587515654
8,1987-11-22 14:06:28+00:00,195.8255184253781,200.92121908913887,209.9074259966147,211.46365420534826,200.5889535757668,200.40079338098437,198.72375780556894,198.9152209504127,199.93597494375408,201.2798668860394,207.46107776045744,219.80579000810863,212.22213749419808,205.91861347138294,208.406632926916,220.80280673883306,227.47350298890044,222.88030386783038,224.76976145532456,219.34248322922795,216.8909912325897,222.13143787498797,219.21228244772777,230.87175022945956,237.07278034670122,241.4020398824335,241.57930575347794,246.5841014262586,251.89092879332517,249.74975288051752,260.19472151856615,260.1446091354444
9,1988-06-01 14:08:45+00:00,193.8325065159831,205.32224549216474,210.2089056503198,213.0046798687058,201.1697332620463,196.68180708595168,199.8912753181456,206.88759869331457,206.60090324870464,211.0441899613612,218.03820832994893,222.73539392533743,213.7355457614726,206.81948538997577,215.2043023576224,226.26936618932888,232.58309381531743,227.5510067737287,227.48476224658182,228.71685677091284,229.80676687236985,231.31739966701352,230.1121819601952,243.59530768447044,243.50014216704497,244.07892552280276,245.39792269087854,246.1169131521282,253.75811811944297,255.9227092168174,264.5160696545645,268.2579687980499
