dates,nzd0066-0000,nzd0066-0001,nzd0066-0002,nzd0066-0003,nzd0066-0004,nzd0066-0005,nzd0066-0006,nzd0066-0007,nzd0066-0008,nzd0066-0009,nzd0066-0010,nzd0066-0011,nzd0066-0012,nzd0066-0013
1999-08-26 22:04:44+00:00,177.36272946004323,164.91930628186608,154.7631071306201,170.08606722985152,192.9831304447424,199.18476641941385,194.14308212201752,205.91701175982897,210.17848096490144,204.4272133623094,201.5093269566145,201.57371214601815,197.20604070538153,199.10837431166337
1999-09-27 22:04:25+00:00,180.3226575982173,166.80980289457835,158.9062505447739,172.3464048070217,191.92787475377264,200.2485414457324,199.2566500349544,204.27919781896279,209.7034823800732,194.84742709725998,205.18901985653423,198.57638402950775,190.16041345137444,197.85816115523485
1999-11-14 22:04:18+00:00,178.6687289722167,163.27276028356795,161.11687088443915,174.10661148334893,191.8106351163226,198.0760514766341,200.36938682884917,202.5235311318553,211.64130311369584,203.48390995511943,202.93962602833017,198.91489491780263,189.77204613118028,196.95674678286386
2000-01-01 22:04:37+00:00,172.21655075679007,157.143737975779,152.51930770077638,163.5774749637466,184.35567389989467,188.6143719010132,189.36350852241495,191.8404896915571,198.9425515881103,196.34826429793677,192.9310578477041,188.55153592181094,185.1269011104373,189.56238351798117
2000-05-24 22:03:46+00:00,171.42956112796074,165.12564659762927,164.88208066663103,172.05530798720264,196.63377665171467,199.40530817669097,196.51399686661415,207.30103227482823,208.99921749641456,208.2944884513868,202.94507532417103,197.00236369476116,208.63651992805896,202.67349027669235
2000-08-12 22:02:54+00:00,173.77152566925633,156.52476922622913,159.6201957015004,168.23657355728173,195.14474191306465,198.46647467430466,194.4699155354433,202.59584693592623,206.02584602073148,204.66020217315963,200.21481392820036,202.81757318068748,200.60775550187847,199.1712712508028
2001-01-03 22:01:48+00:00,177.444127861742,164.98560450594692,161.39987889518568,169.0416805847615,193.29726797062364,193.50618186595358,187.8863591875261,202.70663334284063,200.68842468953747,198.11457166788804,198.14316846670246,193.1920659195831,199.01649922995577,196.2059173597104
2001-03-08 22:01:45+00:00,173.4914078415228,159.18062124785686,158.5520486258949,168.16214328655866,188.21792044560036,191.201944864052,193.1106895177313,198.74907077138306,200.81974668202267,189.53796438000361,197.62099542323122,194.45455144024098,189.22265639298166,194.92967882207617
2001-07-14 22:01:09+00:00,182.64374291059298,165.89266827613466,166.37901882859722,177.38642002699578,201.2478692800864,200.06041912360368,200.3681787169838,208.7162836135455,207.01218529385926,204.35189493680377,204.8309193927222,196.7954637630917,204.84390184932735,198.53750147040233
2001-08-15 22:00:14+00:00,180.84876734247788,159.66096817158964,157.9736241023468,164.36348217507742,193.03862615953693,193.0288201852732,186.5339097185085,199.06752184855898,204.97792126869172,200.06917293407184,202.79591364971913,195.0930589228763,202.2154706324638,201.57816220027794
2001-10-02 21:59:40+00:00,,,,,189.60402669640143,185.87748705210336,185.89957683685503,194.72726935288054,186.41579747363164,181.77332772596338,183.67746812915678,188.77986054310514,194.25519723750713,195.17984656361793
2002-01-22 22:00:40+00:00,180.6301144341566,162.4892156636999,163.0522334898748,170.8748051148118,191.81787043099632,193.21688133601407,194.73217196935803,198.35248060199532,208.64324348288514,204.8097091151623,200.42867889999602,199.64954387811383,201.55699683594756,197.32332093191292
2002-03-27 22:00:13+00:00,167.51306437240518,157.9206578525079,150.44978337693803,162.0907723067623,180.7790693152197,184.9745638949737,184.4150430967108,194.24551004654143,194.4341547401962,190.6192434105317,186.92345032575827,190.26664181177333,187.73981372545126,192.23782500544505
2002-07-01 22:00:15+00:00,178.5756583562712,161.77531206112727,155.57212405207844,168.43464884531483,190.9838661525278,194.44071842544741,193.5614190679864,202.47020348855807,210.27939176397336,202.78520435293578,201.42557011893814,199.85425244746367,190.6249732267708,194.58417187354968
2002-07-17 22:00:08+00:00,190.82647783298674,162.85923583230246,166.0716266889277,172.095014099009,200.17147649147583,199.17160219136088,191.08544566318068,201.32163824414067,211.07771737556064,205.79602276271663,201.8939722721527,199.4453341157549,204.70624304677577,206.37484335329123
2002-08-18 21:59:33+00:00,182.85736018332716,161.4296251285446,155.21780734931582,168.7567061917794,190.89935799436208,190.2930790082645,191.4719507655322,199.22686339487046,203.15938516210676,203.39584795941917,200.18979522116322,192.4278439009582,198.94386001230214,192.47935968757164
2002-09-19 21:59:11+00:00,173.45325235453063,159.6556605727021,153.41801900807755,163.2527137473894,184.1852168199109,185.96891244121636,184.4699823902209,192.9164031932088,194.4536716469093,195.226967256404,193.2489989252139,190.7473215882379,188.8627330553646,191.15467072387517
2002-12-24 21:59:45+00:00,188.74838212766088,168.79316788313452,160.60924241857245,177.43751287827507,189.68537344229503,194.218785848629,198.22124006807817,203.70526678978982,213.6703216646629,198.7048554698946,208.60891913923805,204.1353292713314,197.15004624322995,202.18043441703665
2003-01-09 22:00:09+00:00,171.71392178790234,163.9302840086063,153.60656302397564,166.4702369430769,186.81065117903864,194.26585259235316,195.784667806046,199.17413032368498,200.22770371590863,203.30113606698583,195.17883779246063,192.33567002727293,200.230709714989,195.2936486993377
2003-03-30 22:00:31+00:00,173.18316145849388,160.1775921037305,154.36839032362366,157.2346557064627,185.6496219525036,186.04933701227773,185.34274814193688,200.32605282999745,197.87198554216232,199.1574642428012,197.2455135169173,192.7955231442829,197.8838264223106,195.07523763892078
2003-07-28 21:48:28+00:00,167.3696164182775,152.5460357893667,142.8821099090842,158.4990252268506,178.4797954649413,183.51650018116447,188.3223193793874,191.94910704551185,202.07047231867315,195.40862719212595,190.29375301855913,193.6095717670637,194.41190271806056,195.2154875354944
2003-08-05 22:00:11+00:00,181.39272768705382,161.9058008447751,165.05744606766024,171.30763679836608,,,,,,203.9961608270833,201.52534447811755,198.81385199608462,205.29391273178538,203.53181268072905
2003-08-13 21:48:21+00:00,170.19693236469377,148.85872802960944,152.2796863369548,173.99769155405232,189.91870660870103,195.14288829781796,191.99737542874124,201.04025023458857,203.4430390850418,193.33910010415173,198.56599723760678,195.62068614030622,191.60656579526994,195.91374030059464
2003-08-29 21:49:02+00:00,176.02316156782712,162.24648513171613,157.42629678448688,174.44700417182287,195.478791550743,197.49322172012543,197.40242433896256,203.17976905284195,200.74190693812932,205.24137190399568,199.08863258077656,198.86369228401048,206.82538682538566,205.9378144038098
2003-11-25 22:00:05+00:00,,,,170.8253509911714,184.0960363862839,181.47955449580874,187.3838264910153,186.92767382366426,190.9148848512535,188.4063221810647,183.44142223001762,187.64822233723413,185.2579931762026,189.92247592323318
2004-02-05 21:50:41+00:00,186.49151684439306,170.26587043563782,167.82173417822924,180.56165618682337,198.60120027020196,200.62756289443908,198.97993251748784,204.060834545181,210.70870681498414,199.34506605021014,205.02249227538974,205.98718102263612,198.91544956509196,201.22715564985603
2004-04-17 22:00:57+00:00,171.9567735260874,160.26197472747637,152.2528253046605,160.77278640810752,183.64161616649372,,,,,,,,,
2004-07-22 22:00:20+00:00,176.3970194410768,165.76835299230564,159.881307774974,169.56823758509887,198.19965293271667,196.26114239770789,200.37629290489025,209.40795586393045,208.63460534048332,209.2059585898585,206.0651664198739,198.1152024117859,211.96527892333995,203.1808946985216
2004-07-30 21:54:28+00:00,177.18646248234512,163.87899043160613,161.9012973977332,165.91137417853943,191.37595193891207,197.17630722810065,194.44028067059736,201.70804047538942,204.80029309394328,200.89003914273076,202.1459819570091,204.05749520921938,201.55717840835342,201.4026479955814
2004-08-15 21:54:49+00:00,174.41343795758112,160.6295358204762,155.15343169783569,167.5311785666933,190.19751408582425,193.6195121668752,192.37555330539573,196.66776173131265,206.44318835309065,195.0872094018043,199.4984143186456,196.86930016840734,189.98682498232304,195.6132578871692
2004-09-16 21:55:17+00:00,183.63766626132949,163.15516191558174,158.1254488640645,176.26431839544486,191.8268374368225,193.33282572829646,198.32281481807604,201.02916382529992,208.1145583206353,220.67053781813902,205.42765965956067,198.59640968919047,196.28312953157857,200.63610276954586
2004-11-19 21:56:31+00:00,167.02297204766617,,,,,,,,204.1722227122985,205.45582298977004,201.43161367932836,199.04195739307144,200.0555726547273,197.08079941301284
2004-12-13 22:01:00+00:00,175.30886583954532,165.1327061246133,161.9563544113664,179.2214429234099,191.0059382366295,,,192.9039088598146,196.41186074935862,,,,,
2005-01-14 22:00:49+00:00,178.58825402274567,166.02294463648224,160.98331493847525,175.58250357842977,189.31210773599418,196.22501425744127,195.67479862238096,199.56050168233176,206.00162020791288,,,,,
2005-02-15 22:01:25+00:00,,,,,195.3967338391007,194.99156878574027,193.63310540543472,204.29612914912917,203.78809502315244,204.32827574896666,202.73762379067537,194.39557643350335,204.94842042321818,198.14116037557653
2005-02-23 21:58:31+00:00,177.04906740069006,165.1035686348554,161.0346993818998,169.2866640779124,192.77494145393973,189.1091843904363,193.8898445371574,199.3171937364903,196.4540777174701,202.13028036064833,194.6673918588338,196.26129842961063,202.29136622709075,200.2978845969032
2005-03-03 22:01:06+00:00,,,,,194.7836934690466,193.99659628670474,194.4099184303733,199.37664133702884,207.0249860701577,204.9647522514244,201.28167963152862,193.6295446010297,199.1293748184728,195.30175931101303
2005-04-04 22:01:27+00:00,174.83316279995432,162.16972597827964,,,192.32189732296,195.99765052851131,188.64389415342757,198.90115570938897,202.96873200452936,201.7986759360664,200.56596410380902,195.83897954279072,202.8090424731993,200.27881742094303
2005-04-12 21:58:31+00:00,178.0929229542923,159.8140999379391,157.81933866681524,173.40962047687862,185.84176591883397,174.79428698417985,169.9876761163852,184.9056879084569,189.13093499491595,193.84502829173968,204.33274402329502,203.9086533663352,206.5139659008204,209.92986155888224
2005-05-30 21:58:51+00:00,174.0034797896836,165.57799038302343,160.57918830933204,169.9677559372395,197.06387768891904,198.29252515579708,195.78559385644664,203.74242068922229,203.4879371825296,204.72421438747384,203.63879804732449,196.89055698657316,205.53782035723322,203.78432797812852
2005-06-07 22:01:19+00:00,,,163.95071249472616,169.2304252804576,192.43941657075607,198.3632294131029,199.16092560097965,203.83680185550966,211.07078721423397,208.77142092575033,203.85592293574894,198.12002705284047,203.26299796716182,198.43110544248177
2005-07-09 22:00:50+00:00,175.4220352429144,163.39611205620662,155.49337949937126,172.99330278298194,191.6823879939293,198.48261918447602,,,,,,,,
2005-07-17 21:59:11+00:00,182.15011634066423,171.04481549515395,154.84578872900755,165.17547758803732,192.12181457444095,192.4448850291425,190.16457737720123,203.13851248342232,198.690330796327,199.2851152709796,201.2123969288809,199.31132938292023,202.0970696065499,197.38778666149202
2005-07-25 22:00:49+00:00,185.0540640804678,167.4644334395522,165.328326102492,179.04657240815766,197.9556163790729,202.890879877083,200.68007973829705,209.67300301974873,209.88933947499868,203.2346471876782,205.08500616482982,202.77008452344873,202.1908904861009,203.01002203890005
2005-09-11 22:00:53+00:00,,158.90346384624195,157.3812469565671,165.77778378597267,187.5919950415356,193.27031702399816,192.67555341822617,199.01944264263392,201.8399304897143,195.00896948580947,196.44936502385187,195.05442843734912,194.5825105222618,197.6202425624635
2005-11-30 22:01:00+00:00,176.1894813413444,,,,198.09455089554308,196.00047362282842,195.46528264064608,206.29954569370994,201.75817886393722,206.85294948328416,203.08711739283268,195.2648937141598,206.9044305635639,201.37282458522398
2006-01-01 22:01:10+00:00,181.21447771293305,163.2718344561987,159.9292248114466,178.10258355939914,191.2898017293557,196.2065070417604,199.70536334565932,202.71956081930506,198.7711193961257,206.5441403870905,200.75256239139307,196.44373129272222,201.7744834329681,200.0065257487835
2006-02-10 22:01:51+00:00,171.94163767090606,157.03897951419438,159.67268144379142,168.1784962183055,189.64361454675705,192.4501015844937,191.50600171529268,195.83093479538684,206.7133560623113,204.40841933182364,203.00630423418653,203.40631400550726,203.73729902071204,202.0709621694902
2006-03-14 22:02:31+00:00,165.64539889300545,148.64346798380953,146.96585969967757,160.78565566445226,175.2283288426342,175.34250127924344,173.78500923565332,175.78075944464618,183.9000251219373,181.9661438675189,177.39976449033418,188.0088953778903,188.3532120989567,191.8771349900593
2006-04-07 22:01:27+00:00,172.7506948738842,157.37297288719327,156.12935967564567,165.89712660822514,192.2972047666589,195.4661302382993,195.2296245090049,202.75674536792724,206.1373349970422,199.82144205237253,197.9719189948094,198.0238690061992,199.31034317497813,198.11657289401157
