,dates,per0017-0000,per0017-0001,per0017-0002,per0017-0003,per0017-0004,per0017-0005,per0017-0006,per0017-0007,per0017-0008,per0017-0009,per0017-0010,per0017-0011,per0017-0012,per0017-0013,per0017-0014,per0017-0015,per0017-0016,per0017-0017,per0017-0018,per0017-0019,per0017-0020,per0017-0021,per0017-0022,per0017-0023,per0017-0024,per0017-0025
0,1985-09-03 15:03:06+00:00,203.89324299724314,195.4944311982873,202.7782098072882,214.02556331545452,217.55148350100603,219.20283941461983,237.7546045103612,256.5062520957472,260.9264405276094,249.61106883490214,237.38784848791371,229.31548111669758,231.77691168083786,240.66467026206794,248.87037462101773,242.52364051480882,240.48517089278505,240.19778532864302,243.61262698724562,231.8256124182568,231.93481085280868,235.56067567672997,217.0935594981517,215.46887302128366,223.30183542015715,237.4799910672658
1,1985-10-05 15:02:44+00:00,220.80095546102243,207.7515754127598,216.57938220641748,222.664838402872,218.514687948181,222.44593223755837,239.54189787801207,256.264772133873,261.0418539917438,246.10114734022812,236.475845883737,230.88085634358336,229.8991604674857,233.54830365382242,240.9184323367957,235.57878281855147,233.78899121651068,234.5175219666679,235.1858882183895,226.76663483161903,225.99752697861706,230.94011403758793,210.97152799916338,212.8134893971299,219.71255549250174,234.11520636482317
2,1985-12-08 15:01:45+00:00,202.34194058508496,201.22769760434076,208.56812555688236,217.45500021776223,199.93918004441258,,215.5023311948244,234.33080421348856,230.54593654125438,218.99487080210082,214.99824447163704,214.94772657229723,211.8403336464765,214.8842062793224,223.16414324562126,214.9541150601237,208.44947205995172,212.71939035954082,220.47840683452372,206.82352883426043,207.9099672296623,198.23768340596595,201.60348403963778,206.88464382233204,203.2085655567956,200.88601355997338
3,1986-03-14 14:59:46+00:00,209.04087224953557,199.3011692711273,199.76386832622688,213.66606895572772,211.0025145013045,218.89691814046984,240.50239043823322,254.70886813872673,250.3799405210031,242.45137196895206,244.15654481550484,244.99176472684715,246.22314997641433,247.2453370930752,254.7951689929707,244.73805891987942,232.04256005957475,224.23546435508302,220.09913705298723,206.27354552443495,190.78457446950725,179.63037493916238,175.88980544387093,192.8457241983861,182.15698479749017,181.01373630475808
4,1986-05-17 14:58:17+00:00,202.76119743069552,195.16978348790087,209.2199852516039,218.40227488552196,226.7931019395234,231.35678601393946,253.50479169587337,263.43237108326434,267.2213748951467,250.90562343283992,245.08129587282667,250.21851518095386,248.19737226537404,253.5289791526617,248.77826818633258,241.83814579570324,234.09556324975821,231.63756018450425,226.01046123309774,202.34539009975373,195.55919756396509,200.93848806532446,190.73958617031832,196.39693819970466,190.53638890607937,209.64326992211073
5,1986-07-04 14:56:48+00:00,199.36329772921894,192.30021795239296,208.01494241559573,219.06440309565502,218.0024457080984,232.69791736119126,257.39449133568576,270.01353890482943,274.8814995650381,261.64052827217176,255.60547503752366,259.6194708091211,258.51804553852935,266.92821900733264,264.27935330302927,258.31380748472907,250.23534242379878,243.86784891501782,243.11556297970498,222.39629635919331,217.2086910812838,213.72451951267635,207.4530206050443,203.82920435462216,212.47408899952276,224.8482375203392
6,1986-07-20 14:56:15+00:00,217.7999197683862,199.65902046094521,211.35895411528477,221.0907919869288,218.80351750229855,231.64114314418958,254.7249621832945,282.36308189798723,282.5953939521465,267.721837730761,263.8500750204925,261.8311233135402,262.3293089885306,266.27071625622705,267.1824667726681,260.3649131719825,244.5413915127218,239.039449386968,237.34897450682863,229.36054086364297,225.74074897086967,226.75905407910759,212.79547752820133,211.50559211308075,220.93020507516906,234.42002981528663
7,1986-09-06 14:54:29+00:00,213.5204092967931,194.53883926215929,207.84607630220836,213.71212755173087,211.92053840995945,218.84901093968335,243.7401601446484,261.27983824324855,266.0152093642399,253.35108449370068,242.48919414098242,233.0296853390041,233.83694900631238,244.13972061655687,246.3033101845447,234.44168992615454,227.0744689076025,228.2543210171644,233.58212994568333,217.40659249926904,218.4099839742433,219.2623762649125,205.68360655923053,204.10279729359166,219.44633724089107,236.038001612959
8,1986-11-25 14:51:54+00:00,220.10617329237684,203.11018121116956,218.13762474022522,222.00381796802765,221.86844844981337,230.5004769273128,251.4399820873911,262.3323324621308,259.7944803940277,247.58757166634325,243.7816809968339,245.69727625536066,250.19121673241833,255.06289484405477,256.39524085837314,245.9414670837351,237.1193666996538,232.39559771489672,239.60680683895148,227.56711393170747,219.97899557428548,209.94489104613868,205.91768631326568,212.63390599118878,211.53504910799901,227.13167811085674
9,1986-12-11 14:52:20+00:00,216.39533219600702,210.89661577272136,218.339318818349,229.75562167112233,225.60500271035107,232.54935451649467,245.8250994944972,256.8887342046591,257.93818864525383,244.5761188141855,244.89931715982473,246.64782462359994,243.47456080487828,247.65311565572316,252.53308401170034,247.0161802484447,238.1889971824928,235.21979206158093,237.03861997494053,225.48154550444093,220.19905776247222,205.40981945973618,202.7410703397281,206.92872461648716,200.8528355137737,206.42933924022276
