,dates,per0146-0000,per0146-0001,per0146-0002,per0146-0003,per0146-0004,per0146-0005,per0146-0006,per0146-0007,per0146-0008
0,1984-05-06 14:44:27+00:00,,,,,,,,,
1,1986-04-03 14:36:38+00:00,,,,,,,,,
2,1986-08-09 14:32:48+00:00,,,,,,,,,
3,1986-08-25 14:32:12+00:00,,,,,,,,,
4,1986-09-10 14:31:38+00:00,,,,,,,,,
5,1986-09-26 14:31:09+00:00,,,,,,,,,
6,1986-10-12 14:30:38+00:00,,,,,,,,,
7,1987-02-01 14:31:12+00:00,,,,,,246.8353616031473,,,
8,1987-04-06 14:33:36+00:00,,,,,,,,,
9,1987-06-09 14:35:23+00:00,,,,,,,,,
10,1987-07-27 14:36:25+00:00,,,,,,,,,
11,1988-05-10 14:41:17+00:00,,,,,,,,,
12,1988-06-11 14:41:30+00:00,,,,,,,,,
13,1988-06-27 14:41:35+00:00,,,,,,,,,
14,1988-09-15 14:41:41+00:00,,,,,,,,,
15,1989-04-27 14:39:44+00:00,,,,,,,,,
16,1989-06-14 14:38:51+00:00,,,,,,,,,
17,1989-07-16 14:38:17+00:00,,,,,,,,,
18,1990-02-25 14:32:08+00:00,,,,,,245.02164475832018,,,
19,1990-05-16 14:31:13+00:00,,,,373.6858124597183,,,,,
20,1990-06-17 14:31:06+00:00,,,,,,,,,
21,1990-07-03 14:31:05+00:00,,,,,,,,,
22,1990-08-04 14:30:57+00:00,,,,,,,,,
23,1990-08-20 14:30:53+00:00,,,,,,,,,
24,1991-04-17 14:32:53+00:00,,,,,,,,,
25,1991-05-03 14:33:12+00:00,,,,,,,,,
26,1991-05-19 14:33:26+00:00,,,,,,,,,
27,1991-08-07 14:34:28+00:00,,,,,,,,,
28,1991-12-29 14:35:16+00:00,,,,,,,,,
29,1992-01-14 14:35:12+00:00,,,,,,,,,
30,1992-02-15 14:35:04+00:00,,,,,,,,,
31,1992-05-21 14:34:33+00:00,,,371.9327749464817,347.8583415107662,,,,,
32,1992-06-06 14:34:26+00:00,,245.2103263161351,410.73357128488055,375.0807993818838,,,,,293.0615286131112
33,1992-06-22 14:34:13+00:00,161.89668587138024,243.1319372120089,,412.95325271132924,,,,,306.5759034207738
34,1992-08-09 14:33:37+00:00,,,,,,,,,
35,1992-08-25 14:33:20+00:00,,,,,,,,,
36,1992-10-12 14:32:28+00:00,,,,,,,,,
37,1992-10-28 14:32:19+00:00,,,,,,,,,
38,1992-11-29 14:32:03+00:00,,,,,,,,,
39,1992-12-15 14:32:14+00:00,,,,,,,,,
40,1993-01-16 14:32:36+00:00,,,,,,,,,
41,1993-05-08 14:33:24+00:00,,,,378.65231824845984,412.05773176144675,,,,
42,1993-06-09 14:33:29+00:00,189.33104729790242,,,417.55938725229646,,,,,
43,1993-06-25 14:33:24+00:00,,,,,,,,,
44,1993-07-11 14:33:21+00:00,,,,,368.65112953521464,,,,
45,1993-08-12 14:33:20+00:00,,,,,,,,,
46,1993-10-15 14:33:08+00:00,,,,,,,,,
47,1994-08-15 14:28:15+00:00,,,,,,,,,
48,1994-10-18 14:26:30+00:00,,,,,,,,,
49,1994-12-05 14:24:54+00:00,,,,,,,,,
50,1994-12-21 14:24:24+00:00,,,,,,,,,
51,1995-04-28 14:19:19+00:00,,,,,,,,,
52,1995-06-15 14:17:07+00:00,,,,,,,,,
53,1995-07-17 14:15:40+00:00,,,383.33770363474235,,,,,,
54,1995-08-18 14:14:13+00:00,,,,,,,,,
55,1995-09-03 14:13:28+00:00,,,,,,,,,
56,1995-09-19 14:12:41+00:00,,,,,,,,,
57,1995-10-05 14:11:51+00:00,,,,,,,,,
58,1995-10-21 14:10:58+00:00,,,,,,,,,
59,1995-12-31 14:19:22+00:00,,,,,,,,,
60,1996-05-16 14:22:06+00:00,,,373.6050677781209,371.42425915216313,,,166.89238305364472,,
61,1996-06-01 14:23:00+00:00,,,,,,,177.29219592544428,,
62,1996-07-03 14:24:43+00:00,,,349.49553875729947,419.7806980896661,,,,,
63,1996-07-19 14:25:34+00:00,,,336.8582131624206,,,,,,
64,1996-08-20 14:27:14+00:00,,,,,,,,,
65,1996-11-08 14:31:26+00:00,,,,,,,,,
66,1996-11-15 14:37:56+00:00,,,,,,,,,
67,1997-06-04 14:40:02+00:00,,,,,,,,,
68,1997-07-06 14:41:07+00:00,187.22167483242484,,,,,,,,
69,1997-07-22 14:41:40+00:00,,,,,,,,,
70,1997-08-23 14:42:42+00:00,,,,,,,,,
71,1997-10-10 14:44:04+00:00,,,,,,,,,
72,1997-11-11 14:44:54+00:00,,,,,,,,,
73,1997-12-13 14:45:41+00:00,,,,,,,,,
74,1998-03-19 14:47:36+00:00,,,,,,,,,
75,1998-04-27 14:54:16+00:00,,,,,,,,,
76,1998-05-06 14:48:15+00:00,,,,,,,,,
77,1998-06-23 14:48:54+00:00,,,,,,,,,
78,1998-08-10 14:49:22+00:00,,,,,,,,,
79,1998-11-21 14:56:10+00:00,,,,,,,,,
80,1998-11-30 14:49:56+00:00,,,,,,,,,
81,1999-01-01 14:50:02+00:00,,,,377.85863668078326,298.53634554240796,,,,
82,1999-03-06 14:50:05+00:00,,,,,,,,,
83,1999-04-14 14:55:51+00:00,,,,,,,,,
84,1999-04-23 14:49:40+00:00,,,,,291.71653323714406,,,,
85,1999-05-25 14:49:08+00:00,,,,,,,,,
86,1999-07-28 14:48:39+00:00,,,,,,,,,
87,1999-09-30 14:47:28+00:00,,,,,,,,,
88,1999-10-08 15:03:59+00:00,,,,,,,,,
89,1999-11-09 15:03:52+00:00,,,,,,,,,
90,1999-11-17 14:46:33+00:00,,,,,,,,,
91,1999-12-02 15:09:56+00:00,,,,,,,,,
92,1999-12-03 14:46:05+00:00,,,,,,,,,
93,2000-03-16 15:03:31+00:00,,,,,,,,,
94,2000-04-01 15:03:27+00:00,,,,,,,,,
95,2000-04-25 14:46:07+00:00,,,,,,,,,
96,2000-05-03 15:03:12+00:00,,,,,,,,,
97,2000-05-11 14:46:40+00:00,,,,,,,,,
98,2000-06-04 15:02:49+00:00,,,,414.3900347417068,,190.7260871088674,,,
99,2000-07-06 15:02:32+00:00,,,,,278.7344396667176,230.23256344282657,,,
100,2000-07-14 14:47:57+00:00,,,,,,,,,
101,2000-08-07 15:02:02+00:00,,,,,,,,,
102,2000-08-15 14:48:35+00:00,,,,,,,,,
103,2000-08-31 14:48:56+00:00,,,,,,,,,
104,2000-10-17 15:07:17+00:00,,,,,,,,,
105,2000-10-18 14:49:32+00:00,,,,,,,,,
106,2000-10-26 15:01:15+00:00,,,,,,,,,
107,2000-11-18 15:07:27+00:00,,,,,,,,,
108,2000-11-27 15:01:19+00:00,182.82045274572155,237.7711934918325,,,,209.5991222342779,,229.2537319926724,
109,2000-12-05 14:50:11+00:00,,,,,,,,,
110,2000-12-13 15:01:20+00:00,,,,,,,,234.52190331230534,308.5681095940071
111,2001-01-22 14:50:50+00:00,,,,,,,321.2105946567955,,310.23481626401014
112,2001-01-30 15:01:26+00:00,,,,,,,,,
113,2001-02-15 15:01:22+00:00,,,,,,,,,
114,2001-02-22 15:07:30+00:00,,,,,,,,,
115,2001-03-10 15:07:27+00:00,,,,,,,,,
116,2001-03-19 15:01:09+00:00,,,,,,,,,
117,2001-03-26 15:07:17+00:00,,,,,,,,,
118,2001-03-27 14:51:06+00:00,,,,,,,,,
119,2001-04-03 14:57:08+00:00,,,,,,,,,
120,2001-04-04 15:00:59+00:00,,,,,,,,,
121,2001-04-11 15:07:14+00:00,,,,,,,,,
122,2001-04-20 15:01:03+00:00,,,,,,,,,
123,2001-04-28 14:51:06+00:00,,,,,,,,,
124,2001-05-06 15:00:59+00:00,,,297.24827318472603,,,,346.3053511443955,,
125,2001-05-22 15:00:47+00:00,,,,405.47165573336963,,,382.9231473178043,222.87979355379852,351.1705052154019
126,2001-05-30 14:51:16+00:00,,,,,,,,,
127,2001-06-15 14:51:17+00:00,,,,,,,,,
128,2001-06-23 15:00:21+00:00,,,,415.7781138952155,,,377.49963638201194,,326.2151960848281
129,2001-08-18 14:51:14+00:00,,,,,,,,,
130,2001-10-29 14:59:14+00:00,,,,,,,,,
131,2001-11-14 14:59:26+00:00,,,,,,,,,
132,2001-11-21 15:05:39+00:00,,,,,,,,,
133,2001-11-22 14:50:29+00:00,,,,,,,,,
134,2001-12-23 15:05:49+00:00,11.230312140638851,,,,,,,,
135,2002-01-08 15:05:52+00:00,,,,,,,,,
136,2002-01-17 14:59:45+00:00,,,,,,,,,
137,2002-02-09 15:06:02+00:00,,,,,,,,,
138,2002-02-10 14:49:36+00:00,,,,,,,,,
