,dates,nzd0505-0000,nzd0505-0001,nzd0505-0002,nzd0505-0003,nzd0505-0004,nzd0505-0005,nzd0505-0006
0,1999-08-26 22:07:32+00:00,,146.41416066990405,145.52006003292936,143.48176273206582,146.94383418431184,155.70690299126733,156.854509440294
1,2000-02-18 22:07:16+00:00,175.05573523101026,173.5273728659201,156.7322744121741,150.44725795362942,178.13051326217857,175.1444061602286,180.0903036589697
2,2000-03-21 22:07:12+00:00,141.9019020768533,151.98141631095396,133.3623461152817,127.03463178297172,133.6997237003353,145.72486494362846,158.29528423852676
3,2000-05-08 22:06:44+00:00,,,130.27732129549972,136.62972922430455,146.2208902045654,156.20400661959695,
4,2000-07-11 22:06:05+00:00,,,,110.49951670925324,129.66579386460506,136.829641440361,139.26909370090897
5,2000-12-02 22:04:57+00:00,,,,122.16107743049663,134.52147732858572,137.996231586805,153.78787677199105
6,2000-12-18 22:05:01+00:00,151.9107657768895,142.33187001003753,134.57940925908207,124.74259928311392,136.42185689477395,142.24247844032928,149.82822852060139
7,2001-01-03 22:05:00+00:00,167.64986433153203,153.2873208070946,142.36468872876102,133.6565934733881,144.21046333221267,152.73522951466606,160.70414138845422
8,2001-02-20 22:05:00+00:00,166.13583110817416,157.7994761494628,144.42159963531762,133.79139505452014,140.00864319611534,148.33234507433914,153.36716202399387
9,2001-03-08 22:04:56+00:00,142.08728162495248,152.7867471414478,139.22913038951168,130.12606469594317,136.587235188685,143.88113670661693,
10,2001-04-09 22:04:41+00:00,102.92075970222601,144.76137787137696,131.8332840845596,121.96272198529724,132.13863523512242,140.82484484866495,151.04068332265533
11,2001-05-27 22:04:24+00:00,,,,,,,
12,2001-06-28 22:03:56+00:00,,,,100.48328632261624,117.88796727390663,140.82320628810024,146.34888190166942
13,2001-07-14 22:03:57+00:00,,,,106.48290215677049,135.21960205185425,142.91628380461393,149.31245246315328
14,2001-08-15 22:03:26+00:00,,,128.69149933698134,120.08746550375376,127.78346446130296,138.72252810019657,146.67045243438483
15,2001-10-02 22:02:52+00:00,107.2610708202613,117.87896361012707,109.30497847777161,105.2030326508957,110.97981958326426,112.29716263304151,114.52852200705358
16,2001-11-03 22:02:58+00:00,,,147.51548865222009,140.18437540653565,142.8252697535122,144.3590274500798,149.2631545966961
17,2001-11-19 22:03:08+00:00,118.60240745970566,127.25919846030013,122.00337564271591,115.02124010657968,,,
18,2002-03-11 22:03:31+00:00,141.6011137284277,138.50400664556233,133.26084034607678,124.20600718642596,135.47176338296356,142.34559909613577,153.52301619010137
19,2002-04-12 22:03:25+00:00,,139.8366534875206,132.0451733092838,127.10609325360817,134.84475102315304,141.2906972457716,149.87551120880312
20,2002-08-18 22:02:45+00:00,,113.6011912365157,113.73953765732267,105.51433880799686,116.63871015402596,128.15872328908412,135.80393867479077
21,2002-12-24 22:02:57+00:00,139.09102648907609,138.44404181798254,135.3248371617469,126.322634206951,129.0841738398334,137.69228228742713,144.8986680726299
22,2003-03-14 22:03:20+00:00,157.19176024586608,156.2235894703874,151.32715289178586,141.08860211983838,148.01528515340007,157.75116222647173,153.35411023473594
