,dates,nzd0505-0000,nzd0505-0001,nzd0505-0002,nzd0505-0003,nzd0505-0004,nzd0505-0005,nzd0505-0006
0,1999-08-26 22:07:32+00:00,,153.95361395861744,155.21364283270373,152.52910667852188,156.6374169840862,166.14614600640894,170.4255253599781
1,2000-02-18 22:07:16+00:00,184.94187494567058,181.21659264398926,166.6184141268344,159.67432168731239,188.01665297683888,185.79101816063204,193.93089925949414
2,2000-03-21 22:07:12+00:00,153.54370704341264,161.03615350716677,145.00415108184103,137.9003164184271,145.34152866689465,158.26219336915392,174.59381119170985
3,2000-05-08 22:06:44+00:00,,,128.99376188485343,135.43174044103466,144.9373307939191,154.82171186967017,
4,2000-07-11 22:06:05+00:00,,,,106.64709554824881,125.5381997635289,132.3845401007405,133.49046195940232
5,2000-12-02 22:04:57+00:00,,,,117.13777355779031,129.13936603640036,132.20011173368232,146.25292096293157
6,2000-12-18 22:05:01+00:00,140.73445897695848,133.63918694342453,123.40310245915107,114.31137960317832,125.24555009484295,130.20645573271128,134.18139900069798
7,2001-01-03 22:05:00+00:00,159.72703012121124,147.12511642128953,134.44185451844024,126.26194821042205,136.28762912189188,144.202946518936,149.6121734940051
8,2001-02-20 22:05:00+00:00,170.68207623073903,161.3354445781244,148.9678447578825,138.03455716891403,144.5548883186802,153.22830136017825,159.73190519558472
9,2001-03-08 22:04:56+00:00,152.1678551710304,160.6271932328417,149.3097039355896,139.53460000561589,146.66780873476293,154.7371389870085,
10,2001-04-09 22:04:41+00:00,115.3403236153082,154.4210386926631,144.2528479976418,133.5543149708406,144.5581991482046,154.19975983198424,168.42807280097037
11,2001-05-27 22:04:24+00:00,,,,,,,
12,2001-06-28 22:03:56+00:00,,,,90.50570583841463,107.1977024694049,129.31061342171375,131.382511175367
13,2001-07-14 22:03:57+00:00,,,,99.57711755331442,127.8205471195799,134.94807080062617,138.95377555796918
14,2001-08-15 22:03:26+00:00,,,123.8338846958431,115.5536918386914,122.92584982016471,133.49125079435538,139.8697919367913
15,2001-10-02 22:02:52+00:00,116.65756020496553,125.18734424267481,118.70146786247585,113.97308940995299,120.3763089679685,122.41645889349223,127.68360714563951
16,2001-11-03 22:02:58+00:00,,,155.6349402814513,147.76253026048477,150.9447213827434,153.10305228155957,160.6303868776198
17,2001-11-19 22:03:08+00:00,118.411286175893,127.11054857289028,121.81225435890325,114.84286024168787,,,
18,2002-03-11 22:03:31+00:00,147.3319512273984,142.96132470031733,138.9916778450475,129.55478885213196,141.20260088193427,148.51727024887344,161.54618868866035
19,2002-04-12 22:03:25+00:00,,147.0303425939311,141.294202160383,135.73852018130077,144.09377987425225,151.2511898546477,162.82415160034202
20,2002-08-18 22:02:45+00:00,,110.42813370504491,109.65989225971737,101.70666977023191,112.55906475642065,123.76525901473994,130.09243511814336
21,2002-12-24 22:02:57+00:00,137.43068389612068,137.1526642456839,133.6644945687915,124.77298112019261,127.423831246878,135.90422103347515,142.57418844249233
22,2003-03-14 22:03:20+00:00,155.06111198512832,154.5664186009247,149.1965046310481,139.09999707648313,145.88463689266231,155.4566179456772,150.37120266970305
23,2003-05-17 22:03:18+00:00,,,177.16859445396847,168.3712649373493,157.51080277069786,173.0411429453688,
24,2003-08-05 22:02:59+00:00,,,,,,,
25,2003-08-29 21:51:49+00:00,109.2419118218655,145.17870182961815,147.7793047378258,144.20403070086078,149.52642827024954,152.70554320027622,158.67887091352958
26,2003-09-30 21:52:18+00:00,117.70919251273543,126.52216099527949,120.15309125337522,115.76200156967253,124.69471593283119,129.18795583143097,129.64734636111325
27,2003-10-24 22:02:58+00:00,156.67012850655308,159.42767283150158,152.30369730973314,145.16701053033535,146.68751380856256,158.64978501186806,164.36307560771223
28,2003-11-17 21:52:57+00:00,132.22074275710813,130.6352234749265,127.44429503276093,118.73494544016273,125.81974146589958,128.73899331368312,135.9268918180075
29,2003-12-11 22:03:21+00:00,,168.20587373919318,156.33453080517106,151.81838120536838,152.87644933678948,159.86495500217063,168.179882571462
30,2004-01-12 22:03:31+00:00,,,,,,,
31,2004-04-25 21:54:35+00:00,,,65.25191031005703,,,,
32,2004-05-03 22:03:47+00:00,-20.851877612724245,,,130.4405206043601,144.22337592656862,156.70559032252635,162.40759797010105
33,2004-05-27 21:55:30+00:00,-35.2433802584774,,79.36919909605143,88.53887018061286,113.09363045170747,123.41948633890554,126.14244121948956
34,2004-06-12 21:55:59+00:00,-43.50645798930867,,,77.47341221128691,,152.84002147442,159.79450102320152
35,2004-06-28 21:56:28+00:00,,,,,,,
36,2004-07-06 22:03:36+00:00,-26.688545653873206,,,95.66023650325059,,,151.38433641725757
37,2004-07-14 21:56:54+00:00,,,95.70559744936267,99.97542551831502,137.51870905694437,152.08501792376245,159.3819367332414
38,2004-07-30 21:57:15+00:00,-17.455616368462223,,106.31977885258036,131.20434783576053,148.58587815772722,162.00996498076975,170.5055638904139
39,2004-09-08 22:03:17+00:00,113.56683060348104,127.38907075413448,,,136.8477076479247,153.87976086257203,148.10960236696235
40,2004-09-24 22:03:12+00:00,120.41262312016849,131.63184906593239,132.74058956292666,124.30537271251553,136.46436232850377,139.61488725525635,139.78916655082767
41,2004-10-10 22:03:07+00:00,,143.6627683063129,140.82390909833612,136.73535806597778,144.12247809045567,153.11879681369425,151.29364908628907
42,2004-10-18 21:59:11+00:00,145.81771774649877,151.48887401157535,147.76138528762183,137.68005653035934,143.53324953469536,153.0157679414525,162.44589428175956
43,2004-11-19 21:59:42+00:00,,,,,,,
44,2004-12-29 22:03:56+00:00,,,,,,,
45,2005-01-14 22:04:00+00:00,152.16531254405092,146.34190224147147,142.22221971637467,131.05175634660105,,,150.17254514217433
46,2005-01-22 22:00:50+00:00,169.25255651455444,163.21190022310486,159.42207364126148,153.96645276949823,159.74764988183256,167.63823179750267,176.98926587505545
47,2005-02-07 22:01:03+00:00,160.09935155775446,145.20492876826773,141.48694653520374,139.21587748429053,144.3538045018588,163.6286600009821,173.20757173398317
48,2005-03-03 22:04:17+00:00,135.10869664927816,,133.5354481206563,123.97742436092506,133.7673766246473,142.17459355682755,141.9125694771128
49,2005-03-11 22:01:31+00:00,164.39874751850584,171.80537207587997,152.9290673470865,143.82814307554582,151.00586215786066,157.2242111146475,174.56455545022948
50,2005-04-04 22:04:14+00:00,128.4010849654875,141.86536860350748,138.96929419311937,128.47063207455972,,,149.30057729622354
51,2005-04-20 22:04:08+00:00,,140.8835910373425,137.76348852358723,131.88794494154405,139.13622030483123,150.15555932266886,151.7371155947149
52,2005-05-14 22:01:54+00:00,,,112.18158091436396,115.60785286273376,136.11882932401738,141.38551986617364,144.7856316131934
53,2005-06-07 22:04:06+00:00,,,,97.13745857127188,,166.51989694073794,175.3451877319079
54,2005-06-15 22:02:10+00:00,142.92402946421086,176.03029953901816,,129.05053368673882,125.47996847593228,,173.91593670362636
55,2005-06-23 22:04:01+00:00,,,,,,156.79229409504129,179.62238712268692
56,2005-07-09 22:04:02+00:00,,,,96.29204757213391,150.9772526911725,161.98436364565967,169.88660333688017
57,2005-08-26 22:03:51+00:00,,129.0421031943804,126.57128037810413,120.42827869399221,120.33066935072559,130.21270215145864,130.35115909335218
58,2005-09-19 22:02:44+00:00,139.29906382531,151.90217775971288,146.65899112456393,144.4889911958336,141.52743259188856,158.54671304143125,188.21882042222393
59,2005-10-05 22:02:41+00:00,158.47408635226947,145.72661093390778,141.0965089414965,132.36264523546507,146.2868012312935,152.6750195832664,157.63100856940514
60,2006-01-01 22:04:22+00:00,,,,,,,
61,2006-02-18 22:04:40+00:00,155.71475822641497,142.20107034248815,,,143.1280569581206,148.89822282933574,155.26064603451303
62,2006-02-26 22:05:22+00:00,189.89762805835412,173.5062644559595,163.2329910594454,150.8419368530427,155.12876882991273,174.5750947684623,185.91307448869424
63,2006-03-14 22:05:42+00:00,181.62986346569477,171.0908607484616,160.10631723089637,148.58178823135415,153.38243174452015,170.46319346458898,187.56261179880312
64,2006-03-22 22:04:42+00:00,146.06897961447788,144.63070231912715,137.71320703388434,130.53919779711305,140.36030296466174,147.32930135142968,
65,2006-04-15 22:06:18+00:00,125.99273145688309,177.30045256987484,169.09248881190925,154.8868972328592,157.75791647835,168.86516446411457,181.05186287383887
66,2006-06-26 22:04:32+00:00,,,,,,166.97996328794474,186.11373095054256
67,2006-07-12 22:04:25+00:00,,,,,,150.85894052881326,165.80312461122062
68,2006-08-05 22:07:55+00:00,,,,,,,
69,2006-08-21 22:08:07+00:00,,,,,,,
70,2006-09-14 22:04:09+00:00,123.84327692805869,128.4404021962965,129.4237039955292,115.81251789497901,126.99726195094178,137.5565157781682,140.76697884490363
71,2006-11-25 22:09:07+00:00,148.0761652757564,145.08123167482793,143.31368644174847,134.67868530251508,142.99830287445565,150.07502338316536,150.04739264454392
72,2006-12-11 22:09:16+00:00,148.56928253439864,132.51670067912966,126.03638820549459,122.49228554970892,127.47837064906416,136.92748124480553,144.68283719451387
73,2007-02-13 22:09:34+00:00,151.97157433665515,155.03628398073326,143.4199344589994,144.33601509704783,146.77147352476163,156.53853569614873,162.05164868418296
74,2007-03-09 22:05:07+00:00,162.55771787423268,162.82722373388643,154.4712580640391,146.3236327517515,148.05755562379096,159.84370208708296,165.00448541755873
75,2007-05-12 22:04:59+00:00,,,115.9211197005948,122.44473690409932,133.90099859580616,141.80748679223032,146.1021565106176
76,2007-06-13 22:04:52+00:00,,,103.73626687191181,66.24182110638162,,,
77,2007-07-15 22:04:48+00:00,,,75.16474531553853,95.07264888624503,158.71542818821214,168.13546644485393,
78,2007-09-01 22:04:31+00:00,,138.75756041666358,134.67444679999528,129.88322271122811,143.47060465438585,159.53745304895455,159.6873599131539
79,2007-09-16 22:13:52+00:00,,,,,,,149.98313317222062
80,2007-11-04 22:04:37+00:00,137.5623638046423,138.7943888540949,125.70751528198129,92.3197786541253,118.33970265283165,,
81,2007-11-20 22:04:46+00:00,144.51493012702377,143.23613221199693,137.938491922011,129.97802648909638,139.47848697649204,147.0607066728142,
82,2007-12-06 22:04:52+00:00,160.09507655324148,161.10188727908232,152.52029864008045,143.93663378641162,145.92419849270928,153.0682491804174,164.12212667293753
83,2008-01-07 22:04:58+00:00,195.4533811623865,181.55071590946994,173.42543732733293,159.28201733142356,170.68372245820348,181.4289381966048,193.67364414300764
84,2008-02-24 22:04:50+00:00,,146.23585966599865,144.53243802067195,138.32877245795135,145.8315374621845,143.98301794156308,144.3579246932834
85,2008-04-12 22:04:44+00:00,,141.56127598222827,137.50388959259936,132.337448420594,143.68578981827852,148.2034974415463,152.32613998552583
86,2008-05-14 22:04:36+00:00,,,113.68229701362434,132.34988048455617,143.44469458067957,154.73571724578153,155.3123893677404
87,2008-06-15 22:04:20+00:00,,151.71021553003033,169.9490115408543,,,,
88,2008-08-18 22:03:44+00:00,,105.06184214493166,138.81271759497582,138.19473122428136,162.22890299125308,171.33315867911054,179.5569985322496
89,2008-10-05 22:03:18+00:00,,144.48742974811313,147.822836452106,,158.45458318854116,163.58993738624739,166.51827425422206
90,2008-10-29 21:58:12+00:00,,,,,,,
91,2008-11-06 22:03:38+00:00,,127.13831534279953,124.28681741251037,125.1691940639685,,,
92,2008-11-14 21:57:52+00:00,202.0088661647755,182.25939167223146,175.90018965516924,169.14374184906768,175.3011484881223,182.207431443026,181.30650726446618
93,2008-11-22 22:03:51+00:00,168.79769047368393,167.3869434448239,163.2330785281394,154.76796965551696,164.81762849070014,172.689210714402,174.68471068598922
94,2009-01-17 21:59:44+00:00,142.0541155754607,140.38043994043082,135.77719780744775,133.7886942570778,137.57822621662731,148.74989084152713,147.37860732474434
95,2009-02-10 22:04:28+00:00,,,149.9509543350586,145.34397868603207,159.45758337896345,172.2363927359201,182.6301681164
96,2009-03-14 22:04:45+00:00,,,171.4620521836059,163.04109984010088,,,187.1835982575255
97,2009-03-30 22:04:52+00:00,142.010755531008,164.88881252533199,155.57233962974612,152.95393988708653,159.24051791657337,169.27786635564988,172.5705805570949
98,2009-05-01 22:05:01+00:00,,,136.22648189872126,129.59111136653107,141.17962420818833,148.04481794157965,160.18475221058827
99,2009-08-05 22:04:48+00:00,,,,,153.29287654737294,161.65628574355603,179.23925424053795
100,2009-11-25 22:05:21+00:00,138.42215314255782,140.44899925600845,135.20001790057523,127.61012681384167,142.1737454783606,145.23002034437582,
101,2010-02-05 22:05:29+00:00,155.31547080335747,151.43696514813524,143.19152891725497,140.58043391869847,140.91342292221418,153.66995286018744,158.21697990953766
102,2010-03-01 22:06:39+00:00,,,169.86719606282344,157.86739031325436,169.0876757240592,171.08986179561046,
103,2010-05-04 22:06:46+00:00,,112.17189914631737,133.47558985688687,133.25626777709087,145.39244956411918,160.14285591807328,162.86293830992315
104,2010-07-23 22:06:50+00:00,,,105.19323660009299,132.89497171602605,158.19499983322166,162.16723576437806,165.65164242063008
105,2010-08-24 22:06:52+00:00,185.45793740207918,180.49122896919704,181.5207464292901,,,,
106,2010-09-25 22:06:53+00:00,152.79495576552787,,157.35925375554683,152.2174550850902,158.71036002584094,161.18752524147504,165.71984632442826
107,2010-10-11 22:06:57+00:00,179.50111102048604,173.0360058261161,166.47113655531012,157.39527383345487,164.78762412399902,166.92127705493257,170.87359376871063
108,2010-11-28 22:07:29+00:00,141.64152657910563,141.89199709213537,136.71828934438614,130.79405452457016,133.974052342611,144.39044093789124,142.86259674091943
109,2010-12-22 22:04:29+00:00,181.09027524710933,163.8422634474639,154.14861180332605,136.3132030414177,145.63845759614088,158.23067934117068,172.92643640876057
110,2011-01-15 22:07:54+00:00,169.30502803667508,163.66834553128834,149.80514046370132,145.70947754898805,152.83119342353547,161.05395470739592,162.63508516991809
111,2011-02-08 22:04:35+00:00,157.41158907658482,156.1172920175157,144.48206011630148,141.37764300938176,147.68339475400091,156.07364378838886,154.46200495222627
112,2011-03-12 22:04:31+00:00,156.38398049644974,159.70209470670616,146.12911431077944,138.68455534921492,144.35985697716154,158.3629529181256,162.32038269522036
113,2011-04-05 22:08:14+00:00,,,,,,,
114,2011-05-23 22:08:11+00:00,,,112.20249293156978,121.53072150233183,134.39428476496857,139.93727010708778,145.62675254569572
115,2011-06-08 22:08:12+00:00,,,,100.3913709485949,126.61283167533102,158.04121786355992,159.03961957011646
