dates,satname,sar1417-0000,sar1417-0001,sar1417-0002,sar1417-0003,sar1417-0004
1984-04-13 09:27:07+00:00,L5,193.95,197.03,169.37,223.56,266.13
1984-07-18 09:28:46+00:00,L5,193.30,193.78,223.55,222.58,254.52
1984-08-19 09:29:51+00:00,L5,187.63,196.37,219.90,224.06,262.22
1984-09-20 09:30:04+00:00,L5,195.05,198.42,,217.33,256.24
1984-11-07 09:29:53+00:00,L5,190.05,178.51,,101.93,174.28
1984-12-09 09:29:58+00:00,L5,137.41,62.27,,102.57,175.33
1985-03-31 09:30:19+00:00,L5,194.89,194.60,105.81,212.77,260.36
1985-06-03 09:30:04+00:00,L5,192.65,194.00,224.97,221.20,255.37
1985-06-19 09:30:02+00:00,L5,179.44,189.79,209.60,206.57,243.55
1985-07-05 09:29:57+00:00,L5,275.21,279.00,273.61,194.13,283.20
1985-10-09 09:28:59+00:00,L5,192.55,193.05,,109.95,177.97
1985-11-10 09:28:33+00:00,L5,187.89,158.92,,96.48,178.03
1986-01-13 09:27:22+00:00,L5,138.34,41.22,,102.47,186.62
1986-02-14 09:26:39+00:00,L5,183.98,155.67,,,
1986-05-05 09:24:53+00:00,L5,187.87,193.30,223.41,227.47,262.15
1986-05-21 09:24:27+00:00,L5,190.02,198.62,228.41,233.14,252.30
1986-07-08 09:22:57+00:00,L5,189.31,199.46,221.10,228.02,264.65
1986-07-24 09:22:23+00:00,L5,184.95,185.40,207.76,217.67,251.58
1986-10-12 09:19:38+00:00,L5,,,,,
1986-12-31 09:19:14+00:00,L5,,,,102.15,174.61
1987-01-16 09:19:41+00:00,L5,120.65,35.66,,,
1987-02-01 09:20:12+00:00,L5,159.51,55.48,,,
1987-02-17 09:20:59+00:00,L5,187.83,158.46,,125.38,181.24
1987-03-21 09:22:02+00:00,L5,190.48,171.14,,220.50,247.21
1987-04-06 09:22:36+00:00,L5,196.67,199.34,190.67,225.98,258.11
1987-05-08 09:23:35+00:00,L5,190.23,198.41,222.32,231.94,263.01
1987-06-25 09:24:44+00:00,L5,196.71,199.78,211.71,225.61,256.04
1987-07-02 09:31:03+00:00,L5,180.19,186.95,210.23,220.56,265.70
1987-07-11 09:25:03+00:00,L5,193.39,199.85,207.83,221.99,260.43
1987-07-18 09:31:20+00:00,L5,191.97,197.00,226.87,224.59,257.78
1987-07-27 09:25:25+00:00,L5,201.38,202.74,216.66,224.22,259.27
1987-08-03 09:31:49+00:00,L5,188.21,193.20,225.11,224.63,264.60
1987-08-12 09:25:55+00:00,L5,191.48,191.54,205.95,215.33,248.33
1987-08-19 09:32:18+00:00,L5,181.13,184.93,175.92,216.88,253.20
