,dates,jap0095-0000,jap0095-0001,jap0095-0002,jap0095-0003,jap0095-0004,jap0095-0005,jap0095-0006,jap0095-0007,jap0095-0008,jap0095-0009,jap0095-0010,jap0095-0011,jap0095-0012,jap0095-0013,jap0095-0014,jap0095-0015,jap0095-0016,jap0095-0017,jap0095-0018,jap0095-0019,jap0095-0020,jap0095-0021,jap0095-0022,jap0095-0023,jap0095-0024,jap0095-0025,jap0095-0026,jap0095-0027,jap0095-0028,jap0095-0029,jap0095-0030,jap0095-0031,jap0095-0032,jap0095-0033,jap0095-0034,jap0095-0035,jap0095-0036,jap0095-0037,jap0095-0038,jap0095-0039,jap0095-0040,jap0095-0041,jap0095-0042,jap0095-0043,jap0095-0044,jap0095-0045,jap0095-0046,jap0095-0047,jap0095-0048,jap0095-0049,jap0095-0050,jap0095-0051,jap0095-0052,jap0095-0053,jap0095-0054,jap0095-0055,jap0095-0056,jap0095-0057,jap0095-0058,jap0095-0059,jap0095-0060,jap0095-0061,jap0095-0062,jap0095-0063,jap0095-0064,jap0095-0065,jap0095-0066,jap0095-0067,jap0095-0068,jap0095-0069,jap0095-0070,jap0095-0071,jap0095-0072,jap0095-0073,jap0095-0074,jap0095-0075,jap0095-0076,jap0095-0077,jap0095-0078,jap0095-0079,jap0095-0080,jap0095-0081,jap0095-0082,jap0095-0083,jap0095-0084,jap0095-0085,jap0095-0086,jap0095-0087,jap0095-0088,jap0095-0089,jap0095-0090,jap0095-0091,jap0095-0092,jap0095-0093,jap0095-0094,jap0095-0095,jap0095-0096,jap0095-0097,jap0095-0098,jap0095-0099,jap0095-0100,jap0095-0101,jap0095-0102,jap0095-0103,jap0095-0104,jap0095-0105,jap0095-0106,jap0095-0107,jap0095-0108,jap0095-0109,jap0095-0110,jap0095-0111,jap0095-0112,jap0095-0113,jap0095-0114,jap0095-0115,jap0095-0116,jap0095-0117,jap0095-0118,jap0095-0119,jap0095-0120,jap0095-0121,jap0095-0122,jap0095-0123,jap0095-0124,jap0095-0125,jap0095-0126,jap0095-0127,jap0095-0128,jap0095-0129,jap0095-0130,jap0095-0131,jap0095-0132,jap0095-0133,jap0095-0134,jap0095-0135,jap0095-0136,jap0095-0137,jap0095-0138,jap0095-0139,jap0095-0140,jap0095-0141,jap0095-0142,jap0095-0143,jap0095-0144,jap0095-0145,jap0095-0146,jap0095-0147,jap0095-0148,jap0095-0149,jap0095-0150,jap0095-0151,jap0095-0152,jap0095-0153,jap0095-0154,jap0095-0155,jap0095-0156,jap0095-0157
0,1984-04-26 00:41:47+00:00,,,,,,,,,,,,,,182.50882963048818,,70.23255881439745,,,,163.2789027187027,,,,,,,,,,,,,,,,,,,,,,201.75689480156248,,,,202.1323386362759,,,,,182.1902146759575,,,201.62184236045397,,209.18971009669306,217.75326420671016,,,,,,,,,,,,,,,,,,179.08716714584628,,,,,,,,,,,,,,,,,,182.35187415044905,191.67329668761022,203.1331046457827,,,201.9807279171905,,175.20198333328244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1984-09-17 00:44:44+00:00,192.87186804849185,,198.01964038670909,197.12401742636706,,,,206.1604861839296,,199.77185451975853,,,,199.4695607237034,,80.93445555269841,,,,185.8338627388703,225.5850989999402,,,,,,,,,223.7594634630537,232.99631320729475,222.16781043765647,212.30298327062067,208.34320737229208,206.20496682920987,,211.8573664892925,229.5074549699105,,230.59989351485018,241.46209851888565,234.34583840847907,224.6196205404839,,229.68034167724028,237.39818648737162,233.87543019430748,,,,,,238.126605089841,200.5316342073165,223.63388384340996,234.49974322591797,233.2350431637085,203.7144844326852,226.73882005010222,,,,,,,224.98986708243086,209.5797819382209,,,,,,217.499408708723,,218.2190928505995,,235.15740620107766,,,,245.65116080885048,,234.168459611054,,,,,,,,,,221.66694521920255,,237.45906073272803,,,,,,236.614700471616,,226.18816894927352,228.02658362453604,,234.46499973729462,,236.75933917597126,246.07139889717922,230.94850944416257,235.24092637062148,239.86626181483274,239.57608312884665,251.28412432491845,244.3704727199239,247.52209208119808,249.1458233624886,253.47577397609473,251.103505795753,221.82135998495593,,231.11651078322288,237.76346810791625,215.69321339102413,,,,242.31014688007673,240.821328495793,236.68486997492707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1985-05-15 00:44:44+00:00,192.4754065631337,176.08798056224967,177.44734745626562,190.27044472219035,216.42241445260743,210.44455083865586,213.55237028271813,204.69092984244378,,207.9800453839022,201.19300377854836,202.264783294132,184.6047841837587,194.3654407971825,206.67775595103748,225.87787685810352,209.46193702820284,198.72391519857638,188.8265425355438,198.7476854420706,210.45846508355797,193.53371091368356,190.4895645807688,174.90315066660926,175.48782957885732,167.34952224875846,,187.56080288016668,176.67736546643218,199.9954161772948,210.5946787425424,208.54334905552173,209.0079905436363,199.43990719001707,183.85560054721267,,,,176.76792807390055,,220.30068953747283,,,,193.8149873686714,,,217.9854619464607,,225.17525366409643,217.21488864902176,209.21774142213502,,,,,,,,224.7526487679925,215.9098221973333,,,,,,,,,,,,,,166.1950372694165,,212.7429738517583,,,,,,,,,,216.8023413108399,,,221.00728898907292,,,,208.0926999795069,,,,214.81103850949265,,206.96168004969024,205.77095769022915,,,,,,,220.54920484342645,,,226.93273464677114,229.3884133202863,243.72620460227827,241.09784823667488,243.01595609207357,245.6498821872488,248.8764650734351,237.8799458473633,228.74487956876789,228.1396066842674,229.44547641420397,238.63163917579791,237.69619351993046,241.4571501092573,247.8550261085595,242.03066640140287,243.52557490025868,239.85459964300372,257.1162644832735,251.26572576193178,249.53575348782397,255.5106835778445,283.8200281741281,273.33436600664436,283.74875131471185,273.0918880225825,274.3422155034305,305.7951930646167,300.88902705399465,301.77705724160325,303.8401950560019,301.7046770176242,296.6345816779858,280.3556156810052,275.4508889556628,263.60853665329444,264.0283206854877,263.2055148602558,,,,291.3122314524318,,,271.941887014851,,,
3,1985-05-31 00:44:45+00:00,190.9057932760223,174.57694227208037,173.0671288127202,195.7234340028012,214.7619910281783,220.64973022614004,221.15017385431835,213.4528915496546,,206.1276720811931,195.64641851129772,199.83069209818206,195.09315721651166,198.35917588929578,204.7621700149547,224.65064785460038,210.97498672478346,200.38246624039016,200.1288972131489,203.7553104587305,199.28188050389156,193.76589564881286,176.31233091194008,174.83618973132857,176.5165790135581,178.18228313163607,182.2629652619727,193.655606494947,200.67281952155093,208.54558391620097,219.40886458818383,209.12720120690497,203.8733407397117,208.0992975403916,200.75000488662988,,200.6758542667434,202.824074647618,191.06482974433817,215.06461342809138,242.2507780648099,228.6695155232239,224.05470168652,228.84040481580038,,,236.44474406759184,,229.30328296994796,,,,,,,,,,,,211.87011037444339,,,,,239.33681048220944,,211.32327949032455,,,,,,,171.14604872118898,,,,,,,,230.37199209257292,,,233.28281561085495,213.0164378624762,,,237.1175493396622,225.25195116042778,,,,234.77773905242677,,226.6401108920584,,,222.0331360739681,,238.1228326562577,,,,249.3733466247003,249.88672576604137,241.89297322610344,234.73017041380538,226.38669793873729,234.16414355824662,238.03462157539624,,258.04345684212365,248.94387707357848,266.9319540853647,258.0305087982665,250.23962499272352,239.5130958561274,242.46427105047414,252.0104266176986,258.43740821519776,255.79779690559397,249.31255862502863,252.33913991328197,251.68520526234877,255.1652791659603,266.54457320987876,245.68782417624962,241.84757167112292,269.2572718306274,269.5460570891934,281.59130576931636,292.49674643661234,309.6201848735779,280.8336569745856,305.24889524692003,328.4625779616911,331.4742030587105,314.1523119675171,322.8938373225816,312.66410064607163,301.85307266888265,297.1068383105318,290.6879276655549,283.17287128858203,282.2149298741175,280.00636424872937,,279.9950704336061,,327.2092389089545,,,298.8442929392291,290.5458019114951,258.7707929687127,196.03269573250435
4,1985-06-16 00:44:43+00:00,200.77795655787946,185.99385133377626,196.2865525000462,216.42948508297277,,220.04291839946245,215.53642591480087,205.22685897995268,218.04858634046815,219.86929030133498,210.9468354744939,195.87529464467835,,,,240.1042587264503,210.8340121503109,202.29578101683663,199.5759244116268,211.9432076361448,217.7973594481856,202.32951485078496,207.34122867500895,192.91555634064812,190.95366778708353,189.39338687827936,190.44156822018152,214.32011952553938,221.87766738650492,221.32229231859682,215.52939005870127,219.01313443475217,210.0057441811639,,199.19483445226066,197.9322215890135,,201.64259981403987,,221.46184028856376,255.73488486482282,227.32775383416705,219.2598749424172,223.22667382748395,216.28175946287888,228.99319758123724,246.5235236353761,245.7088197682471,234.17776546160593,244.07058557827506,,239.9371460557062,225.2093326631998,,,,,,,242.24134898088917,225.07193117819963,,,,,,220.6704069496131,202.97299426896296,,,,199.0905054219847,,,,,,,,,,,,228.23899119458844,,,,,,230.62170271234817,,,,,,,,,,,,,,,,,248.3004122762747,237.94897206600166,230.25396356114854,253.8333165059583,264.49863936820157,251.84663695937135,262.43867168692844,257.90889133354716,276.46645744151095,280.52898411417624,252.67410776563037,251.04037774878492,261.01130176858146,257.27527145482924,276.11143689381976,268.0503560894327,258.3417064848906,251.31976754664075,259.89985560966926,256.7527501667454,256.3282943792665,254.81018126660337,235.54580940507645,261.66360065628754,292.9105760116971,281.47572678552217,279.01919671807883,,,,,340.05707439735437,324.152889098522,329.6609693134753,329.0393012372565,312.8882764405611,296.8263010060472,291.41056286567476,287.5797648283134,273.378879154331,275.25209711289125,270.43085792120564,,,,,,,313.55077074077957,298.6869066800476,,
5,1985-07-02 00:44:39+00:00,203.05072957555475,,193.89467520264756,211.413443907008,205.2030568102694,208.1677402369794,200.62376468184272,211.87960852059672,204.02162514500998,,201.52709551096723,180.77629905653066,173.41913309450845,187.6100956627834,205.06554089439507,221.92140091128368,209.52369714172397,191.60777812321254,190.85629049180952,199.0833854653392,220.85048382120632,181.01342340952058,176.13350051079465,167.49105807519953,165.87913508241795,164.05491630822158,182.97281506645737,201.1527451224703,208.2709435988022,214.74856998626112,202.94007635211238,201.97971719509295,,187.94275866318537,,,189.4391138868941,,,201.25704740779216,216.4081197630744,210.43192516249152,200.4363923837371,202.4372424232531,,223.891256706107,233.71001413579987,222.4302757652856,221.85682796611752,,,215.11611327243656,,,,,214.13463608678921,220.2013930645803,,232.93913192581954,213.94103747354526,,,,,208.07629594759334,193.7229708530941,,,,,192.95122436389894,203.2371169429893,,198.9437476941958,,,208.92237178151493,,,,214.4903716264556,,,210.9706690918762,,225.75488049917078,210.41401692115554,218.922076040628,,213.5606941950632,,206.48050783791572,,,,,220.60949785627562,,233.6346816671378,,224.43004820991982,208.82024471830908,211.89504079773545,,,,225.40574548650602,,235.29471331526486,256.83856313683185,225.82810037184458,243.34413954665365,241.22856418135368,250.74858553960857,261.15714734077926,226.01019602239973,241.94805711957972,228.2918887852157,235.50104755295993,256.98653476274,244.7298921541263,225.74640255413817,220.1174756733219,227.90793412798897,230.20934461358516,235.91985612188085,239.22534651242168,227.68623310689637,233.64146771990264,268.0370066146707,263.16700089376985,268.26320958135915,,277.2262115547395,295.6987682634315,323.0854129151566,312.724971484809,303.75334806343494,286.2206238765723,292.1146825951992,281.1109951299825,269.9838342000995,273.8192403810207,254.53693387381858,252.80902301354843,259.6396004459662,252.06923411759496,267.22497802825285,287.2917077405372,,,,,277.59051209019117,,,
6,1985-08-19 00:44:15+00:00,241.49749857930607,,225.82325067264065,223.7974928853417,,216.2245963449203,218.34691499943173,220.87269412213243,231.36653396920937,233.32704730426175,,,,231.9699002927607,,215.2902796648101,217.55012880957528,220.0386334077929,221.1020054938714,220.0880589724564,216.2022022700369,216.9646634581592,211.56594765217213,197.30936903916557,188.4549127424152,187.75828418886047,199.9429423484724,204.8005044784577,,228.22241257198954,225.4279700044954,222.96296423766563,215.40375419409781,212.65540330933712,212.14349636333898,210.47507002788637,208.86307357268208,212.93081087606703,218.9425474201048,241.07234628445397,258.0808342786129,240.13391777931096,235.28257343152507,244.38211684043134,238.45608932886591,245.16156399856763,255.6193136267318,261.5308654828567,246.45151888551965,254.02846374682272,,,246.35766451491673,,231.02266788427903,256.24067914501614,,,,,245.9321218021009,,,,,,,,,,,216.4710442060402,,,,,,,,,,,,251.08528132449823,,245.4251693791554,,238.7391992459856,244.84424883153414,,,,,,,,235.93573723840422,245.39357448734094,,,,,235.38210772293164,,240.39063677786078,,,245.7328905724035,243.52882286348972,241.51185132558678,249.5634358327444,258.5183305068126,261.3532398817198,252.1616508363713,263.8938796061579,269.849996373859,251.2300565947563,250.64744439555838,251.21069744788866,249.77796176887284,272.77651137302735,273.3874902164416,263.56463476368543,261.18034735195045,253.41439758540662,264.97169525165657,273.0080322716951,284.5819180451318,,,298.7597570920014,,313.96351935204416,318.38095418685754,,,,337.0844921243099,332.3011762652002,317.6891294887212,307.5813396591817,288.3351556050589,278.5761075663072,269.3850664320216,277.49159849956027,274.42485990208786,274.1933207476836,273.62871686771473,,314.7739737148487,,,336.3595506137896,324.91372839663654,300.1530925161076,,,
7,1985-10-22 00:43:30+00:00,229.92686435564804,,223.96242552664998,214.41632874701543,207.4820378117304,206.06830617809493,204.19870980914718,210.28795078087623,,,,,220.71787234017827,219.75200369216566,219.41027747398158,212.1306435241874,215.76229361592752,208.90634948558392,213.61271241952838,213.96365630542215,213.45125284954173,219.7877849184293,207.03617851220582,194.58498410988247,183.7617937906755,181.8733668413106,186.64254339650813,209.47404350555695,212.63482210964355,207.13885511384376,209.0665275137092,205.56226822794721,213.27935285280844,,205.49215158865965,,,187.22607576247802,,223.5845748197107,235.80597054811813,,,,,226.70067861715057,,239.99485561409608,,,,251.20198934456337,,,226.48479144800137,,238.9492423944443,235.51454346821356,,227.8856581076929,,,,215.1110134192829,,224.5026813441257,229.67920387276084,,,,,,,,235.85865257330698,,,,,,,,,241.5218016324888,,,241.22417371715366,,,,,,,,,,,,,,,,,,231.53617940447202,234.23715055261283,,,240.65670004036244,242.47515543680714,243.48643622470468,246.1501175541484,254.53510839865444,254.54901630737146,269.8361369025089,261.47705743032435,260.6678524509009,250.95540026094795,251.13770705546338,249.06170030503844,252.13606147514724,257.43242286660325,260.77777894191297,263.841822372173,265.1835368060518,266.92601226841623,273.5291298048995,274.6017395669956,276.9190736786528,270.77598871297727,269.11586335720335,283.0416425668582,,289.82335679594854,293.34919796093135,,312.94056232337687,312.43016843083205,309.73726012295,307.404816122229,306.8725339444958,301.25286452571834,293.8637429299423,293.1854235987949,290.32189894047184,287.574421132954,270.2588006266887,290.3552143978508,,,,,327.5042933119958,311.5918136212106,,283.6618181155711,244.60205700713468,180.34703160123195
8,1986-10-09 00:34:26+00:00,170.82645741300985,180.88833626015125,179.8613690007029,177.82921621563187,,,,,,,,172.30078653518666,,,178.95008384505397,182.7515459904178,,,175.77795098268058,184.84450547503934,,,,164.7125890552189,177.7344118679715,172.1955973434586,,,,,,,,,,,,,,,,,,,,,,,,186.62943231483644,,,,,,,,,,,,,,,,,,,145.3031280438634,,84.77690728737397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2874189520779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.72582185408962,218.693231027502,,,
9,1986-11-10 00:33:17+00:00,208.9247119442111,186.07453645930642,193.2219634989953,190.44379241129,194.24864266640563,,184.5941439009426,182.026341236403,,,,186.99776371454047,,188.02943565413972,191.0011957532525,195.18400291626915,188.20140031747098,199.27323010479077,196.36597075241136,197.02451362803686,188.40493593566538,,176.2815619925794,187.47622018900103,201.23423628679078,208.73089525404527,188.6258801264758,197.84974999554402,187.28734894166413,,,207.22903432959396,,200.1415368264641,,,211.6814717224304,208.02589614513576,197.11642010047981,,,,,,,,209.78301768178028,202.06267726660946,,225.99593366333545,,230.816491861101,,200.87664677507763,,,,,219.5210231913047,,,,193.54623747625033,,,,210.90540160815922,,,,,,,,,,,,,,,228.78264077418328,247.14653376762436,,249.2948833647071,,,229.7785118103442,234.82707367621438,223.8565598868322,,,244.06219484260913,,,,,,,255.16107561786652,231.74807354980734,222.4935394185335,,,,,,,,231.8375395576882,,223.19116689865157,208.5752975449242,221.85319294205866,231.1732858789387,234.34739746903253,251.21219537513227,242.0291353240768,233.96425329361014,243.86105490429875,233.23049978426823,234.3480181644926,229.32551764168585,,,,,,,,,,,,254.83587864948672,262.0075014171089,275.8701988052377,266.96955682576595,,,,,,,264.95454419311324,276.5160047645431,265.88726434303675,265.4734276863236,257.9109410007865,,268.7578102814858,,,255.4237337688329,257.05354086204477,,,
