dates,satname,sar2308-0000,sar2308-0001
1984-04-13 09:26:43+00:00,L5,236.66,234.22
1984-05-06 09:33:03+00:00,L5,241.11,238.66
1984-07-18 09:28:46+00:00,L5,240.32,237.56
1984-08-03 09:29:20+00:00,L5,240.07,232.56
1984-08-19 09:29:51+00:00,L5,229.78,230.75
1984-08-26 09:35:45+00:00,L5,232.53,192.60
1984-09-11 09:35:50+00:00,L5,232.89,235.27
1984-09-20 09:30:04+00:00,L5,235.31,232.53
1984-10-22 09:30:00+00:00,L5,236.22,231.93
1984-11-07 09:29:29+00:00,L5,241.06,229.37
1984-12-09 09:29:58+00:00,L5,225.95,218.43
1985-01-10 09:29:51+00:00,L5,,
1985-01-17 09:36:05+00:00,L5,231.59,218.29
1985-01-26 09:29:56+00:00,L5,224.22,214.92
1985-02-02 09:36:09+00:00,L5,226.45,219.28
1985-02-11 09:29:59+00:00,L5,247.09,216.60
1985-03-15 09:29:58+00:00,L5,229.51,207.74
1985-03-31 09:29:55+00:00,L5,233.73,232.74
1985-04-16 09:29:51+00:00,L5,218.42,216.18
1985-05-02 09:30:07+00:00,L5,230.81,231.31
1985-05-18 09:29:40+00:00,L5,,
1985-06-03 09:29:40+00:00,L5,239.33,234.96
1985-06-26 09:35:47+00:00,L5,235.72,234.22
1985-07-05 09:29:33+00:00,L5,251.02,245.53
1985-08-13 09:35:25+00:00,L5,229.42,222.86
1985-08-22 09:29:32+00:00,L5,231.91,234.74
1985-10-09 09:28:35+00:00,L5,235.60,234.50
1985-10-25 09:28:23+00:00,L5,224.27,223.35
1985-11-10 09:28:33+00:00,L5,227.68,221.38
1985-12-03 09:33:55+00:00,L5,235.56,224.57
1986-01-04 09:33:20+00:00,L5,235.73,228.44
1986-01-13 09:26:58+00:00,L5,238.95,234.14
1986-03-18 09:25:34+00:00,L5,239.78,234.99
1986-03-25 09:31:37+00:00,L5,227.27,223.38
1986-04-10 09:31:17+00:00,L5,232.75,226.53
1986-05-12 09:30:29+00:00,L5,239.52,233.40
1986-05-21 09:24:03+00:00,L5,,
1986-06-06 09:23:35+00:00,L5,,
1986-07-08 09:22:57+00:00,L5,244.47,240.32
1986-07-31 09:27:55+00:00,L5,238.20,233.97
1986-08-16 09:27:20+00:00,L5,238.18,237.16
1986-09-17 09:26:13+00:00,L5,234.01,234.30
1986-09-26 09:20:09+00:00,L5,232.52,231.19
1986-10-12 09:19:38+00:00,L5,230.64,229.49
1986-12-22 09:24:45+00:00,L5,433.99,94.87
1986-12-31 09:18:50+00:00,L5,,
1987-01-07 09:25:13+00:00,L5,225.98,220.57
1987-01-16 09:19:18+00:00,L5,231.75,229.98
1987-02-17 09:20:35+00:00,L5,201.20,218.11
1987-03-05 09:21:03+00:00,L5,,
1987-03-21 09:21:38+00:00,L5,238.77,246.58
1987-04-06 09:22:36+00:00,L5,234.07,230.15
1987-04-29 09:29:06+00:00,L5,237.30,233.07
1987-05-08 09:23:11+00:00,L5,234.96,229.80
1987-05-15 09:29:33+00:00,L5,232.84,231.44
1987-06-09 09:23:59+00:00,L5,231.95,233.02
1987-06-25 09:24:20+00:00,L5,239.00,235.86
1987-07-11 09:24:39+00:00,L5,233.36,234.68
1987-07-18 09:30:57+00:00,L5,227.52,227.95
1987-07-27 09:25:01+00:00,L5,240.04,234.19
1987-08-03 09:31:25+00:00,L5,231.63,231.83
1987-08-12 09:25:55+00:00,L5,236.09,238.07
1987-08-19 09:31:54+00:00,L5,232.08,232.57
1987-08-28 09:25:57+00:00,L5,229.54,229.85
1987-09-13 09:26:21+00:00,L5,232.41,229.49
1987-09-20 09:32:42+00:00,L5,232.01,233.35
1987-09-29 09:26:42+00:00,L5,,-7.23
1987-10-06 09:33:02+00:00,L5,239.50,234.70
1987-10-22 09:33:17+00:00,L5,230.43,224.38
1987-10-31 09:27:40+00:00,L5,226.64,222.73
1987-11-16 09:28:03+00:00,L5,228.65,220.52
1987-12-02 09:28:18+00:00,L5,225.35,213.36
1988-01-10 09:34:42+00:00,L5,230.17,223.63
1988-01-19 09:28:41+00:00,L5,235.96,214.67
1988-02-11 09:35:17+00:00,L5,235.47,230.22
1988-02-20 09:29:14+00:00,L5,228.57,227.09
1988-03-14 09:35:39+00:00,L5,246.81,247.99
1988-04-15 09:35:50+00:00,L5,237.32,232.10
1988-05-01 09:35:57+00:00,L5,241.40,237.54
1988-05-17 09:36:08+00:00,L5,222.31,221.18
1988-06-02 09:36:14+00:00,L5,236.94,229.73
1988-06-11 09:30:29+00:00,L5,243.51,239.42
1988-06-18 09:36:19+00:00,L5,239.15,230.12
1988-07-04 09:36:24+00:00,L5,240.35,235.28
1988-07-13 09:30:39+00:00,L5,233.19,232.83
1988-07-20 09:36:27+00:00,L5,223.44,222.90
1988-07-29 09:30:18+00:00,L5,239.98,232.37
1988-08-05 09:36:28+00:00,L5,237.29,234.64
1988-08-14 09:30:40+00:00,L5,237.57,238.08
1988-08-21 09:36:29+00:00,L5,231.48,226.92
1988-08-30 09:30:45+00:00,L5,237.59,229.83
1988-09-06 09:36:31+00:00,L5,239.77,239.36
1988-10-01 09:30:34+00:00,L5,235.30,235.66
1988-10-08 09:36:21+00:00,L5,231.23,230.06
1988-11-02 09:30:10+00:00,L5,230.21,224.09
1988-12-11 09:36:09+00:00,L5,224.47,210.25
1988-12-27 09:36:03+00:00,L5,228.48,210.28
1989-01-05 09:30:16+00:00,L5,221.85,213.74
1989-01-28 09:35:43+00:00,L5,230.15,219.75
1989-02-06 09:29:35+00:00,L5,236.14,224.51
1989-03-26 09:28:53+00:00,L5,231.11,222.18
1989-04-02 09:34:48+00:00,L5,243.18,239.97
1989-04-11 09:28:42+00:00,L5,,
1989-05-13 09:28:07+00:00,L5,327.08,409.67
1989-05-20 09:34:09+00:00,L5,240.72,236.07
1989-05-29 09:28:17+00:00,L5,230.70,226.40
1989-06-14 09:27:46+00:00,L5,236.82,236.06
1989-06-30 09:27:39+00:00,L5,228.69,225.38
1989-07-16 09:27:19+00:00,L5,238.45,238.05
1989-07-23 09:32:57+00:00,L5,228.62,229.98
1989-08-01 09:26:59+00:00,L5,224.24,229.92
1989-08-24 09:32:15+00:00,L5,228.19,227.25
1989-09-18 09:25:20+00:00,L5,233.25,228.90
1989-09-25 09:31:28+00:00,L5,232.62,234.72
1989-10-04 09:25:12+00:00,L5,229.75,230.80
1989-10-11 09:31:06+00:00,L5,236.32,233.92
1989-10-20 09:24:51+00:00,L5,231.86,209.03
1989-10-27 09:30:27+00:00,L5,235.17,232.74
1989-11-12 09:30:07+00:00,L5,229.99,223.03
1989-11-28 09:29:40+00:00,L5,224.85,217.53
1989-12-14 09:29:14+00:00,L5,242.93,231.06
1989-12-23 09:23:10+00:00,L5,217.09,225.11
1990-01-31 09:27:43+00:00,L5,242.29,222.55
1990-02-09 09:21:14+00:00,L5,339.92,372.57
1990-02-16 09:27:12+00:00,L5,231.91,223.82
1990-03-04 09:26:38+00:00,L5,238.44,233.67
1990-04-14 09:19:47+00:00,L5,238.27,233.67
1990-05-16 09:19:49+00:00,L5,242.43,232.28
1990-06-01 09:19:44+00:00,L5,235.34,238.17
1990-06-17 09:20:06+00:00,L5,217.31,219.61
1990-06-24 09:25:54+00:00,L5,232.70,229.75
1990-07-03 09:20:06+00:00,L5,236.89,228.10
1990-07-10 09:25:52+00:00,L5,236.16,233.63
1990-07-19 09:20:01+00:00,L5,228.85,228.57
1990-07-26 09:25:48+00:00,L5,232.22,231.52
1990-08-04 09:19:56+00:00,L5,236.83,232.98
1990-08-11 09:25:43+00:00,L5,237.78,234.19
1990-08-20 09:19:54+00:00,L5,239.66,236.09
1990-09-05 09:19:46+00:00,L5,240.22,231.60
1990-09-12 09:25:35+00:00,L5,231.20,225.16
1990-09-28 09:25:26+00:00,L5,235.62,231.59
1990-10-14 09:25:20+00:00,L5,222.32,218.93
1990-10-30 09:25:11+00:00,L5,245.07,241.54
1990-11-15 09:25:13+00:00,L5,235.94,210.34
1990-12-26 09:19:37+00:00,L5,222.45,213.64
1991-01-02 09:25:37+00:00,L5,222.77,206.42
1991-01-11 09:20:03+00:00,L5,227.87,223.55
1991-01-27 09:20:30+00:00,L5,217.96,219.13
1991-02-12 09:20:42+00:00,L5,233.61,222.26
1991-04-01 09:21:34+00:00,L5,238.32,238.69
1991-04-08 09:27:30+00:00,L5,234.66,237.04
1991-05-26 09:28:22+00:00,L5,229.62,225.55
1991-06-27 09:28:49+00:00,L5,225.73,222.75
1991-07-06 09:22:46+00:00,L5,238.69,226.54
1991-07-13 09:28:57+00:00,L5,231.47,229.79
1991-07-22 09:22:58+00:00,L5,237.57,230.99
1991-07-29 09:29:13+00:00,L5,243.12,239.58
1991-08-07 09:23:28+00:00,L5,242.71,232.85
1991-08-14 09:29:15+00:00,L5,231.57,232.64
1991-08-23 09:23:10+00:00,L5,229.23,227.74
1991-09-08 09:23:24+00:00,L5,233.64,234.72
1991-09-24 09:23:55+00:00,L5,241.21,234.26
1991-10-01 09:29:43+00:00,L5,233.08,230.06
1991-10-17 09:29:54+00:00,L5,238.59,236.42
1991-11-02 09:29:52+00:00,L5,228.44,225.76
1991-11-11 09:24:09+00:00,L5,237.38,225.19
1991-11-27 09:23:53+00:00,L5,,
1992-01-05 09:29:59+00:00,L5,232.99,219.10
1992-01-14 09:24:13+00:00,L5,216.74,208.65
1992-02-06 09:29:56+00:00,L5,230.44,220.01
1992-02-15 09:24:02+00:00,L5,232.02,228.07
1992-04-10 09:29:42+00:00,L5,,
1992-04-19 09:23:54+00:00,L5,235.15,231.27
1992-04-26 09:29:58+00:00,L5,236.69,233.06
1992-05-12 09:29:27+00:00,L5,233.57,236.75
1992-06-06 09:23:03+00:00,L5,222.77,224.95
1992-06-13 09:29:08+00:00,L5,233.26,230.89
1992-06-29 09:28:56+00:00,L5,235.45,232.22
1992-07-15 09:28:44+00:00,L5,245.38,237.28
1992-07-31 09:28:32+00:00,L5,229.66,229.47
1992-08-09 09:22:38+00:00,L5,233.71,234.62
1992-08-16 09:28:17+00:00,L5,230.74,230.24
1992-09-01 09:28:02+00:00,L5,233.95,231.75
1992-09-10 09:21:44+00:00,L5,236.22,228.50
1992-09-26 09:21:49+00:00,L5,232.83,225.36
1992-11-04 09:26:58+00:00,L5,228.07,220.35
1992-12-06 09:26:58+00:00,L5,224.69,215.71
1992-12-15 09:20:52+00:00,L5,216.56,208.76
1993-01-07 09:27:16+00:00,L5,232.05,215.45
1993-01-23 09:27:27+00:00,L5,226.29,219.54
1993-02-01 09:21:47+00:00,L5,220.91,226.74
1993-02-08 09:27:38+00:00,L5,170.99,174.05
1993-02-17 09:21:30+00:00,L5,223.47,225.69
1993-03-12 09:27:54+00:00,L5,244.88,241.08
1993-03-21 09:21:43+00:00,L5,237.26,230.67
1993-04-06 09:22:12+00:00,L5,232.14,229.23
1993-04-22 09:21:58+00:00,L5,231.72,230.74
1993-05-08 09:22:01+00:00,L5,236.17,233.55
1993-05-15 09:28:13+00:00,L5,242.17,240.46
1993-05-31 09:28:16+00:00,L5,239.74,232.82
1993-06-09 09:22:05+00:00,L5,231.84,231.41
1993-06-16 09:28:14+00:00,L5,239.28,240.35
1993-06-25 09:22:00+00:00,L5,232.26,231.62
1993-07-11 09:22:22+00:00,L5,235.29,231.70
1993-07-18 09:28:08+00:00,L5,231.76,229.58
1993-07-27 09:21:57+00:00,L5,228.40,227.07
1993-08-03 09:28:08+00:00,L5,231.34,230.25
1993-08-12 09:21:57+00:00,L5,237.51,231.67
1993-08-19 09:28:08+00:00,L5,233.07,228.98
1993-10-06 09:27:59+00:00,L5,233.48,229.60
1993-11-07 09:27:46+00:00,L5,230.21,221.75
1993-12-02 09:21:27+00:00,L5,161.68,130.48
1994-01-03 09:21:08+00:00,L5,230.47,219.21
1994-01-26 09:26:59+00:00,L5,329.97,
1994-02-27 09:26:35+00:00,L5,232.35,223.50
1994-03-08 09:20:16+00:00,L5,238.50,228.16
1994-03-15 09:26:21+00:00,L5,244.99,235.34
1994-03-24 09:20:26+00:00,L5,235.92,233.34
1994-03-31 09:26:06+00:00,L5,245.87,233.38
1994-04-25 09:19:27+00:00,L5,238.63,233.17
1994-05-02 09:25:29+00:00,L5,228.30,228.52
1994-05-11 09:19:08+00:00,L5,240.51,234.93
1994-07-05 09:24:11+00:00,L5,234.46,235.56
1994-07-14 09:17:44+00:00,L5,235.52,233.44
1994-07-30 09:17:17+00:00,L5,228.71,233.07
1994-08-15 09:16:52+00:00,L5,232.37,229.23
1994-08-22 09:22:53+00:00,L5,238.88,229.07
1994-08-31 09:16:29+00:00,L5,236.92,232.82
1994-09-07 09:22:29+00:00,L5,245.47,236.91
1994-10-18 09:15:07+00:00,L5,191.17,222.86
1994-10-25 09:21:04+00:00,L5,232.82,230.01
1994-11-03 09:14:33+00:00,L5,215.56,216.80
1994-12-12 09:19:28+00:00,L5,231.29,219.71
1994-12-21 09:13:24+00:00,L5,374.77,199.41
1995-03-11 09:09:57+00:00,L5,227.83,234.20
1995-03-18 09:15:50+00:00,L5,234.22,234.81
1995-03-27 09:09:40+00:00,L5,233.12,231.55
1995-04-12 09:08:37+00:00,L5,234.92,232.93
1995-04-19 09:14:30+00:00,L5,237.37,230.58
1995-05-05 09:13:47+00:00,L5,242.81,238.59
1995-05-14 09:07:35+00:00,L5,223.86,223.06
1995-05-21 09:13:04+00:00,L5,238.40,231.68
1995-05-30 09:06:52+00:00,L5,238.75,232.92
1995-06-06 09:12:19+00:00,L5,232.91,229.70
1995-06-15 09:05:44+00:00,L5,235.32,232.49
1995-07-01 09:05:02+00:00,L5,237.56,234.88
1995-07-08 09:10:53+00:00,L5,239.07,237.49
1995-07-17 09:04:40+00:00,L5,239.18,236.38
1995-07-24 09:10:32+00:00,L5,231.27,229.60
1995-08-02 09:03:58+00:00,L5,243.78,243.47
1995-08-09 09:09:25+00:00,L5,231.85,228.10
1995-09-03 09:02:05+00:00,L5,234.04,236.40
1995-09-10 09:07:55+00:00,L5,236.45,233.30
1995-10-21 08:59:36+00:00,L5,232.84,231.67
1995-11-06 08:59:03+00:00,L5,227.73,230.87
1995-12-15 09:06:48+00:00,L5,227.55,214.73
1996-01-16 09:09:06+00:00,L5,230.60,223.67
1996-02-17 09:11:19+00:00,L5,233.68,226.93
1996-03-13 09:07:12+00:00,L5,237.88,232.61
1996-03-29 09:07:49+00:00,L5,227.73,228.73
1996-04-05 09:14:27+00:00,L5,236.96,238.38
1996-04-21 09:15:25+00:00,L5,228.12,229.93
1996-05-16 09:10:42+00:00,L5,236.72,230.10
1996-05-23 09:17:17+00:00,L5,239.40,241.20
1996-06-01 09:11:36+00:00,L5,240.97,240.05
1996-06-08 09:18:10+00:00,L5,236.55,236.59
1996-07-03 09:13:19+00:00,L5,238.35,234.19
1996-07-10 09:19:52+00:00,L5,240.24,234.46
1996-07-19 09:14:10+00:00,L5,229.75,231.63
1996-08-04 09:15:24+00:00,L5,232.84,233.62
1996-08-20 09:16:14+00:00,L5,235.49,237.98
1996-09-05 09:16:44+00:00,L5,231.96,232.26
1996-09-12 09:23:18+00:00,L5,224.75,227.00
1996-09-28 09:24:09+00:00,L5,232.66,226.87
1996-10-23 09:19:16+00:00,L5,238.80,234.30
1996-10-30 09:25:47+00:00,L5,238.38,227.91
1996-11-15 09:26:32+00:00,L5,232.47,219.54
1996-11-24 09:20:46+00:00,L5,,
1996-12-26 09:22:18+00:00,L5,225.76,217.55
1997-02-19 09:30:58+00:00,L5,234.89,232.70
1997-03-16 09:26:11+00:00,L5,227.71,229.55
1997-03-23 09:32:13+00:00,L5,239.25,237.58
1997-04-01 09:26:22+00:00,L5,234.52,232.47
1997-04-24 09:33:22+00:00,L5,241.60,236.26
