dates,nzd0110-0000,nzd0110-0001,nzd0110-0002,nzd0110-0003,nzd0110-0004,nzd0110-0005,nzd0110-0006,nzd0110-0007,nzd0110-0008,satname
1999-08-26 22:04:44+00:00,392.71,393.50,401.49,393.29,387.41,392.98,394.81,399.62,400.69,L7
1999-09-27 22:04:48+00:00,388.89,387.28,396.47,394.55,388.87,376.19,397.60,402.11,413.09,L7
1999-10-13 22:04:48+00:00,381.12,383.74,398.07,386.34,390.84,395.47,393.57,398.01,405.26,L7
1999-11-14 22:04:42+00:00,391.35,386.07,385.81,388.56,383.94,400.83,397.34,392.89,405.23,L7
2000-07-11 22:03:17+00:00,389.06,380.74,383.61,382.01,381.74,382.53,388.66,393.97,397.53,L7
2001-05-11 22:01:45+00:00,373.56,374.58,382.93,381.08,387.32,387.40,388.94,398.86,401.31,L7
2001-06-28 22:01:09+00:00,401.22,393.12,393.79,384.07,384.76,386.81,382.10,400.84,393.25,L7
2001-07-14 22:01:09+00:00,392.81,388.18,390.04,386.75,384.84,386.01,388.86,402.31,399.01,L7
2001-08-15 22:00:38+00:00,398.51,388.22,389.78,387.63,387.40,385.17,386.46,399.49,,L7
2001-09-16 22:00:17+00:00,366.59,359.72,364.49,365.26,370.17,368.57,366.89,374.35,,L7
2001-10-02 22:00:04+00:00,372.53,373.36,379.12,377.32,378.35,376.78,380.50,387.40,395.80,L7
2001-12-05 22:00:18+00:00,371.30,371.94,376.47,377.54,367.13,374.12,382.58,390.99,394.72,L7
2002-01-22 22:00:40+00:00,381.16,376.49,387.01,386.78,379.39,383.63,381.50,394.02,400.69,L7
2002-02-23 22:00:43+00:00,391.99,384.72,389.96,384.64,390.68,388.69,389.88,400.07,408.29,L7
2002-03-27 22:00:37+00:00,374.40,370.95,377.14,377.75,375.62,377.41,375.87,385.17,393.15,L7
2002-04-28 22:00:38+00:00,381.96,380.86,379.01,389.97,383.21,384.09,386.69,400.82,402.89,L7
2002-07-17 22:00:08+00:00,399.64,392.44,397.35,393.42,389.99,391.33,399.51,402.64,403.01,L7
2002-08-02 22:00:01+00:00,393.66,389.26,395.17,390.85,398.69,391.34,395.76,402.25,408.70,L7
2002-08-18 21:59:57+00:00,,,386.35,384.64,389.25,382.54,384.77,391.50,401.53,L7
2002-09-19 21:59:35+00:00,387.12,383.48,382.96,379.90,380.95,383.84,387.24,390.73,391.11,L7
2002-10-14 21:53:19+00:00,,388.96,,,,,,,,L7
2002-10-21 21:59:36+00:00,,,,,382.08,380.47,386.00,388.15,394.92,L7
2002-11-22 21:59:57+00:00,388.77,384.97,391.52,389.93,390.99,393.02,392.38,398.00,408.86,L7
2002-12-24 22:00:09+00:00,378.57,383.88,384.51,392.85,380.92,384.44,393.49,395.51,419.44,L7
2003-01-25 22:00:18+00:00,389.05,381.41,377.54,386.51,384.11,384.81,386.32,387.61,400.56,L7
2003-03-30 22:00:31+00:00,385.41,381.19,389.46,384.66,382.78,382.08,380.63,392.23,396.71,L7
2003-08-05 22:00:11+00:00,388.22,385.83,388.79,389.36,396.37,389.62,389.73,399.48,398.32,L7
2003-08-06 21:42:27+00:00,404.69,390.38,393.01,393.81,397.42,393.30,396.18,400.69,404.46,L5
2003-08-13 21:48:45+00:00,376.72,377.91,379.49,379.01,378.37,380.83,384.84,397.16,397.22,L5
2003-09-14 21:49:18+00:00,376.25,382.78,382.52,383.28,385.73,384.81,389.20,399.18,403.57,L5
2003-11-17 21:50:09+00:00,386.21,382.16,394.91,391.83,,,,,,L5
2003-12-19 21:50:27+00:00,393.13,381.40,385.46,383.47,378.63,379.77,385.88,390.89,402.45,L5
2004-05-03 22:00:59+00:00,389.97,380.43,391.00,387.27,384.80,388.28,392.32,389.04,396.56,L7
2004-06-05 21:46:48+00:00,,402.41,397.00,403.90,404.43,408.21,405.82,401.83,412.89,L5
2004-06-21 21:47:16+00:00,,,,406.41,403.28,395.15,384.69,395.68,397.81,L5
2004-07-06 22:00:48+00:00,393.01,388.24,396.95,396.39,394.48,393.67,397.31,402.28,401.89,L7
2004-07-22 22:00:44+00:00,392.63,386.17,400.28,398.74,390.96,400.65,392.43,398.15,409.74,L7
2004-07-23 21:48:09+00:00,395.09,390.53,404.54,410.77,413.74,418.02,413.62,412.56,402.75,L5
2004-07-30 21:54:28+00:00,398.54,392.19,392.21,389.11,388.02,390.76,389.88,393.95,396.39,L5
2004-08-07 22:00:37+00:00,393.69,391.36,399.09,391.74,383.70,390.41,385.72,400.38,398.40,L7
2004-08-08 21:48:26+00:00,391.99,387.11,393.16,386.29,379.91,385.48,385.88,387.49,386.31,L5
2004-09-25 21:49:43+00:00,,,390.78,387.87,390.89,386.22,393.67,399.73,407.47,L5
2004-11-03 21:56:42+00:00,375.30,372.89,375.32,378.82,376.74,387.47,,,,L5
2004-11-04 21:54:31+00:00,377.86,375.45,381.42,385.80,384.72,394.44,402.65,392.57,405.77,L7
2004-11-11 22:00:45+00:00,381.41,374.54,380.49,373.55,,378.68,,387.32,395.39,L7
2004-11-27 22:00:53+00:00,,,381.16,388.15,382.72,390.41,,,,L7
2005-01-14 22:01:13+00:00,381.52,382.85,389.03,386.74,387.27,389.84,398.06,406.39,417.27,L7
2005-02-23 21:58:31+00:00,378.54,376.11,378.38,381.64,384.85,383.52,386.61,390.99,403.13,L5
2005-03-03 22:01:30+00:00,394.06,386.45,378.72,392.30,391.59,394.24,399.88,388.99,403.52,L7
2005-03-11 21:58:44+00:00,379.88,382.78,383.30,396.12,386.09,390.06,392.90,401.94,413.95,L5
2005-03-19 22:01:30+00:00,385.16,381.24,378.65,380.46,385.96,385.74,394.13,390.52,399.58,L7
2005-05-06 22:01:25+00:00,382.55,379.16,381.73,383.73,378.98,381.67,376.59,391.11,391.42,L7
2005-07-09 22:01:14+00:00,392.95,392.52,389.24,401.68,397.11,400.24,402.19,398.72,407.99,L7
2005-07-17 21:59:35+00:00,391.45,384.24,385.74,381.83,379.99,386.63,389.47,395.14,399.80,L5
2005-09-19 21:59:56+00:00,385.75,385.99,395.14,386.17,386.42,384.35,388.76,394.32,407.24,L5
2005-10-05 21:59:53+00:00,383.19,384.21,391.43,391.21,387.33,386.47,391.77,394.15,401.20,L5
2005-11-30 22:01:24+00:00,378.49,373.02,374.22,378.83,376.79,380.06,381.90,384.73,397.76,L7
2006-02-03 21:55:55+00:00,393.07,,,,,,,,,L5
2006-02-18 22:01:53+00:00,374.80,373.88,382.68,377.39,371.12,371.77,384.56,393.68,399.16,L7
2006-03-07 21:56:35+00:00,,,,,,359.80,364.72,,,L5
2006-05-17 22:03:57+00:00,399.29,397.56,394.99,402.34,404.76,,,406.74,415.38,L5
2006-06-26 22:01:44+00:00,,,,,,396.51,402.92,,,L7
2006-06-27 21:58:24+00:00,,,,358.91,,,,,,L5
2006-07-04 22:04:41+00:00,,386.19,387.40,383.66,387.15,392.30,398.00,397.22,403.16,L5
2006-07-28 22:01:30+00:00,396.16,388.19,396.87,402.37,392.64,403.23,395.24,401.68,409.48,L7
2006-08-21 22:05:19+00:00,396.28,388.74,391.06,388.01,387.47,384.14,387.14,389.35,394.46,L5
2006-09-14 22:01:21+00:00,399.83,397.20,433.56,399.03,,,400.54,,402.08,L7
2006-10-01 21:59:38+00:00,,,,,372.02,,,,,L5
2006-11-26 21:55:41+00:00,396.50,405.91,408.64,403.56,402.08,395.08,,376.58,411.75,L7
2006-12-11 22:06:52+00:00,367.66,365.03,385.62,384.42,383.63,395.26,401.40,417.27,435.47,L5
2007-05-12 22:02:11+00:00,399.27,393.47,391.02,387.12,394.25,388.64,391.31,400.26,408.17,L7
2007-05-28 22:02:04+00:00,,404.65,413.96,388.71,383.76,386.23,392.42,411.56,,L7
2007-09-09 22:04:57+00:00,380.88,376.19,380.75,,,,381.45,385.08,387.71,L5
2007-10-12 21:55:23+00:00,,,,,,,,,412.73,L7
2007-10-28 21:55:34+00:00,379.62,383.76,389.97,384.00,386.82,390.33,397.85,404.93,413.12,L7
2008-01-16 21:55:59+00:00,,,,379.80,376.66,383.53,376.79,387.83,400.07,L7
2008-01-23 22:02:09+00:00,372.70,376.93,381.96,382.78,373.11,380.44,387.33,394.32,401.71,L7
2008-02-01 21:55:57+00:00,,,,,,383.42,394.70,397.31,404.23,L7
2008-05-07 21:55:40+00:00,381.51,383.80,387.03,384.32,388.73,386.82,392.32,399.12,401.04,L7
2008-05-14 22:01:48+00:00,398.64,394.46,393.06,393.09,395.90,389.37,395.47,399.32,410.85,L7
2008-08-18 22:00:56+00:00,392.96,385.72,400.75,392.08,391.01,395.69,391.06,396.97,400.31,L7
2008-09-03 22:00:49+00:00,,,,375.65,371.70,369.44,390.81,390.53,396.60,L7
