,dates,usa_HI_0009-0000,usa_HI_0009-0001,usa_HI_0009-0002
0,1991-11-10 20:18:16+00:00,204.17958733068824,192.0017130814317,188.27570286039636
1,1991-11-26 20:18:23+00:00,193.42623938220788,188.32776432397185,181.498617104434
2,1991-12-12 20:18:31+00:00,,180.51646429764526,180.342730111185
3,1999-07-03 20:46:48+00:00,,187.16835675790193,190.72588511324267
4,1999-09-05 20:46:59+00:00,,187.5535822872808,189.20118482598755
5,1999-11-24 20:46:49+00:00,198.53312693804517,197.1297114773307,187.93245642010018
6,2000-01-11 20:46:54+00:00,187.36650404027014,177.2589133975777,188.11277767566116
7,2000-02-12 20:46:47+00:00,213.23587226040155,207.20178257060226,200.6924788130773
8,2000-03-15 20:46:37+00:00,204.9849769980367,200.4774031313719,196.97377590664095
9,2000-05-18 20:46:08+00:00,198.93868378823254,187.58669030409195,187.0230444810294
10,2000-06-03 20:45:56+00:00,200.6783943406245,192.2048608493266,193.99140403045823
11,2000-06-19 20:45:53+00:00,183.10778221435544,178.61986690848937,189.31515470599317
12,2000-08-06 20:45:09+00:00,182.03224071680583,183.8800930646203,186.82209672872318
13,2000-09-07 20:44:48+00:00,191.5931721991331,187.89980424946992,190.43265167464256
14,2000-09-23 20:44:31+00:00,179.78104545190192,190.2094776447378,197.44497141764964
15,2000-11-26 20:44:25+00:00,199.67378984600768,193.241993299007,190.27224264879766
16,2000-12-28 20:44:30+00:00,211.81314122489906,192.32716553800608,185.9493998826711
17,2001-03-02 20:44:23+00:00,208.14007757976734,199.51350523318268,195.72259177818566
18,2001-03-18 20:44:17+00:00,,,197.82165583536136
19,2001-04-03 20:44:06+00:00,183.80364428742539,,
20,2001-07-24 20:43:19+00:00,190.84734175232182,188.13031473389773,188.91263302134675
21,2001-08-25 20:42:49+00:00,,189.61370809615082,184.7870128058825
22,2001-09-10 20:42:38+00:00,192.09006899634232,187.0022603619829,190.67113349151447
23,2001-09-26 20:42:29+00:00,197.7446392552125,186.36515842859401,181.7142932843747
24,2001-11-29 20:42:36+00:00,209.39256941864818,201.11909123886426,194.53991227681752
25,2002-01-16 20:42:50+00:00,204.03257993595327,196.8750180618408,183.82911240844174
26,2002-02-01 20:42:53+00:00,188.71908863354648,171.91791331867802,166.87143754862075
27,2002-02-17 20:42:54+00:00,,181.85659750879134,177.19591514239136
28,2002-04-22 20:42:49+00:00,190.2892325122726,179.38501930147905,186.92443415765499
29,2002-05-24 20:42:43+00:00,209.22409364857089,199.22910952608362,200.8865617108508
30,2002-06-09 20:42:36+00:00,192.65309302300494,191.016724579619,189.55259762832424
31,2002-06-25 20:42:29+00:00,185.03889543791584,182.9935905359508,192.47943254670125
32,2002-11-16 20:42:04+00:00,186.5903895627166,179.2483831469633,
33,2002-12-02 20:42:19+00:00,209.9380525289002,194.38612486686608,181.4897158705347
34,2003-02-04 20:42:40+00:00,217.69138371360637,203.57453504527106,206.9940355424706
35,2003-03-24 20:42:41+00:00,206.05336802882542,203.0241972178479,198.966142292081
36,2003-04-25 20:42:48+00:00,,181.8308958854589,177.45971735527334
37,2003-05-27 20:42:45+00:00,207.97260621936792,201.8719598859927,197.53954750401766
38,2003-07-30 20:42:30+00:00,,,
39,2003-08-31 20:42:24+00:00,199.60044361659118,194.17334728945218,188.49185976868338
40,2003-10-18 20:42:18+00:00,,,
41,2003-11-03 20:42:27+00:00,,188.90405790480747,188.84368787421906
42,2004-01-06 20:42:58+00:00,,,206.25318748981366
43,2004-01-22 20:43:05+00:00,,185.05777707746813,179.92613790075433
44,2004-02-07 20:43:10+00:00,,,
45,2004-04-27 20:43:12+00:00,,,
46,2004-05-29 20:43:12+00:00,178.29531822043563,182.85599397570795,186.4285136493859
47,2004-08-01 20:42:53+00:00,189.7601992438195,192.5660919410004,194.12109666130397
48,2004-09-02 20:42:47+00:00,,,201.79366121138912
49,2004-09-18 20:42:41+00:00,189.92529525869617,191.89704660565943,192.46440629107948
50,2004-10-20 20:42:46+00:00,185.54151048594636,181.66885248398333,185.93396346104925
51,2004-11-21 20:43:04+00:00,197.20262614611204,191.39346846040976,187.3743272954042
