,dates,nzd0019-0000,nzd0019-0001,nzd0019-0002,nzd0019-0003,nzd0019-0004,nzd0019-0005,nzd0019-0006,nzd0019-0007,nzd0019-0008,nzd0019-0009,nzd0019-0010,nzd0019-0011
0,1999-08-17 22:10:26+00:00,194.01114456926365,187.1923634717126,184.15322881350747,195.63155473481686,218.93598120109633,219.09256447983722,201.2791801295185,204.3663406617503,199.4369154812381,196.84996738724266,190.415276783739,180.90764238532398
1,1999-09-27 22:04:25+00:00,,,,,,,,,,,189.09664156584262,171.05998309462134
2,1999-10-04 22:10:38+00:00,209.51706748068898,184.77273273744146,204.43137749434146,216.43122203747552,233.54149027689056,,,,,,,
3,1999-10-13 22:04:24+00:00,,,,197.77403874271295,218.1316775337822,220.33380610511557,203.67316863114553,199.65219977305503,199.76971536379057,200.42117171997847,194.5932633907951,173.0714660765111
4,1999-11-14 22:04:18+00:00,,,,,,,,,211.81422329305457,210.98807141175783,199.3546897480426,191.6698769923471
5,1999-11-21 22:10:24+00:00,196.31358948610668,193.04195985625492,200.72648608936197,206.52990388942783,223.84983667012074,227.72715227491557,216.2903648293397,216.80186289310598,217.84082844985892,216.67832391083448,209.90772898029763,187.67547142417084
6,2000-02-09 22:10:19+00:00,204.19878271509862,206.5333015374058,208.79608153783954,222.1573135467229,231.28455947262057,238.92493930991333,226.00477035599692,225.21733400944635,226.84354341939604,223.8709946151862,220.8139932180023,203.6753832429854
7,2000-04-29 22:09:53+00:00,222.89428443981376,216.93729745596033,218.48874572111882,228.51844079145172,250.82841384042817,251.85881847495247,240.82355209440158,241.00631114850356,240.21212955845152,241.57580174103333,231.37844156474193,224.8214140255067
8,2000-05-15 22:09:42+00:00,207.84521359643765,202.39132125642644,207.39183307260248,220.97391847919445,233.72266475864888,238.1757811630509,228.75214410260753,226.63867536495752,224.78746644312733,221.89576534838946,219.91709218717318,211.63030307626647
9,2000-08-03 22:08:44+00:00,186.0472881033329,186.3640276622176,181.23203050577075,192.69078432239428,203.3738974736402,212.6389955208376,201.1540305669918,199.51690987629905,203.8482966883985,202.52737563709377,195.0193093265529,169.40704217865985
10,2000-08-19 22:08:38+00:00,184.46989594528335,175.87100632093998,180.03884088759344,185.45253751942613,198.537000813364,207.2817714598596,195.48548055852416,190.63666827987933,195.15858225186287,191.3293619885979,186.3063654357571,161.80428333004966
11,2000-09-20 22:08:03+00:00,201.52697735745505,202.39857925964154,202.65137864672204,206.35202178946787,223.5150856954382,230.38651393847525,216.62409637929568,215.88881137325853,216.91964629951335,212.6709743978618,207.03872898998083,195.72668227937766
12,2000-10-06 22:07:59+00:00,219.6740599279989,210.91085801346824,209.48519982272185,218.73264305444022,236.8846021313745,242.42234365239725,234.63168125304497,230.14437898075107,227.79061317232538,224.81703421016823,219.48564023650016,211.15037279045947
13,2000-11-07 22:07:53+00:00,211.94767433444989,209.63238751398495,206.2663603438644,208.74064147331845,236.34878556206723,241.28495141293917,233.55558040642083,226.48047551031857,219.7073169676782,217.17463310471464,208.37132244922878,191.11911997097417
14,2001-01-26 22:08:07+00:00,203.6874734292319,206.92208168478388,209.3866315563769,225.32945478379528,237.47554795304248,240.35167156437788,231.01227996083668,225.49526454749974,221.93222581584172,224.20794796862174,213.95812227131083,208.13861820479343
15,2001-02-11 22:08:01+00:00,186.50416143804858,186.4313916968234,188.9847273407284,194.54885026448613,219.28269284899113,230.30094672165075,211.9619158089097,209.52401761835853,206.30925968768233,209.34639316500665,201.9804990194816,183.22042749335873
16,2001-02-27 22:07:54+00:00,,,,,,,,,,211.59096614329195,210.40943856233412,196.7265024041177
17,2001-06-03 22:07:16+00:00,,214.96430632423397,222.05080464563105,225.3830594835651,244.5463912800173,247.7547637193366,237.24635954114387,234.00760189948105,234.40887233598534,229.35767627251423,228.10697342517344,
18,2001-06-19 22:07:05+00:00,,208.35167376887506,209.37329348123572,219.58468525448714,232.17351711274733,241.00879108799074,231.21621845625833,225.66643025310947,227.51086954977302,224.63834104496917,215.910414215257,
19,2001-11-03 21:59:47+00:00,,,,,,,,,,,,173.0558279361005
20,2001-11-19 21:59:56+00:00,,,,206.63778813803776,228.3360840715917,234.65521994854916,222.69716389685846,222.16085791800157,218.18915181176806,214.59931843495323,206.44208797785046,196.9844889551198
21,2001-12-12 22:06:14+00:00,203.20250662156172,199.9559135754833,203.2295099837022,207.252123264322,224.5712482807985,230.90821294764493,218.59590120066588,216.34497743582497,217.2986330594732,213.05313334796085,209.2530139039048,
22,2001-12-21 22:00:05+00:00,,,,,,,,,,,,
23,2002-01-22 22:00:16+00:00,,219.03093163974032,225.62065065332055,228.77032772544032,248.8980265714062,250.0886671597009,238.71286085145093,234.17974481131074,228.89789159796328,233.93494065904338,231.5423255219093,226.0515088462592
