dates,nzd0102-0000,nzd0102-0001,nzd0102-0002,nzd0102-0003,nzd0102-0004,nzd0102-0005,nzd0102-0006,satname
1999-08-26 22:04:44+00:00,377.98,362.05,365.82,358.97,352.25,351.09,346.67,L7
1999-09-27 22:04:48+00:00,376.79,364.42,365.17,371.56,365.82,359.58,352.94,L7
1999-11-14 22:04:42+00:00,368.58,349.83,346.86,357.61,366.06,361.59,346.89,L7
2000-02-18 22:04:29+00:00,374.56,358.97,360.65,362.85,362.50,354.67,349.90,L7
2000-03-05 22:04:24+00:00,376.84,364.22,360.91,366.42,370.48,363.09,352.40,L7
2000-05-24 22:03:46+00:00,381.43,365.73,366.86,372.23,373.20,366.86,356.95,L7
2000-08-12 22:02:54+00:00,369.09,339.32,336.52,328.97,319.94,324.77,315.07,L7
2000-09-13 22:02:26+00:00,344.93,334.36,327.15,323.71,333.17,338.21,338.34,L7
2000-10-15 22:01:56+00:00,353.65,336.18,333.79,327.47,338.58,335.91,330.45,L7
2000-12-18 22:02:14+00:00,346.41,333.82,332.93,325.15,319.75,330.44,323.31,L7
2001-01-03 22:02:12+00:00,349.19,341.75,352.43,339.34,338.13,353.83,344.72,L7
2001-03-08 22:02:09+00:00,349.36,338.89,336.54,326.01,339.08,332.87,326.74,L7
2001-05-11 22:01:45+00:00,352.05,336.33,337.59,331.75,331.35,334.02,320.03,L7
2001-06-28 22:01:09+00:00,353.73,340.23,334.48,332.07,343.07,352.63,344.87,L7
2001-10-02 22:00:04+00:00,,324.80,333.06,334.23,,,,L7
2001-11-03 22:00:10+00:00,,,,340.03,333.55,333.82,331.64,L7
2001-12-05 22:00:18+00:00,341.73,326.78,336.36,336.44,326.01,335.92,328.12,L7
2002-01-06 22:00:31+00:00,353.45,343.90,347.54,348.89,345.99,349.12,349.62,L7
2002-01-22 22:00:40+00:00,350.77,340.84,345.64,352.29,351.61,355.86,355.68,L7
2002-03-27 22:00:37+00:00,344.41,336.64,337.11,338.90,328.63,334.76,330.65,L7
2002-07-17 22:00:08+00:00,359.53,347.53,343.36,344.77,360.06,345.12,334.37,L7
2002-11-06 21:59:41+00:00,354.50,338.14,354.43,328.29,322.09,345.08,324.45,L7
2003-01-25 22:00:18+00:00,338.83,351.21,361.76,357.73,350.87,356.88,,L7
2003-08-05 22:00:11+00:00,344.52,334.23,326.63,322.24,,,,L7
2003-08-06 21:42:27+00:00,,,333.98,332.29,336.16,346.56,352.25,L5
2003-11-09 22:00:18+00:00,359.60,343.26,349.26,341.17,341.94,350.99,351.92,L7
2003-12-03 21:50:19+00:00,379.13,357.05,363.26,352.96,353.04,369.91,371.34,L5
2003-12-19 21:50:27+00:00,363.04,348.19,346.28,347.99,343.52,346.01,348.27,L5
2004-01-28 22:00:52+00:00,384.61,373.35,377.22,372.66,367.41,371.48,363.21,L7
2004-04-01 22:01:04+00:00,377.87,375.43,370.90,365.90,358.02,361.30,355.50,L7
2004-06-05 21:46:48+00:00,,,,,368.91,,,L5
2004-06-20 22:00:50+00:00,338.18,346.61,348.94,341.61,345.84,342.54,340.49,L7
2004-06-21 21:47:16+00:00,,,,,,337.54,356.75,L5
2004-07-06 22:00:48+00:00,375.39,365.82,369.40,359.86,,,350.38,L7
2004-07-07 21:47:45+00:00,393.13,,,,,364.98,,L5
2004-07-23 21:48:09+00:00,,,,,,366.59,355.45,L5
2004-07-30 21:54:28+00:00,386.24,370.02,370.08,359.94,362.34,369.08,372.22,L5
2004-08-07 22:00:37+00:00,382.45,364.81,368.62,363.92,,,,L7
2004-09-16 21:55:41+00:00,383.18,375.53,383.19,387.10,376.05,376.14,365.39,L5
2004-09-25 21:49:43+00:00,,385.83,,,,,,L5
2004-10-10 22:00:20+00:00,367.68,362.87,363.28,364.86,350.96,351.69,354.09,L7
2004-10-18 21:56:23+00:00,402.45,389.46,398.36,401.51,391.89,387.51,378.04,L5
2004-11-03 21:56:42+00:00,376.52,371.15,382.27,380.22,370.92,369.73,368.58,L5
2004-11-11 22:00:45+00:00,,,370.89,369.64,358.19,354.68,352.26,L7
2004-11-19 21:56:55+00:00,,,373.73,377.03,371.85,378.46,370.74,L5
2004-12-21 21:57:36+00:00,361.78,365.89,378.40,382.33,369.39,372.23,360.01,L5
2005-01-14 22:01:13+00:00,373.35,361.61,372.02,,,,,L7
2005-02-15 22:01:25+00:00,374.55,,,,,359.03,357.31,L7
2005-02-23 21:58:31+00:00,362.52,358.69,361.52,352.98,351.47,358.07,359.59,L5
2005-03-03 22:01:30+00:00,380.31,364.18,,,,,,L7
2005-03-11 21:58:44+00:00,371.20,361.20,362.55,362.39,359.59,357.87,357.96,L5
2005-05-30 21:59:15+00:00,386.71,368.78,362.69,361.17,374.42,373.52,365.32,L5
2005-07-17 21:59:35+00:00,348.37,335.77,340.87,342.98,345.54,343.96,360.90,L5
2005-09-19 21:59:56+00:00,368.22,353.66,345.51,332.43,331.47,349.10,340.41,L5
2005-11-22 22:00:23+00:00,,349.36,353.00,357.44,357.02,365.92,363.03,L5
2005-11-30 22:01:24+00:00,357.11,332.39,340.97,341.52,,,,L7
2006-01-17 22:01:43+00:00,359.31,348.57,352.63,364.40,365.79,373.36,367.84,L7
2006-02-18 22:01:53+00:00,352.19,334.96,336.99,,332.90,341.24,,L7
2006-03-14 22:02:55+00:00,344.00,331.36,318.34,,333.91,339.74,334.06,L5
2006-05-09 22:01:52+00:00,368.88,353.47,351.21,357.03,348.69,356.05,352.42,L7
2006-05-17 22:03:57+00:00,391.34,380.46,378.14,385.19,391.85,392.08,391.30,L5
2006-06-10 22:01:49+00:00,377.74,366.90,357.78,353.87,358.00,358.08,361.99,L7
2006-07-04 22:04:41+00:00,370.36,356.70,353.39,341.23,344.85,348.12,352.12,L5
2006-07-28 22:01:30+00:00,364.69,354.49,357.14,342.10,344.10,354.95,347.83,L7
2006-08-21 22:05:19+00:00,368.86,359.60,357.22,362.31,356.03,368.66,363.48,L5
2006-09-14 22:01:21+00:00,361.92,355.95,355.11,350.87,344.14,351.15,355.36,L7
2006-09-22 22:05:43+00:00,,,,343.08,339.73,348.98,349.40,L5
2006-10-16 22:01:19+00:00,370.46,360.48,364.78,362.71,355.99,353.93,361.56,L7
2006-12-11 22:06:28+00:00,,,,,353.80,368.96,414.50,L5
2007-01-04 22:02:01+00:00,373.65,369.46,379.00,381.98,376.73,,,L7
2007-01-05 22:00:28+00:00,401.86,399.74,403.02,401.49,392.81,391.99,390.06,L5
2007-05-12 22:02:11+00:00,369.56,360.17,361.50,363.25,352.88,356.56,355.51,L7
2007-05-28 22:02:04+00:00,,,,,,,364.52,L7
2007-11-20 22:01:58+00:00,352.56,342.93,,,,,,L7
2008-01-23 22:02:09+00:00,344.08,333.12,331.61,321.32,321.30,335.27,324.90,L7
2008-05-14 22:01:48+00:00,368.76,352.91,353.17,344.05,358.82,377.28,368.12,L7
2008-08-18 22:00:56+00:00,370.22,357.49,362.12,345.92,348.33,349.51,341.64,L7
2008-10-21 22:00:36+00:00,372.82,350.74,357.96,342.00,344.71,344.69,342.22,L7
