dates,nzd0082-0000,nzd0082-0001,nzd0082-0002,nzd0082-0003,nzd0082-0004,nzd0082-0005,nzd0082-0006,nzd0082-0007,nzd0082-0008,nzd0082-0009,nzd0082-0010,nzd0082-0011,nzd0082-0012,nzd0082-0013,nzd0082-0014,nzd0082-0015,nzd0082-0016,nzd0082-0017,nzd0082-0018,nzd0082-0019,nzd0082-0020,nzd0082-0021,nzd0082-0022,nzd0082-0023,nzd0082-0024,nzd0082-0025,nzd0082-0026,nzd0082-0027,nzd0082-0028,nzd0082-0029,nzd0082-0030,nzd0082-0031,nzd0082-0032,nzd0082-0033,nzd0082-0034,nzd0082-0035,nzd0082-0036,nzd0082-0037,nzd0082-0038,nzd0082-0039,nzd0082-0040,nzd0082-0041,nzd0082-0042,nzd0082-0043,nzd0082-0044,nzd0082-0045,nzd0082-0046,nzd0082-0047,nzd0082-0048,nzd0082-0049,nzd0082-0050,nzd0082-0051,nzd0082-0052,nzd0082-0053,nzd0082-0054,nzd0082-0055,nzd0082-0056,nzd0082-0057,nzd0082-0058,nzd0082-0059,nzd0082-0060,nzd0082-0061,nzd0082-0062,nzd0082-0063,nzd0082-0064,nzd0082-0065,nzd0082-0066,nzd0082-0067,nzd0082-0068,nzd0082-0069,nzd0082-0070,nzd0082-0071,nzd0082-0072,nzd0082-0073,nzd0082-0074,nzd0082-0075,nzd0082-0076,nzd0082-0077,nzd0082-0078,nzd0082-0079,nzd0082-0080,nzd0082-0081,nzd0082-0082,nzd0082-0083,nzd0082-0084,nzd0082-0085,nzd0082-0086,nzd0082-0087,nzd0082-0088,nzd0082-0089,nzd0082-0090,nzd0082-0091,nzd0082-0092,nzd0082-0093,nzd0082-0094,nzd0082-0095,nzd0082-0096,nzd0082-0097,nzd0082-0098,nzd0082-0099,nzd0082-0100,nzd0082-0101,nzd0082-0102,nzd0082-0103,nzd0082-0104,nzd0082-0105,nzd0082-0106,nzd0082-0107,nzd0082-0108,nzd0082-0109,nzd0082-0110,nzd0082-0111,nzd0082-0112,nzd0082-0113,nzd0082-0114,nzd0082-0115,nzd0082-0116,nzd0082-0117,nzd0082-0118,nzd0082-0119,nzd0082-0120,nzd0082-0121,nzd0082-0122,nzd0082-0123,nzd0082-0124,nzd0082-0125,nzd0082-0126,nzd0082-0127,nzd0082-0128,nzd0082-0129,nzd0082-0130,nzd0082-0131,nzd0082-0132,nzd0082-0133,nzd0082-0134,nzd0082-0135,nzd0082-0136,nzd0082-0137,nzd0082-0138,nzd0082-0139,nzd0082-0140,nzd0082-0141,satname
1999-08-26 22:04:44+00:00,366.49,390.97,410.80,413.54,400.09,395.22,393.07,394.26,398.30,382.34,391.32,372.71,368.26,379.51,374.25,369.80,355.85,336.65,358.43,368.68,372.65,389.78,390.72,398.63,403.43,409.33,404.16,390.75,385.16,403.27,405.08,395.45,398.39,393.60,385.84,377.87,385.46,386.84,379.61,378.08,371.94,358.78,359.11,353.76,353.81,356.26,359.92,364.28,364.96,367.87,374.09,372.03,368.60,,,371.82,381.12,386.47,382.66,381.71,376.12,373.92,370.29,365.00,360.13,360.73,361.59,363.01,360.34,355.56,343.79,331.35,349.27,354.07,361.28,356.62,353.17,352.51,360.42,366.00,351.74,312.28,,,353.37,375.11,366.08,355.37,348.87,353.92,347.70,353.43,362.96,361.92,362.26,366.54,364.45,362.63,366.64,363.30,366.50,367.12,359.74,355.13,357.36,361.39,353.63,347.21,358.17,358.10,351.13,336.79,344.30,342.51,351.38,350.50,350.92,353.99,343.13,,320.27,336.63,347.66,348.26,357.60,355.91,345.48,332.14,328.27,,355.05,340.59,342.84,360.32,368.67,345.57,340.65,345.49,346.90,338.63,342.80,349.40,L7
1999-10-04 22:11:02+00:00,366.49,401.30,412.79,411.90,401.85,401.03,397.49,393.74,394.88,392.26,405.56,391.85,380.75,385.03,375.96,372.21,355.85,336.65,358.43,368.68,372.65,389.78,390.72,398.63,403.43,409.33,404.16,404.90,401.34,415.10,412.72,405.11,405.28,398.65,392.14,386.73,392.38,393.17,386.41,384.17,377.06,368.82,365.06,359.08,355.38,360.38,366.36,364.28,364.96,367.87,374.09,372.03,368.60,,,371.82,381.12,386.47,382.66,381.71,376.12,373.92,370.29,365.00,360.13,360.73,361.59,363.01,371.99,368.24,356.90,344.02,359.67,362.13,361.28,356.62,353.17,352.51,360.42,366.00,351.74,312.28,,,353.37,375.11,366.08,355.37,348.87,353.92,347.70,353.43,362.96,361.92,362.26,366.54,364.45,362.63,366.64,368.03,366.50,367.12,366.88,366.22,365.40,366.95,367.13,358.94,364.22,362.22,349.32,336.17,342.27,340.47,345.76,350.54,352.43,359.61,355.49,354.34,320.17,341.85,356.73,357.56,361.34,358.38,347.43,344.31,338.16,347.60,352.25,349.36,355.36,367.56,380.63,354.57,354.38,362.56,357.10,350.37,348.97,348.64,L7
2000-04-29 22:10:17+00:00,355.76,385.59,400.01,397.43,399.97,407.00,405.78,395.94,,,389.15,370.47,361.37,374.04,376.08,379.37,381.60,354.68,358.29,356.75,374.56,393.31,404.94,412.22,410.61,398.57,391.73,391.00,401.49,431.29,412.52,400.25,395.47,390.90,388.90,385.92,392.04,390.03,390.48,389.00,381.22,375.19,377.75,366.20,365.33,360.08,354.54,355.25,366.46,377.50,385.74,379.84,384.68,,,390.63,404.72,414.44,418.79,415.82,411.93,405.59,393.20,389.43,389.74,386.18,380.57,371.07,365.78,362.32,360.25,339.73,367.67,369.00,374.92,376.95,379.99,381.22,381.13,380.99,368.65,339.25,374.48,372.17,366.00,380.56,368.67,366.09,368.03,391.85,383.45,390.71,384.51,389.96,392.31,387.58,394.78,392.46,388.68,391.01,390.85,392.83,392.66,392.97,388.76,377.09,378.58,366.68,376.86,373.00,369.56,363.03,369.24,372.31,369.10,370.00,370.83,364.75,358.55,349.11,338.09,350.98,361.71,365.93,370.78,368.68,374.46,,379.52,381.31,386.71,378.19,387.78,378.89,358.10,357.18,362.49,375.95,356.98,371.56,363.97,354.07,L7
2000-05-24 22:03:46+00:00,355.76,385.59,400.01,397.43,399.97,407.00,405.78,395.94,,,389.15,370.47,361.37,374.04,376.08,379.37,381.60,354.68,358.29,356.75,374.56,393.31,404.94,412.22,410.61,398.57,391.73,391.00,401.49,431.29,412.52,400.25,395.47,390.90,388.90,385.92,392.04,390.03,390.48,389.00,381.22,375.19,377.75,366.20,365.33,360.08,354.54,355.25,366.46,377.50,385.74,379.84,384.68,,,390.63,404.72,414.44,418.79,415.82,411.93,405.59,393.20,389.43,389.74,386.18,380.57,371.07,365.78,362.32,360.25,339.73,367.67,369.00,374.92,376.95,379.99,381.22,381.13,380.99,368.65,339.25,374.48,372.17,366.00,380.56,368.67,366.09,368.03,391.85,383.45,390.71,384.51,389.96,392.31,387.58,394.78,392.46,388.68,391.01,390.85,392.83,392.66,392.97,388.76,377.09,378.58,366.68,376.86,374.00,371.48,365.41,374.84,377.93,373.89,375.12,373.40,364.56,354.85,349.11,338.09,341.01,354.94,357.43,363.08,365.39,364.48,,379.52,381.31,386.71,378.19,387.78,378.89,358.10,357.18,362.49,375.95,356.98,371.56,363.97,354.07,L7
2000-05-31 22:09:54+00:00,355.91,389.42,394.36,397.39,397.88,403.68,396.80,395.96,,,389.15,370.47,355.81,372.25,370.94,376.75,367.76,337.86,353.33,358.51,374.91,387.29,392.18,397.39,395.34,396.21,393.92,389.84,393.52,417.10,403.12,393.56,392.31,388.01,387.11,385.40,390.30,387.83,385.48,381.89,377.34,369.79,371.55,361.05,358.62,356.08,354.63,350.98,364.55,377.50,385.74,373.82,373.79,,,376.29,393.13,406.63,411.28,410.62,402.91,398.13,387.48,380.60,385.27,380.07,381.24,373.59,365.32,362.70,360.25,339.31,360.40,364.87,364.45,367.47,365.59,362.10,369.39,374.86,368.84,339.25,374.48,372.17,366.00,373.57,368.67,366.09,362.63,383.61,368.80,374.30,373.44,381.59,384.23,381.42,386.50,388.95,388.68,391.01,384.11,381.19,381.00,377.84,377.33,372.65,369.35,363.56,369.65,369.07,367.11,362.00,371.53,373.48,371.53,371.30,368.66,361.73,350.41,349.11,338.09,340.36,354.07,355.09,359.69,357.80,358.63,,379.45,381.25,379.27,352.24,387.78,373.07,371.68,356.62,359.28,366.29,357.05,365.41,356.50,361.35,L7
2000-07-11 22:03:17+00:00,355.91,389.42,394.36,397.39,397.88,403.68,396.80,395.96,,,389.15,370.47,355.81,372.25,370.94,376.75,367.76,337.86,353.33,358.51,374.91,387.29,392.18,397.39,395.34,396.21,393.92,389.84,393.52,417.10,403.12,393.56,392.31,388.01,387.11,385.40,390.30,387.83,385.48,381.89,377.34,369.79,371.55,361.05,358.62,356.08,354.63,350.98,364.55,377.50,385.74,373.82,373.79,,,376.29,393.13,406.63,411.28,410.62,402.91,398.13,387.48,380.60,385.27,380.07,381.24,373.59,365.32,362.70,360.25,339.31,368.17,364.87,357.99,361.11,361.56,361.89,373.65,383.55,368.84,339.25,387.28,376.25,369.09,373.57,368.67,379.51,372.55,384.02,368.80,374.30,373.44,381.59,384.23,381.42,386.50,388.95,388.68,391.01,384.11,381.19,381.00,377.84,377.33,372.65,369.35,363.56,369.65,369.07,367.11,362.00,371.53,373.48,371.53,371.30,368.66,361.73,350.41,349.11,338.09,340.36,354.07,355.09,359.69,357.80,358.63,,379.45,381.25,379.27,352.24,387.78,373.07,371.68,356.62,359.28,366.29,357.05,365.41,356.50,361.35,L7
2000-08-03 22:09:08+00:00,357.41,385.34,397.98,399.22,397.75,401.39,396.53,397.28,,,392.73,373.39,363.23,374.63,372.16,374.73,370.02,348.89,361.78,364.78,377.26,383.78,390.11,396.92,396.39,401.45,400.75,397.73,398.51,416.38,406.46,397.57,395.56,392.34,390.28,387.34,387.67,384.23,384.77,381.40,376.73,370.05,369.09,361.94,361.61,361.37,360.39,357.65,369.38,378.57,384.88,375.82,374.22,,,381.10,394.50,406.13,404.86,404.85,400.83,396.26,389.91,385.53,387.30,382.51,381.18,376.81,369.93,367.48,362.71,342.57,365.28,364.87,360.10,362.39,363.20,363.68,374.80,382.71,371.97,350.61,384.94,376.81,371.35,373.57,368.67,378.29,373.71,381.05,371.06,375.21,376.02,381.39,383.20,381.42,386.50,390.27,388.68,391.01,384.85,383.71,383.80,379.80,377.10,373.32,371.07,368.54,376.19,371.68,370.89,365.72,371.90,371.83,370.42,371.20,370.44,363.59,354.44,351.00,340.65,343.62,356.00,357.98,361.92,359.97,362.22,382.29,382.58,383.08,379.55,352.61,387.78,372.56,374.94,362.36,359.28,359.88,357.05,365.41,356.50,361.35,L7
2000-08-19 22:09:02+00:00,358.01,384.69,398.41,398.93,395.87,398.13,395.10,396.80,,,390.20,367.46,362.43,374.00,371.50,374.98,367.22,346.95,361.44,365.01,376.40,382.97,388.28,396.67,398.35,400.95,399.87,395.54,397.33,414.67,407.22,398.83,396.52,392.55,389.65,384.71,386.47,383.22,381.02,379.25,370.31,367.79,369.09,357.51,355.32,355.70,360.39,360.06,370.10,377.44,384.63,376.87,373.49,,,381.07,394.32,402.65,401.69,400.31,399.00,396.69,389.55,386.36,386.48,382.75,380.87,373.53,363.82,365.96,354.89,341.93,362.26,357.33,359.78,360.25,361.62,361.94,368.71,376.85,371.97,350.61,378.17,374.03,369.09,372.80,368.67,372.03,369.66,374.88,364.96,371.08,373.06,379.74,381.24,380.09,382.76,386.19,382.81,382.40,383.77,383.64,379.18,374.11,367.49,362.76,371.07,368.54,376.19,371.68,370.89,363.39,369.77,370.16,369.16,369.91,368.64,361.86,354.44,351.00,340.65,343.62,356.00,357.98,361.92,359.97,362.22,382.29,382.58,383.08,379.55,352.61,387.78,372.56,374.94,362.36,359.28,359.88,357.05,365.41,356.50,361.35,L7
2000-11-23 22:08:18+00:00,360.42,384.71,398.66,400.19,395.97,395.90,393.18,398.04,395.51,380.73,390.37,362.32,359.23,372.09,368.82,372.18,362.02,346.76,363.37,369.92,378.88,381.49,382.09,390.12,394.33,400.61,400.13,393.09,394.32,408.73,406.53,400.00,398.53,392.79,387.74,381.48,384.11,383.36,379.71,377.89,369.09,365.57,363.73,354.12,351.73,354.97,360.45,359.87,367.68,371.87,377.08,372.42,368.37,,,376.65,392.41,399.21,396.23,393.43,392.80,391.95,388.15,384.88,382.62,377.20,376.73,371.06,362.05,363.88,347.74,338.94,358.78,353.66,356.98,357.28,356.96,355.51,361.95,370.48,364.59,343.54,379.40,365.08,360.84,362.43,340.56,362.11,363.72,364.76,353.62,361.88,367.64,373.36,375.02,374.39,373.69,379.69,370.95,369.66,376.99,376.13,371.78,366.97,360.99,359.11,363.82,363.89,369.14,365.74,362.50,356.71,362.14,362.50,364.10,361.72,361.78,356.65,345.97,335.80,326.38,338.02,353.71,356.31,358.04,351.04,353.88,365.23,374.45,373.43,375.97,332.09,341.42,367.45,381.83,362.61,352.71,352.29,354.90,360.30,352.57,360.47,L7
2001-03-24 22:01:59+00:00,369.82,393.81,409.60,412.44,408.10,405.47,405.11,402.12,402.12,393.17,399.92,371.14,363.27,377.33,376.36,379.60,377.10,372.36,378.39,382.75,391.81,397.47,396.62,401.87,399.54,396.90,399.87,396.68,406.98,419.30,417.38,412.74,411.60,402.02,391.19,382.73,391.91,394.45,389.48,392.28,390.28,381.32,372.92,361.11,352.85,356.66,363.06,366.29,368.57,372.77,381.36,381.75,364.23,418.97,401.49,395.17,409.84,411.44,406.23,398.86,397.65,398.66,397.81,394.69,389.66,383.32,378.69,371.32,364.24,362.82,355.71,327.80,369.25,372.64,370.58,369.74,367.70,363.29,367.41,373.06,346.50,343.48,358.56,355.02,352.80,366.05,365.45,353.00,364.30,356.85,354.77,364.41,373.19,376.32,380.00,382.98,379.05,374.37,373.93,373.91,376.34,376.23,375.30,372.17,371.96,374.35,370.25,366.58,368.97,367.99,360.88,351.05,357.47,363.24,367.15,359.80,364.67,361.12,352.19,340.87,336.73,339.82,357.42,365.18,366.00,360.94,362.12,356.40,356.69,352.37,,323.51,352.64,374.20,387.74,369.32,361.07,360.89,365.07,366.25,361.65,363.92,L7
