dates,nzd0082-0000,nzd0082-0001,nzd0082-0002,nzd0082-0003,nzd0082-0004,nzd0082-0005,nzd0082-0006,nzd0082-0007,nzd0082-0008,nzd0082-0009,nzd0082-0010,nzd0082-0011,nzd0082-0012,nzd0082-0013,nzd0082-0014,nzd0082-0015,nzd0082-0016,nzd0082-0017,nzd0082-0018,nzd0082-0019,nzd0082-0020,nzd0082-0021,nzd0082-0022,nzd0082-0023,nzd0082-0024,nzd0082-0025,nzd0082-0026,nzd0082-0027,nzd0082-0028,nzd0082-0029,nzd0082-0030,nzd0082-0031,nzd0082-0032,nzd0082-0033,nzd0082-0034,nzd0082-0035,nzd0082-0036,nzd0082-0037,nzd0082-0038,nzd0082-0039,nzd0082-0040,nzd0082-0041,nzd0082-0042,nzd0082-0043,nzd0082-0044,nzd0082-0045,nzd0082-0046,nzd0082-0047,nzd0082-0048,nzd0082-0049,nzd0082-0050,nzd0082-0051,nzd0082-0052,nzd0082-0053,nzd0082-0054,nzd0082-0055,nzd0082-0056,nzd0082-0057,nzd0082-0058,nzd0082-0059,nzd0082-0060,nzd0082-0061,nzd0082-0062,nzd0082-0063,nzd0082-0064,nzd0082-0065,nzd0082-0066,nzd0082-0067,nzd0082-0068,nzd0082-0069,nzd0082-0070,nzd0082-0071,nzd0082-0072,nzd0082-0073,nzd0082-0074,nzd0082-0075,nzd0082-0076,nzd0082-0077,nzd0082-0078,nzd0082-0079,nzd0082-0080,nzd0082-0081,nzd0082-0082,nzd0082-0083,nzd0082-0084,nzd0082-0085,nzd0082-0086,nzd0082-0087,nzd0082-0088,nzd0082-0089,nzd0082-0090,nzd0082-0091,nzd0082-0092,nzd0082-0093,nzd0082-0094,nzd0082-0095,nzd0082-0096,nzd0082-0097,nzd0082-0098,nzd0082-0099,nzd0082-0100,nzd0082-0101,nzd0082-0102,nzd0082-0103,nzd0082-0104,nzd0082-0105,nzd0082-0106,nzd0082-0107,nzd0082-0108,nzd0082-0109,nzd0082-0110,nzd0082-0111,nzd0082-0112,nzd0082-0113,nzd0082-0114,nzd0082-0115,nzd0082-0116,nzd0082-0117,nzd0082-0118,nzd0082-0119,nzd0082-0120,nzd0082-0121,nzd0082-0122,nzd0082-0123,nzd0082-0124,nzd0082-0125,nzd0082-0126,nzd0082-0127,nzd0082-0128,nzd0082-0129,nzd0082-0130,nzd0082-0131,nzd0082-0132,nzd0082-0133,nzd0082-0134,nzd0082-0135,nzd0082-0136,nzd0082-0137,nzd0082-0138,nzd0082-0139,nzd0082-0140,nzd0082-0141,satname
1999-08-26 22:04:44+00:00,366.49,390.97,410.80,413.54,400.09,395.22,393.07,394.26,398.30,382.34,393.10,372.71,368.26,379.51,375.77,369.80,357.37,336.65,358.43,368.68,373.63,389.78,390.72,398.63,403.43,410.85,404.16,390.75,385.16,403.27,405.08,395.45,398.39,395.38,385.84,377.87,385.46,386.84,379.61,378.08,371.94,358.78,359.11,353.76,353.81,358.04,359.92,364.28,364.96,367.87,374.09,372.03,368.60,,,371.82,381.12,386.47,382.66,381.71,376.12,375.70,372.07,365.00,360.13,360.73,363.37,363.01,362.96,355.56,349.41,331.35,349.27,354.07,361.28,356.62,353.17,354.29,360.42,366.00,351.74,312.28,,,353.37,375.11,366.08,355.37,348.87,353.92,347.70,353.43,362.96,361.92,362.26,366.54,364.45,362.63,366.64,363.30,366.50,367.12,359.74,355.13,357.36,361.39,356.91,347.21,358.17,361.38,351.13,336.79,344.30,342.51,351.38,350.50,350.92,353.99,343.13,,320.27,336.63,347.66,348.26,357.60,355.91,345.48,332.14,328.27,,355.05,346.21,342.84,363.60,368.67,345.57,344.86,345.49,346.90,338.63,344.58,349.40,L7
1999-10-04 22:11:02+00:00,,411.63,414.78,410.27,403.61,406.84,401.90,393.21,391.45,402.19,418.86,410.98,393.24,390.56,376.87,374.61,,,,,,,,,,,,419.06,417.52,426.93,420.36,414.76,412.17,402.77,398.44,395.59,399.30,399.50,393.21,390.26,382.17,378.86,371.00,364.40,356.96,363.56,372.80,,,,,,,,,,,,,,,,,,,,,,382.25,380.91,367.05,356.70,370.08,370.20,,,,,,,,,,,,,,,,,,,,,,,,,,372.77,,,374.02,377.30,373.45,372.51,378.92,370.67,370.26,364.62,347.51,335.55,340.25,338.43,340.14,350.59,353.93,365.23,367.84,354.34,320.08,347.06,365.79,366.87,365.08,360.84,349.37,356.48,348.05,351.73,349.45,355.16,367.88,373.09,392.60,363.57,365.89,379.62,367.30,362.10,354.19,347.89,L7
2000-04-29 22:10:17+00:00,355.76,385.59,400.01,397.43,399.97,407.00,405.78,395.94,,,388.70,370.47,361.37,374.04,375.70,379.37,381.22,354.68,358.29,356.75,374.31,393.31,404.94,412.22,410.61,398.19,391.73,391.00,401.49,431.29,412.52,400.25,395.47,390.45,388.90,385.92,392.04,390.03,390.48,389.00,381.22,375.19,377.75,366.20,365.33,359.63,354.54,355.25,366.46,377.50,385.74,379.84,384.68,,,390.63,404.72,414.44,418.79,415.82,411.93,405.14,392.75,389.43,389.74,386.18,380.12,371.07,365.11,362.32,358.82,339.73,367.67,369.00,374.92,376.95,379.99,380.77,381.13,380.99,368.65,339.25,374.48,372.17,366.00,380.56,368.67,366.09,368.03,391.85,383.45,390.71,384.51,389.96,392.31,387.58,394.78,392.46,388.68,391.01,390.85,392.83,392.66,392.97,388.76,377.09,377.75,366.68,376.86,372.17,369.56,363.03,369.24,372.31,369.10,370.00,370.83,364.75,358.55,349.11,338.09,350.98,361.71,365.93,370.78,368.68,374.46,,379.52,383.31,386.71,376.76,387.78,378.06,358.10,357.18,361.42,375.95,356.98,371.56,363.52,354.07,L7
2000-05-24 22:03:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.12,373.40,367.80,380.43,383.54,378.69,380.24,375.97,364.36,351.14,,,331.05,348.16,348.93,355.39,362.11,354.50,,,,,,,,,,,,,,,,L7
2000-05-31 22:09:54+00:00,356.07,393.25,388.71,397.36,395.78,400.35,387.83,395.98,,,,,350.26,370.45,366.61,374.13,354.75,321.03,348.36,360.28,375.80,381.27,379.41,382.57,380.07,394.67,396.11,388.68,385.55,402.90,393.72,386.88,389.14,386.09,385.32,384.89,388.56,385.64,380.48,374.79,373.45,364.39,365.35,355.90,351.91,353.05,354.73,346.70,362.65,,,367.81,362.90,,,361.96,381.54,398.82,403.77,405.42,393.90,391.65,382.73,371.77,380.80,373.96,382.87,376.10,366.28,363.09,,338.88,353.14,360.74,353.98,357.99,351.19,343.94,357.66,368.73,369.03,,,,,366.58,,,357.24,375.36,354.15,357.90,362.37,373.22,376.14,375.26,378.21,385.45,,,377.37,369.56,369.35,362.70,365.90,368.22,361.89,360.44,362.44,360.99,358.38,355.17,364.91,364.59,366.80,363.66,359.17,356.07,341.54,,,339.06,352.34,350.41,352.91,342.60,346.93,,379.39,376.91,371.83,329.33,,369.03,385.25,356.05,358.36,356.64,357.12,359.27,349.99,368.62,L7
2000-07-11 22:03:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.69,,345.08,348.38,353.49,360.95,382.17,400.93,,,400.08,380.34,372.17,,,392.94,392.37,384.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-03 22:09:08+00:00,360.40,377.19,405.22,402.88,397.49,396.81,395.98,399.92,,,397.08,376.31,378.06,379.40,375.25,370.69,375.17,370.95,378.68,377.31,382.36,376.75,385.99,395.97,398.49,412.57,414.41,413.52,408.50,414.94,413.14,405.59,402.07,401.76,396.62,391.20,382.40,377.01,383.36,380.42,375.52,370.58,364.17,363.71,367.58,372.73,371.89,371.01,379.04,379.64,384.02,379.81,375.08,,,390.70,397.23,405.14,392.01,393.30,396.65,393.27,395.55,395.38,391.37,387.38,381.84,383.27,380.27,377.04,367.59,349.11,356.62,,366.42,366.24,368.14,369.82,378.25,380.17,378.23,361.97,380.27,377.92,375.88,,,375.84,377.19,372.13,375.58,377.03,381.18,381.00,381.15,,,392.91,,,386.33,388.75,389.38,383.73,376.64,374.64,375.94,378.50,389.26,380.91,382.22,376.89,373.03,366.87,367.10,370.91,375.77,369.17,366.52,352.88,343.22,353.37,361.77,366.64,368.59,366.49,372.99,382.29,388.84,383.34,380.12,355.78,,372.97,381.48,373.84,,347.04,,,,,L7
2000-08-19 22:09:02+00:00,359.80,382.74,399.71,398.04,390.23,388.37,390.82,395.34,,,385.71,355.59,360.04,372.13,370.03,375.74,359.32,341.16,360.45,365.72,374.13,380.54,382.79,395.93,404.22,399.94,397.23,388.97,393.78,409.56,409.49,402.61,399.39,393.76,387.78,376.83,382.89,380.20,369.76,372.81,351.06,361.02,,344.25,336.47,339.25,,367.27,372.24,375.17,384.14,380.01,371.28,,,381.01,393.79,392.22,392.17,386.69,393.50,398.53,389.01,388.87,383.99,383.50,380.49,363.68,346.33,361.39,341.02,339.99,350.19,342.26,358.51,351.70,355.31,355.53,344.35,353.43,,,357.86,365.70,362.30,371.26,,353.26,353.45,350.23,346.68,358.68,364.19,374.77,375.36,377.44,375.28,373.96,376.93,373.80,380.54,383.43,365.31,357.02,338.65,331.11,,,,,,354.06,361.24,363.50,364.13,364.72,361.47,354.95,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-11-23 22:08:18+00:00,365.41,385.65,401.01,402.48,400.38,398.07,398.10,400.94,395.51,380.73,390.42,355.07,348.56,366.36,366.00,368.18,361.47,353.90,366.00,376.38,384.94,387.40,380.17,386.00,394.52,397.87,392.79,381.20,389.47,407.53,409.77,404.93,403.54,392.65,381.25,373.02,382.59,390.59,385.25,383.53,376.32,366.31,361.67,352.62,350.95,357.93,354.73,354.50,356.80,360.80,363.09,362.03,364.23,,,372.92,397.06,400.65,396.97,388.29,387.17,387.42,388.41,383.52,374.31,363.97,364.78,361.20,359.86,353.98,341.27,327.80,350.27,357.98,360.90,362.08,356.69,349.88,347.34,349.15,346.50,325.10,,336.36,333.02,349.44,340.56,326.40,338.33,341.25,338.06,353.90,362.81,364.44,367.42,370.46,367.59,366.42,364.97,365.52,363.71,362.77,363.09,364.41,362.77,362.48,358.28,352.73,355.72,359.96,346.91,340.73,349.39,355.02,358.36,347.59,350.71,346.41,329.86,318.72,309.53,321.63,347.01,351.87,352.61,344.02,341.72,348.16,355.11,348.90,,319.11,341.42,365.00,378.77,357.94,351.21,353.20,352.68,361.34,356.91,352.32,L7
2001-03-24 22:01:59+00:00,374.22,401.97,418.19,422.40,415.82,412.86,412.12,403.30,408.72,405.61,412.11,387.21,377.99,388.29,389.01,391.02,395.02,390.82,390.78,389.11,400.17,407.54,413.08,417.74,404.57,398.23,406.94,412.16,424.49,431.08,425.00,420.55,419.66,414.08,401.14,392.44,401.23,398.31,393.70,401.04,404.25,396.34,384.16,369.60,354.75,358.08,371.38,378.09,380.34,384.75,399.62,401.48,,418.97,401.49,417.41,422.61,422.23,415.49,409.42,408.13,412.60,409.89,405.86,405.02,402.67,395.28,381.45,372.58,371.66,378.61,,388.24,387.30,380.26,377.39,378.71,379.38,387.49,396.97,,361.85,358.56,373.69,372.58,382.66,390.34,379.60,390.28,372.44,371.49,374.92,383.57,388.21,392.58,395.49,390.51,382.32,382.89,382.31,388.97,389.69,387.52,379.93,381.15,386.21,387.16,380.43,382.21,380.95,374.86,361.36,365.55,371.46,375.94,372.02,378.64,375.84,374.53,363.01,363.92,358.01,367.83,378.49,379.40,377.85,382.51,364.65,358.26,,,336.39,363.87,388.34,396.71,380.70,377.29,368.58,377.46,371.15,369.09,375.53,L7
