dates,satname,nzd0082-0000,nzd0082-0001,nzd0082-0002,nzd0082-0003,nzd0082-0004,nzd0082-0005,nzd0082-0006,nzd0082-0007,nzd0082-0008,nzd0082-0009,nzd0082-0010,nzd0082-0011,nzd0082-0012,nzd0082-0013,nzd0082-0014,nzd0082-0015,nzd0082-0016,nzd0082-0017,nzd0082-0018,nzd0082-0019,nzd0082-0020,nzd0082-0021,nzd0082-0022,nzd0082-0023,nzd0082-0024,nzd0082-0025,nzd0082-0026,nzd0082-0027,nzd0082-0028,nzd0082-0029,nzd0082-0030,nzd0082-0031,nzd0082-0032,nzd0082-0033,nzd0082-0034,nzd0082-0035,nzd0082-0036,nzd0082-0037,nzd0082-0038,nzd0082-0039,nzd0082-0040,nzd0082-0041,nzd0082-0042,nzd0082-0043,nzd0082-0044,nzd0082-0045,nzd0082-0046,nzd0082-0047,nzd0082-0048,nzd0082-0049,nzd0082-0050,nzd0082-0051,nzd0082-0052,nzd0082-0053,nzd0082-0054,nzd0082-0055,nzd0082-0056,nzd0082-0057,nzd0082-0058,nzd0082-0059,nzd0082-0060,nzd0082-0061,nzd0082-0062,nzd0082-0063,nzd0082-0064,nzd0082-0065,nzd0082-0066,nzd0082-0067,nzd0082-0068,nzd0082-0069,nzd0082-0070,nzd0082-0071,nzd0082-0072,nzd0082-0073,nzd0082-0074,nzd0082-0075,nzd0082-0076,nzd0082-0077,nzd0082-0078,nzd0082-0079,nzd0082-0080,nzd0082-0081,nzd0082-0082,nzd0082-0083,nzd0082-0084,nzd0082-0085,nzd0082-0086,nzd0082-0087,nzd0082-0088,nzd0082-0089,nzd0082-0090,nzd0082-0091,nzd0082-0092,nzd0082-0093,nzd0082-0094,nzd0082-0095,nzd0082-0096,nzd0082-0097,nzd0082-0098,nzd0082-0099,nzd0082-0100,nzd0082-0101,nzd0082-0102,nzd0082-0103,nzd0082-0104,nzd0082-0105,nzd0082-0106,nzd0082-0107,nzd0082-0108,nzd0082-0109,nzd0082-0110,nzd0082-0111,nzd0082-0112,nzd0082-0113,nzd0082-0114,nzd0082-0115,nzd0082-0116,nzd0082-0117,nzd0082-0118,nzd0082-0119,nzd0082-0120,nzd0082-0121,nzd0082-0122,nzd0082-0123,nzd0082-0124,nzd0082-0125,nzd0082-0126,nzd0082-0127,nzd0082-0128,nzd0082-0129,nzd0082-0130,nzd0082-0131,nzd0082-0132,nzd0082-0133,nzd0082-0134,nzd0082-0135,nzd0082-0136,nzd0082-0137,nzd0082-0138,nzd0082-0139,nzd0082-0140,nzd0082-0141
2001-05-18 22:07:50+00:00,L7,,,,,383.29,376.56,382.83,,,,,,347.23,365.47,365.34,376.48,379.67,312.75,333.88,358.15,381.24,388.65,391.85,392.83,386.41,386.61,390.68,393.14,402.94,402.56,404.97,402.79,398.61,396.90,396.82,381.76,388.24,382.38,378.59,358.40,367.35,374.35,365.61,352.20,350.63,351.61,353.40,343.91,,,,373.57,375.45,,,,402.66,412.63,409.81,412.92,405.30,397.85,391.71,384.47,375.39,376.35,366.87,364.79,365.74,366.52,347.84,291.29,,,,,,364.12,364.10,369.49,291.44,,,,,,,,365.18,359.95,347.97,358.67,370.90,372.77,369.07,,,,,,,,,,,,,352.45,363.81,367.73,362.93,356.64,353.50,,,345.88,352.54,,,,,344.47,364.48,366.66,,,,,,,,,,,,,,,298.25,,,
2001-06-03 22:07:40+00:00,L7,334.22,354.63,380.33,388.47,380.41,376.63,382.43,381.47,,,,362.32,361.47,364.89,363.67,367.83,368.99,371.72,378.71,385.32,391.98,393.89,392.91,386.99,378.84,375.70,375.62,381.29,387.26,399.71,403.54,396.05,390.93,388.22,386.16,380.98,386.22,377.68,375.31,369.19,364.44,360.80,352.20,,,,,,,,,,,,,,,,,389.33,385.80,381.71,379.39,373.31,368.57,363.22,356.26,349.15,356.46,356.49,344.00,319.49,,,,,97.61,,,,,,,,,,,,,,,,,,,,,,,,,,348.82,,,,,,,337.72,328.74,326.86,340.72,,,342.49,341.53,343.49,335.54,319.30,327.80,331.62,349.38,354.86,,342.77,335.01,,345.79,341.16,328.07,326.17,,349.78,348.17,311.28,,343.06,345.23,,,314.92
2001-06-12 22:01:24+00:00,L7,,,,,,,,,,,,,,,,,377.03,,370.24,368.73,392.15,396.28,406.36,,,,,,,,,,,,,,,389.67,385.53,386.13,382.75,376.98,370.50,366.69,365.72,367.96,367.66,363.30,,,,381.20,385.40,,,,408.86,419.88,416.05,415.62,412.98,409.74,398.25,397.65,390.13,383.02,369.10,373.11,376.91,379.32,377.94,,,,,379.04,392.63,385.50,373.80,377.13,,370.80,376.11,369.29,378.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-06 22:06:37+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,384.91,396.30,406.40,403.46,404.67,410.93,412.17,396.53,391.14,389.77,383.94,376.98,381.12,379.08,376.12,373.96,364.54,347.74,344.06,343.36,346.21,355.66,356.64,361.45,367.50,373.74,371.34,370.42,368.57,375.90,367.33,385.75,398.93,404.81,399.25,389.19,380.39,379.08,377.99,376.83,375.49,375.63,372.58,364.01,358.22,349.01,338.00,324.85,345.17,352.78,360.13,361.01,357.41,353.21,352.98,342.50,309.49,318.09,329.20,326.18,317.47,,,342.19,341.05,342.55,344.17,349.67,366.08,347.96,367.08,,,,,,,,,362.40,361.20,360.57,352.99,347.78,343.76,343.08,333.07,330.87,343.18,344.86,346.77,344.40,341.37,345.58,338.99,329.88,323.02,336.04,348.03,350.72,351.80,342.05,323.54,334.65,342.75,337.41,326.98,312.22,339.43,356.38,370.78,363.61,344.93,344.21,353.28,341.50,343.63,342.76
2001-12-12 22:06:38+00:00,L7,351.26,369.24,383.58,385.34,380.65,383.29,382.43,382.73,383.93,371.87,379.10,,352.81,366.58,365.02,366.16,363.79,347.14,357.33,360.16,367.75,371.22,369.41,375.63,379.33,382.33,376.17,371.47,379.74,394.45,392.56,384.60,382.65,376.65,378.01,371.79,378.54,367.77,357.44,355.31,352.33,356.72,348.58,338.98,337.19,345.01,351.40,356.06,357.53,360.17,358.09,351.98,346.06,,,366.15,379.38,389.01,386.99,384.62,379.07,372.84,369.63,363.83,357.97,354.42,354.71,354.95,352.71,340.91,325.48,311.58,332.99,338.28,336.62,330.65,328.49,334.43,341.06,338.98,314.36,,,324.40,324.51,321.82,337.85,331.38,343.99,342.44,334.36,339.79,351.80,351.35,348.94,350.77,362.33,365.15,360.14,361.52,358.96,360.80,363.63,356.20,350.87,349.94,337.61,334.43,339.35,337.87,326.53,326.61,334.19,339.81,339.53,335.13,337.43,334.14,314.24,283.18,,326.37,333.71,335.40,331.14,316.37,315.01,317.67,322.52,303.05,279.25,303.30,330.01,354.61,349.24,325.16,320.97,326.32,329.65,340.42,341.44,338.06
2002-01-22 22:00:40+00:00,L7,403.18,436.51,443.64,440.06,403.78,404.81,425.14,435.66,453.33,451.78,436.29,403.67,431.93,426.92,420.26,416.00,412.31,401.71,401.12,412.88,410.28,409.10,408.30,413.55,424.52,441.01,445.95,442.97,434.75,438.54,434.25,431.85,432.51,437.74,436.29,427.41,409.67,408.85,396.91,403.22,402.99,398.82,380.98,379.38,385.13,400.71,407.58,406.99,403.95,400.84,402.18,409.37,415.93,405.44,394.58,428.05,439.19,449.07,450.44,440.59,429.54,411.42,401.43,392.44,407.69,423.68,417.60,410.54,400.39,397.58,387.72,398.23,398.64,395.79,392.54,384.55,386.34,401.43,419.59,413.71,385.84,407.46,408.41,406.31,422.66,425.82,421.62,420.68,411.51,413.57,412.99,414.92,405.04,402.70,409.09,424.81,413.94,403.00,405.27,414.66,421.37,418.35,411.19,408.17,401.92,398.93,400.99,391.47,396.62,395.05,395.47,406.42,409.76,402.96,394.45,396.20,396.96,399.97,408.90,399.07,395.21,392.51,402.64,399.14,388.96,394.77,398.58,399.36,411.81,418.14,365.12,415.26,411.64,409.79,423.25,399.57,387.65,382.57,388.60,390.36,395.47,390.04
2002-01-29 22:06:21+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.70,379.33,382.48,370.83,354.08,350.58,353.00,359.25,345.17,341.71,345.64,350.51,357.99,358.91,357.35,356.92,358.22,357.83,350.41,347.86,329.65,366.48,381.31,395.72,395.34,391.45,381.99,369.20,360.97,355.54,354.71,364.70,364.45,359.79,355.81,347.05,325.24,331.57,338.85,344.40,340.92,334.60,339.49,,,,305.26,333.73,336.42,331.88,343.02,341.06,357.65,346.43,347.26,351.39,341.07,340.85,344.59,347.99,356.35,361.17,363.33,362.54,356.98,361.84,363.48,364.35,362.12,354.67,351.24,344.17,337.62,335.66,337.60,335.89,332.68,332.03,341.83,345.38,343.24,343.27,338.97,340.23,333.31,334.94,321.43,335.87,340.76,340.62,335.31,327.94,327.81,324.36,327.90,322.63,277.94,339.35,343.49,358.08,369.79,346.62,334.77,336.53,353.15,352.12,349.02,342.98
2002-02-14 22:06:29+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,409.71,411.01,397.59,404.76,402.19,397.33,393.74,390.48,391.53,388.81,379.92,375.32,369.07,367.62,364.52,365.01,354.50,343.94,347.21,357.11,358.78,360.25,359.70,358.53,368.30,367.25,362.61,362.86,,380.62,393.41,405.01,403.14,396.43,386.35,379.96,372.70,364.66,370.65,376.05,372.30,365.09,361.44,356.48,340.48,334.44,347.83,352.15,350.09,346.74,345.31,349.12,352.97,348.30,325.85,352.45,353.38,356.53,367.29,357.68,366.65,359.28,357.04,359.88,352.88,353.42,359.97,363.81,363.45,371.71,369.72,370.05,371.28,368.50,370.39,370.21,373.00,366.81,360.74,357.69,352.81,345.65,350.78,348.39,343.44,340.30,340.55,346.84,348.98,347.37,348.32,348.54,338.01,343.18,333.26,346.17,350.14,351.01,342.74,337.52,338.00,339.93,348.52,348.54,323.47,360.82,361.02,370.27,378.22,357.93,343.42,338.65,351.60,357.83,350.17,348.66
2002-02-23 22:00:43+00:00,L7,367.46,384.06,406.87,394.25,392.77,397.55,404.53,402.65,407.09,396.75,405.25,385.36,389.56,389.20,387.40,382.58,378.94,361.38,354.28,372.48,381.55,383.23,385.69,391.38,404.09,404.12,404.00,401.59,389.77,401.52,400.66,388.62,393.48,398.15,401.50,397.22,389.67,386.05,382.68,381.58,380.59,380.39,371.71,357.18,362.99,370.72,371.54,373.60,372.71,370.40,376.06,372.10,367.03,374.91,,375.57,391.67,404.70,405.70,404.92,397.80,392.81,387.73,382.70,384.30,387.14,382.13,376.81,367.68,355.96,348.11,350.37,355.27,363.28,361.39,359.19,362.49,362.07,366.64,365.65,337.61,362.25,362.20,364.25,375.76,371.72,383.69,371.47,374.16,375.88,367.96,365.37,373.94,384.70,389.31,390.58,389.39,393.86,391.04,390.45,392.08,390.20,384.64,378.10,373.75,374.15,367.54,354.60,360.86,363.10,361.55,353.95,364.57,367.51,366.68,369.07,372.66,373.17,361.99,367.02,348.95,359.19,370.03,372.53,366.37,360.09,349.21,346.72,361.71,370.50,343.33,370.85,370.14,380.91,389.60,366.70,352.38,351.49,365.15,364.34,366.32,363.17
2002-03-18 22:06:46+00:00,L7,367.73,392.11,408.81,405.16,402.54,400.99,406.80,404.41,410.07,404.64,405.96,392.31,383.45,392.30,392.41,387.90,381.41,367.97,369.97,379.26,383.96,379.30,377.87,391.82,409.63,420.41,415.68,404.10,399.05,411.02,407.32,399.38,401.36,396.17,393.11,391.05,391.56,385.36,380.45,378.11,377.92,380.53,376.14,363.34,366.08,366.24,371.64,365.53,366.23,372.31,380.71,378.46,372.63,387.10,370.80,391.72,404.75,409.97,405.67,405.62,404.92,402.09,398.31,396.99,392.33,393.11,387.03,375.91,368.95,357.53,344.18,336.74,354.26,364.05,366.40,364.77,357.78,354.51,360.03,357.09,349.74,365.06,365.28,379.89,383.65,373.95,373.55,365.99,362.68,365.89,361.46,367.60,375.13,380.25,374.76,383.69,378.90,380.25,383.05,382.13,381.02,379.99,384.24,380.00,375.75,372.29,366.25,359.59,358.63,356.32,351.72,355.19,363.27,363.69,363.98,364.93,359.76,356.73,351.79,343.82,338.32,354.77,362.49,363.03,367.85,365.81,350.56,347.84,357.06,370.45,349.88,370.93,378.87,381.18,389.12,379.01,361.92,355.64,366.94,366.61,367.05,362.47
