dates,satname,nzd0296-0000,nzd0296-0001,nzd0296-0002,nzd0296-0003,nzd0296-0004,nzd0296-0005,nzd0296-0006,nzd0296-0007,nzd0296-0008,nzd0296-0009,nzd0296-0010,nzd0296-0011,nzd0296-0012,nzd0296-0013,nzd0296-0014,nzd0296-0015,nzd0296-0016,nzd0296-0017,nzd0296-0018,nzd0296-0019,nzd0296-0020,nzd0296-0021,nzd0296-0022,nzd0296-0023,nzd0296-0024,nzd0296-0025,nzd0296-0026,nzd0296-0027,nzd0296-0028,nzd0296-0029,nzd0296-0030,nzd0296-0031,nzd0296-0032,nzd0296-0033,nzd0296-0034,nzd0296-0035,nzd0296-0036,nzd0296-0037,nzd0296-0038,nzd0296-0039,nzd0296-0040,nzd0296-0041,nzd0296-0042,nzd0296-0043,nzd0296-0044,nzd0296-0045,nzd0296-0046,nzd0296-0047,nzd0296-0048,nzd0296-0049,nzd0296-0050,nzd0296-0051,nzd0296-0052
1999-08-05 21:47:23+00:00,L7,357.07,348.38,340.43,330.27,319.85,311.39,304.79,299.91,299.94,304.38,312.07,320.66,318.49,312.81,310.48,300.62,296.61,296.07,298.18,298.79,283.18,291.59,298.90,306.63,307.43,306.35,305.73,314.87,312.99,321.86,322.03,323.56,322.06,325.78,331.00,331.51,307.74,310.78,316.56,315.05,309.60,309.02,302.57,294.49,299.21,294.13,298.17,293.98,307.24,318.01,329.99,334.04,332.92
1999-08-12 21:53:32+00:00,L7,369.19,360.24,352.00,342.99,340.97,330.89,327.25,319.33,323.88,334.76,340.34,337.46,325.80,326.59,321.08,316.17,318.08,315.97,311.25,315.97,322.43,320.54,325.72,323.27,316.20,314.09,319.83,325.26,329.80,335.98,337.15,341.20,337.08,345.32,350.81,353.46,366.95,369.52,349.83,342.77,326.33,316.60,314.83,312.50,312.33,307.00,308.35,312.18,329.22,345.08,352.96,354.21,358.36
1999-08-21 21:47:20+00:00,L7,370.83,357.06,355.85,343.42,335.80,329.63,319.69,317.87,325.90,327.11,327.19,336.35,321.80,320.08,321.65,321.35,314.07,314.48,315.96,315.39,314.85,313.91,316.45,313.62,313.52,313.05,319.70,324.85,329.18,331.41,332.79,335.80,339.01,337.95,345.01,349.22,355.75,353.84,345.18,337.91,327.71,311.77,310.24,310.44,305.16,306.30,301.44,311.70,323.65,331.64,342.47,346.73,350.23
1999-09-22 21:47:24+00:00,L7,384.80,379.83,365.03,358.28,350.08,359.46,348.15,341.56,338.45,336.14,353.93,349.41,342.53,339.22,334.73,334.88,330.10,330.26,331.96,327.27,340.14,335.89,342.64,343.53,355.29,360.19,337.16,337.94,348.50,362.45,365.69,357.42,364.05,363.10,360.82,374.22,397.89,398.14,366.14,356.60,345.54,334.37,330.96,330.29,327.51,322.12,325.58,329.53,333.19,338.63,366.30,377.76,391.32
1999-09-29 21:53:40+00:00,L7,351.60,352.10,338.80,323.61,314.22,314.62,307.03,299.25,301.36,305.35,312.68,319.17,310.26,308.96,301.23,297.01,291.97,291.07,295.31,291.88,267.77,293.94,299.91,303.85,306.98,306.03,296.57,307.43,309.72,318.36,317.54,317.81,319.88,320.51,326.24,330.17,,302.24,320.59,313.33,305.14,302.38,298.31,294.20,293.58,288.99,289.64,290.38,298.36,313.02,327.08,337.79,334.40
1999-10-24 21:47:20+00:00,L7,388.46,375.12,370.68,376.55,359.93,359.41,351.72,366.91,369.08,360.40,355.49,353.42,357.02,345.90,338.93,339.85,341.25,364.21,362.85,325.64,350.36,353.58,361.97,366.82,364.32,361.24,367.02,370.64,378.45,381.53,387.72,378.26,374.56,377.92,377.83,395.56,416.14,420.16,395.64,397.05,371.75,354.16,368.78,345.78,329.36,325.40,332.92,330.63,337.86,349.43,361.21,375.69,419.56
1999-10-31 21:53:08+00:00,L7,364.07,353.30,357.25,354.35,343.63,331.81,327.68,323.15,327.33,330.97,330.64,338.02,329.36,325.66,317.86,310.90,308.11,308.12,319.27,311.11,289.31,309.13,316.32,320.08,321.83,316.62,318.53,323.45,327.71,336.20,340.21,342.66,329.16,332.44,339.73,339.99,338.21,331.74,332.23,332.61,326.85,314.25,314.49,308.59,301.25,296.91,299.48,304.32,315.03,321.96,332.91,344.33,352.34
1999-11-16 21:53:32+00:00,L7,,,,,,,,334.64,325.60,332.76,335.01,341.77,329.98,324.25,317.67,320.10,315.66,321.65,329.19,324.22,308.14,320.98,322.72,320.44,321.65,318.47,327.06,338.07,336.20,344.59,344.13,344.83,349.11,349.18,351.65,351.85,351.04,336.74,343.82,338.95,331.13,327.38,322.07,314.28,310.59,313.30,313.32,312.60,316.86,326.06,338.15,345.60,353.63
2000-01-19 21:53:25+00:00,L7,384.38,381.14,370.86,362.75,380.47,388.80,388.79,382.73,370.01,376.45,359.21,359.29,374.63,380.52,373.44,352.89,356.49,347.65,326.08,,390.12,369.17,350.55,363.59,354.88,391.67,383.33,379.43,387.92,390.90,395.03,370.42,406.30,417.70,425.52,423.65,419.09,419.50,,349.04,377.70,373.49,357.01,340.94,335.74,335.92,339.31,343.27,338.43,348.99,370.68,382.53,409.94
2000-02-20 21:52:53+00:00,L7,367.64,360.29,359.48,353.75,346.13,344.42,337.53,331.93,335.02,337.23,342.78,345.61,338.44,336.85,328.09,327.51,321.71,320.71,324.70,332.83,337.89,337.22,329.50,326.97,333.00,335.67,342.42,341.71,348.30,352.60,356.34,354.63,356.63,356.32,360.82,361.56,361.96,366.26,351.21,350.19,339.44,338.63,328.98,323.15,319.05,316.64,314.17,317.11,323.84,330.08,344.08,351.89,362.26
2000-05-03 21:46:43+00:00,L7,379.78,374.00,370.08,358.40,354.92,360.77,358.59,351.72,352.39,353.37,351.14,350.59,344.26,340.46,350.21,355.54,361.74,351.70,358.55,352.40,320.60,352.69,356.63,343.05,353.14,357.96,341.59,337.34,345.09,348.29,351.77,356.69,373.67,371.55,361.74,368.05,377.28,384.79,386.40,345.76,349.20,337.53,327.88,321.19,320.50,320.91,323.04,317.34,324.76,331.86,345.09,354.47,375.02
2000-05-19 21:46:31+00:00,L7,365.58,363.61,361.85,357.33,350.28,342.48,338.77,343.76,343.80,338.65,334.72,336.06,334.55,326.11,323.79,329.71,325.48,325.05,329.51,336.53,318.64,335.65,333.22,333.57,333.88,335.70,330.76,333.78,333.89,337.77,344.61,346.27,352.17,353.92,356.70,349.09,349.86,354.13,336.23,340.04,331.69,330.44,317.03,313.33,309.01,313.51,307.91,311.94,308.36,321.81,331.87,344.10,350.11
2000-05-26 21:52:12+00:00,L7,368.55,359.97,357.52,355.31,347.84,340.99,332.36,342.26,341.64,335.69,332.05,333.27,333.02,328.52,326.34,324.38,329.84,346.45,338.46,355.54,346.74,344.16,371.70,,339.74,339.33,329.52,329.87,334.14,340.42,345.56,345.15,348.02,352.51,358.28,350.79,349.42,358.18,327.09,339.44,335.61,324.27,321.36,318.17,310.03,309.72,308.64,313.72,308.70,320.47,332.64,343.88,350.70
2000-07-13 21:51:43+00:00,L7,373.36,370.37,362.80,350.47,332.68,338.00,340.37,333.45,327.48,327.49,327.16,327.86,324.41,318.59,316.75,310.16,310.03,314.94,300.00,327.59,325.28,326.31,321.68,324.44,321.29,322.72,320.85,323.25,313.86,325.00,328.19,344.42,347.92,353.23,356.82,349.45,354.87,355.58,350.05,341.18,335.05,322.88,315.47,307.89,303.61,298.90,302.34,316.46,324.76,334.02,334.77,337.55,339.65
2000-07-29 21:51:26+00:00,L7,382.75,378.93,373.39,364.81,369.93,374.76,384.07,355.04,352.16,355.25,347.03,342.51,336.00,339.93,347.83,351.39,353.58,360.79,365.99,371.47,364.57,359.41,342.77,335.11,331.27,328.74,330.57,334.50,337.76,355.67,375.20,397.18,395.51,394.87,382.72,394.93,396.71,404.67,404.87,405.63,409.05,,341.84,324.55,313.88,318.17,322.52,322.76,358.06,368.43,364.46,372.03,370.22
