dates,nzd0296-0000,nzd0296-0001,nzd0296-0002,nzd0296-0003,nzd0296-0004,nzd0296-0005,nzd0296-0006,nzd0296-0007,nzd0296-0008,nzd0296-0009,nzd0296-0010,nzd0296-0011,nzd0296-0012,nzd0296-0013,nzd0296-0014,nzd0296-0015,nzd0296-0016,nzd0296-0017,nzd0296-0018,nzd0296-0019,nzd0296-0020,nzd0296-0021,nzd0296-0022,nzd0296-0023,nzd0296-0024,nzd0296-0025,nzd0296-0026,nzd0296-0027,nzd0296-0028,nzd0296-0029,nzd0296-0030,nzd0296-0031,nzd0296-0032,nzd0296-0033,nzd0296-0034,nzd0296-0035,nzd0296-0036,nzd0296-0037,nzd0296-0038,nzd0296-0039,nzd0296-0040,nzd0296-0041,nzd0296-0042,nzd0296-0043,nzd0296-0044,nzd0296-0045,nzd0296-0046,nzd0296-0047,nzd0296-0048,nzd0296-0049,nzd0296-0050,nzd0296-0051,nzd0296-0052,satname
1999-08-05 21:47:23+00:00,361.51,352.82,344.43,334.71,324.29,316.39,310.50,305.62,304.94,309.38,316.51,324.66,323.49,317.25,314.92,305.62,301.61,301.78,303.18,304.50,291.18,299.59,305.57,312.34,312.43,312.06,311.44,319.87,318.70,326.86,327.03,329.27,327.77,331.49,337.67,339.51,,,324.56,320.76,315.31,314.73,307.57,300.20,304.21,299.84,303.17,299.69,312.95,323.72,335.70,339.75,339.59,L7
1999-08-12 21:53:32+00:00,363.90,355.09,346.91,337.40,331.19,322.01,317.02,310.62,312.78,320.44,326.98,329.76,323.02,320.48,316.56,309.27,308.22,307.02,305.59,308.38,304.21,307.46,313.48,315.95,312.69,311.22,313.78,320.94,322.39,329.80,330.46,333.38,330.57,336.55,342.08,343.88,360.45,363.02,334.60,329.91,318.97,313.81,309.57,304.50,306.64,301.56,304.13,304.08,319.23,332.55,342.48,345.12,346.81,L7
1999-08-21 21:47:20+00:00,364.66,354.19,348.49,337.85,331.17,322.80,315.91,311.04,315.41,320.92,325.49,330.56,320.86,318.79,316.70,311.55,308.42,307.51,307.30,308.72,304.95,306.81,312.14,313.17,311.22,309.83,313.75,320.49,322.66,328.58,329.49,332.19,331.38,335.02,340.72,342.86,352.85,353.18,335.32,330.58,319.88,311.13,308.05,304.48,304.40,301.14,301.49,304.62,318.70,330.24,340.47,343.66,345.62,L7
1999-09-22 21:47:24+00:00,366.86,357.76,350.08,340.13,333.06,328.78,320.33,315.02,317.98,321.53,329.77,332.72,323.09,321.06,318.37,314.19,310.65,309.55,310.27,309.71,308.65,308.98,315.51,317.12,319.05,318.78,315.96,321.67,325.48,333.86,335.35,334.85,335.91,338.39,341.50,345.60,359.36,359.67,337.93,333.44,322.65,313.30,310.59,307.29,306.99,302.75,304.32,307.20,318.68,328.70,343.29,348.54,352.79,L7
1999-09-29 21:53:40+00:00,367.27,360.10,350.94,340.29,332.76,329.85,322.13,316.33,318.56,322.20,329.82,333.13,324.43,322.11,318.41,314.66,310.82,310.31,311.18,310.60,306.71,312.21,317.59,318.92,320.53,320.69,316.54,322.72,326.78,334.66,335.69,335.90,337.16,339.28,343.64,348.76,359.36,355.06,340.70,333.88,323.61,315.57,312.03,309.13,308.21,304.45,305.29,308.30,319.08,330.02,344.50,350.85,354.31,L7
1999-10-24 21:47:20+00:00,368.81,360.60,352.43,344.33,335.29,332.53,324.49,322.19,324.73,326.31,332.10,334.71,327.61,324.07,319.83,316.61,313.64,316.72,317.54,310.54,310.39,315.51,321.99,324.33,325.58,324.87,322.38,328.46,332.82,340.22,342.11,340.39,340.82,343.14,346.34,352.96,366.81,362.68,346.26,341.83,329.06,319.43,319.24,312.67,309.48,305.37,307.64,309.45,319.63,330.68,344.72,352.42,362.19,L7
1999-10-31 21:53:08+00:00,369.87,361.30,354.69,347.51,338.23,334.39,327.19,324.57,327.06,328.94,333.63,336.76,329.82,326.05,321.29,317.75,314.81,317.74,319.75,312.86,310.52,317.74,323.80,325.97,327.01,325.94,324.08,329.71,334.34,341.61,343.80,342.96,341.40,343.86,348.02,354.25,366.59,362.11,347.40,342.76,330.99,320.94,320.53,314.33,310.27,306.41,308.44,310.96,321.22,331.68,345.27,353.51,363.40,L7
1999-11-16 21:53:32+00:00,369.87,361.30,354.69,347.51,338.23,334.39,327.19,327.08,327.97,330.51,334.78,338.26,330.94,326.79,321.81,319.14,316.01,319.48,322.03,315.53,311.97,319.89,325.12,326.53,327.43,326.25,325.70,331.85,335.82,343.08,344.94,344.44,343.61,345.77,349.93,355.70,366.91,360.98,348.70,343.53,332.26,322.99,321.81,315.57,311.40,308.52,310.14,312.42,321.93,332.23,345.63,353.77,363.64,L7
2000-01-19 21:53:25+00:00,369.60,361.70,354.84,347.33,341.42,338.85,332.21,330.88,330.56,333.54,335.64,338.93,333.71,330.91,325.70,320.81,318.43,320.23,320.39,315.53,317.32,322.04,325.17,328.27,328.40,331.14,329.72,335.05,339.23,346.31,348.42,344.95,348.20,351.39,355.55,359.91,369.01,363.61,348.70,341.76,334.92,326.22,323.64,316.01,312.03,309.18,311.30,313.46,321.38,331.71,346.04,354.58,366.00,L7
2000-02-20 21:52:53+00:00,371.71,365.19,358.75,353.10,347.30,347.75,341.20,339.49,337.66,339.44,340.98,343.44,339.85,336.92,329.87,325.70,323.15,325.71,326.59,321.78,325.50,330.67,331.33,334.51,336.39,340.88,338.34,342.20,347.58,354.77,357.63,351.76,356.57,359.06,362.61,367.40,373.14,366.90,355.74,347.72,341.98,334.42,331.05,321.93,316.26,313.65,315.88,317.73,322.84,332.06,348.10,358.84,374.16,L7
