dates,nzd0249-0000,nzd0249-0001,nzd0249-0002,nzd0249-0003,nzd0249-0004,nzd0249-0005,nzd0249-0006,nzd0249-0007,nzd0249-0008,nzd0249-0009,nzd0249-0010,nzd0249-0011,nzd0249-0012,nzd0249-0013,nzd0249-0014,nzd0249-0015
1999-08-05 21:46:59+00:00,,,,,,113.50575717878368,123.66187779928893,134.04406177402657,135.39106256777666,130.70648481217347,122.09246995577708,120.83196581133024,132.5757956762785,136.75500765792737,115.80869943964272,99.9267450482517
1999-08-21 21:46:33+00:00,103.15361954468182,102.71566593703378,104.16291160646058,102.74358059160207,114.79326660152202,127.71198145356094,135.4328010196953,127.0495539084768,135.43676414164588,127.31298387607939,121.7913820113447,116.23183005642068,121.7877768520888,140.72264544165523,124.9413015612273,107.38406069179796
1999-09-06 21:46:35+00:00,128.9833509179312,123.11208810872141,,108.09591713377317,114.14772925840704,115.77754367131266,123.97891211897121,128.53526856234296,134.32092578414975,132.75164568179008,122.57630399886554,115.7566555552294,113.42815206690602,120.9106037533541,99.42360719900554,86.76135182984054
1999-09-22 21:46:36+00:00,108.58845745177638,104.6142452998138,103.34730870649707,106.96968947275565,114.34457541829975,112.81322537991993,130.18767938172823,125.7268790009414,131.22960844076215,120.96589577440511,112.83943471826102,115.5231315589914,119.2489342910965,128.9828907704512,116.26731426881958,103.06107467457217
1999-10-24 21:46:56+00:00,135.33734729354344,128.6700229372232,129.3248739677108,124.630742525061,126.94962155457762,127.04568777120026,134.17155665390484,138.13370505974373,139.14871604672055,132.55384433426676,123.64470296788119,128.55670765671658,136.10402328047647,141.65716614832732,130.01328779938694,112.14080032729088
2000-02-13 21:46:48+00:00,107.86858979327806,105.09791884311831,109.8638028165106,106.65856625672737,108.2504016053602,112.3900372781306,119.86821097677961,120.58638497093241,114.57005503064592,108.12472599702753,100.38441434216136,109.32807607372894,116.0844528564612,123.54317788153587,114.19059037156428,110.96189851625527
2000-04-01 21:46:34+00:00,114.54983088366488,116.31528554248091,87.62703386760472,100.75126421547657,104.1973114487826,106.82254414406341,103.25620014434456,100.89198349917007,99.64231654219,91.11823021969398,90.72549782020047,94.6414630928992,115.57214185463987,126.0653861318519,116.06033593429322,102.10174063944844
2000-05-19 21:46:07+00:00,116.04955008890923,114.9942802911865,103.66796672629857,110.1935194337946,111.87541586990898,111.1339876286089,120.81554111626976,121.11213353821553,118.81478405958453,114.41622680122582,110.97957158776526,112.28299290793151,126.1306214619774,134.27321309974667,122.4301987944695,113.160332495796
2000-08-07 21:45:08+00:00,86.43922862428029,93.02191038837086,94.38523722094078,94.02435817617716,91.59418423291565,99.14322802798755,109.26333000430795,117.18842041978475,120.75011548632506,106.11309206627868,97.30158383366724,102.58074699035916,117.96371099444049,135.96564810173066,118.68539656259016,107.28681226467236
2000-10-26 21:44:22+00:00,104.87539858055796,109.3096345609158,111.65951873029297,102.56455075390564,113.82456124098367,120.68385548773497,123.60540317174583,113.16153619390863,117.55845425025962,112.37960967007884,108.70731428069804,113.9771131622181,115.92960766185476,126.54627277022115,103.80668727184492,91.905159309266
2000-11-27 21:44:26+00:00,121.56708450747871,118.38571016168144,114.69720107915354,116.31611000801156,124.70338370954326,127.7489411499924,143.60220203068744,137.37752754030234,134.75998240984336,122.00965408199552,122.13385349951974,120.8229547920698,129.24431253550708,131.67869028049506,122.77373762040222,110.92026877308784
2001-01-14 21:44:09+00:00,,,,123.513082161185,135.89998854548432,133.75208337089626,142.44656302866005,147.81911046279188,136.28450113459326,127.220028426165,116.43587677520932,121.4988269903603,130.69414592220383,143.54532376941933,127.26931244544468,121.10447115763422
2001-04-04 21:43:43+00:00,98.4147609647302,98.23372704796864,102.43892747932296,97.96614375793641,109.41414351895924,113.34044257967442,124.05929545635591,121.93675208798389,124.53427966306359,119.8267222283057,114.26229573612014,122.70908090543071,136.04420040379017,144.36803635262635,129.18956666064696,120.10115281122084
2001-04-20 21:43:46+00:00,102.06580014828707,100.53432654138487,101.56631712577635,98.66290160419672,110.18303695566378,116.32659067067239,126.2606684804745,126.402136965258,122.5288057906792,122.6619270270781,115.97202604289453,121.41855075536756,135.59883202928577,141.76482820921717,129.80964120921013,114.96228083626349
2001-05-22 21:43:30+00:00,87.05601524282854,89.12946663615075,92.59818432607166,90.8032215812086,99.60181380680433,99.74837897181072,108.20939399889909,114.83918242080668,117.58786484483848,111.55713924029526,109.1396905707728,112.60139374209352,129.16900406759197,146.7588823990161,138.46952909289354,128.29024120148165
2001-07-25 21:42:54+00:00,117.06973917234728,112.86809405721851,107.55385835357441,108.52901194572064,113.33397893340847,119.21997304203408,124.3926991666052,138.63975487586802,141.97765387976452,129.70688077424728,129.96779837325323,119.98494029225012,134.50861469858194,143.26891558019562,116.90598566720725,103.88098261516835
2001-08-10 21:42:36+00:00,117.28357785136788,113.58822245042136,103.74103251110122,109.3094416174575,107.89650884539688,112.12472215927463,121.55976174775772,132.67384666759256,138.9721017953509,132.32611536345814,129.45828621556745,131.0016577192036,137.83857207937848,143.47392321462237,123.9333319066306,104.3190265913609
2001-08-26 21:42:25+00:00,102.63645599302328,101.62949465383048,105.38845549520929,105.54074779566484,117.77675995590866,118.18138540314268,130.19888066551573,134.4292963591426,133.80232959407306,125.30149954854788,120.0594100902849,126.73804203452642,130.01077829000235,146.5014803846728,127.29190879397972,110.08108480615266
