dates,satname,nzd0043-0000,nzd0043-0001,nzd0043-0002,nzd0043-0003,nzd0043-0004,nzd0043-0005,nzd0043-0006,nzd0043-0007,nzd0043-0008,nzd0043-0009,nzd0043-0010,nzd0043-0011,nzd0043-0012,nzd0043-0013
1999-08-17 22:10:26+00:00,L7,331.85,330.83,337.06,349.13,334.90,331.90,336.99,328.42,327.11,328.26,328.21,324.21,308.58,319.38
1999-08-26 22:04:21+00:00,L7,341.01,333.40,342.46,349.09,339.59,335.60,337.50,333.81,329.52,331.76,336.06,323.38,312.97,318.27
1999-09-27 22:04:25+00:00,L7,334.02,332.44,335.67,341.16,326.83,324.41,330.04,326.46,330.26,332.41,328.60,317.56,288.75,311.59
1999-11-14 22:04:18+00:00,L7,337.56,332.76,336.12,342.95,331.37,331.09,338.13,331.34,331.31,336.84,341.46,331.50,309.95,321.30
2000-02-09 22:10:19+00:00,L7,342.23,335.46,336.29,345.45,333.48,330.96,338.66,336.17,336.44,343.87,347.22,340.27,324.79,331.33
2000-04-13 22:09:54+00:00,L7,371.36,361.44,365.47,372.86,361.72,362.27,369.27,360.26,358.12,361.96,370.62,,,359.47
2000-04-29 22:09:53+00:00,L7,376.27,360.87,367.90,374.66,363.45,362.09,369.20,364.18,364.43,370.99,377.16,368.27,368.40,364.56
2000-05-24 22:03:22+00:00,L7,330.21,326.49,341.22,349.32,340.22,337.96,341.56,341.13,342.00,349.56,350.18,339.21,328.51,336.58
2000-07-11 22:02:53+00:00,L7,329.51,322.72,329.56,335.33,325.48,327.84,331.66,326.23,331.11,332.92,329.58,312.85,,
2000-08-03 22:08:44+00:00,L7,331.35,323.68,333.80,336.76,328.64,327.37,326.80,321.65,323.18,326.55,320.02,301.70,284.25,322.33
2000-08-12 22:02:30+00:00,L7,335.96,327.82,348.19,350.85,334.64,336.23,335.11,328.31,328.03,330.60,329.96,328.08,306.60,333.35
2000-08-19 22:08:38+00:00,L7,329.29,319.69,326.00,334.19,323.01,318.74,320.77,314.76,314.24,319.59,317.45,298.50,272.14,306.78
2000-09-04 22:08:22+00:00,L7,331.29,319.32,339.22,349.85,323.49,318.22,319.89,316.50,319.04,321.85,323.32,317.04,297.85,308.77
2000-11-07 22:07:53+00:00,L7,339.73,331.59,351.94,354.44,340.88,333.64,343.12,347.63,341.36,343.14,357.38,341.31,341.57,340.01
2001-01-03 22:01:48+00:00,L7,340.49,337.95,354.14,355.53,351.26,348.02,357.18,350.92,354.82,367.64,366.41,350.60,333.54,345.43
2001-03-24 22:01:35+00:00,L7,320.34,312.53,318.55,335.45,322.75,323.23,324.04,324.66,328.37,332.56,333.57,319.77,308.22,321.22
2001-06-03 22:07:16+00:00,L7,360.34,350.69,351.02,359.33,354.56,358.09,364.26,352.47,356.49,365.49,366.24,360.71,353.68,350.09
2001-06-12 22:01:01+00:00,L7,338.72,342.38,347.98,358.71,351.22,348.15,346.90,341.67,,,,,,
2001-06-19 22:07:05+00:00,L7,344.21,338.80,348.58,354.24,349.77,350.58,352.32,351.40,342.22,348.84,352.47,335.50,324.25,334.84
