dates,nzd0380-0000,nzd0380-0001,nzd0380-0002,nzd0380-0003,nzd0380-0004,nzd0380-0005,nzd0380-0006,nzd0380-0007,nzd0380-0008,nzd0380-0009,nzd0380-0010,satname
1999-08-26 22:06:20+00:00,403.60,405.74,399.95,401.54,406.63,400.44,392.79,377.35,393.65,386.11,396.56,L7
1999-09-18 22:12:27+00:00,408.60,410.53,403.66,404.72,389.27,407.93,400.05,394.87,377.73,359.41,362.44,L7
1999-10-13 22:06:24+00:00,396.09,403.71,403.06,400.98,393.62,386.33,391.63,390.42,385.02,379.42,370.74,L7
1999-11-21 22:12:24+00:00,427.60,423.06,411.10,410.88,397.71,406.78,402.75,399.70,384.37,393.75,378.97,L7
1999-12-07 22:12:29+00:00,415.50,413.54,411.52,409.17,409.48,405.94,384.61,384.95,395.27,385.40,390.89,L7
2000-01-17 22:06:11+00:00,406.70,407.83,399.04,396.22,396.96,397.46,395.65,390.57,390.77,387.93,393.44,L7
2000-03-12 22:12:09+00:00,405.26,398.24,413.87,426.65,415.12,404.47,401.40,396.27,399.78,406.99,403.55,L7
2000-03-21 22:06:01+00:00,389.91,382.51,364.26,362.14,362.54,380.91,379.38,383.49,371.96,369.48,,L7
2000-04-13 22:11:54+00:00,395.96,390.01,379.13,377.71,380.70,385.89,394.15,389.83,391.20,377.11,383.99,L7
2000-05-31 22:11:30+00:00,401.72,390.77,389.11,379.89,378.44,361.40,351.64,,,,,L7
2000-08-12 22:04:29+00:00,394.11,392.80,386.29,381.05,388.59,377.60,372.78,376.25,385.96,385.68,,L7
2000-08-19 22:10:38+00:00,425.74,427.56,,420.62,419.92,415.78,407.54,400.36,390.66,396.50,382.68,L7
2000-09-04 22:10:22+00:00,387.09,372.91,380.56,377.22,376.25,373.27,,,,356.71,349.91,L7
2000-09-13 22:04:02+00:00,,383.89,377.02,370.96,375.17,340.27,,,,,,L7
2000-09-20 22:10:03+00:00,388.86,387.04,393.00,384.25,378.79,369.56,347.25,,354.19,362.13,341.07,L7
2000-10-15 22:03:32+00:00,,,394.87,391.80,381.78,388.95,,,,,,L7
2000-11-07 22:09:53+00:00,410.49,405.05,402.87,394.76,396.09,385.77,372.56,365.31,374.77,373.70,308.69,L7
2001-01-10 22:10:03+00:00,409.33,403.69,394.66,401.19,402.07,397.10,393.88,390.59,395.28,386.73,390.80,L7
2001-03-08 22:03:44+00:00,393.81,397.09,397.05,389.66,389.82,393.12,391.08,401.86,405.93,396.48,393.88,L7
2001-03-15 22:09:51+00:00,382.18,385.25,395.36,372.87,383.16,381.53,373.51,376.66,349.22,379.46,378.26,L7
2001-03-31 22:09:43+00:00,397.51,396.27,396.40,397.50,399.02,401.41,397.45,373.53,372.48,379.43,381.83,L7
2001-05-02 22:09:39+00:00,396.04,397.49,395.44,396.35,394.29,398.93,394.54,393.14,397.29,391.94,391.51,L7
2001-06-19 22:09:05+00:00,399.89,405.21,393.51,401.39,392.37,405.85,399.02,414.35,415.35,411.31,386.42,L7
2001-06-28 22:02:45+00:00,391.62,379.63,440.62,386.03,391.33,404.18,392.07,,,,,L7
2001-07-05 22:08:57+00:00,397.06,402.72,404.57,398.13,390.41,401.55,398.37,401.23,402.35,394.51,388.19,L7
2001-08-15 22:02:14+00:00,404.70,388.68,386.70,391.45,390.80,390.20,381.17,378.86,385.32,390.64,387.84,L7
2001-08-31 22:02:05+00:00,394.86,395.05,389.71,382.62,384.86,385.70,378.88,385.79,388.22,383.75,393.42,L7
2001-09-23 22:08:02+00:00,,,,397.74,393.94,388.21,384.53,376.12,381.87,386.90,382.76,L7
2001-10-02 22:01:40+00:00,366.27,389.29,400.26,400.63,402.93,400.84,400.62,401.01,396.59,392.36,393.01,L7
2001-11-03 22:01:46+00:00,400.10,389.76,392.70,389.90,384.78,381.95,384.81,377.95,371.04,361.11,359.41,L7
2001-12-21 22:02:05+00:00,411.95,410.82,409.97,406.16,409.39,407.98,396.98,388.09,368.10,372.42,376.88,L7
2002-01-29 22:08:21+00:00,422.87,422.56,412.30,402.65,403.13,402.73,404.46,398.22,394.50,383.48,379.93,L7
2002-02-07 22:02:17+00:00,422.16,409.22,405.80,399.23,398.72,389.57,387.04,381.27,380.58,378.11,370.86,L7
2002-02-14 22:08:29+00:00,413.26,407.60,404.58,400.19,396.09,397.38,390.76,392.50,389.33,386.40,378.49,L7
2002-05-14 22:02:07+00:00,399.01,400.58,396.83,386.71,391.03,387.01,392.71,390.48,379.82,378.97,392.85,L7
2002-06-06 22:08:10+00:00,406.00,403.06,390.32,388.39,390.68,389.88,386.02,377.30,379.22,378.20,376.78,L7
2002-07-24 22:07:50+00:00,408.10,399.90,393.36,387.20,393.07,391.42,383.49,374.02,381.77,383.53,366.64,L7
2002-08-25 22:07:36+00:00,402.33,399.61,391.19,389.64,392.44,386.02,383.19,387.70,380.08,370.90,365.18,L7
2002-10-05 22:01:07+00:00,423.09,412.70,404.41,398.10,393.64,393.77,399.23,403.05,402.24,377.02,369.90,L7
2002-11-13 22:07:30+00:00,,,,,,,398.41,388.63,392.16,394.94,383.97,L7
2002-11-29 22:07:49+00:00,413.38,416.44,412.73,416.62,416.51,405.36,406.37,389.26,393.20,396.24,379.57,L7
2002-12-31 22:07:56+00:00,417.35,424.55,407.11,406.21,402.41,402.24,393.80,394.72,398.61,392.08,401.67,L7
2003-01-25 22:01:54+00:00,416.64,400.33,407.14,399.74,385.84,381.54,381.40,375.62,381.08,377.36,369.12,L7
2003-02-01 22:08:09+00:00,402.13,395.45,387.49,379.59,383.74,378.95,381.89,399.14,392.43,380.51,377.38,L7
2003-02-26 22:02:04+00:00,437.60,434.85,427.79,433.65,,,,,,,,L7
2003-03-05 22:08:19+00:00,427.01,421.15,414.19,407.24,414.39,407.24,410.79,407.03,408.08,410.97,415.04,L7
2003-03-21 22:08:15+00:00,419.33,413.44,412.06,410.10,416.42,403.30,410.43,407.19,409.22,401.71,403.90,L7
2003-07-28 21:50:04+00:00,378.24,388.24,382.51,378.84,379.84,378.91,386.65,359.96,380.50,367.72,359.64,L5
2003-08-28 22:07:57+00:00,413.48,413.38,405.60,390.22,401.05,402.00,394.47,398.15,389.62,377.03,,L7
2003-08-29 21:50:38+00:00,394.52,393.59,383.40,382.29,387.16,386.16,383.11,383.17,369.62,362.89,365.53,L5
2003-09-14 21:50:54+00:00,397.46,389.20,393.09,383.67,383.93,381.67,381.78,373.65,360.19,358.75,365.88,L5
