dates,satname,nzd0380-0000,nzd0380-0001,nzd0380-0002,nzd0380-0003,nzd0380-0004,nzd0380-0005,nzd0380-0006,nzd0380-0007,nzd0380-0008,nzd0380-0009,nzd0380-0010
1999-08-26 22:06:20+00:00,L7,377.80,379.94,380.10,383.11,386.78,376.99,366.99,345.10,356.79,357.44,367.89
1999-09-18 22:12:27+00:00,L7,418.00,419.93,410.89,411.43,396.50,416.48,409.45,406.62,391.16,369.85,372.88
1999-10-13 22:06:24+00:00,L7,399.89,407.51,405.98,403.69,396.54,389.78,395.43,395.17,390.45,383.64,374.96
1999-11-05 22:12:28+00:00,L7,510.13,456.75,481.33,455.51,464.75,448.11,501.40,520.48,575.98,551.53,487.59
1999-11-21 22:12:24+00:00,L7,399.80,395.26,389.72,391.02,376.33,381.51,374.95,364.95,344.66,362.86,348.08
1999-12-07 22:12:29+00:00,L7,394.30,392.34,395.21,394.03,393.17,386.67,363.41,358.45,364.98,361.84,367.33
2000-01-17 22:06:11+00:00,L7,397.90,399.03,392.27,389.93,390.19,389.46,386.85,379.57,378.20,378.15,383.66
2000-03-12 22:12:09+00:00,L7,425.46,418.44,429.41,441.08,430.66,422.83,421.60,421.52,428.64,429.43,425.99
2000-03-21 22:06:01+00:00,L7,374.91,367.51,352.72,351.43,351.00,367.27,364.38,364.74,350.53,352.81,322.27
2000-04-13 22:11:54+00:00,L7,394.16,388.21,377.75,376.42,379.32,384.25,392.35,387.58,388.63,375.11,381.99
2000-05-31 22:11:30+00:00,L7,373.92,362.97,367.73,360.03,357.06,336.13,323.84,,200.31,173.14,168.03
2000-08-12 22:04:29+00:00,L7,374.11,372.80,370.91,366.76,373.21,359.42,352.78,351.25,357.39,363.46,573.25
2000-08-19 22:10:38+00:00,L7,433.34,435.16,438.92,426.05,425.77,422.69,415.14,409.86,401.52,404.94,391.12
2000-09-04 22:10:22+00:00,L7,404.29,390.11,393.79,389.51,389.48,388.91,374.03,376.09,372.51,375.82,369.02
2000-09-13 22:04:02+00:00,L7,147.07,360.89,359.33,354.53,357.48,319.36,211.60,276.03,262.77,,
2000-09-20 22:10:03+00:00,L7,408.06,406.24,407.77,397.96,393.56,387.01,366.45,373.76,381.62,383.46,362.40
2000-10-15 22:03:32+00:00,L7,558.44,522.85,388.25,385.66,375.16,381.13,,538.14,540.22,555.14,
2000-11-07 22:09:53+00:00,L7,403.89,398.45,397.79,390.05,391.01,379.77,365.96,357.06,365.34,366.37,301.36
2001-01-10 22:10:03+00:00,L7,387.33,381.69,377.74,385.48,385.15,377.10,371.88,363.09,363.85,362.29,366.36
2001-03-08 22:03:44+00:00,L7,362.61,365.89,373.05,367.37,365.82,364.76,359.88,362.86,361.36,361.81,359.21
2001-03-15 22:09:51+00:00,L7,399.18,402.25,408.44,385.01,396.24,396.98,390.51,397.91,373.51,398.35,397.15
2001-03-31 22:09:43+00:00,L7,415.71,414.47,410.40,410.50,413.02,417.96,415.65,396.28,398.48,399.65,402.05
