dates,nzd0411-0000,nzd0411-0001,nzd0411-0002,nzd0411-0003,nzd0411-0004,nzd0411-0005,nzd0411-0006,nzd0411-0007,nzd0411-0008,nzd0411-0009,nzd0411-0010,nzd0411-0011,nzd0411-0012,nzd0411-0013,nzd0411-0014,nzd0411-0015,nzd0411-0016,nzd0411-0017,nzd0411-0018,nzd0411-0019,nzd0411-0020,nzd0411-0021,nzd0411-0022,nzd0411-0023,nzd0411-0024,nzd0411-0025,nzd0411-0026,nzd0411-0027,nzd0411-0028,satname
1999-07-18 22:00:25+00:00,,,,,,,,,,,380.01,,,332.00,313.41,,,,,,,,,,,,,,,L7
1999-09-04 22:00:33+00:00,336.59,340.29,347.88,355.47,363.43,363.43,369.10,372.56,377.49,370.82,365.29,351.64,,351.49,344.26,329.58,,300.57,301.19,300.55,299.43,297.03,301.08,308.80,314.37,323.12,326.58,322.07,322.69,L7
1999-10-22 22:00:28+00:00,355.15,360.30,370.04,375.57,383.07,379.59,389.72,393.33,375.59,367.43,351.03,374.13,,362.03,337.78,328.73,324.28,312.31,304.29,306.75,298.53,302.78,302.42,309.27,322.98,327.90,329.89,331.01,336.14,L7
1999-12-25 22:00:28+00:00,357.36,364.02,365.48,370.67,382.03,383.25,385.22,386.17,377.03,368.50,357.29,349.20,336.30,325.01,320.28,319.72,314.77,291.06,294.47,287.85,296.16,292.05,299.14,301.61,301.46,311.28,311.57,314.03,315.22,L7
2000-01-26 22:00:26+00:00,355.60,355.18,357.36,372.09,383.94,385.70,392.60,387.24,383.69,378.18,367.43,362.16,344.32,342.63,,,,,304.74,298.78,303.05,304.49,307.12,308.54,305.64,318.91,318.63,322.02,307.08,L7
2000-02-11 22:00:21+00:00,349.83,355.99,357.60,370.52,381.91,383.52,382.89,380.54,385.68,377.06,371.63,363.49,332.95,303.55,,301.29,308.19,301.59,288.42,296.31,294.39,298.05,302.01,305.60,300.48,318.60,317.04,314.53,315.81,L7
2000-02-27 22:00:16+00:00,340.23,341.67,342.19,361.90,376.89,380.15,383.93,382.56,380.30,368.02,364.36,361.94,346.03,316.39,321.12,322.10,314.01,305.94,299.27,291.62,288.29,288.67,295.35,299.99,301.91,314.67,315.76,317.50,310.54,L7
2000-03-30 22:00:09+00:00,317.99,338.09,349.12,364.30,377.52,378.52,385.48,393.33,390.62,385.80,371.82,369.38,362.26,350.02,323.90,320.68,323.92,318.42,316.50,310.74,302.29,303.92,301.67,305.61,310.50,316.88,323.58,327.71,325.83,L7
2000-04-15 21:59:55+00:00,333.27,342.46,342.45,356.33,373.04,379.00,373.55,381.66,375.99,379.19,372.28,360.47,350.68,343.56,354.91,331.09,325.98,303.91,299.95,298.51,295.98,300.12,294.31,293.99,309.11,305.52,313.71,314.65,322.10,L7
2000-05-01 21:59:54+00:00,351.74,360.87,366.48,373.06,381.07,372.73,383.17,390.64,393.23,391.67,368.84,328.01,356.40,357.50,352.15,346.70,335.39,326.13,312.23,306.33,298.11,310.13,303.47,305.54,316.50,322.92,323.31,329.25,336.55,L7
2000-05-17 21:59:43+00:00,236.53,353.98,360.83,366.42,376.17,381.42,383.57,382.37,368.08,,343.95,340.71,337.22,,,,,,,,,,,,,,,,,L7
2000-07-04 21:59:14+00:00,249.32,,327.31,360.31,366.00,359.86,370.79,369.30,394.57,394.57,355.96,357.09,337.05,,,318.11,333.19,336.49,316.51,318.62,300.45,311.87,304.99,313.07,327.98,317.27,300.44,308.01,309.98,L7
2000-08-05 21:58:44+00:00,268.13,338.82,340.46,349.21,355.70,349.56,353.76,343.40,,,,,,,,,,,,,,,,,,,,,,L7
2000-09-06 21:58:22+00:00,296.47,330.13,341.13,352.77,361.82,356.66,362.82,371.49,368.70,361.98,351.23,349.23,347.13,338.36,332.05,329.51,324.10,322.40,322.48,333.23,335.45,344.68,345.56,,361.22,,,382.21,363.81,L7
2000-10-08 21:58:00+00:00,341.13,341.72,354.20,364.98,374.63,373.26,368.46,367.71,367.74,361.59,348.34,345.81,334.54,331.77,327.77,332.18,328.25,319.74,321.06,321.52,331.88,346.27,337.46,308.93,,,350.22,354.51,362.62,L7
2000-11-09 21:57:57+00:00,347.90,344.56,345.72,353.63,365.32,365.85,362.06,364.20,366.70,359.39,349.64,341.59,338.53,335.54,338.01,334.87,341.18,328.40,340.70,344.09,329.18,334.87,318.17,337.81,351.80,349.88,349.83,344.93,350.74,L7
2000-11-25 21:57:58+00:00,335.76,337.64,342.08,347.38,352.85,346.88,346.31,352.41,344.85,346.99,338.45,335.00,336.25,334.35,333.43,329.07,339.44,320.31,321.67,323.55,333.89,322.39,293.00,,326.72,333.26,335.08,335.95,336.16,L7
2001-03-17 21:57:52+00:00,327.78,335.73,342.16,350.61,362.34,358.88,359.49,363.19,371.35,358.91,357.48,352.24,349.74,348.12,347.47,346.65,355.02,343.91,321.51,328.91,337.03,336.71,335.63,333.42,338.79,349.62,347.96,346.07,338.34,L7
2001-05-20 21:57:28+00:00,,297.59,342.92,352.73,362.84,354.91,359.41,360.48,364.80,370.20,370.04,359.61,351.32,350.82,344.62,337.15,340.76,325.42,319.92,320.67,314.02,320.32,316.51,324.06,332.31,336.85,340.88,342.95,341.31,L7
2001-08-24 21:56:24+00:00,290.60,313.49,321.77,334.12,352.63,352.99,357.84,366.83,378.71,358.34,355.73,350.17,349.99,346.26,343.28,346.33,332.98,324.99,318.91,306.58,,300.52,336.84,330.37,319.80,329.10,335.83,329.50,323.74,L7
2001-09-25 21:56:04+00:00,333.65,331.43,336.81,340.84,351.86,360.17,363.49,372.26,372.85,366.97,356.63,364.78,357.48,358.52,350.03,350.82,346.47,337.90,330.65,326.80,325.14,323.15,320.68,313.27,296.00,320.20,358.77,360.14,349.13,L7
2001-12-30 21:56:13+00:00,320.46,317.61,324.52,334.75,347.63,344.30,344.82,348.80,346.26,350.84,340.38,336.49,334.11,331.04,333.46,341.05,325.82,310.19,304.02,,,,306.11,295.76,298.84,298.93,303.68,310.81,327.84,L7
2002-02-16 21:56:30+00:00,317.65,318.00,318.86,331.30,348.09,346.79,340.47,340.36,343.13,340.45,350.00,346.58,338.91,334.57,330.61,320.52,312.40,310.92,330.36,335.49,336.64,331.32,330.37,324.53,327.58,327.41,322.55,325.51,316.67,L7
2002-03-20 21:56:24+00:00,341.19,340.52,341.50,355.35,366.70,364.36,367.31,368.91,375.67,365.82,373.34,371.21,349.02,335.60,318.62,311.72,314.81,310.65,345.90,350.00,351.65,347.81,346.12,347.15,347.75,351.15,344.53,345.42,341.55,L7
2002-05-07 21:56:27+00:00,,345.03,360.67,364.42,369.94,360.55,369.93,376.23,384.47,379.60,371.00,347.29,325.67,321.38,321.52,311.56,310.31,,306.84,314.91,317.12,317.46,310.97,313.18,326.39,320.45,320.14,318.42,332.44,L7
2002-10-14 21:55:19+00:00,355.62,360.46,374.91,385.32,398.37,381.70,373.14,360.39,393.24,381.81,362.76,356.53,347.05,343.19,346.39,332.45,337.83,334.00,331.46,330.88,328.48,327.85,326.09,327.07,325.21,328.29,330.44,330.73,331.50,L7
2002-10-30 21:55:25+00:00,347.70,343.29,342.06,343.20,355.26,363.30,375.17,359.42,385.13,381.20,376.02,367.37,343.53,343.18,338.37,334.90,329.53,323.89,322.67,324.44,324.84,329.25,325.84,324.69,320.99,327.93,324.40,324.33,320.36,L7
2003-05-10 21:56:22+00:00,,,345.99,356.95,366.22,368.93,363.46,365.94,367.12,361.59,355.20,349.55,343.64,338.29,342.44,336.94,333.24,327.65,323.01,317.42,316.65,313.06,316.98,311.67,318.37,324.90,327.84,322.32,329.13,L7
