dates,satname,nzd0411-0000,nzd0411-0001,nzd0411-0002,nzd0411-0003,nzd0411-0004,nzd0411-0005,nzd0411-0006,nzd0411-0007,nzd0411-0008,nzd0411-0009,nzd0411-0010,nzd0411-0011,nzd0411-0012,nzd0411-0013,nzd0411-0014,nzd0411-0015,nzd0411-0016,nzd0411-0017,nzd0411-0018,nzd0411-0019,nzd0411-0020,nzd0411-0021,nzd0411-0022,nzd0411-0023,nzd0411-0024,nzd0411-0025,nzd0411-0026,nzd0411-0027,nzd0411-0028
1999-07-18 22:00:25+00:00,L7,,,,,,,,,,,371.77,619.62,442.12,323.25,303.41,223.82,,,,,,,,,,,,,
1999-09-04 22:00:33+00:00,L7,332.46,337.19,345.30,352.21,360.17,360.33,365.66,369.12,373.36,368.61,361.64,347.51,341.89,347.61,339.83,324.81,276.51,294.37,293.44,293.66,291.68,291.39,294.19,302.60,310.93,317.48,321.81,317.94,321.14
1999-10-22 22:00:28+00:00,L7,363.42,366.50,375.21,382.10,389.60,385.79,396.61,400.22,383.86,371.86,358.32,382.40,391.51,369.78,346.64,338.27,333.14,324.71,319.79,320.53,314.03,314.05,316.20,321.67,329.87,339.17,339.43,339.28,339.24
1999-12-25 22:00:28+00:00,L7,352.29,360.22,362.31,366.67,378.03,379.45,381.00,381.95,371.96,365.79,352.82,344.13,333.26,320.26,314.85,313.87,309.34,283.46,284.97,279.41,286.66,285.14,290.70,294.01,297.24,304.37,305.72,308.96,313.32
2000-01-26 22:00:26+00:00,L7,344.13,346.58,350.19,363.04,374.89,377.10,383.04,377.68,372.22,372.04,357.31,350.69,337.44,331.88,235.57,234.85,220.04,215.72,283.24,279.67,281.55,288.85,288.01,291.34,296.08,303.27,305.40,310.55,302.78
2000-02-11 22:00:21+00:00,L7,339.56,348.29,351.18,362.41,373.80,375.82,374.33,371.98,375.41,371.56,362.57,353.22,326.79,293.92,237.09,289.44,297.19,286.19,269.17,279.20,275.14,284.05,284.90,290.20,291.92,304.60,305.19,304.26,311.96
2000-02-27 22:00:16+00:00,L7,335.30,337.97,339.11,358.01,373.00,376.45,379.82,378.45,375.37,365.38,360.01,357.01,343.07,311.77,315.83,316.41,308.72,298.54,290.02,283.40,279.04,281.94,287.13,292.59,297.80,307.94,310.07,312.57,308.69
2000-03-30 22:00:09+00:00,L7,320.39,339.89,350.62,366.19,379.41,380.32,387.48,395.33,393.02,387.09,373.94,371.78,363.70,352.27,326.47,323.45,326.49,322.02,321.00,314.74,306.79,307.19,305.67,309.21,312.50,320.15,326.35,330.11,326.73
2000-04-15 21:59:55+00:00,L7,342.47,349.36,348.20,363.59,380.30,385.90,381.22,389.33,385.19,384.12,380.40,369.67,356.20,352.19,364.77,341.71,335.84,317.71,317.20,313.84,313.23,312.67,309.64,307.79,316.78,318.07,324.33,323.85,325.55
2000-05-01 21:59:54+00:00,L7,360.67,367.57,372.06,380.11,388.12,379.43,390.61,398.08,402.16,396.46,376.72,336.94,361.76,365.87,361.72,357.01,344.96,339.53,328.98,321.22,314.86,322.31,318.36,318.94,323.94,335.10,333.62,338.18,339.90
2000-05-17 21:59:43+00:00,L7,246.13,361.18,366.83,374.00,383.75,388.62,391.57,390.37,377.68,355.97,352.42,350.31,342.98,,,,,,,,,,,,,,,,
2000-07-04 21:59:14+00:00,L7,246.92,258.57,325.81,358.42,364.11,358.06,368.79,367.30,392.17,393.28,353.84,354.69,335.61,207.84,239.24,315.34,330.62,332.89,312.01,314.62,295.95,308.60,300.99,309.47,325.98,314.00,297.67,305.61,309.08
2000-08-05 21:58:44+00:00,L7,257.73,331.02,333.96,341.00,347.49,341.76,345.09,334.73,316.53,304.41,262.75,,,,,,,,,,,,,,,,,,
2000-09-06 21:58:22+00:00,L7,291.14,326.13,337.80,348.56,357.61,352.66,358.38,367.05,363.37,359.12,346.52,343.90,343.93,333.36,326.34,323.36,318.39,314.40,312.48,324.34,325.45,337.41,336.67,346.73,356.78,378.60,134.81,376.88,361.81
2000-10-08 21:58:00+00:00,L7,342.60,342.82,355.12,366.14,375.79,374.36,369.68,368.93,369.21,362.38,349.63,347.28,335.42,333.15,329.34,333.87,329.82,321.94,323.81,323.96,334.63,348.27,339.90,311.13,279.44,188.63,351.91,355.98,363.17
2000-11-09 21:57:57+00:00,L7,355.63,350.36,350.55,359.74,371.43,371.65,368.50,370.64,374.43,363.53,356.46,349.32,343.17,342.79,346.30,343.79,349.47,340.00,355.20,356.98,343.68,345.42,331.06,349.41,358.24,360.43,358.75,352.66,353.64
2000-11-25 21:57:58+00:00,L7,344.29,344.04,347.41,354.12,359.59,353.28,353.42,359.52,353.38,351.56,345.98,343.53,341.37,342.35,342.57,338.92,348.58,333.11,337.67,337.77,349.89,334.03,307.22,298.48,333.83,344.90,344.93,344.48,339.36
2001-03-17 21:57:52+00:00,L7,323.91,332.83,339.74,347.56,359.29,355.98,356.27,359.97,367.48,356.84,354.07,348.37,347.42,344.49,343.33,342.19,350.88,338.11,314.26,322.47,329.78,331.44,329.19,327.62,335.57,344.35,343.50,342.20,336.89
2001-05-20 21:57:28+00:00,L7,247.37,304.09,348.34,359.57,369.68,361.41,366.63,367.70,373.47,374.84,377.69,368.28,356.52,358.95,353.91,347.15,350.05,338.42,336.17,335.11,330.27,332.14,330.95,337.06,339.53,348.67,350.88,351.62,344.56
