dates,satname,nzd0357-0000,nzd0357-0001,nzd0357-0002,nzd0357-0003,nzd0357-0004,nzd0357-0005,nzd0357-0006,nzd0357-0007,nzd0357-0008,nzd0357-0009,nzd0357-0010,nzd0357-0011,nzd0357-0012,nzd0357-0013,nzd0357-0014,nzd0357-0015,nzd0357-0016,nzd0357-0017,nzd0357-0018,nzd0357-0019,nzd0357-0020,nzd0357-0021,nzd0357-0022,nzd0357-0023,nzd0357-0024,nzd0357-0025,nzd0357-0026,nzd0357-0027,nzd0357-0028,nzd0357-0029,nzd0357-0030,nzd0357-0031,nzd0357-0032,nzd0357-0033,nzd0357-0034,nzd0357-0035,nzd0357-0036,nzd0357-0037,nzd0357-0038,nzd0357-0039,nzd0357-0040,nzd0357-0041,nzd0357-0042,nzd0357-0043,nzd0357-0044,nzd0357-0045,nzd0357-0046,nzd0357-0047,nzd0357-0048,nzd0357-0049,nzd0357-0050,nzd0357-0051,nzd0357-0052,nzd0357-0053,nzd0357-0054,nzd0357-0055,nzd0357-0056,nzd0357-0057,nzd0357-0058,nzd0357-0059,nzd0357-0060,nzd0357-0061,nzd0357-0062,nzd0357-0063,nzd0357-0064,nzd0357-0065,nzd0357-0066,nzd0357-0067,nzd0357-0068,nzd0357-0069,nzd0357-0070,nzd0357-0071,nzd0357-0072,nzd0357-0073,nzd0357-0074,nzd0357-0075,nzd0357-0076,nzd0357-0077,nzd0357-0078,nzd0357-0079,nzd0357-0080,nzd0357-0081,nzd0357-0082,nzd0357-0083,nzd0357-0084,nzd0357-0085,nzd0357-0086,nzd0357-0087,nzd0357-0088,nzd0357-0089,nzd0357-0090,nzd0357-0091,nzd0357-0092,nzd0357-0093,nzd0357-0094,nzd0357-0095,nzd0357-0096,nzd0357-0097,nzd0357-0098,nzd0357-0099,nzd0357-0100,nzd0357-0101,nzd0357-0102,nzd0357-0103,nzd0357-0104,nzd0357-0105,nzd0357-0106,nzd0357-0107,nzd0357-0108,nzd0357-0109,nzd0357-0110,nzd0357-0111,nzd0357-0112,nzd0357-0113,nzd0357-0114,nzd0357-0115,nzd0357-0116,nzd0357-0117,nzd0357-0118,nzd0357-0119,nzd0357-0120,nzd0357-0121,nzd0357-0122,nzd0357-0123,nzd0357-0124
2000-06-18 21:59:03+00:00,L7,,,,,,307.65,310.33,316.82,322.49,339.21,336.69,338.73,345.83,343.26,346.10,343.28,345.70,346.70,349.63,353.05,353.90,351.94,353.33,354.74,352.33,348.40,343.86,352.35,368.10,361.29,363.21,364.46,359.03,355.54,357.86,357.24,361.06,361.39,355.58,361.53,359.92,352.78,353.75,348.57,352.88,356.43,353.57,357.69,356.62,359.80,352.32,359.01,359.33,357.22,360.84,357.70,344.98,349.60,347.15,350.67,351.79,358.31,357.49,359.49,363.17,359.51,357.08,354.27,355.57,358.68,347.47,117.75,104.64,,,,,,,,,,,,,,,344.81,351.26,348.36,350.43,355.61,355.24,354.16,354.79,359.14,359.53,354.04,353.83,358.38,352.66,,350.67,353.09,359.16,358.50,364.72,363.34,369.90,370.60,361.89,360.20,361.38,369.70,373.81,,367.72,369.00,368.97,370.08,367.89,368.69,375.05,384.05,381.38
2000-08-05 21:58:20+00:00,L7,259.30,286.36,295.54,298.18,301.30,303.97,306.19,312.44,320.05,330.65,332.52,333.41,340.94,337.75,339.04,340.44,338.38,340.51,346.85,350.82,349.14,346.26,351.49,353.95,351.59,345.22,339.01,348.21,363.12,356.84,360.69,356.58,354.57,355.21,353.63,354.73,354.43,353.28,353.87,359.59,358.42,349.92,348.31,338.13,348.07,350.14,348.00,348.13,349.85,354.67,348.82,355.73,355.29,354.82,356.12,355.20,345.35,346.00,345.86,349.69,352.80,356.66,354.57,356.98,358.92,358.00,352.50,352.84,354.25,351.64,346.52,344.78,348.98,355.90,348.34,346.43,355.46,352.33,325.02,342.18,346.85,346.63,344.74,345.66,345.36,337.01,334.06,337.46,344.99,347.33,345.35,347.02,349.56,350.69,351.08,353.72,357.33,358.37,354.08,352.46,349.89,347.19,348.56,350.24,354.18,355.71,361.01,363.89,367.45,370.12,359.90,356.47,361.21,362.64,369.12,367.56,359.86,363.36,365.66,,360.74,364.07,370.66,380.31,371.90
2000-11-25 21:57:34+00:00,L7,272.95,297.91,307.95,310.13,314.11,317.86,320.38,323.77,331.15,342.07,340.94,342.73,351.35,348.37,348.90,349.72,348.41,353.06,357.52,359.21,360.34,358.67,360.78,361.04,361.49,352.97,348.44,362.07,373.57,367.41,368.12,365.77,362.54,365.32,363.39,362.81,364.19,363.28,363.69,370.05,365.88,358.63,355.94,348.85,352.77,356.28,355.68,357.00,358.08,361.92,362.20,365.42,363.01,366.45,366.54,362.40,354.12,354.04,355.82,356.92,362.66,366.16,365.58,365.43,369.47,363.41,360.90,358.64,362.22,358.43,357.50,353.55,359.98,367.18,359.44,359.74,366.15,357.90,349.83,349.96,353.89,355.65,352.72,355.16,355.13,344.15,341.97,345.52,352.14,353.91,353.61,357.87,357.43,360.07,361.94,364.21,366.28,364.00,365.71,363.00,359.11,354.46,359.74,357.74,363.37,359.63,368.34,367.52,375.13,378.70,367.45,363.52,368.76,370.16,373.02,368.93,363.48,370.61,376.08,372.93,363.48,361.27,369.32,373.17,373.43
2000-12-11 21:57:36+00:00,L7,273.91,292.90,302.95,305.11,307.16,311.58,317.87,317.95,329.44,337.87,332.09,337.86,345.81,342.46,346.07,348.36,348.23,353.31,355.29,361.10,358.97,358.54,357.84,363.10,360.01,352.80,348.46,361.76,372.61,369.45,366.05,365.21,361.98,364.63,362.67,359.23,360.34,358.90,360.43,369.04,364.51,354.06,352.84,344.27,346.29,349.12,348.25,353.21,355.27,357.92,359.44,362.93,365.69,366.65,367.03,362.32,352.96,352.67,354.74,354.79,359.20,364.33,361.35,362.01,365.63,363.20,361.38,361.65,362.26,357.94,353.48,350.28,355.64,364.92,355.82,358.68,364.00,356.41,344.35,346.33,350.40,350.51,349.19,352.31,350.70,339.11,339.91,343.79,350.87,352.13,353.70,354.23,354.96,356.49,360.90,362.15,360.86,360.16,362.39,360.92,355.62,351.56,355.06,353.88,363.14,357.59,365.03,362.72,368.93,367.56,358.31,355.10,362.96,368.54,369.19,367.43,359.13,363.30,371.31,368.08,356.12,358.84,365.31,368.06,369.38
2001-02-13 21:57:39+00:00,L7,271.69,294.99,307.05,308.71,313.66,321.02,326.09,328.09,336.67,347.33,342.76,342.34,350.61,346.26,348.39,351.61,349.39,353.88,358.18,360.64,359.22,359.66,360.18,360.44,357.60,353.47,348.89,361.25,372.01,365.50,367.07,363.99,364.65,366.63,364.31,362.55,363.10,363.23,360.35,368.41,365.44,355.84,351.47,344.25,350.59,354.53,353.72,353.75,357.55,360.42,359.92,364.70,363.11,364.73,362.15,360.71,346.95,352.71,355.48,357.59,361.43,368.69,363.76,365.64,368.17,362.47,359.66,361.81,361.35,359.99,354.39,352.84,359.14,367.86,356.49,352.87,363.95,358.01,350.38,348.46,352.57,354.13,350.29,349.04,350.99,341.24,337.56,342.60,350.00,351.99,356.92,355.84,357.43,359.81,361.35,361.96,360.45,361.82,361.14,360.50,358.41,354.49,357.19,358.24,362.02,360.69,363.58,363.74,367.36,369.57,360.16,358.94,366.71,368.46,375.19,371.65,364.59,368.35,370.45,372.52,,,,,
2001-05-20 21:57:04+00:00,L7,273.18,307.99,314.58,315.55,324.91,324.13,331.81,337.82,341.04,355.16,352.69,350.95,357.73,353.90,355.52,357.33,355.80,361.08,364.91,367.77,368.94,364.69,365.94,365.12,369.81,358.19,357.40,363.09,376.40,370.97,372.70,371.28,369.76,368.70,368.78,370.19,368.92,369.15,372.33,374.41,371.77,362.47,362.42,349.91,361.46,365.36,362.91,365.28,368.78,368.89,366.07,372.45,368.86,373.09,370.27,369.73,358.97,359.91,359.86,362.67,367.66,372.02,365.94,368.56,375.59,370.46,366.46,368.60,371.98,369.56,365.12,363.55,367.61,372.29,362.97,363.23,373.57,363.92,357.41,357.66,361.16,361.80,361.48,360.00,360.77,353.79,351.02,354.15,358.43,364.47,367.52,370.07,367.13,367.39,372.41,372.76,374.72,370.21,372.84,369.49,366.69,361.25,360.42,360.64,367.30,367.77,372.69,371.84,376.49,373.56,364.50,366.45,374.27,373.96,382.32,380.37,375.33,382.83,388.17,384.70,372.26,374.71,377.31,394.62,384.78
2001-06-05 21:56:52+00:00,L7,,,,,,323.51,327.68,324.55,332.17,345.17,340.81,339.91,345.41,346.60,342.55,346.39,346.12,348.78,355.71,360.55,359.43,358.18,359.55,363.11,360.91,356.43,353.16,363.23,374.75,367.95,371.28,371.52,366.27,365.86,362.41,365.54,363.55,365.14,366.54,371.60,369.91,359.31,356.44,349.04,355.06,359.28,357.41,358.34,358.87,361.59,362.67,364.04,365.65,365.84,368.25,364.76,355.13,355.37,354.29,358.06,359.61,365.44,362.34,365.05,367.99,366.02,364.08,363.87,362.94,363.06,358.97,357.66,359.68,371.77,363.10,361.31,367.84,363.10,348.42,350.58,354.37,357.26,354.90,357.95,354.52,343.66,342.82,342.67,350.81,354.08,357.01,360.55,358.14,360.36,362.48,369.42,366.40,365.44,367.59,364.37,358.86,356.36,358.10,359.33,365.03,365.28,369.96,367.30,374.12,370.61,360.78,361.03,367.30,374.84,376.22,381.55,372.75,374.44,380.94,377.30,370.12,369.15,380.88,389.21,386.74
2001-07-07 21:56:36+00:00,L7,271.48,297.47,,,,,,,,,,,,,,,,,,,,,176.15,358.67,357.70,355.81,348.12,358.74,373.41,368.96,368.19,371.20,368.72,367.66,363.92,364.66,365.89,365.50,365.68,370.21,366.79,359.08,357.97,352.42,356.46,362.11,358.39,360.48,363.28,364.97,360.15,359.87,361.46,361.20,355.58,349.06,345.85,347.69,356.40,355.39,361.00,365.15,365.19,364.50,369.50,364.67,364.14,360.33,362.99,361.95,358.84,354.56,359.14,366.91,357.86,355.35,364.46,358.85,,,,,,,,,,,,,,,,,,168.69,369.29,364.45,364.61,360.95,359.08,351.32,353.99,346.32,355.87,355.29,355.94,353.11,362.08,362.84,358.89,355.60,362.03,366.01,375.48,,369.13,368.76,372.32,375.57,371.40,366.28,378.00,381.75,378.10
2001-08-08 21:56:12+00:00,L7,270.69,291.98,306.99,313.62,316.28,322.86,326.88,328.21,340.03,347.17,342.67,339.81,346.07,346.04,346.63,348.81,346.01,353.22,354.70,359.19,360.55,360.50,362.96,366.79,365.11,358.48,354.22,367.54,378.65,370.54,369.34,370.52,365.01,364.52,365.24,365.38,365.16,362.10,361.46,372.66,367.67,361.65,358.12,351.49,359.78,358.60,357.09,356.91,359.45,361.37,356.58,366.59,360.99,362.95,369.70,368.31,355.27,353.02,357.85,355.91,361.32,367.97,365.50,362.34,370.20,364.09,361.01,361.11,364.03,360.83,359.84,352.67,363.01,369.22,357.71,358.15,367.02,361.41,350.86,349.29,353.57,352.64,354.41,353.47,357.72,345.73,339.17,349.99,352.58,357.98,353.37,355.43,355.24,357.41,361.30,364.48,363.98,361.29,365.52,362.39,354.72,352.28,352.51,351.94,358.43,356.27,366.50,366.75,372.03,375.31,370.64,365.30,370.69,374.67,384.03,375.94,367.39,370.69,375.44,378.40,365.99,369.87,370.94,382.02,380.03
2001-08-24 21:56:00+00:00,L7,268.17,283.78,299.69,300.00,306.75,312.19,309.64,318.88,324.83,333.26,322.02,329.28,338.80,332.21,333.61,335.69,335.50,339.62,346.45,348.40,350.18,346.01,350.75,350.22,349.09,345.67,340.12,350.09,365.68,356.91,360.15,359.94,358.11,352.62,354.46,354.30,356.10,352.98,352.98,357.39,358.28,349.83,351.16,338.78,345.85,351.61,347.58,345.66,346.47,349.58,344.14,348.56,349.56,350.11,353.62,352.92,344.28,344.67,344.85,345.22,350.48,,,,,,,,,,,,,,,,,,329.06,338.88,343.99,341.69,345.38,345.67,345.16,340.00,328.92,340.72,344.56,344.75,346.82,348.36,346.17,347.66,351.82,350.42,351.80,352.49,354.44,350.82,347.16,338.01,341.99,343.67,346.96,350.48,358.89,354.08,363.80,366.15,354.43,356.15,361.84,365.38,373.51,368.49,361.40,359.25,366.32,368.26,360.43,358.59,364.72,379.25,369.16
