,dates,per0210-0000,per0210-0001,per0210-0002,per0210-0003,per0210-0004,per0210-0005,per0210-0006,per0210-0007,per0210-0008,per0210-0009,per0210-0010,per0210-0011,per0210-0012,per0210-0013,per0210-0014,per0210-0015,per0210-0016,per0210-0017,per0210-0018,per0210-0019,per0210-0020,per0210-0021,per0210-0022,per0210-0023,per0210-0024,per0210-0025,per0210-0026,per0210-0027
0,1984-05-08 14:33:21+00:00,,217.62676636902808,209.62726722588417,220.29350215019213,216.5853887103848,217.7865349597541,207.7863640890045,201.80170751087377,,,,,,,237.59690949491176,236.4989954010618,228.69051730833033,236.1600333012698,220.83468437314687,223.65984072256285,223.28447660669906,227.10920257984947,216.45431077261725,204.13260055553087,204.4121009580747,196.31607034306865,201.57922193671476,
1,1984-12-02 14:35:54+00:00,218.82684754997177,209.23865818623233,203.29297153207517,201.76823411328996,212.56754354920008,207.83482401972572,192.8051823546084,190.72065771087753,194.64521361607754,200.71060527822402,211.22176400042582,218.54885391625984,208.35604436368504,214.90106365610814,222.1649962826966,226.79391165315806,231.84795807620398,225.00503973166877,223.9768653762011,225.34414548636076,230.55084793565948,228.0664571228679,221.49046237665482,201.34268696067875,191.39385921564735,193.9573115903905,198.22642897360132,198.69100588472355
2,1985-03-24 14:36:22+00:00,229.9338872360222,210.97586387638668,205.4951182764183,212.58470778104817,213.65636838644662,214.7042388000381,206.63641319574646,202.91053618584522,202.79043775230897,206.2441069575581,218.1986359520416,216.45305801127478,212.27711837464597,217.5297025590062,231.74821521282834,229.92382398495928,228.93158931012385,235.90237945724954,229.99434772738135,231.4045783961691,233.41376780567674,233.4750405402356,230.88034204297327,220.6232713186225,207.0058900855291,199.4900165373362,197.58893432266348,205.60647765999852
3,1987-12-11 14:34:26+00:00,230.86752987806915,217.81952508850972,213.48674577913948,218.21131639943832,220.5553409435796,222.7021649539378,215.448151742433,208.09068740149922,210.422260961682,215.96259447114156,225.89443362645514,226.12716900929553,222.93837874158106,225.68693572354266,241.67979611321655,238.4271189646529,241.6648492309299,240.85334862955006,234.29850557758806,238.959353951398,237.3188347140579,235.2239539591946,232.3000682580733,224.2895269157283,211.28412458250722,203.61762136875774,204.00550733303328,215.9114711932221
4,1987-12-27 14:34:42+00:00,216.93728408514477,211.30412439101258,207.74879440382165,213.70497172107554,217.708081617826,213.9582723385566,205.1835026131644,197.55439084986173,204.11629669569461,207.6049114269689,216.69374288134003,218.26914420493284,215.7041296054378,219.88412341827916,225.72941978344545,238.9331699865723,239.54137605837855,235.23346606955255,219.59856094315268,234.2499886938075,231.28460723543458,229.38139527100782,,,,,,
5,1988-01-12 14:34:59+00:00,230.2746361068173,218.68674271889344,216.6814090866653,219.8872037815083,224.2419677956096,223.05425175728925,211.62499832199924,206.54087954837306,203.20336702050307,211.78684192278155,222.00541416441496,225.1074476242486,216.6152031961054,226.55160980499662,233.08912365643434,236.7603650406134,241.55530154261854,242.06432883362245,237.25086997883577,240.02480301895676,237.74781136822787,234.51636473564096,232.96229183241587,219.7674394164485,209.76164698439771,202.28314609058017,207.91772499736135,219.99786314443293
6,1988-06-04 14:36:29+00:00,,,,,,,,,164.03428783989594,,,,,,,,,,,183.7045276374626,211.54325129835613,210.3850984941753,,,,,,
7,1988-07-22 14:36:40+00:00,212.92778163645735,,,,,,,,,,,210.54093121124816,206.41476129943197,210.6666630365662,223.1042315494878,225.0837519098503,207.74568977994397,222.83600393653074,219.95174031215703,216.70725615669014,220.29102024636325,,,,,,,
8,1988-09-24 14:36:39+00:00,,,,,,,,198.08072700132482,190.92473985624048,197.50084617643523,208.63323650547798,211.78397185228883,207.2726452306394,212.5026186534342,223.4025266902719,228.1500541988205,233.7348722202899,234.8233088088214,220.18980722514976,218.9540004994842,223.6256066046304,218.16899540369013,213.1363159906763,196.60474893283416,192.66795504889762,186.09131469897196,184.76601617530713,183.02615166915464
9,1988-10-10 14:36:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
