,dates,chi0363-0000,chi0363-0001,chi0363-0002,chi0363-0003,chi0363-0004,chi0363-0005,chi0363-0006,chi0363-0007,chi0363-0008,chi0363-0009,chi0363-0010,chi0363-0011,chi0363-0012,chi0363-0013,chi0363-0014,chi0363-0015,chi0363-0016,chi0363-0017,chi0363-0018,chi0363-0019,chi0363-0020,chi0363-0021,chi0363-0022,chi0363-0023,chi0363-0024,chi0363-0025,chi0363-0026,chi0363-0027,chi0363-0028,chi0363-0029,chi0363-0030,chi0363-0031,chi0363-0032,chi0363-0033,chi0363-0034
0,1985-01-25 14:04:27+00:00,218.10520571667126,227.3461012238646,241.77190382487967,245.1228139665412,249.1977956054714,243.59747060896657,252.213705675815,256.5826078344465,249.46053437751328,235.7960670996972,234.12173780843148,229.22715142950693,223.34642138042184,223.4983997093211,232.9252096914951,226.6836720913823,217.61224662231334,211.12959637006836,209.8845212492325,210.0932295589289,209.60143205738268,213.70407172306795,218.92649594841882,198.04332720787545,198.50427635099837,202.6480611447361,216.76588457742892,212.15556769404574,212.91843697330023,210.6132755623704,217.8835659791961,203.72376971272834,193.20421618888236,189.2481517575518,184.3424366092286
1,1986-01-28 14:01:10+00:00,207.948131680504,227.60277823627607,246.7325609858695,249.32722501082407,259.5733913953331,251.413513811408,244.52197110449788,231.98027279133458,230.29592711289456,222.7912954613816,210.7967439812123,216.42473260722917,224.5402592567991,220.06905705681203,230.1353764184234,237.64623519466772,234.47746188136028,221.1445662763819,218.14132233699132,217.0994649934304,211.24742900341494,204.9673160542015,211.12317506087237,208.81851929637554,201.8925901142643,206.95743535759374,213.4287722297527,204.56583997382688,215.8790973757661,210.335891055659,207.55676561320828,197.63988230398672,190.4972605453913,186.63633671166284,188.46765147139445
2,1986-05-04 13:59:02+00:00,221.1965179320897,263.90668162374607,253.6510865809343,248.31870631497497,242.70759689984325,229.13366696711756,226.60589469675335,225.20810183580375,219.85993183819252,212.24500549795832,202.3190377815041,207.22576089587525,196.82999040803284,194.40280843573453,208.59235279662087,219.44085563137395,208.1610089900076,204.89600929513634,206.61520817501008,203.73046345488632,205.01345223067702,196.7010747147683,182.8217887386902,,171.56259453670197,187.44050634380534,,201.57380611698804,,,,,,,
3,1986-08-15 14:01:53+00:00,258.2647369279389,277.7700629436177,293.8186687142584,291.70246344039725,278.8052819867818,269.3743931713639,262.1998569543942,235.47341237676693,219.8118403183252,210.43788950576672,203.44232755788167,218.1108522512195,217.56135724035707,213.9335131476936,220.42598025413332,230.5577651278515,219.24975598782984,211.80262709859153,212.9678641042042,213.00282859158065,212.08243998556512,211.9412613194718,215.53292379294246,219.70311434218925,,204.43825362580225,,199.85076772063053,206.6016688423547,192.68365762278782,210.51254741995538,,,,
4,1986-09-16 14:00:46+00:00,247.4776165795451,264.6549490449808,294.32786428017044,287.5978432602201,290.89116627156847,279.40732572080395,268.6772976525934,249.7171421956331,229.23159100101287,223.05129273125573,209.78655389869618,199.66811914783378,206.21776157724238,207.89020041831344,213.3157983731289,216.31694251337063,,,,,,,,,,,,187.19324332300593,190.10269178793715,,,,,,
5,1986-09-25 13:54:18+00:00,235.97705860439763,251.52272162857417,282.02743942711487,276.90560153320916,270.64594986681556,,,,,,,,,,,,,,,,,,,,,170.48369567046697,194.2284597635025,170.82157853294896,158.5059042316426,,169.48381889247574,170.65167416913928,149.98518230889584,169.3462643191108,165.6648331971842
6,1986-10-11 13:53:47+00:00,251.73332186570676,267.2147866187235,288.9316442171261,286.2171466244459,292.29120460896047,299.48452821810923,275.41227675268055,262.34272939406054,260.38223142069404,236.30589346873927,216.31972165200185,203.39820460833727,199.33645693493213,208.80292923791632,205.6769790350151,217.98855108885496,217.62834527083854,208.54321331863918,218.17710479355023,214.80118584819274,204.73102123025228,204.9789049249034,204.8442889471493,212.87960082634936,205.9904284757591,210.4864057388502,217.26399415982988,197.44243992874186,205.31113953251665,191.70972072123195,188.90493488460177,180.77464985625653,185.43947606960347,176.76004301406005,168.463399850764
7,1986-10-18 13:59:44+00:00,232.0863668615271,258.1125996079029,269.48455705930655,271.85991072916335,267.81026847567153,268.0508896550542,260.17882146761616,250.221561726286,230.3014594529052,226.96925156073678,218.43905442542552,210.27164725861218,202.2089227805971,200.54531690960772,202.74902444838835,210.94189035576912,208.20274514901584,203.90859162228085,200.65922824137544,202.95821023768355,200.00273636410665,193.15523355222285,198.21121486242134,189.0987342398986,195.0120158464853,181.23271615833596,197.75699305956806,184.161656668738,190.80473859238555,180.74866191839965,182.77280669751008,169.14377142305233,181.33487850626017,176.76613018471681,163.8017101566262
8,1986-11-03 13:59:10+00:00,256.91691344391364,273.07769616035637,281.30943361665084,290.05303811015494,292.010709520639,289.57335906823516,286.9529903414361,257.6723613353988,255.1316149200669,231.04798369499056,226.38818734945664,227.20505688856133,215.68273819162036,217.94505716336758,225.9766602352874,225.67867441441325,208.12962949753947,209.21412242514228,200.35826202492981,200.98475452245245,207.89214824139745,213.5001043568509,216.3984300283396,214.58489642988363,215.61621089839645,219.91614969364608,222.08734689221467,210.66149871460854,212.78447999033762,209.0081969563882,208.33859962263105,197.45957193485805,196.9039270173957,189.53921981435752,181.6415879443558
9,1986-11-12 13:52:38+00:00,246.54389756905766,263.22471341235484,280.1660028370227,277.5761258865072,276.37475088640065,276.8395819448398,271.13212156085154,263.0481576995757,252.1599516752634,233.32110866424048,226.90113109938275,225.6090149497467,219.52557314794365,217.3063919155812,223.38727736000484,227.98051980758336,210.73961857959966,201.69028735731484,194.28906590854982,197.75080960187609,191.69693314226927,207.54438312790452,208.39089114015212,209.52871631821634,216.55941608866465,218.03273998463385,,189.42680439456453,212.4021187948276,,,,,,
