,dates,aus0036-0000,aus0036-0001,aus0036-0002,aus0036-0003,aus0036-0004,aus0036-0005,aus0036-0006,aus0036-0007,aus0036-0008,aus0036-0009,aus0036-0010,aus0036-0011,aus0036-0012,aus0036-0013
0,1987-05-22 23:06:08+00:00,156.5085732788743,136.7383331097329,118.91248695713423,143.71445727641387,172.5479929232884,176.8966182411286,178.86440204141596,199.46338157661864,165.07902773337824,167.71601064274736,176.3959863582899,168.41276017126103,169.22302879333816,167.45601563889088
1,1987-09-11 23:08:53+00:00,148.86906339696907,124.43563832259518,118.99421793990923,141.89968882929352,169.3642980114674,188.06067012025912,179.28083972465106,196.4313599287437,168.05297866881753,168.80290848897147,176.54229797325397,189.24933128940364,181.0227441149384,172.63015850694038
2,1987-12-16 23:10:41+00:00,155.73402552706202,135.30469807933167,133.27992322811582,150.98508288705042,172.7193387985105,193.10467694750665,193.80881211366128,215.86676593390868,199.20220510317967,211.6129850606036,,212.68452519224002,200.8759835331401,183.11407567304886
3,1988-01-01 23:10:57+00:00,145.14640947545814,117.93557863405593,130.77237243057402,137.9952276365429,164.35650289908145,177.04511679418084,184.46879465573372,197.10567296587067,179.53518366688107,183.50684526460628,189.3074549379806,185.73286619730115,168.1051957448585,159.9450627313655
4,1988-01-17 23:11:14+00:00,145.850333510809,119.10964646094047,120.55004513436025,134.79463547865058,153.49189418995914,175.7110447869799,171.17536489599027,207.5026941812939,173.78476339606866,181.5098033850798,187.19945047211922,186.45639448438405,169.7275567142408,156.46073299157638
5,1988-03-05 23:11:57+00:00,135.36169957124216,112.05876224563616,111.8728020510524,118.51031750812851,145.18191922059782,160.73449638469071,160.89390935124558,168.4705193381171,168.54182118222806,163.71069596751875,163.8809427972553,167.33361343432927,160.64462272931686,149.29898742043747
6,1988-04-06 23:12:12+00:00,141.43904394058774,117.78913286501727,109.95336142392443,121.48404732577497,148.9626512136221,169.10524935070376,155.79108256143127,185.98961653241622,165.03071111003175,153.04449275976768,143.83977840726513,161.23103680943092,157.95542735386576,148.48196361811287
7,1988-04-22 23:12:17+00:00,147.3225133485812,127.5732115213542,122.24355669554234,132.80067800096586,158.79939863199866,185.15726507680566,167.03100144474507,203.38506883860308,184.23226014618118,,159.54607810014528,178.5378101217122,170.66180472212736,156.07666079581213
8,1988-05-24 23:12:34+00:00,167.190171168191,145.85350471616994,132.27549793705862,131.017320844504,162.8701714025027,184.6092255567216,178.08995131810354,207.64640456521596,184.1687740596082,152.77889835021864,178.27359802209844,189.00775966037946,180.18219994293366,175.22121979717198
9,1988-06-09 23:12:39+00:00,147.73338546947386,131.5391899188002,121.47687889910297,126.33256828024012,153.08852506846364,173.46463380932812,180.05179150550907,200.79647055177512,179.29379016692263,158.78117444292184,163.74559732839515,168.39432412037138,177.7086249188076,179.64644531218437
10,1988-08-28 23:12:54+00:00,154.74513469681295,129.8046540926452,125.63526102473867,146.1762377695448,174.55480397802225,188.28882918707492,181.1993078453128,212.77197319035741,184.19351243787304,169.70119736443363,186.53366825098928,191.760541662014,189.78217072695256,179.4155368829253
11,1988-09-29 23:12:45+00:00,154.57189239186695,133.78392317286003,139.36492845872124,152.38606277318755,173.45688133657333,190.02313596340332,188.85819886236055,217.01333090837556,186.27980104273234,170.5513224294624,176.07021899097077,201.10276414059481,196.81421214712094,181.26161323075152
