dates,nzd0079-0000,nzd0079-0001,nzd0079-0002,nzd0079-0003,nzd0079-0004,nzd0079-0005,nzd0079-0006,nzd0079-0007,nzd0079-0008,nzd0079-0009,nzd0079-0010,nzd0079-0011,nzd0079-0012,nzd0079-0013,nzd0079-0014,nzd0079-0015,nzd0079-0016,nzd0079-0017,nzd0079-0018,nzd0079-0019,nzd0079-0020,nzd0079-0021,nzd0079-0022,nzd0079-0023,nzd0079-0024,nzd0079-0025,nzd0079-0026,nzd0079-0027,nzd0079-0028,nzd0079-0029,nzd0079-0030,nzd0079-0031,satname
1999-08-17 22:10:50+00:00,,426.05,407.58,395.29,400.02,392.99,371.07,389.06,,433.77,414.73,387.49,376.57,386.34,375.30,372.77,378.63,360.12,356.35,357.05,363.42,356.39,382.12,394.98,403.89,396.51,401.78,415.27,407.93,403.91,446.28,443.75,L7
1999-08-26 22:04:44+00:00,,451.98,403.98,395.87,401.21,400.29,385.40,385.34,408.37,434.62,426.19,394.48,377.97,380.69,379.77,377.49,378.98,362.65,354.67,365.08,360.42,366.19,393.06,406.78,400.14,398.02,397.67,411.63,410.60,405.68,426.36,453.57,L7
1999-10-04 22:10:38+00:00,380.67,384.31,381.86,383.11,386.99,392.04,376.05,383.55,,425.24,412.08,386.15,386.93,389.38,377.22,374.99,369.96,365.15,363.59,363.04,368.31,370.79,386.51,396.91,400.09,390.72,392.78,404.21,401.22,390.76,,427.25,L7
1999-11-14 22:04:42+00:00,413.07,421.91,393.32,389.54,390.91,399.32,381.51,390.30,,441.54,414.53,392.60,386.04,386.69,379.32,376.54,378.49,371.18,369.44,368.44,374.43,371.18,393.32,401.84,404.39,391.82,393.92,411.69,409.30,397.07,435.66,432.81,L7
1999-12-07 22:10:53+00:00,430.09,440.87,408.60,388.66,391.21,397.60,382.39,384.54,404.24,427.98,421.65,387.77,381.94,386.36,372.49,370.57,375.59,363.55,361.08,371.14,365.60,364.34,376.71,390.79,385.92,382.20,381.98,389.97,384.85,384.64,413.90,427.88,L7
2000-01-17 22:04:35+00:00,390.21,390.50,385.39,380.18,389.16,387.59,382.94,389.11,394.13,418.38,409.23,390.25,387.79,391.27,378.10,373.75,379.49,368.69,368.81,369.54,373.47,372.86,388.98,396.86,393.05,385.35,384.96,392.32,387.10,,,,L7
2000-03-28 22:10:31+00:00,397.96,407.71,395.32,389.81,395.77,395.82,380.92,387.18,,433.01,412.91,388.53,381.32,390.38,378.78,381.20,378.47,363.71,362.14,363.32,368.45,360.08,384.05,402.81,400.99,394.84,397.62,410.74,408.77,397.56,,,L7
2000-08-12 22:02:54+00:00,,,,,,,370.50,379.34,386.75,402.70,400.11,382.81,354.78,368.54,366.45,366.89,366.26,354.66,351.59,355.32,349.00,352.09,388.54,399.10,394.55,390.69,392.60,402.52,400.43,398.74,416.13,426.98,L7
2000-09-04 22:08:46+00:00,,424.39,391.33,386.70,391.79,392.32,375.42,383.48,,430.01,409.27,387.80,375.08,379.22,371.18,370.26,369.16,358.15,353.67,358.70,357.81,358.42,381.09,393.24,399.14,391.31,395.03,405.88,403.82,395.14,428.48,432.58,L7
2000-10-31 22:02:10+00:00,382.76,387.33,384.63,377.08,382.25,385.44,372.51,380.84,390.39,414.14,408.31,384.93,380.06,387.25,373.23,372.90,377.05,364.75,363.24,365.97,365.46,362.89,384.66,388.69,396.28,386.12,384.66,392.66,387.38,388.25,401.91,425.61,L7
