dates,satname,sar1397-0000,sar1397-0001,sar1397-0002,sar1397-0003
1984-05-06 09:33:27+00:00,L5,,,,
1984-06-07 09:34:18+00:00,L5,297.17,122.83,449.08,250.62
1984-09-11 09:36:14+00:00,L5,,,,
1985-05-25 09:36:15+00:00,L5,,,,
1985-07-12 09:36:05+00:00,L5,,,,
1985-07-28 09:35:58+00:00,L5,,,,
1985-08-13 09:35:48+00:00,L5,,,,
1985-08-29 09:35:38+00:00,L5,,,,
1985-12-03 09:34:19+00:00,L5,,,,
1986-05-12 09:30:53+00:00,L5,,,,
1986-05-28 09:30:26+00:00,L5,,,,
1986-07-15 09:28:53+00:00,L5,,,,
1986-09-17 09:26:37+00:00,L5,,,,
1986-12-22 09:25:09+00:00,L5,,,,
1987-01-23 09:26:04+00:00,L5,,,,
1987-03-28 09:28:28+00:00,L5,,,,
1987-04-29 09:29:30+00:00,L5,,,,
1987-06-16 09:30:43+00:00,L5,,,,
1987-07-02 09:31:03+00:00,L5,,,,
1987-07-18 09:31:20+00:00,L5,,,,
1987-08-03 09:31:49+00:00,L5,,,,
1987-08-19 09:32:18+00:00,L5,,,,
1987-09-20 09:33:05+00:00,L5,,,,
1987-10-06 09:33:26+00:00,L5,,,,
1987-11-07 09:34:02+00:00,L5,,,,
1988-01-10 09:35:05+00:00,L5,,,,
1988-02-11 09:35:41+00:00,L5,,,,
1988-03-14 09:36:03+00:00,L5,,,,
1988-04-15 09:36:14+00:00,L5,,,,
1988-05-17 09:36:32+00:00,L5,,,,
1988-06-02 09:36:38+00:00,L5,,,,
1988-06-18 09:36:43+00:00,L5,,,,
1988-07-04 09:36:48+00:00,L5,,,,
1988-07-20 09:36:51+00:00,L5,,,,
1988-08-05 09:36:52+00:00,L5,,,,
1988-08-21 09:36:53+00:00,L5,,,,
1988-09-22 09:36:50+00:00,L5,,,,
1988-10-24 09:36:41+00:00,L5,,,,
1988-12-11 09:36:33+00:00,L5,,,,
1988-12-27 09:36:27+00:00,L5,,,,
1989-01-12 09:36:20+00:00,L5,,,,
1989-01-28 09:36:07+00:00,L5,,,,
1989-03-17 09:35:16+00:00,L5,,,,
1989-05-20 09:34:32+00:00,L5,,,,
1989-06-21 09:33:55+00:00,L5,,,,
1989-07-07 09:33:39+00:00,L5,,,,
1989-07-23 09:33:21+00:00,L5,,,,
1989-08-24 09:32:39+00:00,L5,,,,
1989-09-25 09:31:52+00:00,L5,,,,
1989-10-27 09:30:51+00:00,L5,,,,
1989-11-12 09:30:31+00:00,L5,,,,
1989-11-28 09:30:04+00:00,L5,,,,
1989-12-14 09:29:38+00:00,L5,,,,
1989-12-30 09:29:08+00:00,L5,,,,
1990-01-31 09:28:06+00:00,L5,,,,
1990-03-04 09:27:02+00:00,L5,,,,
1990-04-21 09:26:22+00:00,L5,,,,
1990-05-07 09:26:19+00:00,L5,,,,
1990-05-23 09:26:20+00:00,L5,,,,
1990-06-08 09:26:19+00:00,L5,,,,
1990-06-24 09:26:18+00:00,L5,,,,
1990-07-10 09:26:16+00:00,L5,,,,
1990-07-26 09:26:12+00:00,L5,,,,
1990-08-11 09:26:07+00:00,L5,,,,
1990-09-12 09:25:59+00:00,L5,,,,
1990-09-28 09:25:50+00:00,L5,,,,
1990-11-15 09:25:37+00:00,L5,,,,
1991-01-02 09:26:01+00:00,L5,220.57,191.79,234.91,209.28
1991-04-08 09:27:54+00:00,L5,,,,
1991-04-24 09:28:10+00:00,L5,,,,
1991-05-26 09:28:46+00:00,L5,,,,
1991-06-27 09:29:13+00:00,L5,,,,
1991-07-13 09:29:21+00:00,L5,,,,
1991-07-29 09:29:36+00:00,L5,,,,
1991-08-14 09:29:39+00:00,L5,,,,
1991-08-30 09:29:49+00:00,L5,,,,
1991-10-01 09:30:07+00:00,L5,,,,
1991-10-17 09:30:18+00:00,L5,,,,
1991-11-02 09:30:16+00:00,L5,,,,
1991-12-04 09:30:36+00:00,L5,,,,
1992-01-05 09:30:23+00:00,L5,234.91,199.30,231.34,212.05
1992-02-22 09:30:17+00:00,L5,,,,
1992-03-09 09:30:19+00:00,L5,,,,
1992-05-12 09:29:51+00:00,L5,,,,
1992-05-28 09:29:42+00:00,L5,,,,
1992-06-13 09:29:31+00:00,L5,,,,
1992-06-29 09:29:20+00:00,L5,,,,
1992-07-15 09:29:08+00:00,L5,,,,
1992-07-31 09:28:56+00:00,L5,,,,
1992-09-01 09:28:26+00:00,L5,,,,
1992-09-17 09:28:12+00:00,L5,,,,
1992-11-04 09:27:22+00:00,L5,,,,
1992-11-20 09:27:06+00:00,L5,,,,
1992-12-06 09:27:22+00:00,L5,,,,
1993-01-07 09:27:40+00:00,L5,,,,
1993-02-08 09:28:02+00:00,L5,201.87,183.78,162.53,207.00
1993-03-12 09:28:18+00:00,L5,,,,
1993-05-31 09:28:40+00:00,L5,,,,
1993-07-18 09:28:32+00:00,L5,,,,
1993-08-03 09:28:32+00:00,L5,,,,
1993-08-19 09:28:32+00:00,L5,,,,
1993-10-06 09:28:23+00:00,L5,349.87,-42.80,,352.96
1993-11-23 09:28:03+00:00,L5,223.05,185.62,209.74,334.12
1994-01-26 09:27:23+00:00,L5,,,,
1994-03-31 09:26:30+00:00,L5,,,,
1994-05-02 09:25:53+00:00,L5,,,,
1994-07-21 09:24:07+00:00,L5,,,,
1994-08-22 09:23:17+00:00,L5,,,,
1994-09-07 09:22:53+00:00,L5,,,,
1994-10-25 09:21:28+00:00,L5,,,,
1994-11-10 09:20:54+00:00,L5,,,,
1995-01-13 09:18:46+00:00,L5,215.90,200.29,224.45,201.09
1995-04-19 09:14:54+00:00,L5,,,,
1995-05-05 09:14:11+00:00,L5,,,,
1995-05-21 09:13:28+00:00,L5,,,,
1995-06-06 09:12:43+00:00,L5,,,,
1995-07-24 09:10:32+00:00,L5,,,,
1995-08-25 09:09:05+00:00,L5,,,,
1995-09-10 09:08:19+00:00,L5,,,,
1996-02-17 09:11:43+00:00,L5,,,,
1996-03-04 09:12:46+00:00,L5,,,,
1996-05-23 09:17:41+00:00,L5,,,,
1996-06-08 09:18:34+00:00,L5,,,,
1996-07-10 09:20:15+00:00,L5,,,,
1996-07-26 09:21:07+00:00,L5,,,,
1996-08-11 09:21:57+00:00,L5,,,,
1996-09-12 09:23:41+00:00,L5,,,,
1996-11-15 09:26:56+00:00,L5,,,,
1996-12-17 09:28:27+00:00,L5,,,,
1997-03-23 09:32:37+00:00,L5,,,,
1997-04-24 09:33:46+00:00,L5,,,,
1997-05-10 09:34:19+00:00,L5,,,,
1997-07-13 09:36:33+00:00,L5,,,,
1997-07-29 09:37:05+00:00,L5,,,,
1997-08-14 09:37:35+00:00,L5,,,,
1997-10-01 09:39:00+00:00,L5,,,,
1997-11-02 09:39:52+00:00,L5,,,,
1997-11-18 09:40:14+00:00,L5,,,,
1998-01-21 09:41:44+00:00,L5,,,,
1998-03-10 09:42:39+00:00,L5,,,,
1998-03-26 09:42:52+00:00,L5,,,,
1998-05-13 09:43:32+00:00,L5,,,,
