,dates,per0147-0000,per0147-0001,per0147-0002,per0147-0003,per0147-0004,per0147-0005,per0147-0006,per0147-0007,per0147-0008,per0147-0009,per0147-0010,per0147-0011,per0147-0012,per0147-0013,per0147-0014,per0147-0015,per0147-0016,per0147-0017,per0147-0018,per0147-0019,per0147-0020,per0147-0021,per0147-0022,per0147-0023,per0147-0024,per0147-0025,per0147-0026,per0147-0027,per0147-0028,per0147-0029,per0147-0030
0,1984-05-06 14:44:27+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1986-02-14 14:37:39+00:00,,,,,378.12577314182926,,,,362.2111125715439,,,,,,,,,,,,,,,,,,,,166.34970267237873,143.40913409240682,97.02890714211134
2,1986-04-03 14:36:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1987-03-28 14:39:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1987-04-06 14:33:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1987-06-09 14:35:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1987-07-27 14:36:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1988-05-10 14:41:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1988-06-11 14:41:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1988-06-27 14:41:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1988-07-04 14:47:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1988-09-15 14:41:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1989-04-27 14:39:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.17549232539682,131.7854635486469,112.6833504375056
18,1989-06-14 14:38:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1989-07-16 14:38:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1990-01-24 14:33:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1990-02-25 14:32:08+00:00,,,,,,,,,354.0295636841217,,,,,,,390.5470331050615,,,,,,,,,,,,,,,
22,1990-05-16 14:31:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1990-06-17 14:31:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1990-07-03 14:31:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1990-08-04 14:30:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1990-08-20 14:30:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1991-02-12 14:31:42+00:00,,,,,,,,,,,,,,,,369.0992219755774,,,,355.7551679230195,,,,,,,,,,,
28,1991-04-08 14:38:55+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1991-04-17 14:32:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1991-05-03 14:33:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1991-05-19 14:33:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1991-07-06 14:34:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1991-08-07 14:34:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1991-12-29 14:35:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1992-01-14 14:35:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1992-01-30 14:35:17+00:00,,,,,349.04980100265277,,,,,,,,,,,,,,,392.44428390991294,,169.32025791410254,,,,,,,,,
37,1992-02-15 14:35:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1992-05-21 14:34:33+00:00,,,262.0674694731351,,,,,,,,,,,,,,,,,,,160.14082877252844,,,,,,,,,
39,1992-06-06 14:34:26+00:00,,,226.0391354019257,414.341823343037,339.0234629561173,362.4617945561807,292.9766508345897,,,,,,,,,,,,,,,,,,,,,,,,
40,1992-06-22 14:34:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1992-07-08 14:34:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1992-08-09 14:33:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1992-08-25 14:33:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1992-10-12 14:32:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1992-10-28 14:32:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1992-11-29 14:32:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1992-12-15 14:32:14+00:00,,,203.99970564608793,369.45340177388636,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1992-12-31 14:32:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1993-01-16 14:32:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1993-04-22 14:33:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1993-05-08 14:33:24+00:00,,,,,,332.6583617992321,326.68579820025286,,,,255.53654461696965,,,,,,,,,412.95240521867635,268.909681451657,,,,,,,,,,
52,1993-06-09 14:33:29+00:00,,,,,310.74867646845337,333.8004951438324,,,355.19474120673135,,220.73226371261842,304.61561225876596,414.3230617640519,,,,396.8697079311025,,313.08199589811727,,231.75589243141243,,,,,,,,,,
53,1993-07-11 14:33:21+00:00,,,,,,,,,,,,,,,,,382.37159035815034,,,,,,,,,,,,,,
54,1993-08-12 14:33:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1993-08-28 14:33:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1993-10-15 14:33:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1994-04-25 14:30:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1994-08-15 14:28:15+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1994-12-05 14:24:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1995-03-27 14:20:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1995-04-28 14:19:19+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1995-05-30 14:17:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1995-06-15 14:17:07+00:00,,,,,,,,,,,,,379.99421817505765,,,403.256004766445,,,298.8420787302868,,291.28410024017955,,,,,,,,,,
64,1995-07-17 14:15:40+00:00,,,,,,,359.5975496539716,,,,,316.2597155524579,412.82345620056634,,,408.118291267258,372.61535999437086,,,,,,,,,,,,,,
65,1995-08-18 14:14:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1995-09-03 14:13:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1995-09-19 14:12:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1995-10-05 14:11:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1995-10-21 14:10:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1996-05-16 14:22:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1996-06-01 14:23:00+00:00,,,,,,,,,,,,,,,,,,,,,290.05914769855923,,,,,,,,,166.32466327018693,
72,1996-07-03 14:24:43+00:00,,,,359.35193984793904,303.26941131316335,362.03892770866213,,,344.57995414089146,,,304.92371871376565,,,,,,,,288.77398361499877,273.4949569525139,,,,,,,,,,
73,1996-07-19 14:25:34+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1996-08-20 14:27:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1996-11-08 14:31:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1996-11-15 14:37:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1997-07-06 14:41:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1997-07-22 14:41:40+00:00,61.99746951975236,,,,,,,,,,,,,311.4708286091793,,,357.9124287543456,,,,,,,,,,,,,,
