,dates,jap0134-0000,jap0134-0001,jap0134-0002,jap0134-0003,jap0134-0004,jap0134-0005,jap0134-0006,jap0134-0007,jap0134-0008,jap0134-0009,jap0134-0010,jap0134-0011,jap0134-0012,jap0134-0013,jap0134-0014,jap0134-0015,jap0134-0016,jap0134-0017,jap0134-0018,jap0134-0019,jap0134-0020,jap0134-0021,jap0134-0022,jap0134-0023,jap0134-0024,jap0134-0025,jap0134-0026,jap0134-0027,jap0134-0028,jap0134-0029,jap0134-0030,jap0134-0031,jap0134-0032,jap0134-0033,jap0134-0034,jap0134-0035,jap0134-0036
0,1984-07-31 00:45:05+00:00,68.23968761426319,99.27849814989156,130.63923849030928,115.7947608931041,103.46594414601168,124.6410263371873,153.597890001157,150.65551414578056,147.0998403684932,132.30063425621626,133.90962776669278,143.78546896499302,156.55970575771147,157.33165502372134,147.15806272382338,154.22587452768457,148.41728766363462,148.6010424170835,163.56806160061953,146.88938556608082,148.16355975843499,136.9103325793747,129.15572745917245,127.28513113768055,133.47455242530876,134.7572981515032,159.26892737380285,172.63225051779324,174.54175351388852,177.16117888259893,184.85464861123117,,174.3087378499735,167.70931209343857,,167.85171589302644,135.10280541995024
1,1984-08-09 00:39:12+00:00,85.2280564058713,108.1726910106444,149.22089061262247,127.42097438099955,110.87291539008734,125.02847841633627,160.42324452227362,145.48275416236672,157.4044839549826,139.43303864843986,148.75794328276805,159.76460222857156,176.3399822857389,188.52953058749515,171.16926570123815,170.14478322339687,154.16743878467048,158.05793660074096,163.86817522134785,145.30415674136052,145.59186726082353,145.33844653374857,148.77824198094956,142.0299659887919,151.5147113318801,155.64356757034918,176.56343454074783,182.47987743943708,187.20561773672043,185.30047861187776,183.69673553336082,,168.99089830489223,165.7898185354857,187.89854610919056,185.01289191217325,157.69496384315119
2,1984-11-04 00:45:46+00:00,81.06916209488189,112.0638183710857,142.48171154315727,123.14227595394061,,135.24104496647328,158.80521455114334,151.66544633115498,157.02705312008067,144.1717786904538,133.93759623184025,147.41444116277432,160.34048105005277,164.8630011599028,,158.28593689355645,167.95014179050523,146.87353937348004,160.2077068652275,,148.52741551948728,155.97425178473145,149.46737784841247,137.5081842589543,136.3558627358902,154.70065826193687,164.38269719700125,157.30429231212884,177.87214838058145,199.046198771779,188.89435888830445,157.18134035010686,,,,153.98985803545426,134.4902782283888
3,1985-01-07 00:46:06+00:00,102.23428100349712,121.91149090634143,152.9429984330922,129.0065031865467,,141.19881545990947,175.78569700192102,159.83850743748093,167.8666416343949,153.27381956077278,150.08207753952357,166.2139365526953,171.16971690013727,170.46790149633975,157.8683576371885,160.7328168050081,158.0797989440369,168.58937184871462,174.92746537211573,158.38008396722606,,155.50666581324944,152.6449198831567,146.64766152608536,156.16447839604757,168.6388489182632,176.01090395923487,182.7049465513065,192.2963085217072,195.30346897178356,,194.19083222975078,190.57131678505635,185.41207906810297,,175.28466616790934,140.74485955989087
4,1985-05-15 00:45:56+00:00,72.44715214448274,107.27286447994976,133.30605574207968,121.63798236611004,,132.7162695832879,151.123155872191,148.8713848241406,160.7665088858264,136.93983507375773,124.72226933946187,147.22713281520313,158.08905798005915,161.53497315415552,153.83004733890323,148.7002496177131,,151.25435098629424,167.2563915864542,152.59668305289856,,161.79584834512895,146.09466894865412,134.79336519245402,138.78718996895535,152.18226800536155,167.9383302804844,177.67442998104525,194.7934238530046,184.51205010902643,170.618002181562,166.4799343986718,,179.88714859682813,,172.32379837140078,132.6161411182875
5,1985-12-09 00:43:54+00:00,87.41569335518983,109.59197862315115,142.95898927322636,124.79765502858258,113.29708966851601,118.15615942168711,151.9672149011052,156.33830211377793,157.24923162621363,137.36199857887405,132.97723376731034,158.40756408513684,164.6431466859416,160.05459516002222,150.74751370971654,,159.74157029170487,152.8415308768727,161.2263879463609,147.76167005542797,,,143.64936600032377,,147.3835140276337,156.78699537560212,172.59731601379454,180.40342782387398,187.7294664147781,192.61963357877588,185.56371040172348,172.82654824601943,185.31337485782257,175.93250894050794,,171.60945064023306,131.70753757611374
6,1986-01-10 00:43:19+00:00,93.83886645874308,115.87400988587794,150.60200775548978,127.23785869625705,116.46665750516475,136.00967597109653,163.38517079714367,173.94055944058866,172.93888739956478,159.93924778069854,151.44630012400378,164.67572758850295,,168.40668211089283,164.82101225459462,160.60825707557737,166.52854698611583,173.4672257816616,173.67860880514073,,167.01515435423062,168.75682423109674,161.4455505976297,151.2095914299587,,170.03250816158604,188.92046731400018,192.7760677192118,198.82152119410213,200.56244416479765,,,191.6606432768148,200.00152903166614,,185.88756062939086,146.90824960042545
7,1986-04-16 00:41:14+00:00,73.81174505300856,105.10737437722122,138.42860375917436,104.75082674594725,101.40695240068258,125.9259085375224,152.19925446212542,150.22715153057885,149.61025076515676,126.58385026398707,128.6136945721946,154.85355157796465,157.12249566080982,154.92497779651185,145.54262940544845,146.63585564298975,146.2039450849143,,154.90027695867474,,,151.01649026182136,128.33456854777626,128.07971130409265,134.5316959771433,138.91994632450388,161.33109701859001,161.3659072613504,167.28189540127357,176.32191629633732,182.49491639132796,167.03755836029595,,152.66739018417144,161.24963500185578,171.94289800660005,122.43415747146786
8,1986-09-23 00:36:08+00:00,63.4301750511171,99.07567008816518,128.22894676226952,94.66263650455079,90.66504125436154,114.8641900120457,146.38835979188545,140.14113819881123,,,,,147.94879164685042,145.64561144393733,,132.34272969297137,121.49168332572916,125.61551264538673,150.36546963595765,,135.441674019496,140.48178196624883,130.8793569449803,127.68428734594292,134.4275591633051,143.8800057649464,,179.3703142468342,151.9163103869283,160.7106907546351,156.77403446392108,155.4366422639833,151.9373606818721,167.93606925020364,161.01238475945553,161.48655522791216,135.2033373477582
9,1986-11-10 00:34:29+00:00,79.57745024930459,,140.47653125118714,,99.31214275660533,120.62840228768613,148.37096224964878,142.66916172598943,147.98137945770807,132.58443136319946,140.5040231020947,156.36419867448154,162.97075022083524,163.01022152410596,151.91515424310992,,149.32025985734327,136.16001783128226,161.7586328426884,153.76925920533716,,145.71460268229418,134.4197046702274,138.7054586608693,147.8627877950562,150.1259764353022,,170.99779274434417,175.72975535352518,174.69805941867543,167.32329642506582,156.97961681103735,172.44891018826527,176.89874460669932,,148.00481393855603,111.88273853962643
