,dates,mex0222-0000,mex0222-0001,mex0222-0002,mex0222-0003,mex0222-0004,mex0222-0005,mex0222-0006,mex0222-0007,mex0222-0008,mex0222-0009,mex0222-0010,mex0222-0011,mex0222-0012
0,1985-01-04 16:48:49+00:00,209.9599878321105,216.41256123478286,221.22949963302418,219.9824358586682,224.98357061291884,230.34686014085423,233.1607541115409,234.1665535258334,233.21191526321402,240.8381462751359,237.27196914324514,231.3573066029377,236.91198669791635
1,1985-01-20 16:48:54+00:00,220.5594241805963,223.11367373376802,225.4748536915079,225.0197716881433,228.8695813547784,229.99676438852882,229.4549568100823,240.79191087610172,236.9863838673312,245.7743428160577,239.71920072956266,238.266750924435,242.9136476151146
2,1985-10-03 16:47:38+00:00,184.5631132575272,193.91730479209633,201.74813155767575,198.83965140959995,196.82960922005577,203.62246112339923,198.85920448727867,207.3277345403435,216.47168277773986,220.24190036128715,218.9876827267109,215.57028437952425,209.2588929577286
3,1986-01-07 16:46:05+00:00,208.77211207097236,219.4645539909005,223.97535368899412,229.18867083283382,225.18887775810842,230.5864382826187,237.1334119711053,228.63276628866157,225.81301172685704,230.80077744981512,232.25180445859473,223.74260116415147,230.84522334897426
4,1986-03-12 16:44:40+00:00,219.69362233055654,224.69628782765653,225.53317593203255,234.75665031277427,239.21587597679925,232.66557973280229,241.22802590449973,238.36859634970074,234.29741612682238,241.86017621954147,240.12340725637173,230.9576779652196,244.60731624593464
5,1986-03-28 16:44:21+00:00,215.3334859909588,215.71248125409505,228.6426753169051,228.64826638963032,229.26643931832194,233.17079869639946,232.03410021630805,232.52457264228602,228.239049329664,237.12251529888323,230.79062832673551,228.2584268647858,235.49514468259827
6,1986-04-13 16:44:01+00:00,216.29127356378436,227.79436283895268,231.39408674094568,231.37987192543477,230.5321701918389,231.57208121242527,238.5590588652243,233.04282422412413,235.23331120109273,238.23931242636988,235.72658095871992,226.86593797343954,237.50114822543577
7,1986-04-22 16:37:37+00:00,219.42180700069275,228.42237369786528,227.73700672470787,230.20523636126114,231.102282617218,248.35654492347192,248.66455034540726,245.0421069636454,247.85250850875153,252.20106658538597,245.55936656738066,248.32634379341332,251.70735113802905
8,1990-02-03 16:40:25+00:00,223.33091199095983,225.25552700660168,233.64431794521806,237.04512245968772,236.00779558608335,236.2572597561795,235.851862258594,230.96890187630544,237.83724744673998,241.66563307855023,238.85066468435363,230.6229932513041,233.28202772240724
9,1990-02-12 16:33:57+00:00,212.27122425550485,222.36222045554842,222.44830899154513,232.09722341838858,229.4515279206583,229.74537114387783,223.97286039340722,223.8023673307264,224.04331920800334,224.58427847757582,222.58514510802365,223.9393390342953,227.12950177119436
10,1990-02-19 16:39:55+00:00,228.350619312283,230.2591872298363,232.65914738820868,240.2076544050425,235.54023645947524,238.18864260799262,238.47234507902067,235.6129595001687,231.504124675737,233.81922971092732,232.20406243251642,225.07025305746112,233.25114684075612
11,1990-02-28 16:33:25+00:00,207.95164410708702,216.64508301716018,223.22607289978006,229.82938623014766,230.13968387725268,219.55915405216825,214.10351778542426,221.62657293212712,221.8277162974903,222.28566819497738,226.61044257677057,223.4622531108868,236.39256015162806
12,1990-03-07 16:39:20+00:00,217.24791386049037,226.96043016776176,223.98682088052956,229.13901022943708,225.68775012758826,229.7037637946647,224.3227418871083,217.75302755033445,232.4702501206047,238.177219298216,232.92954341455496,218.04085993447703,222.19778002169332
13,1990-03-16 16:32:53+00:00,221.3871876385919,221.2988431200706,224.97960494155248,231.2369548189201,228.40859519154716,228.26656365393916,224.69861486257952,228.39438493376832,228.6500359843529,234.14194237640774,231.22553341055678,226.1745154490505,234.55332567493318
14,1990-03-23 16:38:48+00:00,225.59596733167217,227.42409399967798,231.22639433302285,232.84561386020064,228.88092663247505,226.79676322330465,222.98319271096204,221.44666022983472,224.3937393176359,236.0410549038229,235.4436925129525,223.5127812891394,220.91263747405685
15,1993-01-10 16:40:08+00:00,207.19777369421124,214.24597973472552,222.65314240666493,221.22903544403428,217.48556876041727,223.6074457776204,226.4702347304062,226.61506176871939,235.2475290991488,241.6259955938482,243.51483805640288,239.00761500148872,242.58178099875585
16,1993-02-11 16:40:28+00:00,213.1949964332793,212.22856135782308,220.4279094172858,218.34314560862498,217.79145044933605,223.15782410411933,226.78137264510679,228.73119009404215,228.38922849964987,235.39157508583045,241.27997239766927,235.29387192171717,237.51558169025847
17,1993-02-27 16:40:33+00:00,210.076467730681,213.65546252016102,212.6036661047688,211.43362782421823,210.12477837272354,218.70315207888308,210.96586678385808,214.36189547800137,223.7704597104494,232.45717463275406,238.52997881113208,233.93784010755644,237.5812504338671
18,1993-03-15 16:40:43+00:00,216.6060944306793,218.3054976391752,218.17200575917164,216.34252213054188,225.99325126070605,228.92349498813758,223.81132710104382,228.74211853770638,225.0992377236924,235.26016556975827,240.11364658603145,234.04875322997566,238.23186216960426
19,1993-04-16 16:40:54+00:00,211.61641696903294,219.99681804787517,224.39897276620567,227.14333168550678,223.49978843097642,225.04725214267935,229.71803132849578,226.63859402217915,230.2116956191887,228.92170358357498,232.91441394449714,226.84807674159603,224.70933483712096
20,1993-05-02 16:40:59+00:00,209.69876805600148,219.39395407583373,215.75085403589333,220.2655795788696,225.29023936166345,228.94052058241823,226.76332445586144,232.57219647760874,233.28086421372583,236.6458055988436,235.4980080200091,227.1794120779295,225.7328275726675
21,1993-05-18 16:41:01+00:00,229.21972596345057,236.49308049081978,242.55275431753324,242.75312558932634,234.58090541345098,233.8284745541582,229.17651224440468,234.3892187765655,235.83258247578672,239.53961695843384,231.8519227965342,225.14667711825072,234.0579270571866
22,1993-08-06 16:40:56+00:00,211.5639407240843,218.7408525226394,218.82035251036754,227.0358820286015,234.3150886393817,239.44252313104786,231.188692218764,227.33071589199017,226.25887151982272,234.998279325889,231.48118538400684,231.27455576843474,225.50713726563882
23,1993-09-07 16:40:54+00:00,217.92383641960362,225.31922451422858,228.75061301335174,234.48188739228732,238.1281387456684,229.95903309890505,178.74326487841967,232.86522549797647,227.05955984627965,226.21535666620898,230.37566606786896,220.20536672829968,219.86063757106314
24,1993-10-25 16:40:40+00:00,203.56513670453558,212.2106664611119,221.03703044156484,218.73564059082472,216.4551542963622,219.176648371037,214.93677694818467,218.78323831159685,213.11171344700196,211.59188166094867,211.51843477822257,205.83143525122776,209.8029175013458
25,1993-11-10 16:40:33+00:00,215.21980204503942,217.01029664337335,216.67006498028164,224.2809170293022,220.883950409887,223.3435353016683,218.39091408839695,220.52323417014085,213.71245058544315,217.90991537555928,209.7425473889473,207.10175874904334,215.61404230766732
26,1993-11-26 16:40:27+00:00,211.8657645606266,221.6652567871726,219.28061123270737,228.8175512983795,227.96898814709087,228.98443590842427,219.97256727143844,228.50967777369036,221.63512758742007,221.2428820295648,212.90730052623593,205.8050280333695,217.94902869861875
27,1993-12-28 16:40:12+00:00,210.90637691314453,214.3881894169017,228.79245143660168,232.5262178919991,237.4891178076455,234.61017907152387,231.98870202826492,227.58041184660976,221.55719324329306,229.06802567250907,218.32509952784852,226.28948730490836,228.42372628467658
28,1994-01-29 16:39:46+00:00,216.04753577732157,221.42143169161278,230.76876410417663,237.4967585960545,243.07537195817557,240.87225767276271,238.82753856348216,238.1347403622211,238.78775123791604,237.40168283005778,233.01662751467177,231.21201251828506,227.64225589866987
29,1994-02-14 16:39:35+00:00,223.57564748451236,228.3773109306529,238.2044077963166,239.50888056419177,238.81163687634597,242.16949998364262,236.12226666645213,227.0030702285626,226.925694280536,236.48765774640339,231.67903806810645,232.5998408919532,233.70036654651767
30,1994-03-02 16:39:21+00:00,227.6840021136909,229.8726232594599,235.0375823606953,236.9985952027661,241.8919719561767,238.1865329781357,234.21385906543713,229.41306352109416,226.56363209329072,233.65215310075646,226.0601369602441,228.4527371847653,229.4632939336616
31,1994-03-18 16:39:07+00:00,226.2625911994033,226.69088334296111,225.69178712390155,238.06185804868812,235.68231847516802,231.5669402096884,232.61776190257285,231.53563215472238,223.1144212955816,228.13873614583693,219.13958477529135,205.72002599308033,216.8144291333712
32,1994-04-03 16:38:50+00:00,219.58596688148924,239.07012175252228,233.62887574973288,234.68837009306966,233.45608399323007,230.31309338100408,234.6140424959176,227.88256107172626,228.28157651449564,228.39518493236733,232.97789225976015,224.18703244928312,230.25606106050066
33,1994-04-19 16:38:32+00:00,221.65526278600885,230.94743366696662,234.05274593947107,232.2645980110462,231.8968570664148,231.0244488775565,233.77333019164328,222.7056442988934,221.3866971847594,225.0512707059803,229.364811711118,218.93665916619287,213.49997310477258
34,1994-05-05 16:38:14+00:00,227.7552929541104,235.91920284232293,232.94310855809488,233.19246951063178,229.8872021667475,232.47040250841175,228.1948238120197,234.3837821784442,235.55883063203797,243.02906496096776,238.21945414371865,230.78194778373324,231.23307436100995
35,1994-05-21 16:37:57+00:00,230.34716112874332,236.54565916499246,242.3721790740049,247.9120269417708,245.55995475581335,244.05478449851336,242.69086779842857,235.48464650245043,233.56100961659334,243.80291152566286,243.74531640386414,236.43175450699968,237.41286638897995
36,1994-05-30 16:32:00+00:00,239.55049973140635,242.50777971567427,248.02591597339892,260.921624159886,260.24145868801514,256.0811366388349,,,,,,,
37,1994-07-24 16:36:26+00:00,204.7969974963665,216.88696320884026,226.79102070558687,229.2773827575359,239.20834069907858,238.21431535157637,236.11271446865078,232.77633918828113,235.91948523567106,237.61491713679186,235.4404059881961,230.8656901161405,236.1648150388275
38,1994-08-09 16:36:00+00:00,210.9166036925963,217.27981200262946,221.1633631740794,229.04942647563433,229.42070158485174,235.02512830780077,233.26218223958915,234.58234937876028,229.57070554225652,237.45698934084203,224.2633267966535,222.58573126503555,223.46264638691378
