dates,satname,nzd0152-0000,nzd0152-0001,nzd0152-0002,nzd0152-0003,nzd0152-0004,nzd0152-0005,nzd0152-0006,nzd0152-0007,nzd0152-0008,nzd0152-0009,nzd0152-0010,nzd0152-0011,nzd0152-0012
1999-10-22 21:58:28+00:00,L7,331.13,330.48,340.39,339.59,346.98,348.10,353.05,350.90,337.90,329.92,333.71,329.93,331.88
2000-02-27 21:58:40+00:00,L7,335.79,334.05,347.75,345.32,357.50,354.84,362.96,363.97,354.55,351.40,348.32,347.12,349.80
2000-03-14 21:58:35+00:00,L7,339.15,335.62,347.14,347.22,352.28,367.33,364.25,364.36,358.10,348.96,348.73,350.17,345.39
2000-03-30 21:58:09+00:00,L7,342.69,340.88,353.87,351.80,362.22,368.17,370.32,368.18,359.82,353.66,348.46,352.24,349.02
2000-05-01 21:58:18+00:00,L7,,,,,,365.22,367.24,365.65,355.05,351.14,346.84,348.63,351.19
2000-08-05 21:56:44+00:00,L7,299.68,291.52,297.69,305.41,315.83,318.34,322.79,310.61,309.02,296.64,289.64,313.97,311.84
2001-01-12 21:56:06+00:00,L7,305.67,307.28,320.04,323.72,324.66,328.72,333.93,326.18,322.46,323.05,319.87,322.54,311.18
2001-06-05 21:55:40+00:00,L7,314.87,,332.87,325.73,337.19,342.15,344.39,339.06,331.91,328.08,316.71,329.58,324.38
2001-06-21 21:55:05+00:00,L7,335.48,335.94,345.89,341.37,347.93,353.01,352.33,352.14,341.30,335.72,332.75,346.17,334.62
2001-09-09 21:54:36+00:00,L7,304.29,291.06,317.71,321.19,326.86,334.71,332.45,326.20,322.98,325.05,,322.36,331.05
2001-09-25 21:54:28+00:00,L7,317.88,321.73,336.09,336.91,344.61,347.08,345.48,343.23,333.88,328.90,330.62,330.86,327.83
2001-10-11 21:54:09+00:00,L7,334.72,332.05,346.81,341.23,343.82,349.48,348.29,345.55,340.72,333.19,331.45,341.36,344.99
2002-01-15 21:54:47+00:00,L7,328.23,323.16,332.97,329.68,332.38,341.48,340.51,337.45,333.19,331.48,328.84,331.26,326.15
2002-01-31 21:54:50+00:00,L7,307.46,307.86,324.54,315.99,325.46,333.45,339.68,332.94,328.63,334.31,329.45,336.85,333.00
2002-04-05 21:54:49+00:00,L7,447.56,,,430.81,,,,,,,624.05,,
2002-05-23 21:54:42+00:00,L7,311.09,,327.51,322.98,335.28,343.13,333.91,337.22,325.27,319.33,318.21,321.62,314.78
2002-08-27 21:53:36+00:00,L7,324.27,324.22,332.38,331.95,338.07,341.56,342.36,345.27,332.12,322.81,328.40,337.69,334.75
2002-10-14 21:53:43+00:00,L7,334.98,333.99,343.70,341.85,351.34,348.93,348.81,345.96,338.19,331.85,332.72,334.47,339.35
2002-10-30 21:53:49+00:00,L7,341.98,339.95,347.41,343.27,348.05,352.29,350.01,347.75,339.79,337.14,341.28,343.32,337.98
2002-12-01 21:53:52+00:00,L7,,,,340.71,347.19,348.30,349.98,348.94,339.55,336.33,336.60,339.12,342.34
2003-01-02 21:53:58+00:00,L7,335.43,331.12,346.52,345.34,353.73,354.73,351.81,350.52,340.66,337.68,335.02,337.93,336.51
2003-01-18 21:54:30+00:00,L7,325.43,322.10,332.64,330.87,338.21,346.85,347.02,344.48,334.36,333.72,330.53,338.49,332.34
2003-03-23 21:54:40+00:00,L7,322.19,324.94,338.33,335.95,340.69,341.56,337.59,338.31,333.33,329.39,330.32,341.50,343.66
2003-07-21 21:42:09+00:00,L5,343.98,344.08,355.75,344.40,357.45,355.23,352.96,352.39,345.95,343.45,343.28,344.03,339.95
2003-08-06 21:42:27+00:00,L5,350.32,343.80,346.20,340.68,344.48,346.57,349.12,344.11,340.61,327.79,336.15,343.52,339.20
2003-10-25 21:43:40+00:00,L5,347.57,344.26,348.21,337.00,342.76,346.02,344.05,339.01,333.69,324.22,329.43,334.36,340.13
2004-02-06 21:55:08+00:00,L7,341.94,337.55,349.59,,,356.41,358.95,353.22,346.72,341.98,346.01,350.07,345.76
2004-02-14 21:44:33+00:00,L5,347.47,342.88,356.82,353.94,353.12,367.87,371.35,370.14,362.61,355.25,354.19,362.10,350.95
2004-03-09 21:54:51+00:00,L7,311.11,300.88,313.96,,,322.20,320.25,316.33,306.06,301.35,304.68,304.25,298.22
2004-03-17 21:44:44+00:00,L5,355.36,347.37,359.00,354.41,355.73,359.60,357.50,355.95,346.30,345.80,340.47,339.49,332.45
2004-03-25 21:55:18+00:00,L7,340.62,334.58,345.56,338.28,345.16,348.65,343.68,350.15,,,330.97,335.38,316.86
2004-04-02 21:44:54+00:00,L5,344.91,350.67,355.19,349.46,352.75,353.05,359.58,361.74,351.23,348.87,345.81,345.27,337.07
2004-04-10 21:55:14+00:00,L7,337.75,324.45,,334.22,340.63,344.80,348.31,347.27,336.72,336.35,333.00,337.27,312.88
2004-04-18 21:45:25+00:00,L5,321.03,319.83,337.81,333.31,338.28,342.35,340.39,338.35,332.25,326.61,321.24,323.83,319.15
2004-05-04 21:45:52+00:00,L5,344.66,340.12,348.24,343.48,350.98,355.30,352.99,350.24,346.35,336.92,339.87,340.40,337.58
2004-05-20 21:46:20+00:00,L5,338.19,332.57,345.47,336.19,349.03,353.00,356.27,354.58,346.52,341.01,336.53,343.37,344.37
2004-05-28 21:54:47+00:00,L7,332.10,328.43,342.13,,354.12,350.50,351.22,350.76,343.43,334.63,331.11,333.43,327.04
2004-06-05 21:47:12+00:00,L5,,317.79,331.91,330.52,346.49,346.51,354.08,359.59,351.27,341.94,,,
2004-07-23 21:48:09+00:00,L5,342.92,334.28,348.78,340.32,352.91,350.80,352.40,350.15,340.66,341.80,337.70,338.97,339.65
2004-08-16 21:54:26+00:00,L7,341.23,325.56,340.02,332.17,341.11,345.45,344.16,343.84,336.97,331.84,331.62,332.90,336.33
