dates,nzd0212-0000,nzd0212-0001,nzd0212-0002,nzd0212-0003,nzd0212-0004,nzd0212-0005,nzd0212-0006,nzd0212-0007,nzd0212-0008,nzd0212-0009,nzd0212-0010,nzd0212-0011,nzd0212-0012,nzd0212-0013,nzd0212-0014,nzd0212-0015,nzd0212-0016,nzd0212-0017,nzd0212-0018,nzd0212-0019,nzd0212-0020,nzd0212-0021,nzd0212-0022,nzd0212-0023,nzd0212-0024,nzd0212-0025,nzd0212-0026,nzd0212-0027,nzd0212-0028,nzd0212-0029,nzd0212-0030,nzd0212-0031,nzd0212-0032,nzd0212-0033,nzd0212-0034,nzd0212-0035,nzd0212-0036,nzd0212-0037,nzd0212-0038,nzd0212-0039,nzd0212-0040,nzd0212-0041,nzd0212-0042,nzd0212-0043,nzd0212-0044,nzd0212-0045,nzd0212-0046,nzd0212-0047,nzd0212-0048,nzd0212-0049,nzd0212-0050,nzd0212-0051,nzd0212-0052,nzd0212-0053,nzd0212-0054,nzd0212-0055,nzd0212-0056,nzd0212-0057,nzd0212-0058,nzd0212-0059,nzd0212-0060,nzd0212-0061,nzd0212-0062,satname
1999-07-18 21:58:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.14,,,,,,,,,,340.96,,,,339.54,,319.99,329.42,320.60,,356.95,,361.54,,,368.24,,,,,L7
1999-12-25 21:58:52+00:00,356.96,357.70,353.14,345.62,344.31,338.55,337.51,324.18,322.20,,,,335.91,364.25,361.18,347.37,351.21,358.65,368.33,376.96,386.17,380.41,372.10,362.98,353.40,357.32,355.35,347.56,350.30,360.78,372.57,383.89,392.17,394.36,389.45,382.30,384.36,371.82,369.28,367.47,369.18,368.84,369.76,364.61,370.02,357.74,364.34,364.77,352.94,343.37,342.83,340.89,351.46,349.85,363.22,363.70,355.88,344.11,331.46,330.77,,318.16,314.28,L7
2000-02-18 22:04:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.76,363.75,350.15,331.29,329.78,,308.79,316.85,L7
2000-03-30 21:58:33+00:00,369.02,363.48,363.02,362.95,359.55,359.67,349.78,340.98,341.54,343.36,,357.44,358.80,360.57,365.85,364.02,365.68,370.21,374.36,379.38,388.39,388.28,388.64,390.43,390.31,381.53,376.35,371.17,366.64,362.20,374.47,400.92,407.01,413.04,414.57,403.11,394.88,392.68,387.73,385.79,,,381.98,368.59,370.35,366.96,365.43,369.78,376.12,,,,385.95,378.75,369.76,374.28,382.94,385.29,,358.89,,327.31,336.11,L7
2000-07-04 21:57:38+00:00,352.53,,355.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.48,414.66,,405.79,360.54,386.60,390.92,380.76,,,371.77,371.73,,,,,,,,,,,,,,,,,,297.21,,L7
2000-08-05 21:57:08+00:00,345.88,361.25,,,,,,,,,,,,,,,,,,,358.26,,,354.63,370.36,364.71,,,328.37,359.53,376.64,391.30,395.18,398.23,400.46,378.31,400.19,,365.67,359.43,,,,377.79,357.17,,357.27,373.22,373.17,370.60,372.49,,,,369.93,384.10,381.29,373.98,349.10,,320.60,336.31,,L7
2000-12-27 21:56:29+00:00,,,,,,,329.88,329.06,331.78,334.27,,349.17,364.31,,,,,,,,,,,,,,,,,,,,,,,,,,374.47,371.32,365.28,348.97,,,349.87,342.56,353.20,352.32,352.16,352.22,347.19,345.55,361.25,343.10,349.33,347.46,343.49,,,,,,,L7
2001-03-17 21:56:16+00:00,381.96,384.00,379.97,382.16,383.54,370.31,345.70,332.09,338.41,350.11,,354.22,,363.62,375.90,384.23,402.51,406.71,,408.69,380.80,378.01,392.89,,407.33,394.50,386.03,390.10,,394.00,392.91,396.51,401.72,420.42,,,419.33,402.11,379.44,384.88,388.91,393.94,399.27,397.92,389.21,,,374.58,358.41,357.55,376.09,,390.04,,386.11,365.67,368.81,381.78,369.35,349.78,333.68,345.56,356.32,L7
2001-06-05 21:55:40+00:00,358.75,347.17,360.02,358.86,361.29,352.62,,,,,,,,,,,,,,,,,,290.11,,,,,,,,,,,,360.47,387.66,378.68,389.54,388.11,385.40,394.87,379.31,362.01,,,,,280.67,279.62,255.21,268.17,,,,,,,301.46,238.29,281.79,287.05,,L7
2001-06-21 21:55:29+00:00,351.46,348.67,347.89,361.19,369.47,359.72,350.48,345.56,336.51,,,311.58,363.80,374.25,410.44,,,,,,,,,316.03,,,,,,,,,,,,,,,,,,,,349.62,,,,,307.19,277.09,280.49,273.12,,,,,,,300.26,263.28,288.53,301.03,,L7
2001-08-08 21:55:01+00:00,341.60,345.05,360.50,361.46,358.18,309.96,,,,,331.27,336.46,352.94,,,,,,,,,,,,,,,,373.45,375.79,361.65,375.87,381.73,397.12,,377.74,362.63,360.89,372.34,373.29,379.46,386.17,393.60,379.21,376.31,369.38,,,284.80,270.77,268.75,265.72,,340.26,360.24,369.66,371.15,372.06,272.78,228.91,252.79,285.96,,L7
2001-08-15 22:01:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.75,,,L7
2001-08-24 21:54:48+00:00,328.72,346.46,362.25,350.08,338.91,325.78,,294.78,291.81,314.07,308.67,327.82,330.47,345.27,335.01,361.09,363.21,,,,350.71,389.64,375.91,350.67,,,,361.62,345.44,,335.20,351.48,361.63,362.86,,353.25,335.98,322.19,338.94,358.78,359.56,371.77,378.54,367.62,363.43,352.03,348.60,,263.37,257.51,249.04,267.26,,,,,,,255.36,191.90,217.86,,,L7
2001-09-25 21:54:28+00:00,367.56,378.65,380.15,379.87,372.81,357.47,327.52,318.40,327.44,297.84,324.39,370.52,388.49,396.56,360.46,393.14,400.00,392.16,386.26,390.08,396.00,403.78,398.60,391.32,396.88,390.14,382.32,374.48,375.91,381.45,380.63,392.99,392.54,404.73,411.78,362.98,386.90,375.36,377.58,396.52,405.47,400.78,412.60,412.63,403.47,384.14,363.75,344.85,,,,,373.35,384.21,367.01,413.03,411.37,411.63,,,,354.21,340.45,L7
2002-02-16 21:54:54+00:00,380.90,373.56,371.88,369.30,368.75,370.88,369.88,355.09,344.60,338.48,,366.32,374.90,378.44,384.94,393.41,395.65,393.09,384.94,389.80,399.23,422.50,413.33,395.26,383.28,373.85,368.87,380.40,400.06,400.46,387.36,388.20,396.48,410.34,421.26,,411.48,406.35,395.02,397.24,393.21,390.30,390.62,393.89,388.55,380.61,387.34,,,,,,402.04,399.20,403.10,395.53,394.40,383.76,,,,349.86,349.39,L7
2002-03-20 21:54:48+00:00,357.75,355.03,356.10,353.18,350.20,344.83,331.06,320.78,326.89,308.66,339.93,346.39,350.21,349.82,345.68,366.02,366.91,370.49,367.19,367.20,371.77,385.38,387.80,374.45,356.90,345.98,353.97,363.75,373.98,378.24,370.45,373.08,371.17,381.14,390.04,395.48,379.21,377.31,371.53,365.33,364.78,360.85,366.90,366.94,362.93,362.33,366.79,364.80,,,,,363.19,376.65,385.62,383.50,384.00,366.20,,,,325.84,334.76,L7
2002-06-24 21:54:28+00:00,337.42,347.17,350.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.37,,,,,,,,,,264.38,228.01,,,,L7
2002-08-27 21:54:00+00:00,336.29,322.79,334.37,332.96,331.01,329.82,314.39,320.77,325.41,313.54,289.79,318.93,332.10,351.79,375.59,378.88,379.42,384.50,380.07,376.23,378.38,376.79,372.64,378.59,378.39,376.09,374.28,365.88,347.28,,363.78,385.33,389.55,388.94,384.84,,377.33,370.79,370.27,379.67,374.34,378.81,376.27,375.85,367.95,364.44,353.84,361.19,355.68,276.83,274.61,299.44,362.65,373.37,371.09,363.98,361.17,360.78,354.80,347.88,255.45,314.56,,L7
2002-10-14 21:53:43+00:00,330.78,324.70,324.46,323.04,330.69,357.70,359.15,350.34,356.62,342.71,316.92,,352.20,365.58,356.29,386.67,391.79,386.01,365.25,365.18,361.96,371.51,390.04,404.64,400.87,384.07,352.80,339.56,341.27,351.63,376.72,399.66,393.39,397.90,383.79,416.35,386.56,360.29,353.90,368.19,371.59,382.54,396.71,390.43,377.68,357.96,347.45,339.99,339.66,350.88,382.78,394.74,387.49,384.24,377.67,379.54,373.79,374.82,368.43,361.11,336.51,338.89,333.89,L7
