dates,nzd0272-0000,nzd0272-0001,nzd0272-0002,nzd0272-0003,nzd0272-0004,nzd0272-0005,nzd0272-0006,nzd0272-0007,nzd0272-0008,nzd0272-0009,nzd0272-0010,nzd0272-0011,nzd0272-0012,nzd0272-0013,nzd0272-0014,nzd0272-0015,nzd0272-0016,nzd0272-0017,nzd0272-0018
1999-12-09 21:59:21+00:00,160.17432402002444,138.15288923927548,127.77747160917325,127.95698398399655,133.73449848780263,128.57269501327946,114.68902310456957,119.27651526461788,129.24486041629538,122.56800458079651,127.50367499069309,135.47866329996927,129.5024025010977,133.25073574500516,146.76266908780565,138.28007964295276,128.90062855081578,125.91110778886724,129.05469582821362
1999-12-25 21:59:16+00:00,156.13022096571396,138.87780142699788,124.4023920884712,121.35128235213475,123.51404787626603,123.32065929644503,111.1202859902182,112.82762955947229,121.62002319400997,124.22730882327636,123.99361228371859,127.48412944134371,123.32837216472197,124.27813935474,136.94556166430678,130.52814078157502,126.92818731399062,127.11565986582416,122.92550298425294
2000-01-10 21:59:16+00:00,152.90470976670917,143.38636173267295,128.1176235241757,125.74771106160945,131.54394287202578,128.1994780351265,119.70081694468126,116.981453254604,126.84293205711087,123.93941931723941,123.81909478125506,126.79351336272403,125.17923951858043,127.78047955389262,137.6179708012584,132.14419365401912,125.39480908317658,129.91011959360594,129.54244923964745
2000-03-30 21:58:57+00:00,147.39444421846116,138.38343339349098,120.65914157347731,124.50510853721046,121.50224782188229,120.86620063969052,112.62599021581589,122.91281070366603,126.3897179402122,121.99075502478757,117.14814830154869,123.9901550845455,119.1466881479368,122.69034215559199,130.83284248944548,119.963480098437,119.24886757604307,122.9474017703834,124.75833336484217
2000-07-04 21:58:02+00:00,140.55591349214623,126.95598073267956,113.79645531069525,128.19947366376874,,132.06251131350248,117.89808395232029,128.9916812402311,94.45741579037632,112.9719065111524,112.46112773787091,118.1926094910111,124.15850710529688,126.95619646117407,134.80603271836998,133.24212334798636,124.36141045791139,119.66086180514854,124.65495718105213
2000-08-05 21:57:32+00:00,141.31598221238676,116.4849507221562,99.98946279296916,125.2099258346711,,115.28578906805761,117.88764068895708,115.79609836707625,,113.066282164596,98.6818763198624,123.47750851154818,119.59161392723985,116.20798998272396,120.55637821061603,116.9410091996247,126.87321625074412,114.7133117524036,136.82328797534697
2000-09-22 21:56:53+00:00,,,,79.8308027069109,63.70424194074549,,,,,,,,,,,,,,
2000-11-09 21:56:45+00:00,142.77404097747095,136.8330972776286,126.30713303867968,137.97196177487558,139.021748121915,133.7893903743803,123.64093892602064,129.63487939157474,133.68225736727013,129.02463647803543,132.93335505315423,139.9821906902357,138.31612007469062,138.0542633929071,141.5545820457553,140.82962235164888,141.21544049446854,138.13415033277246,133.8515960034891
2000-11-25 21:56:47+00:00,147.46606172982462,130.06710418530287,120.08470344200632,125.83799667697588,131.111463587352,118.98571634146894,105.03606966350493,113.82888626887004,122.70397175134828,124.915615321329,120.66767039701114,125.86294777387133,123.81191467923745,129.76322044395877,141.97741643309368,136.42964286459338,129.36600506920834,129.7695302961245,127.7640916194224
2001-03-17 21:56:40+00:00,153.11126837559144,144.48184554545853,132.3874398095312,139.26579938601026,130.99673861186363,131.20285645788528,141.10953492156557,147.83055008426805,137.9820400453008,146.85764728730612,139.10217684667361,130.73424862641107,131.859357129921,139.05924422107373,145.81517059766972,133.6319304847179,149.4139173260187,123.04193726783679,140.97032728667034
