dates,nzd0006-0000,nzd0006-0001,nzd0006-0002,nzd0006-0003,nzd0006-0004,nzd0006-0005,nzd0006-0006,nzd0006-0007,nzd0006-0008,nzd0006-0009,nzd0006-0010,nzd0006-0011,nzd0006-0012,nzd0006-0013,satname
1999-12-07 22:10:30+00:00,375.72,364.54,338.72,318.64,324.21,333.56,336.33,338.23,338.42,344.21,355.96,363.54,360.58,356.52,L7
2000-03-28 22:10:07+00:00,365.12,358.10,338.04,325.92,327.94,331.22,325.64,330.09,337.75,352.45,356.69,357.28,355.85,355.23,L7
2000-04-29 22:09:53+00:00,367.47,358.17,341.87,334.54,336.61,334.68,330.90,334.62,345.71,354.61,361.42,357.97,357.88,360.78,L7
2000-05-15 22:09:42+00:00,362.91,355.16,340.16,333.36,333.20,329.96,328.58,330.43,342.54,350.47,357.28,353.83,354.73,359.81,L7
2000-08-03 22:08:44+00:00,356.33,346.27,335.99,333.29,333.70,325.93,322.28,322.84,339.18,350.49,352.45,347.98,346.23,353.46,L7
2000-08-19 22:08:38+00:00,350.34,337.62,329.71,327.43,328.84,319.57,318.33,318.70,333.25,343.84,345.86,344.57,340.10,346.40,L7
2000-10-06 22:07:59+00:00,352.89,337.15,332.56,332.81,333.39,322.20,321.72,319.42,334.30,339.64,342.96,347.71,341.50,348.85,L7
2001-04-16 22:07:42+00:00,358.62,350.33,328.48,325.54,320.41,329.08,329.16,333.65,328.09,332.52,333.13,343.03,347.88,345.63,L7
2001-05-18 22:07:26+00:00,358.62,350.33,328.48,325.54,320.41,329.08,329.16,333.65,328.09,332.44,347.42,343.03,367.16,357.40,L7
2001-06-03 22:07:16+00:00,358.62,350.33,328.48,325.54,320.41,329.08,329.16,333.65,322.78,329.50,345.46,344.13,360.35,347.39,L7
2001-06-19 22:07:05+00:00,356.77,348.83,328.07,324.73,321.24,322.76,318.34,324.13,322.93,328.90,344.79,344.26,357.36,346.61,L7
2002-01-29 22:06:21+00:00,342.84,334.36,315.17,317.15,323.34,324.70,327.15,314.32,316.67,329.43,337.48,341.08,350.03,354.74,L7
2002-03-18 22:06:22+00:00,354.60,342.83,326.85,330.03,328.82,333.03,331.54,323.65,326.64,337.34,343.14,353.31,359.65,355.69,L7
2002-04-03 22:06:21+00:00,356.84,347.62,329.23,332.30,328.35,334.24,328.80,323.75,329.42,338.80,344.10,357.28,358.95,357.06,L7
2002-07-24 22:05:50+00:00,359.32,349.20,328.55,329.65,330.36,335.17,328.86,325.31,330.42,340.03,345.81,360.87,365.72,362.69,L7
2002-11-13 22:05:30+00:00,374.94,353.95,334.77,326.50,333.38,332.58,326.92,327.42,338.36,346.35,351.36,366.75,372.61,365.21,L7
2003-01-16 22:06:02+00:00,369.58,354.48,333.00,328.52,332.70,327.53,325.04,326.58,337.05,344.23,349.38,358.53,365.82,361.94,L7
2003-03-21 22:06:15+00:00,370.98,355.00,336.24,331.93,330.87,322.33,323.05,324.88,333.39,339.16,344.79,350.66,354.36,353.55,L7
2003-04-22 22:06:19+00:00,369.11,355.69,336.77,327.72,330.26,322.23,327.09,325.22,333.99,338.66,341.53,347.60,349.10,348.86,L7
2003-05-24 22:06:17+00:00,359.97,354.11,333.85,325.79,329.47,322.50,325.03,325.33,330.13,336.54,340.12,342.21,345.79,345.04,L7
2003-08-20 21:54:39+00:00,353.45,343.56,328.79,315.39,319.63,316.35,316.28,318.41,321.15,327.86,330.65,333.14,335.62,341.59,L5
2004-01-19 22:06:35+00:00,344.45,332.68,323.38,313.41,313.14,304.47,307.14,311.65,311.56,320.27,327.20,329.86,333.61,348.21,L7
2004-04-08 22:06:49+00:00,359.02,349.77,336.78,330.15,328.85,321.98,320.59,308.31,318.94,326.78,346.85,335.98,349.64,367.65,L7
2004-05-18 21:58:14+00:00,355.48,343.98,331.71,330.57,327.21,320.71,319.61,311.49,321.00,325.97,339.33,334.25,344.32,367.65,L5
2004-06-11 22:06:38+00:00,355.48,343.98,331.71,330.57,327.21,320.71,319.61,315.68,322.56,329.52,342.55,334.25,344.32,369.35,L7
2004-06-19 21:59:10+00:00,355.53,344.07,330.91,331.90,330.12,322.71,321.51,317.61,326.08,330.59,340.34,334.50,342.96,362.74,L5
2004-07-21 22:00:04+00:00,357.50,344.76,330.38,334.04,332.00,326.97,322.26,317.22,326.45,329.77,337.12,333.00,343.61,365.46,L5
2004-07-29 22:06:27+00:00,357.50,344.76,330.38,334.04,332.00,326.97,322.26,317.22,326.45,328.65,337.35,334.35,344.46,357.65,L7
2004-08-30 22:06:20+00:00,357.93,343.34,331.77,335.77,332.33,328.30,322.31,318.00,327.42,330.61,338.32,337.22,344.38,355.38,L7
2004-10-17 22:06:14+00:00,360.65,347.10,333.98,340.29,337.93,331.44,329.43,326.80,330.96,332.66,338.32,341.05,344.53,349.04,L7
2004-12-04 22:06:44+00:00,364.87,353.01,336.94,340.86,340.70,335.38,335.55,333.39,338.99,338.24,339.62,343.62,347.25,349.04,L7
2005-01-13 22:03:41+00:00,366.48,352.88,338.02,339.14,339.72,337.13,340.26,341.38,348.62,345.37,346.41,353.88,355.93,349.35,L5
2005-01-21 22:06:59+00:00,366.48,352.88,336.20,337.30,338.86,336.74,340.25,342.73,349.92,351.18,355.17,360.26,359.39,354.82,L7
2005-04-03 22:04:40+00:00,371.63,357.49,335.07,335.21,338.47,336.07,341.99,346.37,357.61,362.72,367.66,374.80,372.76,376.64,L5
