,dates,nzd0323-0000,nzd0323-0001,nzd0323-0002,nzd0323-0003,nzd0323-0004,nzd0323-0005,nzd0323-0006,nzd0323-0007,nzd0323-0008,nzd0323-0009,nzd0323-0010,nzd0323-0011,nzd0323-0012,nzd0323-0013,nzd0323-0014,nzd0323-0015,nzd0323-0016,nzd0323-0017,nzd0323-0018,nzd0323-0019,nzd0323-0020,nzd0323-0021,nzd0323-0022,nzd0323-0023,nzd0323-0024,nzd0323-0025,nzd0323-0026,nzd0323-0027,nzd0323-0028,nzd0323-0029,nzd0323-0030,nzd0323-0031,nzd0323-0032,nzd0323-0033,nzd0323-0034,nzd0323-0035,nzd0323-0036
0,1999-08-26 22:05:56+00:00,228.11101389720758,209.79182056178058,196.2659291550057,180.6179011722591,193.68388097043214,185.745182404069,,,,,,173.0374338780603,189.0078837614693,181.67690809434575,176.46742814665882,,,,,,190.25387014571413,183.4868207985228,178.48279780606498,176.35244440422508,180.31650473075058,,153.43165473238435,148.88365899550917,130.20623929321974,133.58418491700752,150.76739067709184,135.99544343402124,124.75392876731955,,143.93456911255376,134.25064548036187,
1,1999-10-13 22:06:00+00:00,209.67628300881265,194.66439524465054,187.00600838340824,177.27329679497115,168.56467966750986,178.4318692168106,184.72175893427774,196.64040061154006,217.39131665178505,229.95858173852017,209.43384662917177,186.75384779040454,176.4751076512907,173.51397866713504,177.45550074842367,172.41426481975782,186.28919513903912,191.20797462492462,175.2646950879123,187.07064315249178,,186.74828895364104,,179.73360775581924,168.69707239224942,,,140.08785262388108,148.0693742268532,,140.03247384356152,125.35271434725229,119.5530507506106,126.97892137133134,141.67875871662667,139.11414780605935,130.60491047382132
2,1999-11-21 22:12:00+00:00,228.06744814781405,222.23612977247518,201.38387283136612,192.9327208886544,193.75104465772782,202.52346484217216,200.30836208239103,230.08698568767673,230.9612300750164,225.9328317374659,,205.24270827591738,,194.93691419561435,200.97604336000433,190.3665319970528,205.48335536514804,196.22501645479798,202.76637228231448,208.7059939353804,210.24989370377557,207.20938365267136,199.65212526339045,190.45054859355736,,,178.1004630243481,170.85850357459387,171.8956970954494,162.04235525244871,152.74536143965477,139.8687899593841,137.0989027378765,140.32558612241087,172.67196326990083,158.37631152643687,156.78368348778292
3,1999-12-16 22:05:57+00:00,220.26032165305068,200.04875491989642,,190.91095176376422,183.75897785613253,191.84275617732246,192.3884317985131,203.1185122668671,207.06721027201064,220.8113610625264,224.6243677438026,,,205.51522389305765,,,,,200.91561559745912,193.76745824015086,195.2403790147418,195.67289784727845,191.6664923258214,192.01917184430982,189.95285529775748,186.02100793152204,169.87004731049754,,,179.40166791289948,,164.10416961752279,144.89319306525837,,,148.30307155693802,
4,2000-04-13 22:11:30+00:00,216.16328057518572,198.027777036115,187.6268433843042,181.79965573500056,179.45873709108952,174.35731561371685,183.2191062684793,184.88200809864853,193.4285972170957,200.77115801663328,189.80144081800407,179.53897179977855,170.71668520527038,179.31836721315662,170.37122183644107,165.6683263421282,168.47460663116777,167.75169478288507,162.02911957424814,190.04122096357003,194.01375505077326,187.7189324715988,191.2606873349088,183.08200763782557,178.35058845760798,183.72411057572097,174.49658671645057,173.52387941623627,178.73860479561583,194.41101978630786,,186.3308594056817,178.22213370688496,,171.82300501610027,160.87036018431922,
5,2000-05-24 22:04:58+00:00,202.77084451209234,189.36307922196949,185.37484559032018,176.90572215352813,167.1530294042192,179.05283739769757,176.4638006513605,191.9959956996091,193.85364755841425,191.5151593042817,181.0941198910456,171.54006175005955,166.3545753693265,166.39442755421413,165.83833520117625,152.8765910925298,,,171.67413988389313,178.49283225394203,181.15417453274705,172.47083383688417,164.00764926764415,162.37262826350766,157.54048880820233,155.82984550410097,157.46042172431726,159.33366574906458,163.3189615524493,160.82782139763128,,180.04215696933457,175.39804483843744,140.3007926461197,,,
6,2000-08-12 22:04:05+00:00,202.5364145922331,194.96784844415276,181.20223344826223,,,,190.49451390680056,,,191.51652948329792,,169.39593646425848,157.74378355811024,165.9421501232333,155.41823357003267,145.06359571386423,,,,,189.15218858273437,170.67406447398807,,157.97536642655018,161.91695868318416,157.1576381628585,157.82450259549606,148.35075234478563,,,144.39752740059814,150.7518886860813,145.58305519940382,,,,
7,2000-08-19 22:10:13+00:00,,,,,,,,,,,,,,,125.73867353888417,,185.53966071877616,,,,169.94801901378196,178.65913129859968,173.19613538905764,169.3367549552639,174.82456691521176,170.73658953148356,156.47853555995215,156.25289695708233,148.2800078895966,166.86134844082514,,157.80232592988455,160.8906467460085,153.21194725956357,155.09441099372668,144.8860074760757,
8,2000-09-13 22:03:38+00:00,209.14958698577126,190.79642915449148,184.05674597108438,178.3046812278505,196.80002030213012,199.81581326927045,173.67673091617166,,,,,,131.59737058455403,176.45353400318984,176.98507794071045,150.1090170413313,,,,,162.7488669899443,177.8132813975272,181.01879134521317,,,161.99912650874018,149.81825650707174,140.34082119406682,,,138.07406498594298,138.67646989660543,131.66599106528548,,,133.13191652597538,146.48343296073224
9,2000-09-20 22:09:39+00:00,,197.9800641195315,,,,,,208.7048371355368,215.9388350194892,,194.98492387644518,176.83988246243126,,,,,170.35180772643898,176.24212421186846,188.36432130342322,193.7376450079359,,179.756702078297,,,156.66022076148334,161.99495401164762,158.63547942531645,150.39437605742202,135.20758465834425,156.2393950182321,,138.59807938534308,129.29343434684515,137.4482934128976,151.24821109127885,137.01837963629617,
