dates,satname,sar2119-0000
1984-05-13 09:39:51+00:00,L5,
1984-06-07 09:34:18+00:00,L5,
1984-06-14 09:40:36+00:00,L5,
1984-06-30 09:40:49+00:00,L5,
1984-09-11 09:36:14+00:00,L5,
1984-10-13 09:36:13+00:00,L5,288.98
1984-10-29 09:36:08+00:00,L5,227.44
1984-12-07 09:42:19+00:00,L5,
1985-01-17 09:36:29+00:00,L5,
1985-04-30 09:42:30+00:00,L5,
1985-06-17 09:42:24+00:00,L5,
1985-07-03 09:42:19+00:00,L5,
1985-07-12 09:36:05+00:00,L5,
1985-07-28 09:35:58+00:00,L5,
1985-08-04 09:42:05+00:00,L5,
1985-08-13 09:35:48+00:00,L5,
1985-08-20 09:41:55+00:00,L5,
1985-08-29 09:35:38+00:00,L5,
1985-09-05 09:41:43+00:00,L5,
1985-09-21 09:41:31+00:00,L5,
1985-10-23 09:41:10+00:00,L5,
1985-12-03 09:34:19+00:00,L5,
1986-01-04 09:33:44+00:00,L5,
1986-01-20 09:33:24+00:00,L5,
1986-03-16 09:38:22+00:00,L5,
1986-03-25 09:32:01+00:00,L5,
1986-05-12 09:30:53+00:00,L5,
1986-05-28 09:30:26+00:00,L5,
1986-07-15 09:28:53+00:00,L5,
1986-07-31 09:28:19+00:00,L5,
1986-08-23 09:33:39+00:00,L5,
1986-09-17 09:26:37+00:00,L5,
1987-01-23 09:26:04+00:00,L5,
1987-03-03 09:33:44+00:00,L5,
1987-03-19 09:34:19+00:00,L5,
1987-04-20 09:35:25+00:00,L5,
1987-04-29 09:29:30+00:00,L5,
1987-05-06 09:35:53+00:00,L5,
1987-05-15 09:29:57+00:00,L5,
1987-05-22 09:36:18+00:00,L5,
1987-06-07 09:36:42+00:00,L5,
1987-06-23 09:37:03+00:00,L5,
1987-07-09 09:37:22+00:00,L5,
1987-07-18 09:31:20+00:00,L5,
1987-07-25 09:37:42+00:00,L5,
1987-08-10 09:38:13+00:00,L5,
1987-08-19 09:32:18+00:00,L5,
1987-08-26 09:38:40+00:00,L5,
1987-09-04 09:32:43+00:00,L5,
1987-09-11 09:39:04+00:00,L5,
1987-09-20 09:33:05+00:00,L5,240.32
1987-10-13 09:39:44+00:00,L5,
1988-01-01 09:41:07+00:00,L5,
1988-01-10 09:35:05+00:00,L5,
1988-01-26 09:35:22+00:00,L5,
1988-02-02 09:41:43+00:00,L5,
1988-02-11 09:35:41+00:00,L5,233.67
1988-03-14 09:36:03+00:00,L5,
1988-04-15 09:36:14+00:00,L5,239.04
1988-04-22 09:42:28+00:00,L5,
1988-05-17 09:36:32+00:00,L5,
1988-06-02 09:36:38+00:00,L5,
1988-06-18 09:36:43+00:00,L5,
1988-07-04 09:36:48+00:00,L5,
1988-07-11 09:43:00+00:00,L5,
1988-07-20 09:36:51+00:00,L5,
1988-07-27 09:43:03+00:00,L5,
1988-08-12 09:43:01+00:00,L5,
1988-08-21 09:36:53+00:00,L5,
1988-08-28 09:43:07+00:00,L5,
1988-09-06 09:36:55+00:00,L5,
1988-09-22 09:36:50+00:00,L5,236.80
1988-12-11 09:36:33+00:00,L5,
1988-12-27 09:36:27+00:00,L5,
1989-01-03 09:42:37+00:00,L5,
1989-01-12 09:36:20+00:00,L5,
1989-01-28 09:36:07+00:00,L5,
1989-03-24 09:41:14+00:00,L5,
1989-04-09 09:41:28+00:00,L5,
1989-04-18 09:35:07+00:00,L5,
1989-06-12 09:40:19+00:00,L5,
1989-06-21 09:33:55+00:00,L5,
1989-07-23 09:33:21+00:00,L5,
1989-08-24 09:32:39+00:00,L5,
1989-09-09 09:32:15+00:00,L5,235.93
1989-09-25 09:31:52+00:00,L5,239.06
1989-10-18 09:37:18+00:00,L5,230.22
1989-10-27 09:30:51+00:00,L5,235.19
1989-11-12 09:30:31+00:00,L5,
1989-11-28 09:30:04+00:00,L5,
1989-12-14 09:29:38+00:00,L5,
1989-12-30 09:29:08+00:00,L5,
1990-01-31 09:28:06+00:00,L5,
1990-02-16 09:27:35+00:00,L5,
1990-03-04 09:27:02+00:00,L5,229.16
1990-04-12 09:32:31+00:00,L5,
1990-04-21 09:26:22+00:00,L5,239.03
1990-05-07 09:26:19+00:00,L5,
1990-05-14 09:32:35+00:00,L5,
1990-06-15 09:32:28+00:00,L5,
1990-06-24 09:26:18+00:00,L5,
1990-07-10 09:26:16+00:00,L5,
1990-07-26 09:26:12+00:00,L5,
1990-08-02 09:32:19+00:00,L5,
1990-08-11 09:26:07+00:00,L5,
1990-08-18 09:32:16+00:00,L5,
1990-09-03 09:32:09+00:00,L5,
1990-09-12 09:25:59+00:00,L5,
1990-09-28 09:25:50+00:00,L5,
1990-11-15 09:25:37+00:00,L5,
1990-12-08 09:31:36+00:00,L5,
1991-01-25 09:32:50+00:00,L5,
1991-02-26 09:33:21+00:00,L5,
1991-03-23 09:27:43+00:00,L5,
1991-03-30 09:33:54+00:00,L5,
1991-05-17 09:34:45+00:00,L5,
1991-05-26 09:28:46+00:00,L5,
1991-06-02 09:35:02+00:00,L5,
1991-06-11 09:28:57+00:00,L5,
1991-06-18 09:35:13+00:00,L5,
1991-06-27 09:29:13+00:00,L5,
1991-07-20 09:35:42+00:00,L5,
1991-07-29 09:29:36+00:00,L5,
1991-08-05 09:35:48+00:00,L5,
1991-08-14 09:29:39+00:00,L5,
1991-08-30 09:29:49+00:00,L5,
1991-09-22 09:36:17+00:00,L5,
1991-10-01 09:30:07+00:00,L5,
1991-10-17 09:30:18+00:00,L5,
1991-10-24 09:36:27+00:00,L5,
1991-11-02 09:30:16+00:00,L5,232.28
1991-11-25 09:36:36+00:00,L5,
1991-12-04 09:30:36+00:00,L5,
1992-01-05 09:30:23+00:00,L5,
1992-01-21 09:30:24+00:00,L5,261.08
1992-02-22 09:30:17+00:00,L5,216.56
1992-03-09 09:30:19+00:00,L5,231.74
1992-04-26 09:29:58+00:00,L5,
1992-05-28 09:29:42+00:00,L5,
1992-06-13 09:29:31+00:00,L5,
1992-06-29 09:29:20+00:00,L5,
1992-07-15 09:29:08+00:00,L5,
