dates,satname,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0011,nzd0477-0012,nzd0477-0013,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034
1999-08-26 22:07:08+00:00,L7,333.70,330.27,332.52,328.94,329.91,337.48,348.46,354.12,349.35,344.89,342.77,349.70,346.92,345.01,346.05,347.64,353.10,357.03,355.37,355.09,351.47,352.66,349.52,352.79,355.91,351.85,349.15,352.56,353.85,360.27,358.68,344.20,341.94,372.69,400.80
1999-11-30 22:06:59+00:00,L7,330.24,308.01,310.10,309.43,315.72,319.37,331.81,333.18,337.80,331.85,327.38,329.14,330.70,325.82,327.87,330.70,334.68,335.05,330.55,328.39,328.54,321.59,318.67,320.06,321.76,319.67,327.99,321.59,328.91,335.35,334.69,322.26,325.79,348.16,384.98
1999-12-16 22:07:33+00:00,L7,330.76,315.32,315.36,313.28,314.37,327.18,328.77,333.29,334.66,339.68,334.35,331.58,328.43,321.83,322.97,329.77,333.43,333.91,330.00,331.33,327.32,326.40,322.31,325.36,321.56,323.31,333.57,332.05,330.84,339.28,337.10,326.37,330.63,347.74,384.52
2000-05-08 22:06:44+00:00,L7,316.89,335.77,335.28,336.43,335.37,339.54,342.58,347.08,353.25,348.40,344.20,338.81,340.39,331.52,329.36,336.15,339.84,340.86,339.11,337.10,334.19,330.89,323.73,329.62,329.03,326.98,341.47,341.25,340.79,346.73,345.81,329.44,326.69,350.91,398.94
2000-05-31 22:12:18+00:00,L7,,,,,,,,,341.86,337.51,334.17,329.93,,,326.18,335.35,335.54,337.06,332.19,326.44,326.75,323.16,317.12,324.96,326.97,328.61,334.60,330.06,328.62,331.12,328.05,318.19,189.39,125.53,146.38
2000-06-25 22:06:19+00:00,L7,318.77,339.56,338.93,334.06,332.44,335.19,337.95,346.05,347.66,350.75,345.83,348.79,343.30,338.80,338.63,343.46,351.00,349.60,340.60,339.12,337.30,338.26,332.44,344.06,339.82,345.24,350.88,348.42,343.80,342.65,346.90,330.61,331.63,372.17,409.36
2000-07-27 22:05:48+00:00,L7,310.38,311.42,310.32,311.59,314.32,330.57,330.44,339.56,341.00,340.28,331.27,335.72,331.73,329.30,333.81,338.67,351.55,352.49,350.46,349.49,349.79,349.39,343.13,346.33,337.51,338.50,342.39,345.70,338.71,348.45,340.61,328.41,328.40,366.68,406.38
2000-08-03 22:11:31+00:00,L7,326.65,325.97,331.03,325.47,321.63,327.10,335.49,341.89,344.55,342.81,339.67,344.12,338.39,341.13,339.19,355.69,358.86,357.40,347.27,346.04,341.90,341.87,338.30,348.28,352.14,346.73,350.53,353.46,351.30,358.43,358.70,331.81,333.68,368.01,398.14
2000-08-12 22:05:41+00:00,L7,355.09,356.78,356.49,351.50,351.58,350.60,358.15,365.22,367.39,368.57,362.18,365.60,362.04,361.78,360.49,368.71,373.38,375.52,367.41,364.02,362.26,359.66,354.33,363.89,363.41,364.92,369.81,370.91,367.12,367.48,362.10,344.30,339.21,354.63,382.95
2000-09-20 22:10:50+00:00,L7,328.52,315.05,314.80,310.45,317.92,320.51,328.58,327.80,332.83,329.43,327.48,337.78,331.27,327.54,326.99,336.90,339.24,341.00,336.72,340.47,330.99,330.71,328.58,337.52,333.27,323.52,335.80,332.75,324.93,315.64,330.34,322.28,315.50,347.86,370.07
