,dates,jap0152-0000,jap0152-0001,jap0152-0002,jap0152-0003,jap0152-0004,jap0152-0005,jap0152-0006,jap0152-0007,jap0152-0008,jap0152-0009,jap0152-0010,jap0152-0011,jap0152-0012,jap0152-0013
0,1984-07-31 00:45:05+00:00,147.3912356564743,160.4307680939265,173.63668761080075,197.39068204758783,212.65103284897432,219.0423593697069,220.78841698306195,218.37497863092327,222.10458285633274,224.97624132824234,228.91585437222628,231.10806254862086,234.61054695159754,217.9212290505303
1,1984-08-09 00:39:12+00:00,149.9923465833908,164.79166768924065,176.60803978893355,194.86336461631245,210.43026886589948,220.22155797944936,225.7047681840511,232.5654430323317,232.37793150218724,230.71433744614023,233.5441998576639,241.42821159290577,244.70540480270606,230.28842218329552
2,1984-08-16 00:45:37+00:00,155.60129188053372,165.91869564479867,177.57135384656135,198.9605685215578,206.41640485033778,182.29991899568307,205.68168185057996,212.76066188509435,198.73110806571552,191.05084484000966,,,,
3,1984-09-17 00:45:56+00:00,142.62489335114824,154.24177516969186,174.2134896116935,188.58988399574065,202.42926736025427,210.64605288679994,214.94550695927714,224.00163644172332,225.38963757220586,228.0791703582994,226.50582040464369,227.6672039597769,232.20070207811736,215.42899090605212
4,1984-11-04 00:45:46+00:00,169.29660493391384,180.11923676885954,196.23245172928162,209.0833740100799,224.2757139166883,226.15657367102204,225.3225691622064,227.46856732745596,227.8683541851588,228.2318774789161,224.0542602299747,224.15422246691307,229.13700032038363,209.1307539505203
5,1985-01-07 00:46:06+00:00,162.23038275270025,171.69841011475242,183.71267861778057,206.46349207503602,215.8430518967209,225.4641457043383,222.8537040257146,225.770480305064,222.95941962078737,224.82605377524996,223.59917725113436,220.16040950262035,222.79210430756868,203.78556206219378
6,1986-01-10 00:43:19+00:00,167.1253706213978,177.5530666435879,193.84663590707794,211.80609723076554,225.83044919288002,228.24127984880036,229.28291002390304,229.47782096924985,226.12494021074997,228.12086240058593,224.75243308498207,226.929874438324,224.6894802646702,205.552832769266
7,1986-04-16 00:41:14+00:00,154.40907553734928,166.21038068496853,172.46619550130447,183.59423200114998,196.59517880776144,211.28888552065817,205.6881621057878,207.97752003005476,213.119585259281,217.84299608076773,223.82625355344416,223.26555135893673,207.00009386840554,197.28759158868135
8,1986-11-10 00:34:29+00:00,154.50879264587547,163.24121467956536,173.97841054284544,193.43761082301853,196.52898603289725,204.75275002321695,211.71719165618137,200.84624570334384,200.71744033270295,194.47814037973913,205.88132277267204,203.90780087444585,206.36842302878665,188.67680149950212
9,1987-01-13 00:35:28+00:00,164.03984577195183,163.69560463242675,189.9203219567318,207.62025598987043,202.94988769997386,210.35802853783,,205.4153774573904,201.6581188394055,209.080313391156,216.43038128145778,206.23517784448137,220.28862781251064,200.07942151925542
10,1987-02-14 00:36:34+00:00,155.45266156442048,169.11613251474336,177.0629627933085,190.57665819833537,204.930429568431,217.551623028405,212.90187166108473,221.37395049968953,216.8535410352872,219.35103665289313,224.19258639960964,223.41776161698743,220.46630665738303,200.96214170463867
11,1987-03-02 00:37:11+00:00,150.37018265197338,161.83333798987707,177.0680404650631,192.18005866173763,195.48868127341728,201.22825922330645,201.98510307878075,206.9753288038779,209.7974267801328,206.74656385506484,210.9534702109259,217.21063601787478,217.33946153629506,196.19573649990207
12,1987-03-18 00:37:47+00:00,146.3781206269412,159.32127184738158,171.37032753359932,182.73012995334636,195.50132432213425,199.580062791969,203.28066741764255,202.28767985864627,204.16936476331952,210.13010853760903,212.63196188041698,214.56483632946245,206.75092195954946,188.17421908131928
13,1987-05-05 00:39:21+00:00,176.6354313210764,186.0972756763393,,197.02901354624078,204.78444274840788,208.4408014175643,201.72763110812426,198.8303640371761,203.63846426564396,208.9554238670452,201.33831628361477,197.06790220391363,194.59569852457588,165.03641636771323
14,1987-05-21 00:39:47+00:00,198.5289271340479,202.9947975651452,214.9799817680181,,227.83782289451477,235.3096104345606,229.9348892732635,224.48302174722954,221.64931167326932,225.6306060876916,221.63439379531277,213.02521850751714,207.107539851137,188.49291218818854
15,1987-06-06 00:40:10+00:00,179.09801823246832,185.15722916045425,197.57112977933355,208.9156186840722,213.2694578300349,220.3895762145505,211.44417017213257,206.51800036640373,204.87309787133879,206.0982728253286,205.1513416775973,195.68576623473845,194.57204509018737,182.94407433310215
16,1987-06-22 00:40:32+00:00,165.96438350016987,,179.7471344766238,190.13305210696785,196.22225423362227,196.373261484092,192.7031198250432,185.98679721352974,191.19289424006314,188.1207198128456,190.31111812351145,191.79713475309913,192.7422443782253,172.54571754814336
17,1987-07-24 00:41:10+00:00,180.5521663930923,,201.68521174790465,,,219.90803373967088,221.87329564632086,218.48048755111736,215.34344269573845,213.73031203801673,210.84311821282228,209.81593447606497,211.76883496230042,190.5050821219125
18,1987-08-09 00:41:41+00:00,177.70209150551815,193.34227271154057,201.0915109020035,,212.61171191864327,219.876478418857,220.10918669735443,215.41654858737442,212.44309492327983,207.98970627484238,204.19907770311897,205.81539913931041,204.81390880609914,182.32409930687368
19,1987-12-15 00:44:22+00:00,146.87817534451955,153.78166190296088,171.28087776274273,177.82757870654012,198.30729790152583,205.1912641816836,204.73177533412058,202.00092453721123,198.30234485494512,198.91455661812677,193.95861568455803,195.8656157757219,189.57804874713952,167.36539316369908
20,1988-11-15 00:46:25+00:00,162.35796558892886,172.15453937970594,183.590327949688,192.39710284281784,203.25369268690696,202.65643030923877,195.61093469166372,195.76873098813527,,,,,,
