dates,satname,nzd0398-0000,nzd0398-0001,nzd0398-0002,nzd0398-0003,nzd0398-0004,nzd0398-0005,nzd0398-0006,nzd0398-0007,nzd0398-0008,nzd0398-0009,nzd0398-0010,nzd0398-0011,nzd0398-0012,nzd0398-0013,nzd0398-0014,nzd0398-0015,nzd0398-0016,nzd0398-0017,nzd0398-0018,nzd0398-0019,nzd0398-0020,nzd0398-0021,nzd0398-0022,nzd0398-0023,nzd0398-0024,nzd0398-0025,nzd0398-0026,nzd0398-0027,nzd0398-0028,nzd0398-0029,nzd0398-0030,nzd0398-0031,nzd0398-0032,nzd0398-0033,nzd0398-0034,nzd0398-0035,nzd0398-0036,nzd0398-0037,nzd0398-0038,nzd0398-0039,nzd0398-0040,nzd0398-0041,nzd0398-0042,nzd0398-0043,nzd0398-0044,nzd0398-0045,nzd0398-0046,nzd0398-0047,nzd0398-0048,nzd0398-0049,nzd0398-0050,nzd0398-0051,nzd0398-0052,nzd0398-0053,nzd0398-0054,nzd0398-0055,nzd0398-0056,nzd0398-0057,nzd0398-0058,nzd0398-0059,nzd0398-0060,nzd0398-0061,nzd0398-0062,nzd0398-0063,nzd0398-0064,nzd0398-0065,nzd0398-0066,nzd0398-0067,nzd0398-0068,nzd0398-0069,nzd0398-0070,nzd0398-0071,nzd0398-0072,nzd0398-0073,nzd0398-0074,nzd0398-0075,nzd0398-0076,nzd0398-0077,nzd0398-0078,nzd0398-0079,nzd0398-0080,nzd0398-0081,nzd0398-0082,nzd0398-0083,nzd0398-0084,nzd0398-0085,nzd0398-0086,nzd0398-0087,nzd0398-0088,nzd0398-0089,nzd0398-0090,nzd0398-0091,nzd0398-0092,nzd0398-0093,nzd0398-0094,nzd0398-0095,nzd0398-0096,nzd0398-0097,nzd0398-0098,nzd0398-0099,nzd0398-0100,nzd0398-0101,nzd0398-0102,nzd0398-0103,nzd0398-0104,nzd0398-0105,nzd0398-0106,nzd0398-0107,nzd0398-0108,nzd0398-0109,nzd0398-0110,nzd0398-0111,nzd0398-0112,nzd0398-0113,nzd0398-0114,nzd0398-0115,nzd0398-0116,nzd0398-0117,nzd0398-0118,nzd0398-0119,nzd0398-0120,nzd0398-0121,nzd0398-0122,nzd0398-0123,nzd0398-0124,nzd0398-0125,nzd0398-0126,nzd0398-0127,nzd0398-0128,nzd0398-0129,nzd0398-0130,nzd0398-0131,nzd0398-0132,nzd0398-0133,nzd0398-0134,nzd0398-0135,nzd0398-0136,nzd0398-0137,nzd0398-0138,nzd0398-0139,nzd0398-0140,nzd0398-0141,nzd0398-0142,nzd0398-0143,nzd0398-0144,nzd0398-0145,nzd0398-0146,nzd0398-0147,nzd0398-0148,nzd0398-0149,nzd0398-0150,nzd0398-0151,nzd0398-0152,nzd0398-0153,nzd0398-0154,nzd0398-0155,nzd0398-0156,nzd0398-0157,nzd0398-0158,nzd0398-0159,nzd0398-0160,nzd0398-0161,nzd0398-0162,nzd0398-0163,nzd0398-0164,nzd0398-0165,nzd0398-0166,nzd0398-0167,nzd0398-0168,nzd0398-0169,nzd0398-0170,nzd0398-0171,nzd0398-0172,nzd0398-0173,nzd0398-0174,nzd0398-0175,nzd0398-0176,nzd0398-0177,nzd0398-0178
1999-08-17 22:12:50+00:00,L7,,,,,,,,,411.03,409.93,401.37,397.13,395.00,393.02,393.42,401.08,412.92,421.67,425.99,410.33,396.60,397.09,392.74,389.16,381.73,382.26,386.32,387.39,389.15,395.60,401.46,405.18,403.27,398.34,388.62,383.04,369.14,364.73,361.73,362.31,353.12,346.62,340.10,344.75,333.08,332.37,334.22,329.86,331.92,330.73,322.23,318.40,319.92,309.36,300.36,293.79,303.57,305.47,305.03,304.98,306.20,314.42,310.67,314.43,307.34,311.80,,,,,,,,,,,,,,,,,,339.07,338.03,344.46,351.37,357.24,348.69,345.43,338.08,337.91,337.33,342.30,348.48,345.64,342.57,336.02,329.97,324.00,317.86,318.79,319.84,317.79,327.48,333.82,344.68,334.54,335.46,335.57,335.66,338.69,338.20,339.37,355.61,351.06,347.53,350.55,353.26,364.15,368.41,372.46,367.35,,,,,,,,,,,,,,,,,,311.95,307.54,309.43,310.90,309.29,304.30,298.87,291.15,284.69,291.50,294.76,287.84,287.05,288.12,288.54,292.69,300.43,304.24,307.70,306.23,308.74,309.04,308.42,300.07,305.63,312.13,311.51,313.84,320.47,339.67,365.47,369.01,376.94,388.08,395.90,386.81,383.94,,
1999-08-26 22:06:44+00:00,L7,224.50,340.74,371.53,374.39,377.25,372.23,374.17,374.24,384.71,388.79,383.01,377.21,377.01,374.85,378.08,387.30,393.39,405.56,412.41,403.42,396.21,385.87,376.73,374.19,367.29,368.31,366.68,371.43,372.23,378.62,380.31,385.27,388.12,381.24,373.81,365.89,356.70,347.72,340.56,335.45,329.22,324.72,322.97,320.54,316.26,315.29,312.19,310.87,309.35,305.27,302.90,299.84,291.33,284.43,282.61,279.88,278.89,279.73,278.10,276.62,280.85,281.05,286.84,283.88,292.80,294.61,294.44,301.09,305.75,314.03,318.63,304.03,292.47,311.06,321.91,317.88,310.71,311.46,309.56,309.94,310.77,308.52,309.48,312.34,312.70,318.53,319.12,321.98,324.58,319.22,319.65,317.95,319.71,326.67,326.29,325.52,320.35,318.71,309.78,305.34,301.63,300.74,301.81,303.71,305.58,310.74,314.83,314.77,314.54,314.48,315.14,312.56,316.01,317.23,321.62,320.94,331.15,328.62,330.26,333.09,337.76,343.75,343.54,339.70,332.46,334.00,334.77,339.68,335.30,333.87,302.92,326.16,327.21,323.64,310.66,298.35,291.00,283.74,279.27,279.81,278.73,275.51,274.86,267.82,272.03,273.52,276.74,277.83,278.25,278.09,276.60,276.96,277.12,270.74,269.94,273.87,276.58,274.19,278.81,282.26,281.28,282.82,279.70,278.35,273.70,270.74,291.74,290.09,290.73,306.74,320.90,339.78,354.30,362.28,363.03,361.56,361.70,371.72,382.78
1999-10-13 22:06:48+00:00,L7,311.96,333.68,354.29,373.80,386.82,388.50,384.39,378.58,391.85,392.93,390.85,385.05,384.37,382.76,383.78,387.59,394.89,398.54,403.48,394.43,389.66,379.10,378.39,377.62,378.48,374.39,375.85,373.45,378.64,374.49,378.95,383.41,387.42,382.84,379.15,376.36,365.66,359.25,360.17,354.56,347.67,344.61,335.60,327.95,322.48,321.14,320.63,316.50,312.17,309.80,308.02,304.11,296.24,298.23,297.98,302.27,303.45,295.22,289.14,286.31,290.01,291.98,296.17,301.68,303.94,309.51,312.32,324.95,322.19,327.62,324.95,332.83,321.20,302.35,326.08,345.25,344.51,329.35,324.68,318.93,323.40,323.30,326.70,329.08,332.18,340.47,344.32,347.90,340.93,335.22,331.35,329.30,332.06,337.43,332.98,332.12,328.97,328.78,325.51,325.28,332.96,329.60,329.42,320.10,312.35,315.52,321.57,324.27,325.06,328.31,328.64,334.72,330.82,340.09,348.63,352.11,349.07,348.64,350.24,354.15,358.22,358.14,361.10,361.02,365.90,364.14,361.22,360.88,339.33,330.35,298.86,326.19,342.50,356.09,339.79,323.42,317.76,308.57,303.56,303.53,303.66,302.01,304.92,304.00,299.15,295.66,288.80,290.08,290.02,287.59,289.03,287.51,287.91,286.67,291.35,292.02,291.61,295.81,297.13,295.86,294.35,273.22,281.75,287.50,288.71,295.16,304.55,308.81,312.15,334.96,360.02,366.26,369.58,378.59,379.89,379.00,382.85,387.48,392.18
1999-12-07 22:12:53+00:00,L7,270.95,307.87,340.60,363.63,367.72,367.31,357.74,357.04,363.81,365.91,367.66,363.03,363.94,364.32,370.33,369.96,377.32,386.62,387.51,384.08,380.24,373.11,370.53,365.52,372.41,374.76,378.27,380.68,380.89,379.85,377.88,379.65,370.24,365.72,358.24,355.36,351.91,341.87,336.89,331.71,325.40,325.47,323.47,318.53,307.08,298.84,295.88,289.17,290.36,289.93,290.93,299.07,301.09,289.70,283.27,278.57,275.78,269.29,268.14,271.41,278.39,273.99,272.75,281.58,282.73,284.53,295.57,295.67,294.49,294.84,267.99,259.51,264.83,290.55,305.22,313.89,314.08,315.04,313.35,307.52,300.92,300.94,297.08,303.52,311.11,327.96,330.61,331.40,328.78,322.77,318.04,313.88,318.64,316.28,314.54,308.67,307.84,302.93,305.62,302.54,301.39,300.90,298.27,297.76,296.89,296.70,296.84,301.03,304.78,306.07,309.45,310.61,314.43,314.71,320.34,325.76,336.53,335.67,338.74,341.84,340.58,345.84,345.28,349.53,349.92,352.46,344.33,337.00,329.97,300.70,,302.98,312.87,311.88,301.66,297.54,289.68,284.97,284.19,282.41,282.04,281.88,277.87,274.15,270.73,274.21,275.99,278.54,273.82,271.70,269.49,271.42,270.88,273.25,271.37,276.05,276.64,283.40,283.44,281.05,276.08,248.36,256.92,259.67,267.24,277.54,277.90,284.01,300.24,307.32,331.85,345.31,360.63,363.81,356.11,353.52,357.03,367.83,378.58
2000-01-17 22:06:35+00:00,L7,278.90,310.66,339.74,365.62,373.39,374.07,371.85,374.84,377.34,382.12,377.35,368.57,364.68,365.06,364.64,373.67,381.02,386.34,395.19,382.61,376.41,376.17,379.57,380.43,376.82,374.80,379.29,380.53,381.24,392.37,395.84,400.64,392.82,384.15,385.11,377.13,368.31,361.95,351.16,342.14,334.78,328.35,323.92,319.26,313.45,306.67,303.66,301.14,299.64,301.55,301.13,301.73,301.97,301.32,295.87,292.74,282.75,280.44,281.15,280.69,278.85,282.52,286.73,292.59,300.92,297.10,308.20,309.62,310.55,311.73,311.85,305.79,282.63,306.74,316.10,322.35,327.26,327.52,330.09,326.54,321.59,315.70,314.00,318.80,319.54,322.87,328.30,334.22,332.06,328.43,328.49,330.16,329.94,326.68,324.67,323.48,316.66,313.43,313.66,315.25,319.48,313.55,310.47,309.04,312.10,312.84,313.03,314.30,318.01,325.56,326.12,328.06,328.15,322.81,324.15,328.68,333.19,333.73,339.36,346.37,350.01,350.96,354.02,353.41,353.68,353.65,350.16,351.73,346.59,342.19,,333.46,332.21,327.40,325.25,321.26,314.31,308.63,302.41,299.27,294.67,296.58,297.83,297.18,286.82,277.11,276.94,279.43,278.69,278.29,276.19,278.28,279.20,277.18,281.98,288.24,286.15,284.80,288.20,289.92,286.13,283.42,269.41,272.64,281.53,292.11,298.14,300.70,300.26,312.86,333.15,341.72,352.25,355.52,351.75,356.54,363.05,378.87,399.63
2000-03-21 22:06:25+00:00,L7,286.43,306.09,327.56,358.35,367.31,370.21,371.86,363.45,382.17,374.20,369.29,368.18,363.96,364.56,362.92,363.54,366.06,378.96,380.57,377.77,370.52,367.69,363.68,363.79,366.47,369.30,373.40,375.32,374.99,372.15,377.36,384.56,384.58,379.18,374.03,365.64,355.55,348.85,333.60,324.74,320.18,317.44,309.73,306.93,305.64,305.62,301.90,299.03,297.02,293.04,287.23,289.95,290.89,290.40,283.60,280.00,277.36,274.51,271.21,273.95,272.47,273.37,273.91,281.89,283.96,288.41,298.24,305.96,310.64,312.49,312.11,321.84,317.57,,314.95,309.57,308.39,308.34,300.94,303.90,300.28,302.22,314.38,317.35,319.56,318.44,323.44,319.05,323.72,321.40,322.34,323.95,321.37,316.62,313.53,312.07,308.42,305.91,305.56,303.14,304.16,303.72,301.37,305.74,307.08,307.85,303.27,296.60,297.77,297.88,298.43,305.43,309.69,312.33,319.75,324.86,328.01,332.68,335.66,339.21,339.58,342.07,343.33,347.55,346.21,344.62,343.25,341.06,336.00,326.25,314.52,,327.25,325.50,321.11,306.74,298.60,290.17,275.56,270.62,268.52,269.05,266.76,268.75,272.53,272.10,274.82,273.56,272.83,270.68,271.50,270.87,270.31,271.36,276.49,277.01,281.49,283.68,286.41,294.90,282.17,255.12,261.77,259.23,259.72,264.04,270.81,281.95,284.42,301.35,323.39,338.93,344.11,354.05,357.19,354.09,358.01,366.24,380.13
2000-04-13 22:12:18+00:00,L7,273.37,315.82,360.15,370.66,366.69,375.17,377.86,382.96,394.42,389.22,383.83,379.08,376.47,374.96,376.60,383.43,389.87,398.13,401.14,394.03,382.21,377.52,373.22,374.53,377.78,376.02,376.85,378.06,384.67,391.10,390.18,390.64,394.94,388.62,384.08,377.75,377.58,376.00,363.38,356.89,351.56,344.05,337.26,329.15,321.04,319.80,318.79,318.12,316.75,318.32,321.67,317.44,310.83,308.39,305.06,300.82,292.77,288.92,285.37,285.48,283.19,283.42,288.57,295.09,305.10,311.97,,,326.92,326.07,336.15,343.73,348.27,344.63,313.19,311.30,333.12,328.19,320.10,315.91,316.95,318.74,324.87,327.63,333.24,335.83,343.19,350.97,347.65,352.98,348.67,342.09,339.60,346.37,344.61,338.90,335.92,330.13,325.99,320.87,315.92,313.62,315.40,312.06,313.93,313.16,314.40,319.02,321.61,326.74,328.62,331.97,335.37,336.58,338.17,342.52,346.62,343.80,348.67,349.99,354.29,358.25,360.57,360.83,361.97,361.64,358.90,357.70,356.37,352.79,,,325.11,342.25,330.27,315.94,310.55,303.69,300.65,300.02,296.51,293.28,287.07,281.72,286.09,285.33,293.70,283.21,290.05,296.32,292.81,285.57,288.90,286.67,286.80,291.56,290.05,287.74,287.26,292.84,300.62,,291.70,282.27,276.37,279.41,285.31,294.86,302.65,318.79,343.32,362.36,373.40,386.02,385.39,385.74,374.67,380.07,391.88
2000-06-25 22:05:31+00:00,L7,284.94,337.18,368.12,398.60,403.16,402.70,403.02,399.10,416.97,420.23,416.14,411.49,408.80,410.46,405.92,406.14,415.27,428.92,437.85,426.08,406.40,400.97,403.39,401.09,401.22,404.19,404.54,406.70,404.64,407.07,406.79,410.60,406.13,401.62,398.33,391.03,382.27,377.13,374.75,368.59,362.30,358.82,356.79,354.39,353.18,348.77,339.03,335.48,333.17,333.05,326.66,325.92,322.18,314.87,311.00,308.61,303.74,301.29,304.80,300.23,302.61,301.21,305.40,305.29,,307.15,,319.30,332.87,338.75,345.51,345.99,359.42,361.39,357.63,358.70,347.27,343.97,344.67,347.32,336.71,339.88,339.22,346.43,342.18,361.03,360.39,360.07,365.58,361.73,358.05,360.64,362.78,359.83,356.13,358.20,353.25,351.35,348.47,348.19,339.92,329.16,328.90,336.33,334.12,331.58,331.44,338.03,338.15,334.22,342.95,347.27,,,362.38,363.40,372.07,365.57,370.40,374.67,375.94,370.64,377.14,375.96,382.44,375.50,371.00,381.92,376.11,365.99,348.67,313.59,,340.96,345.46,337.36,326.50,317.08,310.89,291.39,293.80,300.37,298.08,307.71,295.55,292.25,292.92,293.10,286.14,288.51,288.74,290.83,297.46,285.60,290.03,296.17,294.37,296.27,290.37,290.29,296.79,,283.07,280.01,278.65,287.64,279.04,302.07,288.61,292.48,,325.73,358.34,,,391.62,323.79,366.19,386.15
2000-08-03 22:11:07+00:00,L7,,,,,,,,,,415.92,417.99,413.88,405.48,406.20,407.49,410.59,417.03,421.39,423.76,415.08,414.83,409.95,408.82,402.25,396.81,401.71,403.85,407.45,406.94,409.48,408.29,408.43,410.02,403.24,398.04,393.04,387.19,377.46,374.75,367.89,365.81,358.16,350.83,350.72,347.21,350.78,343.51,331.48,328.26,328.71,323.73,322.29,317.19,307.85,308.61,308.25,303.35,297.69,297.58,299.34,300.75,295.02,293.03,296.24,,314.83,,326.67,341.26,,,336.41,354.54,350.22,352.68,350.71,350.18,345.04,342.38,344.88,341.74,332.11,340.67,345.86,353.59,360.67,368.27,376.50,381.48,382.31,371.91,380.41,379.17,385.36,361.76,360.52,353.02,356.82,352.01,347.57,337.06,329.78,326.05,330.78,325.28,318.64,327.47,336.49,334.28,329.41,332.52,332.21,335.96,346.47,347.81,354.04,354.29,364.02,366.76,374.79,369.89,370.14,375.01,370.78,371.14,,,,,,,,,,,,,,,,306.37,298.68,300.50,293.06,291.52,296.32,300.47,299.18,297.13,303.32,306.10,305.04,298.32,298.62,301.48,302.11,301.39,307.08,307.79,304.80,302.44,306.40,309.89,302.87,289.61,300.01,301.86,301.23,320.47,336.26,353.84,363.04,379.31,396.87,397.18,395.44,403.74,,
2000-08-19 22:11:01+00:00,L7,,,,,,,,,,,,,399.87,400.23,393.48,395.24,408.48,427.45,428.20,416.83,410.32,395.43,391.10,390.18,391.50,394.10,390.51,391.68,390.01,391.60,396.83,401.77,394.98,394.92,391.68,386.74,383.62,371.65,368.78,358.40,352.99,349.68,349.21,343.68,337.20,337.08,333.20,331.20,327.33,321.84,316.81,317.62,310.67,306.70,300.30,296.55,296.34,297.03,298.52,296.53,294.30,290.63,,,,,,,,,,,,,,,,,,329.14,329.47,330.77,335.84,336.92,344.63,354.16,357.64,359.12,365.25,351.66,365.72,359.05,351.51,352.33,356.90,351.74,334.77,336.25,336.64,330.52,324.56,325.60,330.95,323.32,320.98,320.25,327.97,328.86,327.40,330.92,328.55,335.44,335.49,339.31,345.65,346.76,353.57,360.16,368.19,372.02,367.71,362.93,371.27,362.92,363.92,356.92,203.78,,,,,,,,,,,,,,,,,,,,292.80,291.36,291.58,291.62,290.45,293.97,291.98,294.83,297.02,301.81,306.71,297.46,291.96,312.08,309.84,296.84,294.95,286.65,283.69,292.31,295.34,306.01,307.23,318.14,342.76,367.28,375.14,390.91,386.64,379.68,384.06,,
