dates,nzd0398-0000,nzd0398-0001,nzd0398-0002,nzd0398-0003,nzd0398-0004,nzd0398-0005,nzd0398-0006,nzd0398-0007,nzd0398-0008,nzd0398-0009,nzd0398-0010,nzd0398-0011,nzd0398-0012,nzd0398-0013,nzd0398-0014,nzd0398-0015,nzd0398-0016,nzd0398-0017,nzd0398-0018,nzd0398-0019,nzd0398-0020,nzd0398-0021,nzd0398-0022,nzd0398-0023,nzd0398-0024,nzd0398-0025,nzd0398-0026,nzd0398-0027,nzd0398-0028,nzd0398-0029,nzd0398-0030,nzd0398-0031,nzd0398-0032,nzd0398-0033,nzd0398-0034,nzd0398-0035,nzd0398-0036,nzd0398-0037,nzd0398-0038,nzd0398-0039,nzd0398-0040,nzd0398-0041,nzd0398-0042,nzd0398-0043,nzd0398-0044,nzd0398-0045,nzd0398-0046,nzd0398-0047,nzd0398-0048,nzd0398-0049,nzd0398-0050,nzd0398-0051,nzd0398-0052,nzd0398-0053,nzd0398-0054,nzd0398-0055,nzd0398-0056,nzd0398-0057,nzd0398-0058,nzd0398-0059,nzd0398-0060,nzd0398-0061,nzd0398-0062,nzd0398-0063,nzd0398-0064,nzd0398-0065,nzd0398-0066,nzd0398-0067,nzd0398-0068,nzd0398-0069,nzd0398-0070,nzd0398-0071,nzd0398-0072,nzd0398-0073,nzd0398-0074,nzd0398-0075,nzd0398-0076,nzd0398-0077,nzd0398-0078,nzd0398-0079,nzd0398-0080,nzd0398-0081,nzd0398-0082,nzd0398-0083,nzd0398-0084,nzd0398-0085,nzd0398-0086,nzd0398-0087,nzd0398-0088,nzd0398-0089,nzd0398-0090,nzd0398-0091,nzd0398-0092,nzd0398-0093,nzd0398-0094,nzd0398-0095,nzd0398-0096,nzd0398-0097,nzd0398-0098,nzd0398-0099,nzd0398-0100,nzd0398-0101,nzd0398-0102,nzd0398-0103,nzd0398-0104,nzd0398-0105,nzd0398-0106,nzd0398-0107,nzd0398-0108,nzd0398-0109,nzd0398-0110,nzd0398-0111,nzd0398-0112,nzd0398-0113,nzd0398-0114,nzd0398-0115,nzd0398-0116,nzd0398-0117,nzd0398-0118,nzd0398-0119,nzd0398-0120,nzd0398-0121,nzd0398-0122,nzd0398-0123,nzd0398-0124,nzd0398-0125,nzd0398-0126,nzd0398-0127,nzd0398-0128,nzd0398-0129,nzd0398-0130,nzd0398-0131,nzd0398-0132,nzd0398-0133,nzd0398-0134,nzd0398-0135,nzd0398-0136,nzd0398-0137,nzd0398-0138,nzd0398-0139,nzd0398-0140,nzd0398-0141,nzd0398-0142,nzd0398-0143,nzd0398-0144,nzd0398-0145,nzd0398-0146,nzd0398-0147,nzd0398-0148,nzd0398-0149,nzd0398-0150,nzd0398-0151,nzd0398-0152,nzd0398-0153,nzd0398-0154,nzd0398-0155,nzd0398-0156,nzd0398-0157,nzd0398-0158,nzd0398-0159,nzd0398-0160,nzd0398-0161,nzd0398-0162,nzd0398-0163,nzd0398-0164,nzd0398-0165,nzd0398-0166,nzd0398-0167,nzd0398-0168,nzd0398-0169,nzd0398-0170,nzd0398-0171,nzd0398-0172,nzd0398-0173,nzd0398-0174,nzd0398-0175,nzd0398-0176,nzd0398-0177,nzd0398-0178,satname
1999-08-17 22:12:50+00:00,,,,,,,,,400.36,398.50,389.94,386.46,384.33,383.02,383.42,391.67,401.49,411.00,415.99,400.33,387.71,388.67,383.33,379.75,371.73,372.26,374.89,375.08,378.48,384.93,390.03,393.75,390.96,386.91,377.95,373.04,356.83,353.30,350.30,351.64,342.45,335.19,328.67,334.08,323.08,321.70,324.22,319.19,320.49,319.30,310.80,306.97,307.61,297.93,289.69,283.12,292.90,295.47,294.36,294.98,295.53,302.99,299.24,303.76,296.67,300.37,,,,,,,,,,,,,,,,,,328.40,327.36,333.03,340.70,346.57,337.26,334.76,326.65,327.24,325.90,330.87,337.05,333.33,330.26,323.71,317.66,311.69,304.53,306.48,308.41,306.36,316.05,322.39,333.25,323.11,323.15,323.26,324.23,327.26,324.87,324.82,342.28,338.75,336.10,338.24,340.95,352.72,356.10,360.15,355.04,,,,,,,,,,,,,,,,,,297.40,292.99,296.10,297.57,295.96,290.97,286.56,279.72,273.26,280.07,283.33,275.53,274.74,275.81,276.23,281.26,289.00,291.93,295.39,293.92,294.19,293.04,292.42,285.52,289.63,298.80,296.96,297.84,305.92,323.67,350.92,353.01,362.39,373.53,382.57,370.81,366.16,,,L7
1999-08-26 22:06:44+00:00,,360.74,386.53,389.39,397.25,392.23,392.63,390.24,400.71,405.93,400.15,393.21,393.01,389.85,393.08,401.42,410.53,421.56,427.41,418.42,409.54,398.50,390.85,388.31,382.29,383.31,383.82,389.89,388.23,394.62,397.45,402.41,406.58,398.38,389.81,380.89,375.16,364.86,357.70,351.45,345.22,341.86,340.11,336.54,331.26,331.29,327.19,326.87,326.49,322.41,320.04,316.98,309.79,301.57,298.61,295.88,294.89,294.73,294.10,291.62,296.85,298.19,303.98,299.88,308.80,311.75,311.58,321.09,332.42,340.70,345.30,330.70,319.14,,348.58,339.70,329.17,327.46,324.56,324.94,326.77,325.66,326.62,328.34,328.70,335.67,335.12,337.98,341.72,335.22,336.79,333.95,336.85,343.81,343.43,343.98,338.81,337.17,328.24,323.80,321.63,319.20,318.95,320.85,322.72,327.88,331.97,331.91,333.00,332.94,332.28,329.70,336.01,339.05,341.62,339.40,348.29,347.08,348.72,350.23,356.22,362.21,362.00,359.70,349.60,355.82,348.89,361.50,357.12,357.87,322.92,350.16,351.21,343.64,329.12,318.35,309.46,305.56,299.27,299.81,300.55,297.33,294.86,287.82,292.03,293.52,295.20,294.97,295.39,295.23,293.74,295.42,295.58,289.20,288.40,291.01,293.72,292.65,297.27,300.72,303.10,306.82,303.70,300.17,297.70,290.74,313.56,314.09,312.55,330.74,342.72,363.78,376.12,384.10,383.03,385.56,388.37,406.01,422.78,L7
1999-10-13 22:06:48+00:00,306.46,330.01,351.54,371.05,383.15,384.83,381.01,375.65,388.92,389.79,387.71,382.12,381.44,380.01,381.03,385.00,391.75,395.61,400.73,391.68,387.22,376.78,375.80,375.03,375.73,371.64,372.71,370.07,375.71,371.56,375.81,380.27,384.04,379.70,376.22,373.61,362.28,356.11,357.03,351.63,344.74,341.47,332.46,325.02,319.73,318.21,317.88,313.57,309.03,306.66,304.88,300.97,292.86,295.09,295.05,299.34,300.52,292.47,286.21,283.56,287.08,288.84,293.03,298.75,301.01,306.37,309.18,321.28,317.30,322.73,320.06,327.94,316.31,297.46,321.19,341.25,341.13,326.42,321.93,316.18,320.47,320.16,323.56,326.15,329.25,337.33,341.39,344.97,337.79,332.29,328.21,326.37,328.92,334.29,329.84,328.74,325.59,325.40,322.13,321.90,329.29,326.22,326.28,316.96,309.21,312.38,318.43,321.13,321.68,324.93,325.50,331.58,327.15,336.09,344.96,348.73,345.93,345.26,346.86,351.01,354.84,354.76,357.72,357.35,362.76,360.14,358.63,356.88,335.33,325.95,295.19,321.79,338.10,352.42,336.41,319.75,314.38,304.57,299.89,299.86,299.66,298.01,301.25,300.33,295.48,291.99,285.42,286.94,286.88,284.45,285.89,284.13,284.53,283.29,287.97,288.88,288.47,292.43,293.75,292.48,290.35,268.82,277.35,283.50,284.31,291.49,300.55,304.41,308.15,330.56,356.02,361.86,365.58,374.59,376.22,374.60,377.96,381.19,384.85,L7
1999-12-07 22:12:53+00:00,295.95,324.54,353.10,376.13,384.39,383.98,373.12,370.37,377.14,380.20,381.95,376.36,377.27,376.82,382.83,381.72,391.61,399.95,400.01,396.58,391.35,383.64,382.29,377.28,384.91,387.26,392.56,396.06,394.22,393.18,392.17,393.94,385.62,380.01,371.57,367.86,367.29,356.16,351.18,345.04,338.73,339.76,337.76,331.86,319.58,312.17,308.38,302.50,304.65,304.22,305.22,313.36,316.47,303.99,296.60,291.90,289.11,281.79,281.47,283.91,291.72,288.28,287.04,294.91,296.06,298.82,309.86,312.34,316.71,317.06,290.21,281.73,287.05,312.77,327.44,332.07,329.46,328.37,325.85,320.02,314.25,315.23,311.37,316.85,324.44,342.25,343.94,344.73,343.07,336.10,332.33,327.21,332.93,330.57,328.83,324.05,323.22,318.31,321.00,317.92,318.06,316.28,312.56,312.05,311.18,310.99,311.13,315.32,320.16,321.45,323.74,324.90,331.10,332.89,337.01,341.14,350.82,351.05,354.12,356.13,355.96,361.22,360.66,366.20,364.21,370.64,356.09,355.18,348.15,320.70,,322.98,332.87,328.55,317.04,314.21,305.06,303.15,300.86,299.08,300.22,300.06,294.54,290.82,287.40,290.88,291.37,292.83,288.11,285.99,283.78,286.80,286.26,288.63,286.75,290.34,290.93,298.78,298.82,296.43,294.26,268.36,276.92,277.85,287.24,294.21,296.08,304.01,318.42,327.32,350.03,365.31,378.81,381.99,372.78,373.52,379.25,396.40,411.91,L7
2000-01-17 22:06:35+00:00,290.90,318.66,345.74,371.62,381.39,382.07,379.23,381.24,383.74,388.98,384.21,374.97,371.08,371.06,370.64,379.32,387.88,392.74,401.19,388.61,381.74,381.22,385.22,386.08,382.82,380.80,386.15,387.91,387.64,398.77,402.70,407.50,400.20,391.01,391.51,383.13,375.69,368.81,358.02,348.54,341.18,335.21,330.78,325.66,319.45,313.07,309.66,307.54,306.50,308.41,307.99,308.59,309.35,308.18,302.27,299.14,289.15,286.44,287.55,286.69,285.25,289.38,293.59,298.99,307.32,303.96,315.06,317.62,321.22,322.40,322.52,316.46,293.30,317.41,326.77,331.08,334.64,333.92,336.09,332.54,327.99,322.56,320.86,325.20,325.94,329.73,334.70,340.62,338.92,334.83,335.35,336.56,336.80,333.54,331.53,330.86,324.04,320.81,321.04,322.63,327.48,320.93,317.33,315.90,318.96,319.70,319.89,321.16,325.39,332.94,332.98,334.92,336.15,331.54,332.15,336.06,340.05,341.11,346.74,353.23,357.39,358.34,361.40,361.41,360.54,362.38,355.81,360.46,355.32,351.79,,343.06,341.81,335.40,332.63,329.26,321.69,317.36,310.41,307.27,303.40,305.31,305.83,305.18,294.82,285.11,284.32,286.29,285.55,285.15,283.05,285.66,286.58,284.56,289.36,295.10,293.01,292.18,295.58,297.30,294.86,293.02,279.01,281.37,291.13,300.11,306.87,310.30,308.99,322.46,341.88,351.32,360.98,364.25,359.75,366.14,373.72,392.58,415.63,L7
2000-03-21 22:06:25+00:00,302.68,316.92,335.69,366.48,378.14,381.04,381.86,372.12,390.84,383.49,378.58,376.85,372.63,372.69,371.05,371.19,375.35,387.63,388.69,385.89,377.74,374.53,371.33,371.44,374.60,377.43,382.69,385.32,383.66,380.82,386.65,393.85,394.58,388.47,382.70,373.76,365.55,358.14,342.89,333.41,328.85,326.73,319.02,315.60,313.76,314.29,310.02,307.70,306.31,302.33,296.52,299.24,300.89,299.69,292.27,288.67,286.03,282.63,279.88,282.07,281.14,282.66,283.20,290.56,292.63,297.70,307.53,316.79,325.08,326.93,326.55,336.28,332.01,,329.39,321.39,318.39,317.01,309.06,312.02,308.95,311.51,323.67,326.02,328.23,327.73,332.11,327.72,333.01,330.07,331.63,332.62,330.66,325.91,322.82,322.07,318.42,315.91,315.56,313.14,314.99,313.72,310.66,315.03,316.37,317.14,312.56,305.89,307.77,307.88,307.72,314.72,320.52,324.15,330.58,334.86,337.30,342.68,345.66,348.50,349.58,352.07,353.33,358.38,355.50,356.44,350.90,352.88,347.82,339.25,325.35,,340.25,336.33,331.11,317.57,308.60,301.99,286.39,281.45,280.34,280.87,277.59,279.58,283.36,282.93,284.82,282.85,282.12,279.97,280.79,280.87,280.31,281.36,286.49,286.30,290.78,293.68,296.41,304.90,293.99,268.12,274.77,271.05,272.72,274.87,282.63,294.95,296.24,314.35,335.21,351.93,355.93,365.87,368.02,367.09,372.45,384.81,401.80,L7
2000-04-13 22:12:18+00:00,276.62,317.99,361.77,372.29,368.86,377.34,379.86,384.69,396.15,391.08,385.69,380.81,378.20,376.58,378.23,384.96,391.73,399.86,402.76,395.65,383.65,378.89,374.75,376.06,379.40,377.64,378.71,380.06,386.40,392.83,392.04,392.50,396.94,390.48,385.81,379.38,379.58,377.86,365.24,358.62,353.29,345.91,339.12,330.88,322.67,321.53,320.42,319.85,318.61,320.18,323.53,319.30,312.83,310.25,306.79,302.55,294.50,290.55,287.10,287.11,284.92,285.28,290.43,296.82,306.83,313.83,,,329.81,328.96,339.04,346.62,351.16,347.52,316.08,313.66,335.12,329.92,321.73,317.54,318.68,320.60,326.73,329.36,334.97,337.69,344.92,352.70,349.51,354.71,350.53,343.82,341.46,348.23,346.47,340.90,337.92,332.13,327.99,322.87,318.09,315.62,317.26,313.92,315.79,315.02,316.26,320.88,323.61,328.74,330.48,333.83,337.54,338.94,340.34,344.52,348.48,345.80,350.67,351.85,356.29,360.25,362.57,363.00,363.83,364.00,360.43,360.06,358.73,355.39,,,327.71,344.42,332.27,318.11,312.55,306.05,302.82,302.19,298.87,295.64,289.24,283.89,288.26,287.50,295.70,285.07,291.91,298.18,294.67,287.57,290.90,288.67,288.80,293.42,291.91,289.74,289.26,294.84,302.98,,294.30,284.63,278.97,281.58,287.67,297.46,305.01,321.39,345.68,364.96,375.76,388.38,387.56,388.34,377.56,383.78,396.21,L7
2000-06-25 22:05:31+00:00,268.69,326.35,360.00,390.48,392.33,391.87,393.02,390.43,408.30,410.94,406.85,402.82,400.13,402.33,397.80,398.49,405.98,420.25,429.73,417.95,399.18,394.13,395.74,393.44,393.10,396.06,395.25,396.70,395.97,398.40,397.50,401.31,396.13,392.33,389.66,382.90,372.27,367.84,365.46,359.92,353.63,349.53,347.50,345.72,345.06,340.10,330.90,326.81,323.88,323.76,317.37,316.63,312.18,305.58,302.33,299.94,295.07,293.17,296.13,292.11,293.94,291.92,296.11,296.62,,297.86,,308.47,318.43,324.31,331.07,331.55,344.98,346.95,343.19,346.88,337.27,335.30,336.55,339.19,328.04,330.59,329.93,337.76,333.51,351.74,351.72,351.40,356.29,353.06,348.76,351.97,353.49,350.54,346.84,348.20,343.25,341.35,338.47,338.19,329.09,319.16,319.61,327.04,324.83,322.29,322.15,328.74,328.15,324.22,333.66,337.98,,,351.55,353.40,362.78,355.57,360.40,365.38,365.94,360.64,367.14,365.13,373.15,363.68,363.35,370.10,364.29,352.99,337.84,300.59,,330.13,335.46,326.53,316.50,305.26,300.06,280.56,281.98,288.55,287.25,296.88,284.72,281.42,282.92,283.81,276.85,279.22,279.45,280.83,287.46,275.60,280.03,286.88,285.08,286.27,280.37,280.29,284.97,,270.07,268.19,265.65,276.81,267.22,289.07,276.79,,,,346.52,,,378.62,,347.62,364.48,L7
2000-08-03 22:11:07+00:00,,,,,,,,,,408.78,410.85,407.21,398.81,399.95,401.24,404.71,409.89,414.72,417.51,408.83,409.27,404.69,402.94,396.37,390.56,395.46,396.71,399.76,400.27,402.81,401.15,401.29,402.33,396.10,391.37,386.79,379.50,370.32,367.61,361.22,359.14,351.02,343.69,344.05,340.96,344.11,337.26,324.81,321.12,321.57,316.59,315.15,309.50,300.71,301.94,301.58,296.68,291.44,290.91,293.09,294.08,287.88,285.89,289.57,,307.69,,318.34,330.15,,,325.30,343.43,339.11,341.57,341.62,342.49,338.37,336.13,338.63,335.07,324.97,333.53,339.19,346.92,353.53,361.60,369.83,374.34,375.64,364.77,373.74,372.03,378.22,354.62,352.83,345.33,349.13,344.32,339.88,328.73,322.09,318.91,323.64,318.14,311.50,320.33,329.35,326.59,321.72,325.38,325.07,327.63,337.38,339.48,346.35,347.15,356.33,359.07,367.65,362.20,362.45,367.32,362.45,364.00,,,,,,,,,,,,,,,,297.28,289.59,292.17,284.73,283.19,287.99,292.78,292.04,289.99,296.18,298.96,297.35,290.63,290.93,293.79,294.97,294.25,299.39,300.10,297.11,293.35,296.40,299.89,293.78,279.61,291.68,292.77,291.23,311.38,326.26,344.75,353.04,370.22,387.78,388.85,385.44,392.63,,,L7
2000-08-19 22:11:01+00:00,,,,,,,,,,,,,394.40,395.11,388.36,390.42,402.62,421.98,423.07,411.70,405.76,391.11,386.28,385.36,386.38,388.98,384.65,385.37,384.54,386.13,390.97,395.91,388.67,389.06,386.21,381.62,377.31,365.79,362.92,352.93,347.52,343.82,343.35,338.21,332.07,331.61,328.07,325.73,321.47,315.98,310.95,311.76,304.36,300.84,294.83,291.08,290.87,291.90,293.05,291.40,288.83,284.77,,,,,,,,,,,,,,,,,,324.01,324.00,324.91,329.98,331.45,339.16,348.30,352.17,353.65,359.39,346.19,359.86,353.58,345.65,346.47,351.04,345.43,328.46,329.94,330.33,324.21,317.73,319.29,325.09,317.46,315.12,314.39,322.11,323.00,321.09,324.61,322.69,329.58,328.66,331.86,338.82,340.45,347.71,353.85,361.88,366.16,361.40,356.62,364.96,356.09,358.06,349.47,,,,,,,,,,,,,,,,,,,,,286.49,285.50,285.72,285.76,284.59,287.66,285.67,288.52,290.71,295.95,300.85,291.15,285.65,305.77,302.39,288.64,286.75,279.20,275.49,285.48,287.89,297.81,299.78,309.94,335.31,359.08,367.69,383.46,379.81,371.48,374.95,,,L7
