dates,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054,satname
1999-08-17 22:12:50+00:00,,,,,,,,,,,,,,,,,,357.15,357.98,351.37,345.08,336.56,332.50,341.43,350.21,356.65,362.92,368.30,379.54,383.54,368.06,361.72,362.17,361.32,,,,397.68,,412.00,415.70,408.50,404.22,396.02,397.59,391.27,389.64,387.69,391.30,390.22,391.05,391.94,,,,L7
1999-11-05 22:12:52+00:00,280.07,272.44,265.01,264.58,261.66,260.37,278.87,291.21,291.40,306.14,318.23,,,326.22,324.93,318.46,313.61,337.70,340.21,337.03,340.35,333.72,339.41,336.41,346.26,349.52,355.81,363.85,364.22,364.48,353.31,351.09,352.13,345.93,332.23,340.74,343.84,378.73,357.84,395.05,399.62,395.99,389.61,384.26,380.48,377.28,375.45,373.88,376.88,378.21,380.81,378.60,355.29,338.93,347.96,L7
1999-11-21 22:12:47+00:00,280.99,277.03,265.42,261.99,258.41,264.07,283.77,294.55,302.25,321.99,336.84,360.41,364.08,343.77,341.80,329.57,322.94,334.58,337.20,334.30,338.16,335.75,340.21,340.77,350.48,351.95,357.60,362.62,360.61,359.75,351.94,352.97,354.14,348.00,341.90,347.25,349.10,374.52,362.76,392.45,395.66,394.55,387.33,381.93,376.66,375.44,373.04,373.83,373.73,377.31,380.76,376.72,356.15,346.62,355.36,L7
1999-12-07 22:12:53+00:00,288.69,283.25,272.88,265.10,261.46,271.40,288.60,300.47,309.33,325.91,342.61,363.38,367.56,353.49,350.12,338.82,330.61,338.66,340.60,338.53,341.16,342.41,347.39,348.54,354.70,358.96,363.71,366.69,363.36,361.11,355.52,358.24,358.71,352.75,347.89,351.14,354.72,375.14,369.01,394.97,397.65,395.23,389.05,383.22,377.26,375.81,373.95,375.24,375.35,378.95,383.12,378.61,362.93,356.54,361.71,L7
2000-02-09 22:12:43+00:00,284.61,283.49,278.09,272.02,269.34,276.18,290.34,299.91,306.49,324.01,341.39,354.86,362.85,355.78,356.28,345.56,338.20,341.64,344.13,340.60,344.07,345.60,350.36,352.76,361.81,366.43,371.89,374.59,369.37,366.59,362.04,363.93,365.87,362.06,362.68,367.58,368.53,381.18,374.37,397.27,402.10,400.04,394.74,387.40,381.64,382.12,380.30,378.90,379.29,382.43,386.00,383.49,373.56,365.96,370.73,L7
2000-04-13 22:12:18+00:00,282.70,282.75,280.36,277.02,276.98,280.64,292.51,299.82,302.79,318.07,336.63,347.25,357.41,355.31,357.04,349.64,341.80,341.31,341.99,340.29,347.41,352.38,360.12,360.59,367.74,375.27,382.54,383.88,375.31,372.30,369.80,370.27,371.16,367.18,367.55,371.32,371.89,378.96,379.05,398.24,403.23,401.96,397.56,390.70,383.95,386.10,384.41,384.14,383.09,385.40,387.44,384.58,377.67,370.85,374.78,L7
2000-05-15 22:12:06+00:00,283.36,285.33,284.20,280.13,280.81,285.71,296.71,303.68,305.35,318.09,334.69,342.56,353.79,359.44,361.19,356.20,347.74,347.74,346.60,342.74,350.42,356.60,360.83,366.12,373.14,382.77,389.16,389.29,382.14,377.68,376.75,378.12,378.83,376.30,376.68,377.61,379.67,381.59,383.19,402.17,408.14,407.91,403.47,397.17,389.47,391.73,388.73,388.64,388.57,389.90,391.40,387.59,380.05,379.28,381.43,L7
2000-05-31 22:11:54+00:00,284.73,286.56,290.32,287.04,289.36,291.69,298.72,305.13,298.02,303.95,319.92,330.16,341.16,351.50,361.82,360.08,351.61,352.59,350.46,346.21,354.58,360.80,365.59,370.29,376.70,389.26,396.15,396.58,389.32,376.87,375.03,383.46,384.00,382.34,382.96,383.58,386.00,385.46,387.06,405.89,408.39,411.97,408.64,402.14,394.57,403.47,393.86,392.37,393.85,393.50,394.09,391.24,385.80,385.52,386.09,L7
2000-08-03 22:11:07+00:00,283.26,281.45,285.16,290.83,297.76,297.29,301.03,302.75,295.33,297.88,310.22,315.98,328.44,341.62,359.84,360.08,352.27,349.99,348.60,347.18,354.58,360.34,365.20,371.98,384.08,396.01,403.52,402.47,395.23,379.79,377.22,386.61,387.85,387.45,390.66,391.80,392.69,388.27,388.92,407.02,409.58,416.88,413.46,407.15,399.75,410.10,399.57,396.67,401.27,395.55,393.82,393.66,391.80,390.82,393.63,L7
2000-08-19 22:11:01+00:00,286.29,279.16,279.46,278.53,286.07,293.68,301.57,306.06,297.21,290.91,300.12,306.50,317.25,330.07,346.64,350.52,344.83,345.44,344.77,349.50,356.48,365.01,369.28,376.63,384.06,395.39,405.66,406.18,403.85,388.03,383.96,390.81,381.00,377.93,380.83,377.75,384.61,383.45,392.24,407.36,410.02,425.04,422.24,422.68,400.04,418.71,396.52,398.24,412.50,395.12,392.80,390.12,389.76,391.70,393.38,L7
