dates,satname,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
2000-11-07 22:10:17+00:00,L7,273.54,250.53,238.08,225.48,236.92,244.16,268.75,274.82,273.80,260.47,259.34,264.20,272.75,280.09,296.50,305.94,321.51,328.90,341.39,320.03,300.18,290.84,296.14,309.92,327.82,346.47,365.90,374.55,379.65,380.15,383.47,379.22,379.67,386.68,389.81,389.59,392.64,404.16,418.65,430.55,432.38,436.49,438.33,436.69,399.82,385.79,383.84,379.61,379.78,380.51,374.55,370.72,378.21,367.63,370.87
2001-01-10 22:10:27+00:00,L7,322.61,,230.13,216.35,223.69,252.78,266.56,270.93,271.56,260.17,271.37,263.23,263.00,257.83,268.29,260.70,275.46,294.71,306.26,308.44,317.99,327.24,330.77,323.22,324.18,327.28,345.22,342.71,343.67,345.62,347.41,351.63,351.69,360.23,369.42,381.34,391.81,399.35,417.48,424.47,434.01,433.80,440.18,441.65,439.46,440.11,410.58,416.34,379.56,358.60,354.03,348.54,341.92,337.24,357.09
2001-01-26 22:10:30+00:00,L7,321.67,314.63,309.51,301.70,,242.77,264.28,270.90,270.52,257.39,260.85,267.57,277.54,285.62,288.55,267.85,262.67,272.74,282.39,294.46,313.06,330.56,343.79,342.94,346.80,349.37,342.93,329.46,332.93,333.97,339.08,343.00,350.22,357.06,361.20,366.51,373.73,395.17,408.00,412.61,417.25,426.89,429.03,428.74,431.98,431.36,425.95,419.68,414.64,408.94,387.36,385.91,369.69,353.22,347.65
2001-02-27 22:10:18+00:00,L7,350.21,325.48,327.71,332.25,337.14,308.07,293.35,302.90,301.35,287.70,295.27,296.98,289.49,286.30,290.24,283.41,290.18,306.28,319.89,323.00,334.39,338.23,348.57,353.83,364.89,369.29,380.51,377.83,373.28,371.25,372.08,373.55,374.09,381.07,392.34,400.78,410.58,422.79,434.06,442.14,446.22,447.88,447.49,448.47,450.60,450.47,443.91,440.81,441.06,434.22,431.07,428.56,422.75,425.37,430.70
2001-03-15 22:10:15+00:00,L7,348.45,321.98,315.52,324.43,323.98,328.09,320.61,314.98,304.61,292.68,283.19,287.64,288.42,299.36,297.63,285.05,281.57,293.24,299.14,311.26,317.46,334.25,350.89,365.16,364.95,363.04,377.09,377.70,371.62,373.25,375.53,376.08,378.87,388.84,394.83,400.75,412.16,416.98,427.93,438.34,445.07,446.17,443.53,441.25,437.25,441.04,434.24,432.94,429.33,432.03,432.41,428.38,425.70,428.39,429.33
2001-03-31 22:10:07+00:00,L7,382.95,,,328.85,337.85,300.54,304.56,327.36,323.52,318.77,317.64,322.56,314.04,318.07,323.38,320.24,300.44,299.14,318.34,320.41,314.68,324.48,347.17,356.96,362.93,368.47,376.82,390.19,388.40,381.17,384.17,395.29,395.76,375.81,388.50,397.31,410.53,423.12,430.85,440.35,442.44,449.18,449.88,450.20,448.32,446.48,443.42,440.33,441.34,438.20,439.83,440.43,433.38,434.88,446.12
2001-05-02 22:10:03+00:00,L7,362.92,,354.67,358.94,362.76,352.61,293.15,298.29,296.65,282.86,281.58,281.79,284.91,295.60,293.61,297.80,294.80,297.74,300.38,312.14,323.47,335.64,350.63,351.28,358.38,356.98,357.39,355.72,352.70,351.98,350.63,353.76,357.35,364.16,368.51,375.55,384.93,395.21,406.41,405.37,413.19,413.24,413.76,409.72,405.56,402.87,405.13,397.28,394.07,394.76,382.24,388.47,394.83,394.16,410.35
2001-06-03 22:09:40+00:00,L7,366.78,357.20,334.41,313.72,303.79,312.82,319.56,322.05,309.34,320.21,312.89,300.10,304.04,291.41,300.29,290.03,281.53,293.46,293.20,297.10,300.23,305.19,326.34,341.61,362.09,367.58,377.19,378.44,354.20,359.47,344.84,351.77,351.66,353.91,348.64,349.71,366.30,376.41,385.19,393.50,397.75,396.08,406.67,400.17,396.51,391.16,387.39,381.36,383.53,384.86,374.93,371.03,382.44,380.02,391.85
2001-09-07 22:08:34+00:00,L7,445.12,322.58,321.80,317.65,319.75,325.44,335.22,341.33,346.01,323.26,315.22,326.37,335.55,347.99,327.25,284.17,275.59,272.38,281.19,288.44,299.35,307.21,319.28,336.95,345.12,355.73,372.65,369.36,366.05,367.31,365.95,372.22,377.31,380.22,386.02,390.56,397.42,408.80,417.94,421.16,431.15,428.65,438.61,430.42,425.37,412.23,399.25,394.50,391.44,390.71,389.22,381.66,387.78,391.63,402.26
2001-09-23 22:08:26+00:00,L7,426.94,433.76,,,281.77,290.98,295.35,313.58,312.80,331.48,328.71,314.76,309.39,320.50,338.61,337.29,340.71,,277.93,281.93,291.94,303.86,315.20,330.12,339.60,348.53,365.30,367.14,363.73,366.91,361.30,358.64,360.93,368.77,373.41,379.08,391.82,400.07,410.76,420.81,423.81,420.03,425.24,429.71,431.46,430.12,424.08,415.79,407.02,402.93,391.19,388.64,391.31,389.16,394.26
