dates,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
1999-08-17 22:12:50+00:00,,,,,,,,,,,,,,,,,,155.68752785622283,,,,136.58156017752034,128.84064938874477,137.8633417139769,147.44423592420807,154.18559736528965,155.3912123516462,159.52084670133678,169.01002626332826,170.63034939230238,153.44460982615215,151.60616182942786,149.73982954677803,152.24954261950694,168.1472136247682,167.87695064818405,180.16710992815584,185.54453543739805,195.79941523357067,203.05219299821385,205.25136021451996,200.61637409954028,196.9030199300973,189.37949407140462,181.64171354296448,186.94892431628134,181.5022153658026,177.15264644091295,179.4711898846965,182.27128379095944,181.98070906315064,183.63409274106257,186.69754694933863,191.55195119790366,191.20349149885206
1999-11-05 22:12:52+00:00,,,,,,,,,92.4940865012882,102.5887320622304,117.86265228027563,,,,,,,112.45728735611003,,,,124.66608932525624,141.99839920129895,128.6158342344146,141.1766036821731,137.93068952966763,146.64442853704097,163.66416106067257,156.75273877955476,152.64848001466285,148.36323255285808,143.34436852812377,146.3741721538594,133.99923689012675,135.91438456293693,146.69662989546202,150.63146981264308,164.82231841753224,164.36692855096038,180.32638425487343,187.6387765464416,185.6944607146984,175.40655868152552,172.7304123932484,172.0508183328751,162.01368863769173,163.81185580515557,167.87668958322374,172.4632935836842,169.1297153423913,173.1616895640875,170.54722867818657,166.73919412588074,148.55672644840195,163.6299008912372
1999-11-21 22:12:47+00:00,,,,,,,,,115.08545757846376,132.92774372254127,154.28048653862453,,,,,,,122.53792155845214,,,,131.9018730162131,136.2052361680123,145.551899064795,158.7926114451431,152.06114464065513,160.09010354794466,165.75728750654866,163.22660488511139,160.5459610165274,161.560635264028,162.1223026419711,163.75868015043136,157.02601903001718,156.1705634079828,162.4552198509976,163.43110497455717,173.0947024582458,175.07240201350186,190.6343174407917,193.58428339794756,194.10958495379887,184.03439569294056,178.57362815450466,180.57254867971503,170.75973750374553,171.54332063115808,183.91820530152802,180.01213613821815,179.30983407136816,185.20933164143352,179.69142584010484,171.61302689256524,165.85660445010132,183.45652130453664
1999-12-07 22:12:53+00:00,,97.66552287788299,86.6991818521459,69.69385914808745,,85.52884896718875,,,122.05069365596029,129.005485297068,150.92735311206087,,,,,,,145.9922761849812,,,,154.75609669538062,161.67466634545193,166.47546419150672,164.7654341150132,174.71299187865844,178.45285684824603,181.6211836684154,176.33663050057748,169.79598075449033,173.68328621716248,174.9448454456897,174.89770578952874,168.62627791805417,161.63172882071171,163.40169358372222,169.68659461863834,180.4641654774578,183.29684633539566,201.74183732709517,207.05339378237204,197.49242053451272,192.8701302974665,186.99848242937182,185.95085896104396,174.03301121428515,177.0132120397766,185.9755585557881,186.92238244335462,184.68299698362028,191.63398156878014,187.74045571583207,184.86566833754958,182.71805897951117,187.25598676960576
2000-02-09 22:12:43+00:00,,80.1810611806156,91.69093575603361,91.84665235695896,92.51219109787094,87.35340447309288,,,98.00326008837291,114.22022746092732,134.87304852104023,,,,,,,152.56087276935372,,,,159.00807783544587,161.85381301357054,165.67280989363945,187.01579045084037,195.49395605984594,203.6338725345534,201.9690043392514,188.53479548909084,182.53068305928778,180.86275408669826,182.26530508077286,190.0274983935493,194.8265423418045,202.06152772800257,212.31466025755304,202.65230818132807,200.74458016132036,186.10746199038823,202.28464615113475,215.54054617970755,214.16398256285197,214.11682316062897,200.65533565987184,193.01080493144306,205.71632808075947,202.73370764318886,187.64514986954924,189.12569985652172,193.32758960180504,195.1258351133972,198.7890996292693,199.14180154221654,188.13274409289994,188.58944136136682
2000-04-13 22:12:18+00:00,,72.85174948981793,82.45509985129196,88.51044759315694,92.39880223552153,79.7254958022977,,,83.56074643288545,89.13205011064291,111.0477697075417,,,,,,,145.8623074402941,,,,162.2031848624262,163.69649133774465,170.87984410514153,172.76234818029846,190.05702012495496,206.51037899421615,206.12833819061157,201.75246440315397,199.27937648705918,198.62353565972438,189.46876560397226,182.89863227349272,177.42304653391696,176.4402366402887,182.81334727277658,180.5816342269562,182.7816558462848,192.40786848192008,211.9178996016539,217.3412040362096,212.43347042637805,211.90095403941982,204.88577762419504,200.13932581519788,203.30762950189254,204.3019235050183,208.2202738765268,208.9160733243069,199.17583952448746,191.24120996730858,191.9286672458382,186.88373335857622,186.55745267994536,189.22789198144682
2000-05-15 22:12:06+00:00,,,,,,,,,100.46277036525808,97.61054098584026,101.45789583374861,,,,,,,138.71328168049064,,,,138.61520518006557,141.08618706778122,151.18017224338388,163.47350177840897,166.5282225738114,172.465461875634,185.8213302570189,185.23238926269437,173.15226320714092,174.1020439793649,176.9718454646104,175.94974874159126,170.35877584894519,175.94733103573355,171.73910256983646,183.80566386134163,172.7220421394569,178.9842228149577,195.45211097610255,206.83620046453254,208.1467593436239,202.5325137995783,202.11826637321866,194.74823014439818,184.71780120117876,181.44236041706517,185.2745739623789,194.8190625299436,183.7675221472217,182.48951637597943,177.71152762984826,171.45240656727876,181.25523172822508,190.21614650997265
2000-05-31 22:11:54+00:00,,,,,,,,,,,76.88613637071325,,,,,,,,,,,,,,,,130.10814833480939,,,131.5386449379494,,,,124.48519507373688,,,,,,,191.85603835837952,206.67576756732808,218.6331095925005,206.65160182152937,236.705776823205,217.2821558688008,220.11724876382132,206.09245471140355,208.0617033794956,183.67054027459304,,198.52090521163126,,,
2000-08-03 22:11:07+00:00,,74.39595740190174,66.23554600296711,76.53959843292431,84.17590534037878,97.61170215176338,,,102.46290958667021,100.31849045591748,99.19624557173414,,,,,,,135.4849678810144,,,,159.8549685275063,164.3807456936254,175.88948468149582,188.32163778419456,202.77819764951204,204.03939038855933,,,,,,,,,,,,,,,,,,,,,,198.5055774972249,190.38921478896668,183.41778346501425,186.4419958453986,189.6290017059304,188.2279967286871,190.6925094501648
2000-08-19 22:11:01+00:00,,72.4054866286821,70.48183983777464,52.20218864242555,55.90901712359031,74.68110038769464,,,104.2819425848089,81.92517735090416,85.21339125639702,,,,,,,132.8362510536085,,,,166.04045462699384,175.089105592716,182.40093264090135,186.07013297366973,192.17000287789946,210.4547501623392,212.72586216099356,211.4422543077529,214.164845401632,208.0336808866218,188.54720760188317,167.80049525271755,164.11603411570422,172.5846750116282,169.00467817066033,178.95177987744384,184.24867154176707,191.4030394653128,202.0927657760645,213.48763224193448,,,,,,,,,190.15462080586042,192.52118897206236,183.49089127776,189.77307387185067,191.82732306876775,186.72208773101227
