dates,satname,nzd0187-0000,nzd0187-0001,nzd0187-0002,nzd0187-0003,nzd0187-0004
1999-08-26 22:05:08+00:00,L7,,,,,
1999-09-27 22:05:12+00:00,L7,250.76,176.90,259.23,278.46,271.09
1999-11-14 22:05:06+00:00,L7,348.09,354.68,351.09,352.96,354.34
2000-01-01 22:05:01+00:00,L7,316.92,331.70,339.10,338.80,342.31
2000-02-18 22:04:53+00:00,L7,273.22,273.94,282.00,285.66,290.00
2000-05-08 22:04:21+00:00,L7,300.48,319.51,333.55,343.68,606.39
2000-05-24 22:04:10+00:00,L7,,,,,
2000-07-04 21:57:38+00:00,L7,,,,,
2000-07-11 22:03:41+00:00,L7,,,380.83,384.14,
2000-08-05 21:57:08+00:00,L7,340.36,336.19,303.35,302.86,326.39
2000-08-12 22:03:18+00:00,L7,,,,,
2000-08-21 21:57:02+00:00,L7,222.69,173.74,309.21,314.79,
2000-10-15 22:02:20+00:00,L7,256.20,205.91,292.67,284.44,278.32
2000-11-25 21:56:23+00:00,L7,246.03,218.26,257.15,273.06,270.19
2000-12-02 22:02:33+00:00,L7,331.41,332.44,336.82,342.54,358.76
2001-01-12 21:56:30+00:00,L7,,,264.82,287.76,290.39
2001-02-04 22:02:38+00:00,L7,315.26,320.27,324.31,328.81,334.74
2001-03-24 22:02:23+00:00,L7,,177.78,196.87,279.45,282.22
2001-05-11 22:02:09+00:00,L7,604.33,627.72,297.44,319.19,300.14
2001-06-05 21:55:40+00:00,L7,263.53,231.53,268.43,264.84,270.58
2001-06-12 22:01:48+00:00,L7,,,,,
2001-06-21 21:55:29+00:00,L7,,,,,
2001-08-08 21:55:01+00:00,L7,,,,,
2001-08-15 22:01:02+00:00,L7,,,,,
2001-09-09 21:54:36+00:00,L7,351.88,370.38,377.10,377.67,354.65
2001-11-19 22:00:44+00:00,L7,270.94,307.56,312.19,310.71,321.71
2002-01-06 22:00:55+00:00,L7,394.28,385.16,370.66,365.90,393.75
2002-01-22 22:01:04+00:00,L7,362.94,358.60,345.30,350.46,366.83
2002-01-31 21:54:50+00:00,L7,255.14,208.83,277.25,293.86,301.70
2002-02-16 21:54:54+00:00,L7,228.78,183.42,312.78,313.60,318.94
2002-03-11 22:01:07+00:00,L7,190.77,177.55,285.59,289.64,295.18
2002-05-14 22:00:55+00:00,L7,,,,,
2002-07-17 22:00:32+00:00,L7,,,,,
2002-08-27 21:54:00+00:00,L7,136.75,160.27,,,285.49
2002-10-14 21:53:43+00:00,L7,320.05,325.39,326.35,335.40,343.80
2002-11-06 22:00:05+00:00,L7,277.00,232.33,257.03,245.23,224.82
2002-12-08 22:00:27+00:00,L7,251.92,203.96,230.42,191.58,160.46
2003-01-18 21:54:30+00:00,L7,245.88,209.25,219.42,258.80,268.24
2003-01-25 22:00:42+00:00,L7,330.88,324.03,311.04,301.48,345.03
2003-05-10 21:54:46+00:00,L7,225.85,319.35,133.94,182.24,219.94
2003-05-26 21:54:43+00:00,L7,140.43,,,,
2003-07-21 21:42:33+00:00,L5,,,,,
2003-07-29 21:54:29+00:00,L7,140.74,,,,
2003-08-06 21:42:51+00:00,L5,133.84,,,,
2003-08-13 21:48:45+00:00,L5,,,,,
2003-08-22 21:43:08+00:00,L5,136.95,,,,
2003-08-30 21:54:22+00:00,L7,148.30,183.99,181.24,,
2003-09-07 21:43:24+00:00,L5,139.79,167.27,,,
2003-09-14 21:49:42+00:00,L5,239.58,,,282.96,280.81
2003-09-30 21:49:54+00:00,L5,219.84,201.65,289.22,287.35,283.28
2003-10-25 21:44:04+00:00,L5,241.12,209.41,229.89,263.14,254.06
2003-11-17 21:50:33+00:00,L5,292.16,332.03,347.50,354.75,347.57
2003-11-18 21:54:39+00:00,L7,285.91,326.91,331.26,355.60,644.67
2003-12-03 21:50:43+00:00,L5,235.35,208.14,305.00,304.32,309.56
2003-12-04 21:54:43+00:00,L7,,,,311.28,306.87
2004-01-04 21:50:58+00:00,L5,224.45,203.19,283.79,296.30,304.07
2004-01-20 21:51:01+00:00,L5,212.24,,,,
2004-02-06 21:55:08+00:00,L7,266.21,249.81,246.90,280.18,287.12
2004-02-13 22:01:19+00:00,L7,354.05,349.93,327.66,344.74,359.17
2004-02-14 21:44:57+00:00,L5,229.52,198.72,303.00,315.44,326.61
2004-03-01 21:45:02+00:00,L5,,,,,236.19
2004-03-09 21:55:15+00:00,L7,239.29,175.81,220.39,274.34,275.30
2004-03-25 21:55:18+00:00,L7,146.83,165.28,,,
2004-04-01 22:01:28+00:00,L7,,315.37,322.40,319.44,308.62
2004-04-10 21:55:14+00:00,L7,349.08,349.26,340.92,368.03,353.60
2004-04-18 21:45:49+00:00,L5,124.52,117.10,,,
2004-04-25 21:52:11+00:00,L5,,,,,
2004-05-12 21:55:13+00:00,L7,,,,,
2004-05-19 22:01:23+00:00,L7,,,,,
2004-05-28 21:55:11+00:00,L7,306.64,301.65,310.44,304.47,306.79
2004-06-04 22:01:19+00:00,L7,,,,,
2004-06-05 21:47:12+00:00,L5,537.94,581.40,580.73,606.50,522.30
2004-06-12 21:53:35+00:00,L5,,,,,
2004-06-20 22:01:14+00:00,L7,,232.10,236.40,423.20,405.75
2004-07-07 21:48:09+00:00,L5,,,,,
2004-07-14 21:54:31+00:00,L5,,,,,
2004-07-23 21:48:33+00:00,L5,,,,,
2004-07-30 21:54:52+00:00,L5,,,,,
2004-07-31 21:54:51+00:00,L7,,,,,
2004-08-23 22:00:59+00:00,L7,,155.68,171.69,297.84,310.88
2004-08-24 21:49:18+00:00,L5,134.07,,,,321.48
2004-10-02 21:56:26+00:00,L5,189.35,188.30,209.16,266.31,269.17
2004-10-26 22:01:00+00:00,L7,294.64,208.59,274.35,270.41,268.98
2004-11-03 21:57:06+00:00,L5,,,,310.00,299.29
2004-11-11 22:01:08+00:00,L7,288.79,311.28,298.87,273.89,
2005-01-14 22:01:36+00:00,L7,,322.43,313.62,303.58,300.23
2005-01-31 21:52:21+00:00,L5,312.08,317.81,317.74,317.90,315.85
2005-02-07 21:58:39+00:00,L5,272.88,253.50,246.79,284.02,280.39
2005-02-23 21:58:55+00:00,L5,239.78,192.72,204.65,272.22,265.60
2005-02-24 21:55:41+00:00,L7,,,,,188.83
2005-03-04 21:52:52+00:00,L5,230.49,190.66,321.28,324.00,326.27
2005-03-12 21:55:44+00:00,L7,265.82,224.31,234.23,,
2005-04-04 22:01:51+00:00,L7,,,,,
2005-04-13 21:55:36+00:00,L7,321.07,326.56,289.33,,
2005-05-06 22:01:49+00:00,L7,,,,,
2005-05-14 21:59:30+00:00,L5,,,,,
2005-06-08 21:53:33+00:00,L5,,,,,
2005-06-15 21:59:46+00:00,L5,,,,,
2005-07-01 21:59:50+00:00,L5,,,,,
2005-07-09 22:01:38+00:00,L7,,,,,
2005-07-17 21:59:59+00:00,L5,317.60,368.67,412.60,474.36,550.64
2005-07-26 21:53:54+00:00,L5,260.77,481.60,512.52,347.18,395.04
2005-08-03 21:55:25+00:00,L7,,,,,
2005-08-10 22:01:34+00:00,L7,,,,,
2005-08-19 21:55:20+00:00,L7,192.67,131.11,,,
2005-09-04 21:55:11+00:00,L7,206.87,,,,
2005-09-12 21:54:10+00:00,L5,349.72,330.86,337.73,353.53,430.84
2005-09-19 22:00:20+00:00,L5,266.98,225.98,239.69,234.63,
2005-10-05 22:00:17+00:00,L5,244.51,202.68,226.58,245.49,251.67
2005-10-22 21:55:15+00:00,L7,237.93,297.84,305.57,312.72,328.05
2005-11-22 22:00:47+00:00,L5,337.91,325.88,311.50,322.60,332.19
2006-01-10 21:55:52+00:00,L7,,207.75,270.62,285.68,638.15
