,dates,usa_CA_0091-0000,usa_CA_0091-0001,usa_CA_0091-0002,usa_CA_0091-0003,usa_CA_0091-0004,usa_CA_0091-0005,usa_CA_0091-0006,usa_CA_0091-0007,usa_CA_0091-0008,usa_CA_0091-0009,usa_CA_0091-0010,usa_CA_0091-0011,usa_CA_0091-0012
0,1984-04-18 18:01:41+00:00,,,,,134.79004539197143,161.24090480629857,,172.17887511489263,174.38901212020565,154.0623848994797,125.16575869512626,107.46763757683324,120.62157995375784
1,1984-05-04 18:01:45+00:00,,,,130.65075933851526,,,,,,,,,
2,1984-06-21 18:02:54+00:00,,,,,,,,,,,,,
3,1984-11-28 18:04:24+00:00,,,,,,,,,143.98446643863224,123.54158943628946,121.34087211157578,98.9489790272589,
4,1984-12-14 18:04:35+00:00,,,132.21618370007303,115.64382174947963,137.19099734744253,142.99431763436462,126.67028137477445,133.40900231003587,123.06813948487644,125.60421411023736,146.40175144439308,150.40671126593935,144.27536870366157
5,1984-12-30 18:04:44+00:00,177.83910568495247,,139.1597537085685,160.87159843829136,157.30131803705999,161.08200111567686,155.21221781026807,154.7221994761982,146.99246895506917,150.83289834405366,175.40467467339803,165.35674942656718,169.70873805787517
6,1985-01-15 18:04:51+00:00,156.17057626242257,168.57669076754576,150.63245247393948,155.3007056555652,152.52494718367305,156.50945159132777,164.6586929618186,167.6209249420119,155.7982628318698,161.85034471129165,167.11070269564112,163.15554369280053,163.26739631720022
7,1985-01-31 18:04:55+00:00,148.02691571484775,164.1106049410747,154.38593186913948,149.96853340549373,142.63774532736522,156.87325650678687,152.82254033813518,167.80650442155516,157.18654124682172,140.40643515187298,162.83131817637246,162.04075004940415,169.87745239432095
8,1985-03-20 18:04:55+00:00,,,,,,,138.41023565779912,136.47952065428439,129.60104155583025,138.22219710794155,148.11641715723763,140.74372751714293,142.98207878358238
9,1985-09-12 18:03:49+00:00,168.64940977324358,153.96723427103413,166.69252640926675,165.60881469968504,163.64525070864016,156.18707153363178,164.60252876737843,155.18105002466166,151.7582651897233,168.57956918231815,167.51468438068463,167.2652117199655,187.96561761935376
10,1985-10-14 18:03:28+00:00,,,,146.55158006126015,135.20716413058392,124.3927598652668,137.76345856367976,138.25885195910985,139.39225202214368,147.16505884837417,143.97548699777803,150.86186983179618,160.75959396379005
11,1985-11-15 18:03:01+00:00,133.66213475034618,127.82414272834603,140.99095013181454,146.6714237515241,143.56795399538908,137.01638296036953,138.17842083508458,140.5704535368493,147.41146076443636,152.7656588717242,159.89816003321357,170.6933276938571,182.40194280736767
12,1986-01-18 18:01:49+00:00,142.8662880660562,158.2512379662401,169.43505886717872,168.18062083361139,154.7762328320282,156.88541935446418,162.57192404115455,141.81435306041965,158.60991129337543,186.3175616528926,186.72357363644275,181.08476888007402,172.22590488236176
13,1986-03-23 18:00:25+00:00,128.06381053234367,133.3510671181557,128.55988043884383,114.90912231782511,132.24754517819426,130.2378740295593,119.26279713427748,118.92213434222617,135.5597260655705,155.73949016838952,146.8092471446161,141.88902655499953,144.61741710348537
14,1986-04-08 18:00:05+00:00,154.89247311085313,164.13660041192637,165.39539563721561,151.74583700994833,151.50242516386427,151.2130790546417,139.7318118860984,141.09120305121309,146.87610579129796,170.41523495929653,165.3987080386525,164.54632537006145,178.89509055172766
