dates,satname,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0004,nzd0007-0005,nzd0007-0006,nzd0007-0007,nzd0007-0008,nzd0007-0009,nzd0007-0010,nzd0007-0011,nzd0007-0012,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0020,nzd0007-0021,nzd0007-0022,nzd0007-0023,nzd0007-0024,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035
2004-01-19 22:06:35+00:00,L7,313.76,308.01,310.60,325.51,339.01,354.95,354.71,362.69,374.02,369.53,372.18,371.13,366.45,360.99,356.90,350.22,346.14,342.16,341.20,334.21,335.07,325.95,315.41,314.47,294.43,312.87,304.72,296.50,301.39,295.81,296.38,311.44,318.77,327.71,334.01,331.55
2004-05-18 21:58:14+00:00,L5,282.41,279.08,270.19,290.76,317.33,305.90,326.23,331.23,320.27,324.97,319.51,317.19,324.27,323.69,326.73,320.67,314.41,313.01,304.93,301.59,283.54,271.09,269.36,266.41,240.96,261.64,263.75,262.34,262.44,254.84,256.40,270.16,287.29,289.61,302.33,297.38
2004-06-19 21:59:10+00:00,L5,267.51,222.38,249.60,301.40,322.41,316.68,316.71,337.19,323.03,,,,,,,,,,,,,274.48,262.93,264.15,222.91,253.71,255.06,259.26,,,,,,,,
2004-07-13 22:06:34+00:00,L7,289.19,282.53,274.71,301.49,326.17,329.48,337.27,340.37,,,,,,,,,320.54,319.28,314.15,307.94,300.72,291.11,288.53,295.92,,274.97,,,,,,,,,,
2004-07-21 22:00:04+00:00,L5,,,,,,,,,,322.21,325.36,324.11,335.44,340.33,334.15,328.98,320.47,313.54,305.72,297.15,286.60,280.54,289.19,295.91,263.06,278.96,276.56,278.24,258.46,254.50,252.40,269.45,288.93,292.65,313.62,313.93
2004-08-06 22:00:22+00:00,L5,,292.62,304.96,304.28,320.52,333.96,329.26,337.44,353.85,367.08,360.67,355.28,360.29,358.73,347.80,325.61,326.23,320.90,322.42,309.30,301.35,316.84,,,,,,,,,,,,,,316.66
2004-10-17 22:06:14+00:00,L7,,,,,340.71,,,329.03,334.16,362.37,344.79,361.06,360.91,355.72,344.34,339.14,341.38,344.23,328.18,320.36,309.89,317.14,308.98,306.14,278.78,291.02,300.06,301.70,282.66,275.16,279.82,291.12,308.70,312.70,327.47,323.77
2005-01-13 22:03:41+00:00,L5,283.87,290.61,292.01,305.83,320.32,326.16,369.23,366.94,361.17,363.70,344.16,343.64,340.56,351.71,338.81,348.24,342.11,347.97,341.64,329.01,321.15,310.71,303.72,295.28,292.57,293.49,,294.16,282.22,256.29,284.68,296.60,296.98,306.62,344.03,321.06
2005-02-06 22:07:07+00:00,L7,311.19,293.25,280.16,292.55,313.15,310.38,,329.86,318.84,340.87,331.85,338.70,337.39,341.47,330.78,332.07,320.50,314.50,313.53,313.48,295.63,295.68,292.04,272.35,277.64,294.45,283.41,266.06,261.59,261.58,255.54,265.20,285.92,299.20,,
2005-06-06 22:05:05+00:00,L5,335.11,314.37,305.05,314.72,327.57,347.29,,354.35,352.66,369.30,375.74,375.31,373.68,372.63,364.43,356.57,343.67,345.73,345.07,330.84,329.08,316.33,314.87,304.73,302.68,304.47,308.18,301.34,289.80,292.98,285.68,302.27,316.46,323.68,342.24,342.74
2005-07-16 22:07:01+00:00,L7,,,,,,103.16,143.83,,361.71,365.02,373.08,378.75,362.30,353.88,357.23,358.85,356.59,346.69,345.70,354.86,347.36,331.10,321.82,298.55,297.24,303.91,315.18,308.66,292.22,291.73,294.56,312.28,342.55,346.35,356.33,342.53
2005-09-02 22:06:46+00:00,L7,319.49,301.90,291.18,298.34,315.39,340.36,333.36,334.04,334.62,342.11,349.25,350.70,350.01,351.71,344.85,346.15,336.71,337.73,328.70,319.33,310.31,298.23,294.60,292.33,284.42,294.29,295.80,286.42,279.52,269.13,280.68,307.89,319.69,314.85,327.46,332.33
2005-09-26 22:05:42+00:00,L5,373.71,367.54,339.92,330.40,330.07,379.30,357.54,343.95,358.69,383.26,404.83,401.13,384.50,384.72,382.42,374.87,366.18,358.27,345.46,340.29,342.84,336.69,336.31,326.65,302.83,327.16,325.60,313.98,300.49,301.18,308.86,349.73,361.51,350.47,349.14,353.26
2006-05-08 22:09:38+00:00,L5,332.79,314.35,321.71,312.15,298.68,339.65,340.31,349.82,366.20,368.66,359.28,366.72,362.45,367.89,365.91,367.52,346.64,337.41,333.08,333.52,349.18,332.96,324.54,313.21,301.54,302.36,309.68,294.17,288.57,283.35,292.79,311.73,320.05,326.96,335.12,339.42
2006-06-25 22:10:20+00:00,L5,,,,,,,,,,,,308.78,324.90,325.72,327.99,324.86,319.64,320.25,308.04,296.20,284.59,288.27,273.01,278.66,248.52,264.29,260.32,256.70,258.68,257.36,257.22,274.09,289.19,291.01,308.94,302.06
2006-12-02 22:12:34+00:00,L5,300.14,266.44,267.85,278.97,296.73,308.81,313.02,312.47,336.03,342.64,341.06,334.43,345.95,342.05,352.75,335.60,322.90,311.40,312.00,304.18,303.28,301.35,304.99,298.71,286.89,287.10,278.46,273.58,275.60,275.99,297.48,298.11,299.82,318.28,321.14,314.26
2007-12-29 22:07:56+00:00,L7,,,,,,,,344.43,361.99,367.93,362.84,362.60,358.45,351.85,341.09,345.22,345.40,339.15,330.08,320.32,310.08,303.85,309.34,295.77,277.30,288.04,292.92,294.16,288.04,291.72,290.37,302.29,314.78,323.74,339.48,334.98
2008-01-14 22:07:57+00:00,L7,323.48,319.04,304.62,302.54,332.27,356.61,355.20,352.63,366.31,375.97,366.13,362.35,361.88,355.69,345.87,343.92,341.10,337.70,329.70,319.43,313.33,308.43,307.62,295.72,282.56,294.61,298.10,300.75,295.59,296.13,304.38,309.68,324.97,328.99,347.10,334.79
2008-03-18 22:07:44+00:00,L7,,,,,,,,,,355.64,357.82,353.73,352.35,349.79,343.65,338.29,331.27,333.40,324.21,313.38,306.10,294.10,289.43,291.91,277.11,268.15,285.61,284.04,280.37,279.92,280.88,297.63,312.71,326.95,344.83,334.84
2008-06-22 22:07:15+00:00,L7,,,,,,,,,,,348.26,341.13,340.54,334.56,339.12,332.14,327.26,321.99,320.94,312.24,294.09,289.58,288.18,275.58,278.48,268.97,,,,,,,,,,
2008-08-09 22:06:47+00:00,L7,,,,,,,,,,,,391.01,376.29,360.15,357.35,356.35,350.48,348.08,339.39,337.62,331.20,328.27,318.05,311.03,304.03,307.78,299.05,296.89,291.76,296.10,297.71,321.43,333.97,346.85,342.19,339.47
2008-11-21 22:01:05+00:00,L5,332.18,321.35,,307.18,346.76,370.75,372.07,367.46,371.12,380.33,380.10,365.60,352.92,343.21,340.49,340.63,344.49,342.20,337.16,333.21,334.22,328.81,314.10,306.82,290.48,291.49,291.14,291.86,300.83,305.30,307.13,314.23,325.99,349.09,361.46,351.29
2009-03-21 22:07:47+00:00,L7,,,,,,,,,,,,371.00,365.24,361.03,357.66,357.48,352.26,345.16,342.25,331.20,,,,,,,,,,,,,337.71,351.07,360.85,359.05
2010-01-27 22:08:26+00:00,L5,334.16,322.04,321.02,339.98,363.36,385.48,390.97,399.49,406.55,411.68,407.00,398.47,394.69,389.05,384.07,385.09,371.59,374.12,363.21,357.51,344.62,345.40,337.66,331.11,321.39,320.17,313.67,319.82,325.11,328.96,333.29,341.52,348.96,357.15,369.73,359.06
2010-02-12 22:08:30+00:00,L5,321.85,316.06,309.06,322.21,352.66,371.43,371.92,367.62,383.99,389.08,379.95,378.72,372.13,375.71,374.89,369.88,367.57,357.71,350.49,338.50,325.94,326.29,318.79,315.02,302.11,302.77,305.01,303.11,308.96,313.67,316.76,318.48,328.02,340.20,344.98,339.96
2010-03-24 22:09:46+00:00,L7,,,,,,,,,,,398.43,388.86,390.22,387.61,373.21,380.68,379.71,368.66,355.47,360.17,336.60,332.53,326.02,325.01,312.74,308.53,312.71,322.86,320.93,324.59,323.21,337.46,348.30,358.88,363.92,358.26
2010-07-30 22:09:48+00:00,L7,,,,,,,,,,,,,362.00,354.42,350.20,350.30,352.83,342.51,331.99,318.10,312.56,311.79,307.73,293.15,265.81,283.05,285.14,293.39,296.93,296.77,294.00,306.98,318.57,333.35,337.50,332.52
2010-10-02 22:09:49+00:00,L7,,,,,,,,,,,,,436.53,429.25,433.88,424.15,420.35,416.17,409.09,398.80,394.58,383.83,383.48,371.36,355.00,370.88,367.91,364.65,367.12,368.21,374.03,400.90,406.90,425.30,439.12,425.92
2011-01-06 22:10:49+00:00,L7,,,,286.23,315.75,329.34,328.24,328.30,338.22,346.90,349.25,340.66,335.88,324.10,323.96,330.69,323.65,315.62,314.58,305.79,298.42,289.38,289.24,279.52,254.89,268.17,273.66,271.14,276.20,275.83,281.01,302.07,322.80,313.14,,
2011-03-11 22:11:09+00:00,L7,301.99,,302.52,310.98,337.56,352.05,351.80,353.99,363.73,370.75,377.79,360.19,358.49,351.05,347.29,351.34,349.33,339.35,327.40,317.63,312.35,317.16,313.03,306.75,292.07,294.05,282.80,292.51,292.94,296.92,293.86,319.96,341.20,338.37,356.53,354.58
2012-03-13 22:11:42+00:00,L7,,,,,,,,,,,,,,333.31,332.98,330.22,324.70,321.19,320.06,315.97,306.91,299.95,289.86,296.34,285.56,261.01,278.12,273.85,280.74,295.51,299.61,312.88,313.38,,,
