dates,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0004,nzd0007-0005,nzd0007-0006,nzd0007-0007,nzd0007-0008,nzd0007-0009,nzd0007-0010,nzd0007-0011,nzd0007-0012,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0020,nzd0007-0021,nzd0007-0022,nzd0007-0023,nzd0007-0024,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035,satname
2000-04-29 22:09:53+00:00,,,,,,,,,,,,374.48,361.93,368.11,360.89,,366.44,,,,,325.84,,,,,,297.61,297.72,299.94,308.44,,,,,,L7
2001-05-18 22:07:26+00:00,,,,341.32,,,,,,313.33,340.03,358.04,345.90,338.68,328.01,315.69,330.76,300.35,294.83,302.36,287.09,294.24,,,,,,265.82,265.81,272.51,,,298.73,300.59,314.33,313.85,L7
2001-06-19 22:07:05+00:00,,,,341.32,,,,,,313.33,340.03,346.63,338.87,337.16,328.28,325.67,330.66,307.59,296.11,301.68,291.63,291.09,288.14,277.85,262.19,262.09,,266.25,271.50,274.31,269.03,282.55,301.12,301.54,315.28,315.42,L7
2001-12-28 22:06:14+00:00,300.76,304.02,307.16,,,,,,,,,,,,,347.86,331.61,340.63,333.40,306.91,303.14,309.33,300.58,293.60,276.60,290.19,302.13,292.55,281.51,278.42,289.95,309.04,305.89,306.90,326.72,326.66,L7
2002-01-29 22:06:21+00:00,293.51,293.40,302.15,304.02,328.92,,,,336.57,345.10,333.27,341.21,328.57,335.07,328.58,338.46,325.54,329.97,322.38,303.23,298.63,296.46,287.16,281.92,277.96,282.79,289.81,276.82,274.67,272.44,281.12,298.73,298.61,300.92,322.21,320.34,L7
2002-02-14 22:06:29+00:00,293.51,293.40,302.15,304.02,328.92,,,,336.57,345.10,333.27,341.21,328.57,335.07,328.58,338.46,329.73,329.45,320.68,304.70,299.29,295.45,289.35,284.86,282.53,286.40,292.37,279.23,275.98,274.73,281.33,298.21,297.71,302.44,321.55,319.99,L7
2002-04-03 22:06:21+00:00,293.51,293.40,302.15,304.02,328.92,340.81,354.82,361.49,348.85,357.37,352.30,348.54,344.38,345.35,340.58,341.56,334.24,331.79,324.14,311.11,302.92,296.81,291.35,287.34,285.34,289.19,291.45,280.34,280.53,280.48,283.37,298.39,301.43,306.41,324.24,322.19,L7
2002-06-22 22:06:03+00:00,293.51,293.40,298.00,304.02,325.04,354.74,354.82,361.21,348.78,355.25,350.49,350.56,344.60,342.29,342.04,339.10,331.68,329.75,322.24,312.31,303.73,298.65,292.72,288.66,282.18,287.59,287.21,276.77,279.51,279.74,283.62,293.14,298.02,303.73,321.57,316.56,L7
2003-01-16 22:06:02+00:00,309.83,305.13,302.48,308.98,325.39,335.82,342.86,350.89,342.97,347.02,352.38,345.74,349.71,352.34,345.06,347.80,345.93,341.02,330.80,318.75,326.10,318.10,318.44,313.60,297.06,278.44,284.29,278.29,276.07,276.91,279.47,281.60,287.35,302.46,324.76,322.66,L7
2003-08-28 22:05:57+00:00,,,,,,,,,,,,319.67,319.76,322.88,318.77,315.63,309.95,305.49,304.50,293.18,286.18,,,269.59,,250.73,255.18,249.93,254.13,246.92,246.50,266.39,283.94,,,,L7
2004-01-19 22:06:35+00:00,307.56,299.15,300.27,315.18,326.61,347.20,350.28,358.56,367.82,364.36,365.29,340.97,340.00,339.12,335.01,329.82,324.94,321.00,320.03,310.60,307.18,319.06,308.52,288.15,282.03,277.37,276.08,270.12,274.66,268.26,268.34,285.81,298.25,320.82,328.37,326.38,L7
2004-05-18 21:58:14+00:00,297.28,292.40,289.06,306.81,326.57,329.42,339.90,346.43,346.35,346.58,344.96,343.01,344.56,341.61,341.09,334.64,329.48,326.86,322.34,317.10,308.41,297.63,291.50,289.44,266.09,286.11,283.24,278.62,281.12,274.52,275.59,290.00,302.23,307.77,317.44,313.79,L5
2004-06-19 21:59:10+00:00,291.16,274.49,282.24,311.34,332.78,329.93,334.88,345.88,342.37,346.58,344.96,343.01,344.56,341.61,341.09,334.64,329.48,326.86,322.34,317.10,308.41,294.14,286.20,285.76,259.30,280.74,278.59,275.97,281.12,274.52,275.59,290.00,302.23,307.77,317.44,313.79,L5
2004-07-13 22:06:34+00:00,287.57,272.07,275.19,303.71,332.78,325.94,333.26,342.44,342.37,346.58,344.96,343.01,344.56,341.61,341.09,334.64,322.36,320.57,315.85,309.91,301.26,289.94,283.34,284.43,259.30,274.87,278.59,275.97,281.12,274.52,275.59,290.00,302.23,307.77,317.44,313.79,L7
2004-07-21 22:00:04+00:00,280.90,263.05,266.83,299.88,335.87,318.85,327.59,337.06,329.65,330.42,331.55,332.37,338.06,339.47,337.89,333.02,319.81,316.49,309.48,303.56,291.77,283.58,281.78,285.41,260.84,272.82,276.71,275.88,268.65,262.87,262.60,278.00,296.31,300.24,315.43,312.49,L5
2004-08-06 22:00:22+00:00,280.90,271.30,266.83,301.98,332.35,323.38,328.44,337.56,338.52,343.31,342.14,341.15,346.27,346.61,341.92,331.35,322.01,318.14,313.26,305.60,294.83,290.77,281.78,285.41,260.84,272.82,276.71,275.88,268.65,262.87,262.60,278.00,296.31,300.24,315.43,314.54,L5
2004-10-17 22:06:14+00:00,280.90,271.30,266.83,301.98,332.35,323.38,328.44,338.49,342.38,352.20,348.31,353.20,354.88,353.39,347.03,338.25,329.85,326.96,319.84,312.51,302.24,298.83,291.62,294.51,275.23,282.12,288.73,287.29,279.92,273.57,274.94,288.98,307.04,311.73,325.44,320.98,L7
