dates,nzd0267-0000,nzd0267-0001,nzd0267-0002,nzd0267-0003,nzd0267-0004,nzd0267-0005,nzd0267-0006,nzd0267-0007,nzd0267-0008,nzd0267-0009,nzd0267-0010,nzd0267-0011,nzd0267-0012,nzd0267-0013,nzd0267-0014,nzd0267-0015,nzd0267-0016,nzd0267-0017,nzd0267-0018,nzd0267-0019,nzd0267-0020,nzd0267-0021,nzd0267-0022,satname
2003-05-12 21:42:48+00:00,309.46,272.79,250.94,229.44,232.74,255.28,277.33,298.12,284.90,287.99,289.27,278.13,275.96,294.28,290.63,284.49,293.58,295.50,276.31,248.42,232.57,246.84,267.85,L7
2003-05-28 21:42:46+00:00,313.68,272.49,241.71,226.46,237.36,259.79,276.53,301.61,282.08,291.74,287.64,277.96,276.45,295.16,291.79,285.42,290.47,289.99,268.13,249.80,229.92,246.88,268.72,L7
2003-07-15 21:42:38+00:00,282.71,,,,232.97,242.02,262.70,291.92,289.19,286.11,283.66,279.60,266.40,298.11,293.46,287.42,,,275.76,246.05,225.04,238.30,274.17,L7
2003-08-08 21:30:55+00:00,296.60,269.69,266.05,236.81,241.74,256.52,265.88,282.94,292.54,277.37,272.26,272.17,266.51,288.17,284.50,280.01,296.88,307.01,280.38,,218.60,241.75,266.97,L5
2003-08-16 21:42:28+00:00,300.31,253.36,229.98,,,,266.29,292.07,286.40,283.29,283.05,269.82,258.13,288.03,283.85,282.62,286.39,,,244.92,207.95,227.80,273.34,L7
2003-09-25 21:31:42+00:00,290.41,273.52,248.13,276.35,268.30,259.29,272.40,288.62,285.56,288.55,286.77,278.50,260.40,290.03,289.88,276.75,278.31,277.75,268.06,243.55,218.58,236.34,265.18,L5
2003-10-19 21:42:20+00:00,299.95,275.28,243.29,244.62,254.17,262.48,289.74,304.25,289.29,291.81,289.63,,,298.91,293.42,285.75,293.92,296.09,277.82,257.44,224.95,239.73,268.12,L7
2003-11-04 21:42:27+00:00,300.16,270.28,251.84,250.49,,,,287.51,289.06,283.46,286.19,279.93,268.54,291.77,294.54,286.53,296.56,317.63,,,224.60,241.15,268.95,L7
2003-11-20 21:42:43+00:00,,,,226.30,241.75,251.02,276.83,294.32,277.03,283.98,275.71,266.63,252.82,277.86,280.53,276.23,,,264.52,243.02,222.33,229.36,261.88,L7
2003-11-28 21:32:34+00:00,305.90,281.42,249.67,259.81,252.04,263.91,297.17,303.19,286.98,291.04,293.05,286.66,277.62,300.59,311.57,307.24,308.81,320.58,292.65,261.67,225.75,236.67,273.27,L5
2003-12-06 21:42:46+00:00,327.66,282.50,270.02,253.97,240.54,252.80,,,284.92,288.06,290.08,287.51,276.34,296.08,293.45,283.05,284.50,286.26,271.30,,,238.32,260.42,L7
2003-12-14 21:32:38+00:00,313.07,290.07,286.51,279.63,263.81,277.51,308.21,319.53,300.41,300.91,299.23,294.53,290.75,309.36,317.87,307.15,311.43,324.22,300.24,268.82,238.22,234.27,274.13,L5
