,dates,per0148-0000,per0148-0001,per0148-0002,per0148-0003,per0148-0004,per0148-0005,per0148-0006,per0148-0007,per0148-0008,per0148-0009,per0148-0010,per0148-0011,per0148-0012,per0148-0013,per0148-0014,per0148-0015,per0148-0016,per0148-0017,per0148-0018,per0148-0019,per0148-0020,per0148-0021,per0148-0022,per0148-0023,per0148-0024,per0148-0025,per0148-0026,per0148-0027,per0148-0028,per0148-0029,per0148-0030,per0148-0031,per0148-0032,per0148-0033,per0148-0034,per0148-0035,per0148-0036,per0148-0037,per0148-0038,per0148-0039,per0148-0040,per0148-0041,per0148-0042,per0148-0043,per0148-0044,per0148-0045,per0148-0046,per0148-0047,per0148-0048,per0148-0049,per0148-0050,per0148-0051,per0148-0052,per0148-0053,per0148-0054,per0148-0055,per0148-0056,per0148-0057,per0148-0058,per0148-0059,per0148-0060,per0148-0061
0,1984-12-25 14:41:08+00:00,,,,,,,2.5843154297547635,14.481576053737495,30.75148114828043,43.172402606281054,50.35884772945564,49.82692057025896,60.68044311066546,65.11634201691254,74.88801627094455,84.38118109231495,83.22670814887857,84.85527085825868,90.77302381037723,98.5127286072649,92.05102695778444,93.78573636497487,88.61080205751237,87.62379094683494,87.23787449476262,91.58002155668113,95.71951659945415,101.73828334730108,103.42478723390482,116.2573133713356,123.02440852359413,119.94284746195386,125.13771736141618,116.25110261146004,118.15818776306915,128.41809357954793,127.16794976896642,133.20841556733055,138.4932088302456,141.0935422314528,145.72587942762334,148.7332434536872,135.7018414064974,152.7870264837549,161.33071193196005,172.87850381931827,,,,,187.21567361652652,178.38453007481735,185.56021810889615,196.08760169191132,196.58705745576526,,,,,,,
1,1986-04-03 14:36:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1986-05-05 14:35:53+00:00,,,,,,,,0.6742851745357985,11.280154989618453,20.823377328336097,32.39942384067949,32.941587205948665,49.262511442325945,51.25366100449432,60.86943027249536,64.40546493750624,70.96031257579843,78.05174540185101,79.48180940531573,76.60379995753048,83.2851916189027,70.64027913957133,85.41983032517155,90.85572851409266,89.36236319347503,92.22393662268065,88.96693579333838,91.73372923200294,101.19929823457728,113.44630646721343,115.85199197067946,105.02405166300154,113.53107467867618,113.66066068040074,124.66190994170665,125.59302970700635,129.09523369428544,132.54264371891543,136.03143550652797,138.77289203615084,148.24180911835833,153.22978684057233,159.40150846312454,166.13079225017077,168.1164039864496,173.99187737398103,184.2958763434945,176.42786159121084,172.43057074847832,166.29828610793854,179.04343664392496,179.2775599247471,183.00362598496326,181.57275643072666,176.45083657306083,169.7466225584573,174.63250208640522,168.10166807987966,183.02254063797236,182.45404080233496,192.2459513921782,192.89953274807777
3,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-12-15 14:29:44+00:00,,,,,,,,,,,,,,,,,,,,,70.02108438803576,84.5645944599334,79.24835137906727,71.25420756178767,68.77892261615376,81.45103300194904,112.31538099600711,103.69998155088713,93.68277693140773,90.57952730126371,,78.35838597941662,,,,,,,,,,,,,148.76288911480916,155.4836278419814,161.8009520981486,163.24503486219632,157.50420373660174,155.8830452228611,155.3141843113664,152.87856639101472,154.8657448427054,153.17559807972714,147.75693384475346,148.74765026152272,154.4021084856429,167.78034142113077,153.06123942587655,,,
9,1987-02-08 14:37:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.62477413657186,122.36712646157376,123.23636707189733,127.63927717881596,130.55033378787704,135.57479883908377,134.30419020303248,142.2740563487138,143.74143929841418,152.72528724971727,159.02653119036418,158.65441073275443,159.54067414192437,163.2230278091641,176.93027177172257,180.09103708834934,189.74977897301102,185.26631477015118,176.1394081256204,181.88642761084242,179.80555411748915,180.7451882330698,181.47656224575914,178.74920228697215,179.68426262921636,182.50549722893373,176.4689270230487,176.96121646810104,184.0159279104543,188.11883771193223,191.193033897795,188.38982794733133
