,dates,per0148-0000,per0148-0001,per0148-0002,per0148-0003,per0148-0004,per0148-0005,per0148-0006,per0148-0007,per0148-0008,per0148-0009,per0148-0010,per0148-0011,per0148-0012,per0148-0013,per0148-0014,per0148-0015,per0148-0016,per0148-0017,per0148-0018,per0148-0019,per0148-0020,per0148-0021,per0148-0022,per0148-0023,per0148-0024,per0148-0025,per0148-0026,per0148-0027,per0148-0028,per0148-0029,per0148-0030,per0148-0031,per0148-0032,per0148-0033,per0148-0034,per0148-0035,per0148-0036,per0148-0037,per0148-0038,per0148-0039,per0148-0040,per0148-0041,per0148-0042,per0148-0043,per0148-0044,per0148-0045,per0148-0046,per0148-0047,per0148-0048,per0148-0049,per0148-0050,per0148-0051,per0148-0052,per0148-0053,per0148-0054,per0148-0055,per0148-0056,per0148-0057,per0148-0058,per0148-0059,per0148-0060,per0148-0061
0,1984-12-25 14:41:08+00:00,,,,,,,3.4033190534600477,15.300579677442778,31.570484771985715,43.99140622998634,51.177851353160925,50.64592419396425,61.80118491152532,66.04217220023156,75.46353233084555,85.20018471602023,84.04571177258386,85.58954996916687,91.59202743408251,99.33173223097019,92.87003058148973,94.60473998868015,89.1711729579423,88.44279457054023,89.36728391639636,92.39902518038642,97.13912288054331,102.55728697100636,104.31204115958555,117.07631699504088,123.84341214729942,120.76185108565915,125.98948113006968,117.07010623516533,118.82362820732969,129.2370972032532,128.94245762032787,133.8953218323737,139.31221245395088,141.91254585515807,146.5448830513286,149.55224707739248,136.52084503020268,153.60603010746016,162.1193820881207,173.69750744302354,,,,,188.0346772402318,179.20353369852262,186.37922173260142,196.9066053156166,197.40606107947053,,,,,,,
1,1986-04-03 14:36:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1986-05-05 14:35:53+00:00,,,,,,,,2.0767010323729718,12.682570847455626,22.22579318617327,33.80183969851666,34.344003063785834,51.18160682673471,52.839000669875475,61.85491168611067,65.80788079534341,72.3627284336356,79.3090837571533,80.8842252631529,78.00621581536765,84.68760747673987,72.0426949974085,86.37937801737593,92.25814437192983,93.00864442385168,93.62635248051782,91.39778994692281,93.13614508984011,102.71858208056756,114.8487223250506,117.25440782851663,106.42646752083871,114.98958717082684,115.06307653823791,125.80137282619935,126.99544556484352,132.133801386266,133.71886347064984,137.43385136436515,140.17530789398802,149.64422497619552,154.63220269840951,160.80392432096173,167.53320810800795,169.4668785162187,175.3942932318182,185.9532769027566,177.83027744904803,173.8329866063155,167.43774899243124,180.44585250176215,180.67997578258428,184.40604184280045,182.97517228856384,177.853252430898,170.68156646368206,176.0349179442424,169.24113096437236,184.42495649580954,183.85645666017214,193.64836725001538,194.30194860591496
3,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-12-15 14:29:44+00:00,,,,,,,,,,,,,,,,,,,,,72.53667796301491,87.08018803491255,80.96954698300037,73.76980113676682,75.31946591109956,83.96662657692819,116.67574319263764,106.21557512586628,96.40800330430181,93.09512087624286,,80.87397955439577,,,,,,,,,,,,,151.18531255738168,157.99922141696055,164.77392632312396,165.76062843717548,160.0197973115809,157.9269650025317,157.82977788634557,155.39415996599388,157.38133841768456,155.6911916547063,150.27252741973263,150.42471264484215,156.91770206062208,169.82426120080135,155.57683300085571,,,
9,1987-02-08 14:37:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.29952136339399,124.0418736883959,124.97810418779235,129.3140244056381,131.91106590967001,137.2495460659059,137.93280919448043,143.67868305508074,145.4161865252363,154.4000344765394,160.7012784171863,160.32915795957655,161.2154213687465,164.89777503598623,178.54299132347722,181.76578431517146,191.729025695619,186.9410619969733,177.81415535244253,183.2471597326354,181.48030134431127,182.41993545989192,183.15130947258126,180.42394951379427,181.35900985603848,183.6219953801485,178.14367424987083,178.32194858989402,185.69067513727643,189.79358493875435,192.86778112461712,190.06457517415345
