,dates,aus0035-0000,aus0035-0001,aus0035-0002,aus0035-0003,aus0035-0004,aus0035-0005,aus0035-0006,aus0035-0007,aus0035-0008,aus0035-0009,aus0035-0010,aus0035-0011,aus0035-0012,aus0035-0013,aus0035-0014,aus0035-0015,aus0035-0016,aus0035-0017,aus0035-0018,aus0035-0019,aus0035-0020
0,1987-05-22 23:06:08+00:00,,,,328.2406997576081,309.4065169963095,291.0530777676539,283.34081276867545,274.04984554206584,272.43014641885446,263.3423943048423,266.3167769673154,271.44268005827826,274.0641996340836,259.03332542921646,,,207.11287050114063,223.03824524086636,237.856582554142,239.05117637534082,205.89633513488977
1,1987-09-11 23:08:53+00:00,251.91841845221703,285.18185410363867,310.76516149708806,317.24368208110604,310.4809138093122,296.85688736114685,278.7695360594653,266.0107632360454,262.3705189435248,258.9805564372243,259.01819013258927,264.06447454480457,262.53512797496285,,317.1933808148387,302.47869467643045,257.1879718043787,255.7270416028538,265.92452726328577,255.89197438068086,205.6828572150241
2,1987-12-16 23:10:41+00:00,231.8293229038424,272.53550513831755,296.5825640413886,308.6806784967078,305.20443899789797,298.664827939192,290.140701222827,293.73909924112337,296.6957398995962,,,,,,341.4081170833776,301.8993379883371,252.7110284300061,233.94922526054566,210.09884441388158,170.11024459796985,158.3474967993122
3,1988-01-01 23:10:57+00:00,217.1181949370505,250.6588391931956,279.68561450093813,294.2690001843306,297.3422069991955,290.5410775441947,282.9866457535679,271.98704636899566,270.11047340752475,257.9018686039022,268.5315921797689,252.28824214641654,246.52081598193166,,,226.9954648416496,223.82792562978761,185.48331658793273,187.1043807402546,177.3447957389553,161.19350695744416
4,1988-01-17 23:11:14+00:00,203.70088076844291,249.4967316262692,252.5598223330635,255.9969554228603,254.15071864408148,266.6226040759646,263.90828148446474,269.65461972928057,263.46491783534407,263.369315002823,259.3255116016436,271.4420676757363,269.17887277544503,262.77644021913807,,215.62089991954977,186.79856847123222,169.38243596064478,180.76092477326685,164.69558212947703,148.64905536829252
5,1988-03-05 23:11:57+00:00,224.87355260291594,247.16779485832785,262.39368495905376,275.82908200036644,274.5476717172677,252.7386739329607,252.02185138167067,252.56272243434535,260.41317126306876,233.28935909833436,,,,,,187.05796363203658,163.8378020580897,152.79779466068928,163.23167930393646,160.14568841141048,138.80194063204985
6,1988-04-06 23:12:12+00:00,229.88430265727288,261.42582908112746,265.68563313259347,268.2331554576075,265.5845425122769,261.61389770296984,262.2310878080586,271.8299471141636,273.4005019756437,283.91410587980977,290.19802772381684,291.22059843253766,278.28518838734925,267.2585468132853,250.78090744363672,214.9531584989006,170.18985294293464,165.17137091649238,152.86781769712076,123.04681701553127,133.01257025622962
7,1988-04-22 23:12:17+00:00,256.061352964225,263.3137187943726,270.97800435059514,265.259982178817,260.74119057539394,264.49086803147304,270.1660165048759,276.32657719816285,287.93513856503836,294.5632465494999,297.9723568980026,292.08521016513544,278.3113717606264,266.31284881679045,252.58951454862398,208.4608957216214,164.520850806938,156.54067156270375,138.06449917147106,127.78758889696394,153.35667246636177
8,1988-05-24 23:12:34+00:00,,,286.6686900483984,279.322797486802,,286.6562785049506,305.36220189679767,307.23605306492607,317.0510200822262,317.61298386769454,312.3185580016919,310.7583849306914,288.2480327620886,259.10136883265585,232.56334238915693,191.27594421693334,174.42639160539636,193.99087260843433,194.62561183658696,165.32656464320794,167.95570278948387
9,1988-06-09 23:12:39+00:00,254.7590344927261,265.8099653778873,274.686199438856,273.5403390268076,275.9489455276223,275.6440527742589,275.1938216168248,284.2273335478371,291.053470331993,289.12884234438684,287.24767316414545,279.835550156216,260.7726274812655,244.97561667772263,211.10291834057665,181.32754039141741,167.26316717112525,178.17182149450827,163.9024461472691,141.64786260233552,153.3388377812438
10,1988-08-12 23:12:49+00:00,252.79341090032398,282.7902671567268,296.5130352970424,301.00846922084014,291.7375120161792,279.0129736209261,253.3844279967004,,,,,,,,,,,,,,
11,1988-08-28 23:12:54+00:00,268.85760243827906,298.8040412303946,317.01342100925785,321.82573091838947,317.549077688162,310.3428225380497,294.4129302630865,288.69839664417884,281.9602605154268,284.2084010802784,278.2910578071606,289.98946345834423,276.616527070884,267.0968087763709,259.7568583623463,233.6881262542152,192.06888257887397,182.1182596323334,187.1677090726302,180.62664992411666,160.14563316381168
12,1988-09-29 23:12:45+00:00,257.4483672580542,288.31861916103327,310.9285361046055,315.9284006900182,309.7998219596552,309.12439855761335,295.27330416164796,285.0868176771634,284.5073204482336,286.2588142422201,283.93000825801283,291.2949411566999,288.10961314953494,276.11343702748155,269.9851140728492,223.9365313329206,185.29584452109424,173.9222867721118,167.58677686551255,161.41188084894014,165.3280791789476
13,1988-12-02 23:12:39+00:00,260.6086323394671,273.4702199731537,290.97002806605946,302.37710863863583,306.80510092437385,308.0344186781229,301.7168147404689,302.4063519131557,301.8957285073033,299.183891123727,296.62397140678,301.47221656689175,281.60842296438574,276.12821668298596,249.71215011555597,192.4071813929684,175.33204582463821,176.94196165646983,156.13440895711946,129.83558500770624,117.71182942955575
