,dates,usa_CA_0134-0000,usa_CA_0134-0001,usa_CA_0134-0002,usa_CA_0134-0003,usa_CA_0134-0004,usa_CA_0134-0005,usa_CA_0134-0006,usa_CA_0134-0007,usa_CA_0134-0008,usa_CA_0134-0009
0,1984-05-11 18:07:47+00:00,192.5164777541878,176.45653243174758,177.55848061384188,176.58999592088134,176.37625829495346,173.46196514064292,185.61608035771056,171.20020382392767,178.53185071915678,199.93379899233693
1,1984-05-20 18:02:16+00:00,195.38702936248012,186.86620891057302,181.84126296885393,185.21211290412336,180.8216105916411,177.3813334362303,187.19080513844062,177.3891435934837,179.50762263149636,221.2883696759919
2,1984-06-05 18:02:38+00:00,200.99376540118183,191.0870331335028,190.43312728964332,188.0202292985752,178.00975015509795,181.78547131846693,190.90943239614774,179.78048835698988,194.8859613904067,221.49040732548008
3,1984-06-12 18:08:57+00:00,183.302062724605,173.67222708255446,174.39574045775996,176.74827950340082,176.014044666234,171.25131658402734,180.15139836628225,169.24436842403514,170.64313279532408,189.81660311166533
4,1984-06-21 18:02:54+00:00,199.05534574717518,190.96998993238196,197.54956600018343,194.28940943371657,194.60997221413322,194.35187891151816,202.3116594212993,189.4404666840649,198.67569243001267,226.1204049700711
5,1984-09-16 18:10:24+00:00,191.4672047656139,180.68920532427268,174.87209057048915,180.25337937563324,171.71185556418106,175.147677642381,186.30867796500624,178.2756702141389,182.34941839566386,202.54383711834933
6,1984-10-02 18:10:48+00:00,187.4005953460785,186.0762293505358,183.32834302022988,186.26142782547313,184.53572714577894,187.42547139593648,194.79483476677314,184.83994200994212,194.01376713483154,207.49388088592542
7,1984-10-18 18:10:45+00:00,195.9945130550214,180.1648181737632,179.00815686412147,182.44874828622005,179.4159614462256,174.47738584595135,184.30854998249373,180.66624690089245,183.12971540549682,199.07469052664612
8,1984-10-27 18:04:31+00:00,191.30073805204452,174.21352100802176,174.18244016833245,180.79089901061448,173.048219174362,165.9293384442848,176.71192281517187,169.1610948130853,169.5410250930177,183.57934549030233
9,1984-11-19 18:10:33+00:00,189.16909713430596,171.24648081132335,176.94247195855786,175.67660156113692,176.02029730828042,167.16665282931962,176.267871703167,167.36333217909447,175.32418289975757,185.7146767364477
10,1985-01-15 18:04:51+00:00,192.02576989393998,182.11814051857786,179.7393488178266,185.2106510834622,179.94828592010458,173.75158213687203,,,,
11,1985-01-22 18:10:40+00:00,170.27978728328026,158.91416505006657,163.6356521407346,160.35422529402723,149.49197829357394,145.66293500465622,149.14821319820095,145.5883697476371,146.4961783072472,150.33933959846894
12,1985-01-31 18:04:55+00:00,194.067277670228,185.35009262375902,183.39588027342091,176.4471721933805,179.98166467090914,177.81479120825077,182.33329299393557,180.17748788731132,179.07917833242018,184.76168047961514
13,1985-03-20 18:04:55+00:00,169.0828622999833,160.41055780192093,166.47694014602868,161.66359880895908,148.6423983755129,149.74584470015185,157.16443230388046,154.27596662975893,159.25241024623594,172.60467105369418
14,1985-06-08 18:04:37+00:00,216.50463384301833,202.27714887411327,198.11874235597912,196.32845997990853,189.85511180112118,195.8713876192109,209.0375141700538,204.94732867553483,216.93664318357082,
15,1985-07-17 18:10:36+00:00,185.62316897111694,176.60624608174348,178.1048623372718,175.55517387435947,177.4494344924022,176.4073250510973,181.4142686349594,178.0187390437841,191.83024912277642,205.5173899763705
16,1985-08-18 18:10:18+00:00,189.94204791437053,177.52114999429486,180.5489353033551,182.38479064169707,179.67790528166387,177.7475417764963,182.53730838285247,179.53498012491877,190.80909460566514,209.77435249650347
17,1985-09-12 18:03:49+00:00,189.35227834388562,179.67165760810647,186.38154987889976,192.7857392895553,190.6981578960855,186.48072035666885,197.75367047420457,195.57596392077758,199.9469732719101,226.72186011326403
18,1985-10-05 18:09:21+00:00,180.25560411667414,165.32749073510718,169.52631644532164,170.85375297257008,170.6567017575149,167.41743523803294,182.84825450653256,180.01918238657763,192.25069514477408,207.43604490551405
19,1985-10-14 18:03:28+00:00,191.88659742726745,174.42039349434714,176.5800927674855,176.0649049133263,163.06851342866852,166.31603947995154,177.27867753585267,172.25456060837416,182.77001631462113,197.6609257271714
20,1985-12-08 18:08:46+00:00,191.41659817601715,181.6697371573395,177.17237506447623,179.54648066449505,168.96821612330595,175.39240935494513,182.36797286812714,178.426081862263,181.08003322236442,191.32815713279786
21,1986-01-09 18:08:11+00:00,179.80936732372612,166.89181123220675,168.94836595799893,164.99209107183685,157.07752535438985,161.2192774873532,167.6779030857796,160.93649203516114,161.53715426994967,165.39368902885548
22,1986-01-18 18:01:49+00:00,195.19424835829676,181.51430796899672,179.55462007937183,179.2390857193207,175.64748670595554,176.4582887466083,181.62679399256464,176.3772633588194,177.86645988267145,184.71977617008082
23,1986-01-25 18:07:27+00:00,180.95540064003671,166.6538053143996,172.51260446013126,170.86391395492896,158.6351678954312,157.14523444836573,163.6091579135717,156.10276639648342,160.14803764501227,161.93511149039463
24,1986-02-03 18:01:28+00:00,166.99140201483092,160.27493290166217,160.30563287003426,160.50716417680837,152.81474403532033,156.33562552889236,167.27990471281348,160.09612052303692,160.2609022253742,167.92282852907633
25,1986-02-10 18:07:29+00:00,182.230200799662,169.08466170548013,165.72800469286912,159.23891598031483,150.0009484107023,143.97577092206018,156.69623048630302,149.50049771093154,147.20530185873537,147.02972807755586
26,1986-02-26 18:07:06+00:00,177.83018320846858,162.17286946571414,160.38658401734313,157.2237622068884,154.39407559587426,146.62249293754235,155.9713359291199,142.60525485147085,155.27449910148547,149.27424931594234
27,1986-03-14 18:06:23+00:00,172.39287842436104,148.05978608671876,159.62187865647755,166.56937886044855,154.91727119799202,165.2088198167025,184.31143009443701,174.13976082590978,180.12491563230526,181.3710808035491
28,1986-04-08 18:00:05+00:00,184.2576163735792,168.55866809813435,168.67790578399837,163.3505332791019,161.02434745160463,159.23550176463868,175.44349325866455,172.87673464710883,169.39426157574013,171.6498753513652
29,1986-05-01 18:05:19+00:00,195.4284862840633,180.06299975621977,176.40453267343707,182.26395544539082,178.13677534689714,185.75013969258816,194.10305513644235,191.19609412964303,193.89277136249493,216.5176059710136
30,1986-05-10 17:59:18+00:00,187.1735958561927,166.73046584934815,166.8381584461755,163.75527749471587,163.95207369531502,173.84872641663947,180.18188406849245,172.11457281603447,179.68789299370235,190.1868731738578
31,1986-05-17 18:05:17+00:00,194.36969526302505,181.9816689307214,182.0595448281998,184.80544456451818,183.65630292389562,187.58246427924306,199.18294997327604,185.42216879707576,194.92062669153682,211.05578671398274
32,1986-06-18 18:04:20+00:00,188.29572198182274,174.71122498343829,174.57652622556304,176.5552266839323,178.96991359788782,177.17871455880606,186.80431762903603,175.8498871126949,180.38211717891704,198.20813172382216
33,1986-06-27 17:57:51+00:00,,,,,176.62648844634535,179.82719447057937,,,,
34,1986-07-04 18:03:48+00:00,184.22804464554955,173.2160970736989,171.19815986348627,176.75525342005372,178.1137420457858,176.4752900428756,183.0051834328215,170.42873545514962,174.19096451165342,192.59222313001598
35,1986-07-29 17:56:45+00:00,196.44687936817562,182.5946124048483,184.7464617926384,188.73330204880182,189.2354975979828,184.96214262747833,192.96233526012458,181.60495759339202,190.99977747436728,215.5870982737385
36,1986-09-15 17:55:02+00:00,189.47766230510612,179.42416054341444,183.6986294012462,190.15975312756638,189.0221140433734,184.22409143133086,193.16578837335788,189.9930735859542,196.47691673252703,215.09309376966016
37,1986-10-17 17:54:01+00:00,170.22123846674737,155.0437429344575,163.28071639614706,161.21964188486044,157.53155062257713,153.80213802879138,173.09240021041134,168.76159405008738,177.2921067125858,184.6054304511773
38,1986-10-24 17:59:57+00:00,181.55850374272427,162.80357578919256,169.46703796502342,166.89877649058047,159.81322219936803,161.04490134182117,171.798603150541,167.10355298002102,176.17484814996448,189.2127391659105
39,1986-11-02 17:53:27+00:00,196.11179184884688,178.61709132534781,176.89912805402957,174.96606183679972,160.16165175507894,156.811780388896,179.32028576209314,170.12325615462035,172.38834450853028,182.8853637059212
40,1986-11-09 17:59:21+00:00,192.7901678602642,177.1499241195537,178.8915680649872,186.94931516942836,188.26785283547304,192.82979180105718,201.0749704139794,193.9025609192853,193.6251033109014,205.94712468211893
41,1986-11-25 17:58:55+00:00,192.86248547554783,170.7222609349364,174.5405720210971,169.8788609159571,170.71825949173217,168.78169826104786,182.73567588894457,172.81511982233613,179.21907571206282,184.45578117843604
42,1986-12-20 17:53:28+00:00,178.52670935384447,171.1683352032861,178.57082009576862,166.8742807509253,159.9069427838266,158.64644080520216,167.14716977408986,158.2578978766758,163.26122727455805,165.80387739103497
43,1987-01-12 18:00:19+00:00,184.40961679465917,167.3094487869559,169.80477216374177,172.75638936742928,155.96856979290305,150.2787575379658,154.5379836390611,150.88709419230315,158.1357850250672,146.61862389550106
44,1987-03-01 18:01:39+00:00,189.35458589957827,170.80623135516126,176.14526626974714,171.5330183149404,167.72738245240274,165.42951789342305,170.78805067508873,165.67751427798783,166.74847597764813,168.60838868089837
45,1987-03-26 17:56:47+00:00,180.33061169124804,169.26701300644953,165.8422473870567,180.43250988253217,167.82901027025764,172.0943661263617,,,,
46,1987-04-18 18:03:44+00:00,200.1930701260673,188.7441737863981,185.47110433916438,190.79133378788612,185.62224449990862,186.2696225276752,190.83763242718075,186.12045070892674,189.91237386012665,216.4586704673087
47,1987-05-04 18:03:49+00:00,199.24914519231427,193.21343584549362,189.09893188135442,190.94716517293932,189.59621432735293,191.56179061782402,194.7020546520601,187.85577073317347,194.14565811167904,232.6979739244685
48,1987-06-21 18:05:23+00:00,194.3183131862133,184.16575465768813,180.52412977866294,185.83348696798868,183.88856753426558,189.03706169374908,191.67355753451972,183.57183095080273,189.38581637659007,210.30299618674707
49,1987-07-07 18:05:19+00:00,194.65412580827513,179.6136089670983,183.0746172578136,185.83242210529522,184.54268098316652,186.8251888095872,192.02311696481587,186.08052005220992,194.628118302652,207.9604906908088
50,1987-07-23 18:05:38+00:00,188.4891308507039,178.31833895714388,173.60474812889703,181.68374215589756,178.83186467289607,184.21233358541394,185.26151173215268,180.78200519649147,182.25108576055027,204.09918162272794
51,1987-08-24 18:07:00+00:00,181.08042688959,168.15466879331555,167.0212963464897,179.89455725260336,169.95106233854327,169.27147017020278,172.1758815943851,169.1207137871827,178.1209058858014,199.35201566329914
52,1988-03-19 18:10:15+00:00,181.41706767110963,163.60321955210716,162.12090149890744,154.1659123946668,149.05837827756682,156.4388071226586,166.4501109233073,161.0774700945255,167.928367717071,175.33846516178812
53,1988-03-28 18:04:33+00:00,197.39173261406546,178.21104600507994,171.2591463438448,176.2558336121298,175.1075518484164,173.36141452706718,185.65671044749905,177.45287007360844,178.3752713565203,194.4871784313884
54,1988-04-04 18:10:22+00:00,192.7239618604038,176.8356937285421,172.2576401160451,172.25390602646405,174.79296527227703,177.74870651552675,181.9111521793475,178.1860245877137,175.49928177761865,192.61704188270411
55,1988-04-13 18:04:36+00:00,188.95946530103367,168.10588873640916,176.02949760728112,168.597741775287,168.95240890995206,171.3972039529162,177.58887210671557,174.9841717834477,179.11187751744018,191.78659504945787
56,1988-04-29 18:04:42+00:00,185.60612801105674,163.624603626564,171.44132645497194,174.48646366442665,171.10757195163313,174.53969775319825,184.78717348245942,177.55681775558844,183.8552766099475,194.98236200358147
57,1988-07-25 18:11:25+00:00,182.14733492104114,172.77302961862154,164.31311394812823,175.90095786679439,175.19373871587578,174.09289333419127,182.18957123493644,174.83916720613223,186.56180248622044,207.2582990423951
58,1988-08-03 18:05:14+00:00,192.68914876062956,182.58192550507763,181.68815562764314,182.84108129693828,181.7223463929248,182.71778330362167,187.39461566588668,184.61767370570726,196.57414798057974,213.7042308268396
59,1988-08-26 18:11:28+00:00,196.69854742401316,178.65492257416403,182.7660614576513,184.82181020722814,183.44875530291262,181.001166067631,190.62667000035495,184.08446785075677,193.75967622088382,206.43561956251972
60,1988-09-04 18:05:18+00:00,189.2874067737424,177.92794465770226,178.20080320605447,185.4383551070283,183.46703971936003,184.30655761383568,192.13093926247186,183.79501138391686,195.33295262405883,214.76658124969853
61,1988-09-27 18:11:19+00:00,195.82239957787328,170.1566643523398,176.4944987332183,173.02661524151438,180.12445429039985,174.98584156835577,187.20044428897242,176.18435029139957,190.87650434056047,191.77823042399862
62,1988-10-29 18:11:16+00:00,185.76660443983758,170.49490987782752,172.7396673621663,174.70385931934592,178.02147030334862,174.32594826650916,183.45308533827125,176.5131699817651,188.85868420139735,190.97187767932724
63,1988-11-14 18:11:17+00:00,181.45975203583947,168.7997923101662,171.00533369567074,173.4159168293374,172.73338123639465,175.37117061124155,185.6288964121422,181.70174160800562,181.0009429210946,181.2593618371767
64,1988-11-30 18:10:52+00:00,200.6051856020087,176.99934881580606,179.20546269318027,174.35449202967936,179.91173824099806,171.63125260419005,187.0951590372049,178.25447767851094,187.78192300945972,193.7828543395144
65,1988-12-09 18:04:56+00:00,188.2489090488969,174.7461460308835,173.90875348781992,175.30074053244047,160.31131880237226,159.62000571811305,169.06277862723007,163.60697822181402,159.35645109961007,163.7229099550609
66,1989-01-17 18:10:21+00:00,199.04642126818595,186.0178998246322,180.76893649313672,185.04004967679597,180.1169954216725,181.4003644834345,189.29661717647156,189.48453990976543,197.9287624846886,199.8093251132904
67,1989-01-26 18:04:28+00:00,191.14617147003017,177.9789166032407,178.46942961352872,174.03519718416135,175.2883849655205,180.10829073594476,183.4939917036024,184.91884763204928,187.93960406664095,184.25084074212654
68,1989-02-27 18:04:19+00:00,206.50639406055396,196.45340348242922,194.83986465781203,192.45884045392924,189.87266961660487,195.47952526133702,205.25359155806896,200.19331818157457,206.73160899188812,
69,1989-03-06 18:09:55+00:00,183.01392381147383,164.49329999012502,164.14744656604805,157.57255786437995,157.8465306144597,159.41941015553266,173.19072037209972,167.85687784383072,172.1475924420856,179.81444443772085
70,1989-03-22 18:09:14+00:00,196.73941541070883,170.46001232268938,171.38269051258123,166.65090847801102,174.25539973564267,170.56702282915776,180.0848017690081,174.9799147621,187.82910002894658,194.78795837073466
71,1989-03-31 18:03:31+00:00,210.42938251630568,195.93737201382555,191.78209762804784,188.79860634713816,189.71484657260507,187.11373895405262,201.80786423854204,194.20149983076118,198.1611456272099,
72,1989-04-07 18:09:26+00:00,192.23036714493855,178.85175098911049,167.8434594918862,176.62034218772664,172.9080825160009,169.66730751050142,181.70583064327894,176.0369313932031,178.6515119233658,194.57191329789532
73,1989-05-02 18:03:17+00:00,190.57101238280927,172.17947101584963,172.91608755808403,172.823402184212,171.82468098525277,174.5938666929764,181.2562405275312,179.2022743263277,190.17050706335294,207.71495807786522
74,1989-05-18 18:02:55+00:00,189.61591747995314,178.18139633072101,180.2555802281712,179.2405148790682,185.94409229356427,181.79359238462948,188.95158227734552,186.92929524438978,195.38614358105355,202.91282783351573
75,1989-05-25 18:09:03+00:00,198.96283952317594,187.9321834489277,193.73104672997238,194.18286807790844,193.05266731484733,197.89260327011456,207.3574843160842,202.5772762186209,213.0946190958269,238.8293338667982
76,1989-06-10 18:08:45+00:00,204.48418190984836,189.93036511528558,193.02896509690189,191.06535317842952,192.2082166752958,194.30288246006404,208.03813026287526,198.10166058220864,214.2748166533276,234.5424065151277
77,1989-06-19 18:02:19+00:00,193.88863446935315,181.54530871396045,181.31018415245603,181.3624497246448,176.78804630644524,178.2044055638085,185.340511280436,184.4738622468235,196.15306842706104,203.9017143489656
78,1989-07-05 18:02:04+00:00,198.7436892337443,183.96153066030217,185.4078825610447,187.47842430523542,186.11698756302155,187.12416484216754,197.99138827704198,188.44987380403356,198.0179814660741,215.57120952934557
79,1989-08-06 18:01:25+00:00,191.08524745168168,180.7406083448394,189.61652029484173,194.74555355103797,192.2779329716468,194.61874133103314,204.0313380307998,200.32481802643036,210.89608705970045,229.42396011946013
