dates,sar1364-0000,sar1364-0001,sar1364-0002,sar1364-0003,sar1364-0004,sar1364-0005,sar1364-0006,sar1364-0007,satname
1984-04-13 09:27:31+00:00,231.81,197.78,209.61,203.33,205.47,214.74,198.82,182.69,L5
1984-07-18 09:29:10+00:00,236.65,199.71,207.61,207.11,196.85,215.97,200.23,190.76,L5
1984-08-19 09:30:15+00:00,234.18,196.03,211.99,205.12,202.78,214.37,198.38,188.19,L5
1984-09-04 09:30:25+00:00,230.07,194.4,207.08,,,,,,L5
1984-09-20 09:30:28+00:00,218.41,,,180.91,205.26,187.72,191.02,162.33,L5
1984-10-22 09:30:24+00:00,238.2,197.28,210.31,201.64,202.99,215.05,199.72,180.39,L5
1984-11-07 09:30:17+00:00,235.8,187.61,206.26,203.38,200.92,212.11,201.57,178.87,L5
1984-12-09 09:30:22+00:00,238.51,187.7,207.19,191.1,199.4,213.62,193.0,174.79,L5
1985-05-02 09:30:31+00:00,219.46,195.1,198.99,200.16,196.36,206.6,188.34,181.02,L5
1985-06-03 09:30:28+00:00,226.45,197.24,210.83,205.74,201.52,212.57,200.23,185.39,L5
1985-06-19 09:30:26+00:00,220.82,194.49,204.28,191.9,199.03,203.55,191.16,175.22,L5
1985-07-05 09:30:21+00:00,234.08,196.38,207.36,200.82,198.42,211.92,194.67,183.3,L5
1985-08-06 09:30:06+00:00,217.45,,191.82,186.59,181.88,190.98,178.15,170.4,L5
1985-08-22 09:29:56+00:00,240.41,197.65,213.77,211.59,201.83,214.9,203.07,185.58,L5
1985-09-23 09:29:32+00:00,235.64,197.97,202.35,203.92,198.8,214.17,197.37,181.89,L5
1985-10-09 09:29:23+00:00,234.7,193.77,211.36,204.62,199.99,209.26,196.28,179.81,L5
1985-11-10 09:28:57+00:00,239.89,197.98,207.69,201.37,205.85,214.43,193.59,180.48,L5
1986-01-13 09:27:46+00:00,239.71,194.07,196.07,199.22,204.42,211.2,197.66,178.32,L5
1986-03-18 09:26:22+00:00,233.36,189.55,202.51,202.82,199.31,207.33,190.5,178.46,L5
1986-05-05 09:25:17+00:00,223.69,194.75,206.09,206.21,201.93,208.01,195.48,181.97,L5
1986-05-21 09:24:51+00:00,230.6,201.97,204.68,202.66,198.83,211.2,198.59,184.2,L5
1986-07-08 09:23:21+00:00,230.62,200.42,213.74,203.39,201.79,213.13,199.63,184.68,L5
