,dates,jap0177-0000,jap0177-0001,jap0177-0002,jap0177-0003,jap0177-0004,jap0177-0005,jap0177-0006,jap0177-0007
0,1984-07-15 00:44:31+00:00,94.58676297386171,115.39209841986141,121.64610195613544,121.84165678011854,135.47734903710688,145.16960189423116,137.55891767983388,128.778734596874
1,1984-07-31 00:45:05+00:00,128.94078256206097,141.53922858569487,141.06800003296922,160.72141460949697,158.88811162624174,167.98960416161273,161.2935945029848,141.13351311497982
2,1984-08-16 00:45:37+00:00,124.04963768199146,146.99871235309658,156.42977601498737,161.58040024968872,166.54652474916392,170.92197616203111,164.42756536788147,149.4614024001922
3,1984-09-10 00:40:08+00:00,106.66565352028002,144.69707422604594,169.9497416459648,185.11690520867012,185.57579176510282,184.42802059898455,168.7132693306148,153.54598602769275
4,1984-11-04 00:45:46+00:00,113.22459588695844,142.36263855880418,156.5511538365288,172.6712676608011,176.8370641994357,176.11463776827298,163.56078691217655,153.58648118672028
5,1985-01-07 00:46:06+00:00,140.90525226784223,162.49635565913647,162.15186210564758,175.21775129914732,180.4979497406044,172.7997852858115,162.55822971888358,150.60091493045658
6,1985-07-27 00:39:53+00:00,125.33547230360101,154.43092339474958,173.80050928162026,179.99996458731167,177.01353920563074,166.13701847329784,156.59211802990865,142.5968831184409
7,1985-08-28 00:39:33+00:00,106.9845889283404,132.30815557625246,149.7592918091412,161.41485609092544,168.33356938223943,170.42600224863128,170.64616445177035,151.4036042370212
8,1985-09-13 00:39:21+00:00,120.78566079296448,146.900234699354,166.33823727339075,171.3647272310666,169.28660819404865,174.25958241497156,164.44094216565813,146.48946918262328
9,1985-12-09 00:43:54+00:00,113.10269956444023,,,169.51166805524412,,,156.09315849290752,142.30296525810263
10,1986-01-10 00:43:19+00:00,147.45340095784871,165.560520305935,187.61628964477848,200.5880749005557,202.34891062526296,201.33908999786323,188.17831145114218,180.01113995855823
11,1986-04-09 00:35:37+00:00,127.89339743006207,162.63709204226762,177.02482304690506,186.28288075834877,194.8735033830563,198.53126312419008,181.39227264236393,154.8454284672788
12,1986-05-27 00:34:23+00:00,101.45554312842617,,166.8448256212911,180.5347264328105,183.09900520193614,180.58124643094277,165.43376079111465,152.96074098950297
13,1986-07-30 00:32:17+00:00,128.8979533937545,174.171763926892,196.50252304813387,206.70690976995263,199.7359191999332,198.79338151324038,188.88439385630903,173.57266123692756
