dates,nzd0429-0000,nzd0429-0001,nzd0429-0002,nzd0429-0003,nzd0429-0004,nzd0429-0005,nzd0429-0006,nzd0429-0007,nzd0429-0008,nzd0429-0009,nzd0429-0010,nzd0429-0011,nzd0429-0012,nzd0429-0013,nzd0429-0014,nzd0429-0015,nzd0429-0016,nzd0429-0017,nzd0429-0018,nzd0429-0019,nzd0429-0020,nzd0429-0021,nzd0429-0022,nzd0429-0023,nzd0429-0024,nzd0429-0025,nzd0429-0026,nzd0429-0027,nzd0429-0028,nzd0429-0029,nzd0429-0030,nzd0429-0031,nzd0429-0032,nzd0429-0033,nzd0429-0034,nzd0429-0035,nzd0429-0036,nzd0429-0037,nzd0429-0038,nzd0429-0039,nzd0429-0040,nzd0429-0041,nzd0429-0042,nzd0429-0043,nzd0429-0044,nzd0429-0045,nzd0429-0046,nzd0429-0047,nzd0429-0048,nzd0429-0049,nzd0429-0050,nzd0429-0051,nzd0429-0052,nzd0429-0053,satname
1999-11-21 22:12:47+00:00,430.73,423.13,418.45,416.65,422.53,425.19,417.23,410.42,402.67,393.05,397.40,396.37,391.99,386.36,394.91,397.90,398.64,400.13,399.47,395.19,399.36,396.58,404.96,402.37,401.65,404.62,401.57,395.31,394.44,382.97,382.12,389.34,380.27,377.32,375.37,378.82,383.23,382.54,376.01,380.79,378.93,385.37,387.87,399.95,388.24,380.26,369.59,359.63,361.06,346.03,354.81,351.80,338.50,333.81,L7
1999-12-07 22:12:53+00:00,429.00,420.37,414.09,415.78,417.99,424.87,419.36,411.06,412.37,407.07,413.20,407.46,403.10,391.50,396.43,397.26,394.25,391.88,393.01,391.49,393.87,394.96,403.36,399.96,400.00,401.47,398.32,396.39,393.58,385.75,381.52,385.58,378.30,378.25,378.23,376.85,383.23,378.76,374.08,375.50,373.65,385.37,387.87,389.00,378.10,374.75,366.81,357.14,357.10,343.21,349.62,352.06,344.12,340.16,L7
2000-04-13 22:12:18+00:00,431.43,420.37,414.09,415.78,417.99,424.87,419.36,411.06,412.37,407.07,413.20,407.46,403.10,391.50,396.43,397.26,394.25,391.88,393.01,391.49,393.87,394.96,403.36,403.20,403.96,404.02,400.07,401.92,401.20,395.12,392.89,385.58,378.30,378.25,378.23,376.85,383.23,379.24,374.41,372.31,371.47,375.28,380.21,385.11,375.03,372.92,365.29,358.25,361.92,348.26,349.62,356.41,350.80,334.58,L7
2000-05-31 22:11:54+00:00,431.78,417.61,409.72,414.92,412.75,417.67,413.14,402.98,407.45,408.25,411.02,400.47,398.30,387.94,385.88,386.45,383.45,377.15,380.76,383.56,379.46,382.90,392.40,395.46,396.62,394.68,391.68,395.74,404.58,401.19,398.28,381.83,376.33,379.17,381.08,374.88,,373.75,369.56,362.58,363.83,365.19,372.55,376.85,367.48,371.58,367.14,359.62,362.35,348.99,352.59,357.79,353.28,330.27,L7
2000-08-19 22:11:01+00:00,436.30,,,,412.04,410.79,404.79,394.27,411.75,412.70,411.88,405.15,402.81,401.93,396.94,396.57,395.90,389.89,392.23,391.76,385.33,389.41,395.80,394.42,395.76,392.86,389.98,394.87,416.43,413.84,415.64,,,,,,,373.13,368.26,358.76,361.57,365.19,372.55,376.24,367.25,372.75,368.69,362.10,371.57,353.28,360.75,360.53,355.05,322.15,L7
2000-09-20 22:10:27+00:00,412.71,408.39,417.33,418.09,413.88,413.67,407.21,402.58,411.14,412.42,409.93,405.19,404.96,403.45,401.10,401.92,400.11,394.96,395.65,392.14,388.20,388.71,392.86,389.48,391.76,389.81,390.02,394.87,416.43,413.84,394.05,375.27,371.53,371.12,375.08,360.10,,369.36,364.56,356.81,357.28,365.19,372.55,373.88,369.83,368.75,364.85,360.80,365.92,351.48,353.62,349.64,345.88,325.03,L7
2000-11-07 22:10:17+00:00,381.44,401.19,413.32,420.06,417.34,418.45,412.49,408.01,413.49,414.25,412.90,408.68,406.56,405.32,403.10,402.25,402.31,397.43,396.29,394.80,391.88,392.50,394.79,386.31,387.22,384.82,385.80,385.04,393.69,384.60,375.19,374.38,377.86,376.97,378.79,369.55,372.83,367.58,366.25,358.52,359.43,379.58,382.77,377.69,375.91,371.97,365.83,360.42,355.51,344.93,352.43,343.96,340.52,329.30,L7
2001-01-10 22:10:27+00:00,381.44,396.43,410.87,418.80,420.44,424.67,417.15,413.99,419.21,420.27,419.57,416.79,414.05,412.91,411.31,409.91,409.36,405.89,401.41,399.65,399.39,400.15,400.59,394.62,395.96,394.26,394.75,395.41,388.53,384.41,378.14,379.21,379.36,379.27,379.68,374.72,379.96,373.21,371.16,364.97,365.64,378.54,384.01,385.27,383.48,374.50,369.56,363.75,363.68,351.99,357.80,351.58,346.90,339.27,L7
2001-01-26 22:10:30+00:00,381.46,388.43,403.30,410.61,413.85,419.04,414.51,410.25,415.33,416.97,416.71,413.12,410.64,409.70,407.60,405.82,405.07,402.48,398.71,396.95,396.32,396.34,397.64,393.66,393.73,391.58,391.69,388.07,381.91,376.76,376.32,375.05,375.44,375.08,375.10,372.71,375.45,370.22,367.34,362.92,363.12,374.17,379.33,383.31,379.83,373.40,368.29,364.39,363.77,354.60,357.61,351.13,345.02,338.82,L7
2001-02-27 22:10:18+00:00,382.67,390.33,403.17,410.85,414.66,419.82,414.87,410.96,411.38,413.28,414.22,410.99,408.78,407.47,406.27,405.61,403.87,402.20,398.03,395.55,396.30,395.77,396.06,395.19,396.00,394.04,394.62,392.23,386.24,381.61,380.14,378.14,378.55,377.73,377.82,376.11,377.64,372.73,369.64,364.51,366.02,376.62,384.09,387.31,383.57,376.60,371.44,368.49,367.46,361.97,364.20,357.80,351.33,345.73,L7
2001-03-15 22:10:15+00:00,389.93,390.78,403.64,409.73,413.85,418.30,414.03,410.93,411.02,412.56,414.20,411.16,408.78,407.47,406.27,405.88,404.45,401.83,398.28,393.05,396.30,395.77,396.06,396.04,396.68,395.34,395.12,392.82,387.50,382.72,380.38,377.68,377.36,376.78,376.83,375.80,376.04,372.38,369.83,365.06,366.62,376.02,386.14,388.95,385.64,377.55,373.00,370.82,370.35,365.06,367.32,358.86,353.12,348.87,L7
2001-03-31 22:10:07+00:00,396.33,387.25,406.39,408.06,416.32,419.81,416.78,413.88,413.43,414.89,418.02,414.46,411.84,410.83,408.69,406.88,405.43,403.04,399.72,395.47,398.10,400.43,400.19,401.65,400.32,400.28,399.15,395.49,391.59,386.68,384.13,380.92,381.32,380.37,379.04,380.51,377.32,375.96,373.09,369.64,372.54,378.24,389.12,395.40,392.07,384.73,379.37,377.28,376.29,372.53,374.16,364.93,358.72,354.34,L7
