dates,nzd0429-0000,nzd0429-0001,nzd0429-0002,nzd0429-0003,nzd0429-0004,nzd0429-0005,nzd0429-0006,nzd0429-0007,nzd0429-0008,nzd0429-0009,nzd0429-0010,nzd0429-0011,nzd0429-0012,nzd0429-0013,nzd0429-0014,nzd0429-0015,nzd0429-0016,nzd0429-0017,nzd0429-0018,nzd0429-0019,nzd0429-0020,nzd0429-0021,nzd0429-0022,nzd0429-0023,nzd0429-0024,nzd0429-0025,nzd0429-0026,nzd0429-0027,nzd0429-0028,nzd0429-0029,nzd0429-0030,nzd0429-0031,nzd0429-0032,nzd0429-0033,nzd0429-0034,nzd0429-0035,nzd0429-0036,nzd0429-0037,nzd0429-0038,nzd0429-0039,nzd0429-0040,nzd0429-0041,nzd0429-0042,nzd0429-0043,nzd0429-0044,nzd0429-0045,nzd0429-0046,nzd0429-0047,nzd0429-0048,nzd0429-0049,nzd0429-0050,nzd0429-0051,nzd0429-0052,nzd0429-0053,satname
1999-11-21 22:12:47+00:00,430.73,423.13,418.45,416.65,422.53,425.19,417.23,410.42,402.67,393.05,397.40,396.37,391.99,386.36,394.91,397.90,398.64,400.13,399.47,395.19,399.36,396.58,404.96,402.37,401.65,404.62,401.57,395.31,394.44,382.97,382.12,389.34,380.27,377.32,375.37,378.82,383.23,382.54,376.01,380.79,378.93,385.37,387.87,399.95,388.24,380.26,369.59,359.63,361.06,346.03,354.81,351.80,338.50,333.81,L7
1999-12-07 22:12:53+00:00,427.27,417.61,409.72,414.92,413.45,424.55,421.49,411.69,422.07,421.09,429.01,418.54,414.21,396.65,397.94,396.62,389.85,383.63,386.56,387.78,388.37,393.34,401.76,397.54,398.35,398.32,395.08,397.47,392.72,388.54,380.92,381.83,376.33,379.17,381.08,374.88,,374.99,372.15,370.22,368.37,,,378.06,367.95,369.23,364.04,354.66,353.13,340.40,344.42,352.32,349.74,346.51,L7
2000-04-13 22:12:18+00:00,436.30,,,,,,,,,,,,,,,,,,,,,,,409.69,411.89,409.12,403.57,412.99,416.43,413.84,415.64,,,,,,,380.19,375.06,365.92,367.11,365.19,372.55,377.32,368.91,369.26,362.23,360.45,371.57,358.35,,365.10,364.16,323.41,L7
2000-05-31 22:11:54+00:00,,,,,412.04,410.79,404.79,394.27,392.83,395.40,393.03,382.40,382.39,379.24,373.83,376.28,377.05,370.68,374.97,379.35,370.55,372.47,383.05,379.15,379.63,376.59,376.39,376.75,,,,,,,,,,366.08,361.46,351.61,356.02,,,375.16,365.59,376.24,375.15,363.76,,348.21,360.75,355.95,345.95,320.90,L7
2000-08-19 22:11:01+00:00,,,,,,,,,430.66,430.00,430.74,427.91,423.23,424.61,420.06,416.86,414.76,409.11,409.49,404.18,400.11,406.35,408.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-09-20 22:10:27+00:00,389.11,408.39,417.33,418.09,415.71,416.55,409.63,410.89,409.93,411.86,406.01,405.25,409.25,406.50,409.41,412.62,408.53,405.09,402.48,392.89,393.95,387.31,386.99,379.61,383.76,383.73,390.11,,,,372.46,375.27,371.53,371.12,375.08,360.10,,361.81,357.17,352.90,348.70,,,369.17,374.98,360.75,357.18,358.19,360.27,347.88,346.49,327.88,327.53,330.77,L7
2000-11-07 22:10:17+00:00,373.77,393.98,409.32,422.04,424.27,428.02,423.06,418.86,420.54,419.73,421.82,419.14,411.37,410.93,409.09,403.24,408.92,404.82,398.21,402.78,402.93,403.85,400.59,400.17,398.26,394.14,390.90,393.34,393.69,384.60,377.93,373.49,384.19,382.81,382.51,379.00,372.83,374.86,380.12,371.05,373.57,379.58,382.77,388.75,387.16,378.93,365.16,359.30,350.75,338.70,350.05,348.04,348.07,336.24,L7
2001-01-10 22:10:27+00:00,,386.93,405.97,416.27,421.35,429.44,418.76,412.22,415.69,419.50,419.72,414.84,412.35,409.59,406.70,406.92,405.22,404.53,395.46,398.77,400.58,403.09,406.24,404.09,405.85,404.92,403.25,397.48,383.38,384.22,384.04,388.88,382.35,383.88,381.46,385.05,387.09,382.95,376.19,370.97,374.65,377.51,385.26,397.88,388.30,383.81,386.34,373.76,380.02,369.38,376.85,378.81,365.11,350.79,L7
2001-01-26 22:10:30+00:00,381.50,364.41,380.56,386.03,394.06,402.15,406.58,399.04,399.84,403.74,405.25,398.46,397.01,396.87,392.75,389.44,387.93,388.86,387.92,386.14,384.04,381.11,385.83,390.77,387.04,383.52,382.49,373.38,368.65,361.46,370.87,362.57,363.68,362.53,361.34,366.69,366.43,361.26,355.87,356.74,355.58,365.43,369.95,377.45,368.86,370.11,364.47,366.31,364.03,362.46,357.06,349.80,339.38,337.47,L7
2001-02-27 22:10:18+00:00,386.30,397.92,402.66,411.83,417.90,422.96,416.30,413.77,410.92,411.58,418.28,417.27,413.92,413.48,413.40,415.81,408.73,407.72,406.07,397.15,400.00,403.47,400.64,401.31,405.11,403.91,406.35,404.70,399.22,396.14,395.38,390.49,391.02,388.31,388.71,389.70,384.23,382.75,378.86,370.91,377.60,383.98,398.39,403.29,398.56,389.42,384.04,384.90,382.23,391.43,390.55,384.45,376.56,373.39,L7
2001-03-15 22:10:15+00:00,418.98,393.03,406.00,404.14,409.80,410.68,409.85,410.78,409.19,408.95,414.10,412.01,,,,407.24,407.35,399.98,399.56,380.57,,,,400.27,400.06,401.79,397.64,395.21,392.54,387.17,381.57,375.38,371.41,372.03,371.86,374.24,369.61,370.66,370.79,367.77,369.62,373.59,394.33,397.18,395.98,382.29,380.78,382.45,384.81,380.52,382.95,364.17,362.10,364.53,L7
