,dates,chi0488-0000,chi0488-0001,chi0488-0002,chi0488-0003,chi0488-0004,chi0488-0005,chi0488-0006,chi0488-0007,chi0488-0008,chi0488-0009,chi0488-0010,chi0488-0011,chi0488-0012,chi0488-0013,chi0488-0014,chi0488-0015,chi0488-0016,chi0488-0017,chi0488-0018,chi0488-0019,chi0488-0020,chi0488-0021,chi0488-0022,chi0488-0023,chi0488-0024,chi0488-0025,chi0488-0026,chi0488-0027,chi0488-0028,chi0488-0029,chi0488-0030,chi0488-0031,chi0488-0032,chi0488-0033,chi0488-0034,chi0488-0035,chi0488-0036,chi0488-0037,chi0488-0038,chi0488-0039,chi0488-0040,chi0488-0041,chi0488-0042,chi0488-0043,chi0488-0044,chi0488-0045,chi0488-0046
0,1984-07-08 14:10:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985-01-25 14:06:03+00:00,215.3170275739394,,,173.5335521195403,179.02946605937692,183.98912990462662,,168.44077336535122,157.5781603810545,170.99415838460183,174.02698405049142,182.74864335239909,183.40544172405728,169.19678274510255,159.91598074058646,,,192.99055009599536,175.98697249659472,169.02769036181664,171.17544383804167,190.49708909988422,,,180.7954528244703,187.2335200160519,176.55461826483244,178.42745205058895,189.45292923935247,,168.4155283896892,,178.18320659232725,,171.71168048663782,167.29283616896592,158.33660633402167,158.30727996791722,156.2580365465223,154.13644194871182,157.8158569007888,150.41989661146454,,156.23771873662062,164.27749042278032,175.74299639057904,157.96162686906501
2,1986-01-12 14:03:06+00:00,196.5900205434661,,,170.36259711247462,183.61382197247752,175.86075132324527,158.75800490880602,150.80668987738144,148.52293305502107,149.878695404812,,,,189.66321298027708,147.90658159728227,,142.41643446555113,186.8455967806504,198.22099170020994,158.98370643553005,146.78730148802765,160.24558998774867,165.69918818349302,152.02998710493748,166.11038021078872,169.55600060733593,151.52302126453728,175.88515698265059,152.00477822416798,144.39037258748488,186.14846041314524,201.36056887832927,155.68074165366613,128.84083747560646,142.075402278149,168.7908272490809,168.26961474190938,170.24034803230984,153.83289573739165,150.78843994496918,149.2822601354279,,,,,,
3,1986-02-04 14:08:47+00:00,,,,,204.0257359917362,187.78269828831688,191.83064230333605,185.97536428077044,180.00224869054725,154.62582696361852,157.81156295190084,179.14120590271182,189.64260495692014,211.51162373993373,,177.5620263961187,152.30470252236464,171.39187677825103,200.61038064322457,,,176.9937705889298,180.20742615453887,183.76827897939341,190.5701705717666,191.5417397940273,173.8298487991561,165.79695189290553,170.10028520449015,161.20238712619988,192.83879127150766,225.43712687429235,,164.476921578055,161.5302901668303,179.52515664681894,181.2562325698673,178.6495299192514,164.65653537753892,162.2979050659809,166.23165614057874,129.2822761403371,,142.12647783069227,162.09655904616653,161.57235824140142,169.6294405394872
4,1986-08-15 14:03:05+00:00,,,,130.90323993536563,,,,164.74480300028733,200.62674007243612,173.5218562476326,154.5942787946189,172.73970350081774,168.33863537721456,,160.92040624930598,158.01763819259205,162.06715285623773,160.78856854747366,121.89256419743238,,128.8601314909891,144.01517025896067,174.42918189388277,194.9441186249412,166.53513322110516,161.12937993668666,150.7404311035063,170.3548699862159,,,193.74786919822384,,132.23205797366958,163.80849691790274,160.14353344953008,160.641081946702,,,155.86377790208192,186.83175824917456,185.1794945436567,166.77845733458977,,,,142.23410081076366,139.68573294513507
5,1986-08-24 13:56:58+00:00,,,,,,,,,,,,,,,,,,,98.76738084688274,,113.96575216479587,123.2023783809388,,,,,,,,,,,,,,,,,,,,,39.671419868895384,,,,103.36702200366376
6,1986-08-31 14:02:52+00:00,160.3399960530167,132.81588852347713,,110.69663847413148,,,,138.10283308609803,,152.78306955920027,,,,,127.41971750888375,130.0496433362198,,,121.83702628898747,,126.12913198166416,132.07883444952807,,,,,,,,,,,94.51567416771461,140.0216657778123,135.43730391795526,119.78730984330338,,,,143.1869668467819,,,52.754064814077786,,,,117.85568717023611
7,1986-09-25 13:55:54+00:00,198.59582232319895,172.21736860860665,,136.96560174340422,,177.45439138740792,178.49839059457432,,177.44753352052587,172.28327189785645,175.44536938133933,174.31670351932564,186.752037610562,175.89880198366998,,169.9873081695671,177.93036660920308,174.62054435433194,,163.7658510242636,,,195.39492984451402,193.11600437328622,164.43494075788965,166.94088027007723,197.79748165628837,225.99273599482086,214.67851645809097,202.963664251113,202.68637084959303,172.00063842846134,159.85181805504135,176.5806043024474,177.37389484343143,145.57453767239647,149.40815614014318,187.67994568177804,,171.87228183831502,157.85519653532913,149.23881155952185,,122.11731598554968,130.12143106940232,157.81714270395798,143.16980455148513
8,1986-10-02 14:01:27+00:00,,,,,,,,,,133.13097716634613,136.78840818286284,133.56198246032514,142.2219206092431,136.27950538882334,132.2263046727448,127.16012949083047,131.48811345466004,,113.99190386991343,126.45767907510356,134.00442920204088,129.97919752224078,,,,,,,,164.3295808606857,157.43561252132616,149.850096572294,138.71522464208402,151.34755997346699,142.79922461928018,125.9475476010584,121.1308602600586,144.49371689892664,154.91939449004707,133.6786920528568,102.38768339458804,,48.57979991243194,,,,114.7149502367059
9,1986-10-11 13:55:23+00:00,164.60971549466908,,101.34894387000242,104.74687982757874,137.9819841054536,,,123.36034945416509,159.1048191893526,155.8697383591394,150.062330014925,168.6801201825822,174.0011014534211,159.47791509909064,167.8328308002648,154.86485400128237,150.8828973825029,178.4994297585754,167.2453370419146,153.74325654303294,145.51356957247896,179.0045423281572,185.84578150564795,162.47277233941594,155.68624185586148,148.81600418332363,184.71030934847073,209.49321254075323,202.85503458766988,181.84952056346148,180.81607674246965,160.65664197819476,157.23169506062538,172.48063366569212,169.6352149926995,141.5672187538778,148.1721585132625,174.66050134838594,189.97733661715043,150.9577209269134,131.67199073093116,141.3626830761853,120.96303033419046,102.61253234303493,110.74139290529634,138.91775804987088,133.87676035382538
10,1986-10-18 14:00:56+00:00,190.7152062153797,161.16132336363626,139.6924208553829,134.9103413909666,143.6589420000999,146.37249653705655,162.56897207506714,172.4867206417399,163.1049424117469,155.57833084157699,155.01526771978263,157.93499387989033,158.50689612257355,159.17377791783196,152.87941582520745,137.19723478156914,146.17885634556444,169.09759497613044,162.07751592388036,147.2006861176865,152.37569754541533,178.6007013936774,182.071549450958,157.7671982922534,142.9975579047941,152.22202085093443,175.1772257460496,198.28874597632984,198.0769407476386,180.54457050853713,176.0350501892614,156.99550010429152,149.17369623949932,163.85820308521602,161.10138519219535,145.4984811507411,156.0240066964648,169.65427241135671,173.73561126999772,144.35519172371386,124.01632794699334,130.24943333061668,123.60030994716993,97.97089873205572,94.95078950715606,137.24632076008817,130.05703247603248
11,1986-10-27 13:54:50+00:00,,,,,,146.27819887346024,178.62059222374117,175.1308564349058,163.69405225297635,173.8504651866074,,,,,,,,,,,,,,,,,,,,,,,,,164.01899135229647,143.35344865451432,157.63434973467443,165.5652953267506,185.7840459705273,168.76903240496245,116.57091336482033,123.17329473601919,134.3731556315878,109.7486844731349,106.14856741775259,131.37847792289205,108.95019177796823
